"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/02/01","00:00","0.398","-","0.51"
"2023/02/01","00:06","0.39","-","0.48"
"2023/02/01","00:12","0.381","-","0.45"
"2023/02/01","00:18","0.371","-","0.45"
"2023/02/01","00:24","0.361","-","0.46"
"2023/02/01","00:30","0.35","-","0.48"
"2023/02/01","00:36","0.339","-","0.44"
"2023/02/01","00:42","0.327","-","0.49"
"2023/02/01","00:48","0.315","-","0.46"
"2023/02/01","00:54","0.302","-","0.46"
"2023/02/01","01:00","0.289","-","0.46"
"2023/02/01","01:06","0.276","-","0.45"
"2023/02/01","01:12","0.262","-","0.48"
"2023/02/01","01:18","0.249","-","0.44"
"2023/02/01","01:24","0.235","-","0.46"
"2023/02/01","01:30","0.221","-","0.46"
"2023/02/01","01:36","0.206","-","0.42"
"2023/02/01","01:42","0.192","-","0.39"
"2023/02/01","01:48","0.178","-","0.37"
"2023/02/01","01:54","0.164","-","0.42"
"2023/02/01","02:00","0.15","-","0.38"
"2023/02/01","02:06","0.136","-","0.36"
"2023/02/01","02:12","0.122","-","0.38"
"2023/02/01","02:18","0.109","-","0.37"
"2023/02/01","02:24","0.095","-","0.35"
"2023/02/01","02:30","0.083","-","0.35"
"2023/02/01","02:36","0.07","-","0.33"
"2023/02/01","02:42","0.058","-","0.31"
"2023/02/01","02:48","0.047","-","0.31"
"2023/02/01","02:54","0.036","-","0.28"
"2023/02/01","03:00","0.025","-","0.27"
"2023/02/01","03:06","0.015","-","0.28"
"2023/02/01","03:12","0.006","-","0.22"
"2023/02/01","03:18","-0.002","-","0.24"
"2023/02/01","03:24","-0.01","-","0.3"
"2023/02/01","03:30","-0.017","-","0.24"
"2023/02/01","03:36","-0.022","-","0.21"
"2023/02/01","03:42","-0.027","-","0.27"
"2023/02/01","03:48","-0.031","-","0.23"
"2023/02/01","03:54","-0.034","-","0.22"
"2023/02/01","04:00","-0.036","-","0.28"
"2023/02/01","04:06","-0.037","-","0.28"
"2023/02/01","04:12","-0.037","-","0.23"
"2023/02/01","04:18","-0.036","-","0.29"
"2023/02/01","04:24","-0.033","-","0.26"
"2023/02/01","04:30","-0.029","-","0.26"
"2023/02/01","04:36","-0.024","-","0.31"
"2023/02/01","04:42","-0.018","-","0.28"
"2023/02/01","04:48","-0.01","-","0.32"
"2023/02/01","04:54","-0.002","-","0.3"
"2023/02/01","05:00","0.008","-","0.31"
"2023/02/01","05:06","0.02","-","0.33"
"2023/02/01","05:12","0.033","-","0.32"
"2023/02/01","05:18","0.047","-","0.36"
"2023/02/01","05:24","0.062","-","0.38"
"2023/02/01","05:30","0.078","-","0.35"
"2023/02/01","05:36","0.096","-","0.36"
"2023/02/01","05:42","0.115","-","0.42"
"2023/02/01","05:48","0.136","-","0.44"
"2023/02/01","05:54","0.157","-","0.42"
"2023/02/01","06:00","0.18","-","0.43"
"2023/02/01","06:06","0.203","-","0.48"
"2023/02/01","06:12","0.228","-","0.53"
"2023/02/01","06:18","0.254","-","0.48"
"2023/02/01","06:24","0.281","-","0.51"
"2023/02/01","06:30","0.309","-","0.54"
"2023/02/01","06:36","0.338","-","0.56"
"2023/02/01","06:42","0.368","-","0.56"
"2023/02/01","06:48","0.399","-","0.59"
"2023/02/01","06:54","0.43","-","0.64"
"2023/02/01","07:00","0.463","-","0.65"
"2023/02/01","07:06","0.496","-","0.67"
"2023/02/01","07:12","0.53","-","0.68"
"2023/02/01","07:18","0.564","-","0.73"
"2023/02/01","07:24","0.599","-","0.72"
"2023/02/01","07:30","0.635","-","0.77"
"2023/02/01","07:36","0.671","-","0.86"
"2023/02/01","07:42","0.708","-","0.86"
"2023/02/01","07:48","0.745","-","0.89"
"2023/02/01","07:54","0.783","-","0.95"
"2023/02/01","08:00","0.821","-","0.98"
"2023/02/01","08:06","0.859","-","0.99"
"2023/02/01","08:12","0.898","-","1"
"2023/02/01","08:18","0.937","-","1.07"
"2023/02/01","08:24","0.975","-","1.12"
"2023/02/01","08:30","1.015","-","1.13"
"2023/02/01","08:36","1.054","-","1.19"
"2023/02/01","08:42","1.093","-","1.23"
