date_time,site,variable,value
2022-10-10T00:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.6
2022-10-10T00:00:00Z,Kalauhaihai,temp_celsius,26.36
2022-10-10T00:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.59
2022-10-10T00:10:00Z,Kalauhaihai,temp_celsius,26.36
2022-10-10T00:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.75
2022-10-10T00:20:00Z,Kalauhaihai,temp_celsius,26.36
2022-10-10T00:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.64
2022-10-10T00:30:00Z,Kalauhaihai,temp_celsius,26.34
2022-10-10T00:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.71
2022-10-10T00:40:00Z,Kalauhaihai,temp_celsius,26.32
2022-10-10T00:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.65
2022-10-10T00:50:00Z,Kalauhaihai,temp_celsius,26.3
2022-10-10T01:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.55
2022-10-10T01:00:00Z,Kalauhaihai,temp_celsius,26.28
2022-10-10T01:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.62
2022-10-10T01:10:00Z,Kalauhaihai,temp_celsius,26.28
2022-10-10T01:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.47
2022-10-10T01:20:00Z,Kalauhaihai,temp_celsius,26.26
2022-10-10T01:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.57
2022-10-10T01:30:00Z,Kalauhaihai,temp_celsius,26.24
2022-10-10T01:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.47
2022-10-10T01:40:00Z,Kalauhaihai,temp_celsius,26.22
2022-10-10T01:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.66
2022-10-10T01:50:00Z,Kalauhaihai,temp_celsius,26.22
2022-10-10T02:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.6
2022-10-10T02:00:00Z,Kalauhaihai,temp_celsius,26.2
2022-10-10T02:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T02:10:00Z,Kalauhaihai,temp_celsius,26.18
2022-10-10T02:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.43
2022-10-10T02:20:00Z,Kalauhaihai,temp_celsius,26.16
2022-10-10T02:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.45
2022-10-10T02:30:00Z,Kalauhaihai,temp_celsius,26.14
2022-10-10T02:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.38
2022-10-10T02:40:00Z,Kalauhaihai,temp_celsius,26.12
2022-10-10T02:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.3
2022-10-10T02:50:00Z,Kalauhaihai,temp_celsius,26.12
2022-10-10T03:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.57
2022-10-10T03:00:00Z,Kalauhaihai,temp_celsius,26.1
2022-10-10T03:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.67
2022-10-10T03:10:00Z,Kalauhaihai,temp_celsius,26.08
2022-10-10T03:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.54
2022-10-10T03:20:00Z,Kalauhaihai,temp_celsius,26.06
2022-10-10T03:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.65
2022-10-10T03:30:00Z,Kalauhaihai,temp_celsius,26.04
2022-10-10T03:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.64
2022-10-10T03:40:00Z,Kalauhaihai,temp_celsius,26.02
2022-10-10T03:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.58
2022-10-10T03:50:00Z,Kalauhaihai,temp_celsius,26.02
2022-10-10T04:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.56
2022-10-10T04:00:00Z,Kalauhaihai,temp_celsius,26
2022-10-10T04:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.64
2022-10-10T04:10:00Z,Kalauhaihai,temp_celsius,25.98
2022-10-10T04:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.65
2022-10-10T04:20:00Z,Kalauhaihai,temp_celsius,25.96
2022-10-10T04:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.56
2022-10-10T04:30:00Z,Kalauhaihai,temp_celsius,25.96
2022-10-10T04:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.55
2022-10-10T04:40:00Z,Kalauhaihai,temp_celsius,25.94
2022-10-10T04:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T04:50:00Z,Kalauhaihai,temp_celsius,25.92
2022-10-10T05:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.66
2022-10-10T05:00:00Z,Kalauhaihai,temp_celsius,25.9
2022-10-10T05:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.54
2022-10-10T05:10:00Z,Kalauhaihai,temp_celsius,25.9
2022-10-10T05:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.6
2022-10-10T05:20:00Z,Kalauhaihai,temp_celsius,25.88
2022-10-10T05:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.6
2022-10-10T05:30:00Z,Kalauhaihai,temp_celsius,25.88
2022-10-10T05:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.63
2022-10-10T05:40:00Z,Kalauhaihai,temp_celsius,25.86
2022-10-10T05:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.41
2022-10-10T05:50:00Z,Kalauhaihai,temp_celsius,25.84
2022-10-10T06:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.52
2022-10-10T06:00:00Z,Kalauhaihai,temp_celsius,25.84
2022-10-10T06:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.31
2022-10-10T06:10:00Z,Kalauhaihai,temp_celsius,25.82
2022-10-10T06:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.44
2022-10-10T06:20:00Z,Kalauhaihai,temp_celsius,25.8
2022-10-10T06:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.65
2022-10-10T06:30:00Z,Kalauhaihai,temp_celsius,25.8
2022-10-10T06:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.4
2022-10-10T06:40:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T06:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.37
2022-10-10T06:50:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T07:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.45
2022-10-10T07:00:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T07:10:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.59
2022-10-10T07:20:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T07:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.53
2022-10-10T07:30:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.42
2022-10-10T07:40:00Z,Kalauhaihai,temp_celsius,25.76
2022-10-10T07:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.56
2022-10-10T07:50:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.51
2022-10-10T08:00:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.45
2022-10-10T08:10:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.33
2022-10-10T08:20:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T08:30:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.41
2022-10-10T08:30:00Z,Kalauhaihai,temp_celsius,25.72
2022-10-10T08:40:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.38
2022-10-10T08:40:00Z,Kalauhaihai,temp_celsius,25.72
2022-10-10T08:50:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.71
2022-10-10T08:50:00Z,Kalauhaihai,temp_celsius,25.74
2022-10-10T09:00:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.75
2022-10-10T09:00:00Z,Kalauhaihai,temp_celsius,25.78
2022-10-10T09:10:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.27
2022-10-10T09:10:00Z,Kalauhaihai,temp_celsius,25.82
2022-10-10T09:20:00Z,Kalauhaihai,dissolved_oxygen_mg_l,0.38
2022-10-10T09:20:00Z,Kalauhaihai,temp_celsius,25.84
