date_time,site,variable,value
2022-04-07T06:00:00Z,Kalauhaihai,temp_celsius,21.33
2022-04-07T06:00:00Z,Kalauhaihai,mv,168.22
2022-04-07T06:00:00Z,Kalauhaihai,pH,3.74
2022-04-07T06:10:00Z,Kalauhaihai,temp_celsius,21.33
2022-04-07T06:10:00Z,Kalauhaihai,mv,168.21
2022-04-07T06:10:00Z,Kalauhaihai,pH,3.74
2022-04-07T06:20:00Z,Kalauhaihai,temp_celsius,21.26
2022-04-07T06:20:00Z,Kalauhaihai,mv,168.21
2022-04-07T06:20:00Z,Kalauhaihai,pH,3.74
2022-04-07T06:30:00Z,Kalauhaihai,temp_celsius,21.16
2022-04-07T06:30:00Z,Kalauhaihai,mv,168.21
2022-04-07T06:30:00Z,Kalauhaihai,pH,3.74
2022-04-07T06:40:00Z,Kalauhaihai,temp_celsius,21.11
2022-04-07T06:40:00Z,Kalauhaihai,mv,168.21
2022-04-07T06:40:00Z,Kalauhaihai,pH,3.74
2022-04-07T06:50:00Z,Kalauhaihai,temp_celsius,21.11
2022-04-07T06:50:00Z,Kalauhaihai,mv,168.21
2022-04-07T06:50:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:00:00Z,Kalauhaihai,temp_celsius,21.14
2022-04-07T07:00:00Z,Kalauhaihai,mv,168.21
2022-04-07T07:00:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:10:00Z,Kalauhaihai,temp_celsius,21.14
2022-04-07T07:10:00Z,Kalauhaihai,mv,168.19
2022-04-07T07:10:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:20:00Z,Kalauhaihai,temp_celsius,21.16
2022-04-07T07:20:00Z,Kalauhaihai,mv,168.19
2022-04-07T07:20:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:30:00Z,Kalauhaihai,temp_celsius,21.16
2022-04-07T07:30:00Z,Kalauhaihai,mv,168.19
2022-04-07T07:30:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:40:00Z,Kalauhaihai,temp_celsius,21.19
2022-04-07T07:40:00Z,Kalauhaihai,mv,168.19
2022-04-07T07:40:00Z,Kalauhaihai,pH,3.74
2022-04-07T07:50:00Z,Kalauhaihai,temp_celsius,21.21
2022-04-07T07:50:00Z,Kalauhaihai,mv,168.19
2022-04-07T07:50:00Z,Kalauhaihai,pH,3.74
2022-04-07T08:00:00Z,Kalauhaihai,temp_celsius,21.23
2022-04-07T08:00:00Z,Kalauhaihai,mv,168.18
2022-04-07T08:00:00Z,Kalauhaihai,pH,3.74
2022-04-07T08:10:00Z,Kalauhaihai,temp_celsius,21.16
2022-04-07T08:10:00Z,Kalauhaihai,mv,168.18
2022-04-07T08:10:00Z,Kalauhaihai,pH,3.74
2022-04-07T08:20:00Z,Kalauhaihai,temp_celsius,21.14
2022-04-07T08:20:00Z,Kalauhaihai,mv,168.04
2022-04-07T08:20:00Z,Kalauhaihai,pH,3.74
2022-04-07T08:30:00Z,Kalauhaihai,temp_celsius,21.38
2022-04-07T08:30:00Z,Kalauhaihai,mv,168.19
2022-04-07T08:30:00Z,Kalauhaihai,pH,3.74
2022-04-07T08:40:00Z,Kalauhaihai,temp_celsius,21.81
2022-04-07T08:40:00Z,Kalauhaihai,mv,168.41
2022-04-07T08:40:00Z,Kalauhaihai,pH,3.74
