"Plot Title: 21415543"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 21415543, SEN S/N: 21415543)","High Range, μS/cm (LGR S/N: 21415543, SEN S/N: 21415543)","Temp, °C (LGR S/N: 21415543, SEN S/N: 21415543)","Coupler Detached (LGR S/N: 21415543)","Coupler Attached (LGR S/N: 21415543)","Host Connected (LGR S/N: 21415543)","Stopped (LGR S/N: 21415543)","End Of File (LGR S/N: 21415543)"
1,02/09/23 01:00:00,0.0,0.0,22.35,Logged,,,,
2,02/09/23 01:10:00,0.0,0.0,22.36,,,,,
3,02/09/23 01:20:00,0.0,0.0,22.36,,,,,
4,02/09/23 01:30:00,0.0,0.0,22.38,,,,,
5,02/09/23 01:40:00,0.0,0.0,22.39,,,,,
6,02/09/23 01:50:00,0.0,0.0,22.40,,,,,
7,02/09/23 02:00:00,0.0,0.0,22.40,,,,,
8,02/09/23 02:10:00,0.0,0.0,22.41,,,,,
9,02/09/23 02:20:00,0.0,0.0,22.43,,,,,
10,02/09/23 02:30:00,0.0,0.0,22.43,,,,,
11,02/09/23 02:40:00,0.0,0.0,22.45,,,,,
12,02/09/23 02:50:00,0.0,0.0,22.38,,,,,
13,02/09/23 03:00:00,0.0,0.0,22.34,,,,,
14,02/09/23 03:10:00,0.0,0.0,22.34,,,,,
15,02/09/23 03:20:00,0.0,0.0,22.38,,,,,
16,02/09/23 03:30:00,0.0,0.0,22.38,,,,,
17,02/09/23 03:40:00,0.0,0.0,22.39,,,,,
18,02/09/23 03:50:00,0.0,0.0,22.40,,,,,
19,02/09/23 04:00:00,0.0,0.0,22.43,,,,,
20,02/09/23 04:10:00,0.0,0.0,22.43,,,,,
21,02/09/23 04:20:00,0.0,0.0,22.44,,,,,
22,02/09/23 04:30:00,0.0,0.0,22.44,,,,,
23,02/09/23 04:40:00,0.0,0.0,22.33,,,,,
24,02/09/23 04:50:00,0.0,0.0,22.30,,,,,
25,02/09/23 05:00:00,0.0,0.0,22.31,,,,,
26,02/09/23 05:10:00,0.0,0.0,22.33,,,,,
27,02/09/23 05:20:00,0.0,0.0,22.33,,,,,
28,02/09/23 05:30:00,0.0,0.0,22.33,,,,,
29,02/09/23 05:40:00,0.0,0.0,22.34,,,,,
30,02/09/23 05:50:00,0.0,0.0,22.34,,,,,
31,02/09/23 06:00:00,0.0,0.0,22.34,,,,,
32,02/09/23 06:10:00,0.0,0.0,22.34,,,,,
33,02/09/23 06:20:00,0.0,0.0,22.35,,,,,
34,02/09/23 06:30:00,0.0,0.0,22.34,,,,,
35,02/09/23 06:40:00,0.0,0.0,22.35,,,,,
36,02/09/23 06:50:00,0.0,0.0,22.34,,,,,
37,02/09/23 07:00:00,0.0,0.0,22.34,,,,,
38,02/09/23 07:10:00,0.0,0.0,22.31,,,,,
39,02/09/23 07:20:00,0.0,0.0,22.23,,,,,
40,02/09/23 07:30:00,0.0,0.0,22.22,,,,,
41,02/09/23 07:40:00,0.0,0.0,22.22,,,,,
42,02/09/23 07:50:00,0.0,0.0,22.23,,,,,
43,02/09/23 08:00:00,0.0,0.0,22.24,,,,,
44,02/09/23 08:10:00,0.0,0.0,22.22,,,,,
45,02/09/23 08:20:00,0.0,0.0,22.14,,,,,
46,02/09/23 08:30:00,0.0,0.0,22.14,,,,,
47,02/09/23 08:40:00,0.0,0.0,22.15,,,,,
48,02/09/23 08:50:00,0.0,0.0,22.17,,,,,
49,02/09/23 09:00:00,0.0,0.0,22.20,,,,,
50,02/09/23 09:10:00,0.0,0.0,22.15,,,,,
51,02/09/23 09:20:00,0.0,0.0,22.12,,,,,
52,02/09/23 09:30:00,0.0,0.0,22.14,,,,,
53,02/09/23 09:40:00,0.0,0.0,22.19,,,,,
54,02/09/23 09:50:00,0.0,0.0,22.22,,,,,
55,02/09/23 10:00:00,0.0,0.0,22.17,,,,,
56,02/09/23 10:10:00,0.0,0.0,22.18,,,,,
57,02/09/23 10:20:00,0.0,0.0,22.24,,,,,
58,02/09/23 10:30:00,0.0,0.0,22.29,,,,,
59,02/09/23 10:40:00,0.0,0.0,22.24,,,,,
60,02/09/23 10:50:00,0.0,0.0,22.27,,,,,
61,02/09/23 11:00:00,0.0,0.0,22.31,,,,,
62,02/09/23 11:10:00,0.0,0.0,22.28,,,,,
63,02/09/23 11:20:00,0.0,0.0,22.28,,,,,
64,02/09/23 11:30:00,0.0,0.0,22.33,,,,,
65,02/09/23 11:40:00,0.0,0.0,22.27,,,,,
66,02/09/23 11:50:00,0.0,0.0,22.28,,,,,
67,02/09/23 12:00:00,0.0,0.0,22.34,,,,,
68,02/09/23 12:10:00,0.0,0.0,22.36,,,,,
69,02/09/23 12:20:00,0.0,0.0,22.34,,,,,
70,02/09/23 12:30:00,0.0,0.0,22.49,,,,,
71,02/09/23 12:40:00,0.0,0.0,22.54,,,,,
72,02/09/23 12:50:00,0.0,0.0,22.48,,,,,
73,02/09/23 13:00:00,0.0,0.0,22.54,,,,,
74,02/09/23 13:10:00,0.0,0.0,22.59,,,,,
75,02/09/23 13:20:00,0.0,0.0,22.66,,,,,
76,02/09/23 13:30:00,0.0,0.0,22.64,,,,,
77,02/09/23 13:40:00,0.0,0.0,22.70,,,,,
78,02/09/23 13:50:00,0.0,0.0,22.76,,,,,
79,02/09/23 14:00:00,0.0,0.0,22.73,,,,,
80,02/09/23 14:10:00,0.0,0.0,22.75,,,,,
