"Plot Title: 21415544"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 21415544, SEN S/N: 21415544)","Temp, °C (LGR S/N: 21415544, SEN S/N: 21415544)","Coupler Detached (LGR S/N: 21415544)","Coupler Attached (LGR S/N: 21415544)","Host Connected (LGR S/N: 21415544)","Stopped (LGR S/N: 21415544)","End Of File (LGR S/N: 21415544)"
1,02/09/23 01:00:00,0.0,24.65,Logged,,,,
2,02/09/23 01:10:00,0.0,24.61,,,,,
3,02/09/23 01:20:00,0.0,24.57,,,,,
4,02/09/23 01:30:00,0.0,24.53,,,,,
5,02/09/23 01:40:00,0.0,24.49,,,,,
6,02/09/23 01:50:00,0.0,24.44,,,,,
7,02/09/23 02:00:00,0.0,24.42,,,,,
8,02/09/23 02:10:00,0.0,24.38,,,,,
9,02/09/23 02:20:00,0.0,24.35,,,,,
10,02/09/23 02:30:00,0.0,24.31,,,,,
11,02/09/23 02:40:00,0.0,24.27,,,,,
12,02/09/23 02:50:00,0.0,24.25,,,,,
13,02/09/23 03:00:00,0.0,24.21,,,,,
14,02/09/23 03:10:00,0.0,24.18,,,,,
15,02/09/23 03:20:00,0.0,24.16,,,,,
16,02/09/23 03:30:00,0.0,24.13,,,,,
17,02/09/23 03:40:00,0.0,24.09,,,,,
18,02/09/23 03:50:00,0.0,24.08,,,,,
19,02/09/23 04:00:00,0.0,24.06,,,,,
20,02/09/23 04:10:00,0.0,24.02,,,,,
21,02/09/23 04:20:00,0.0,23.99,,,,,
22,02/09/23 04:30:00,0.0,23.96,,,,,
23,02/09/23 04:40:00,0.0,23.94,,,,,
24,02/09/23 04:50:00,0.0,23.90,,,,,
25,02/09/23 05:00:00,0.0,23.87,,,,,
26,02/09/23 05:10:00,0.0,23.84,,,,,
27,02/09/23 05:20:00,0.0,23.81,,,,,
28,02/09/23 05:30:00,0.0,23.77,,,,,
29,02/09/23 05:40:00,0.0,23.73,,,,,
30,02/09/23 05:50:00,0.0,23.68,,,,,
31,02/09/23 06:00:00,0.0,23.64,,,,,
32,02/09/23 06:10:00,0.0,23.60,,,,,
33,02/09/23 06:20:00,0.0,23.55,,,,,
34,02/09/23 06:30:00,0.0,23.50,,,,,
35,02/09/23 06:40:00,0.0,23.47,,,,,
36,02/09/23 06:50:00,0.0,23.42,,,,,
37,02/09/23 07:00:00,0.0,23.38,,,,,
38,02/09/23 07:10:00,0.0,23.33,,,,,
39,02/09/23 07:20:00,0.0,23.29,,,,,
40,02/09/23 07:30:00,0.0,23.26,,,,,
41,02/09/23 07:40:00,0.0,23.22,,,,,
42,02/09/23 07:50:00,0.0,23.19,,,,,
43,02/09/23 08:00:00,0.0,23.15,,,,,
44,02/09/23 08:10:00,0.0,23.13,,,,,
45,02/09/23 08:20:00,0.0,23.10,,,,,
46,02/09/23 08:30:00,0.0,23.08,,,,,
47,02/09/23 08:40:00,0.0,23.05,,,,,
48,02/09/23 08:50:00,0.0,23.05,,,,,
49,02/09/23 09:00:00,0.0,23.05,,,,,
50,02/09/23 09:10:00,0.0,23.06,,,,,
51,02/09/23 09:20:00,0.0,24.02,,,,,
52,02/09/23 09:30:00,0.0,24.88,,,,,
53,02/09/23 09:40:00,0.0,25.19,,,,,
54,02/09/23 09:50:00,0.0,25.68,,,,,
55,02/09/23 10:00:00,0.0,27.38,,,,,
56,02/09/23 10:10:00,0.0,27.72,,,,,
57,02/09/23 10:20:00,4222.4,22.62,,,,,
58,02/09/23 10:30:00,4168.4,22.59,,,,,
59,02/09/23 10:40:00,4144.4,22.59,,,,,
60,02/09/23 10:50:00,4135.3,22.69,,,,,
61,02/09/23 11:00:00,4124.9,22.61,,,,,
62,02/09/23 11:10:00,4118.4,22.66,,,,,
63,02/09/23 11:20:00,4121.0,22.70,,,,,
64,02/09/23 11:30:00,4115.1,22.69,,,,,
65,02/09/23 11:40:00,4110.6,22.66,,,,,
66,02/09/23 11:50:00,4108.0,22.68,,,,,
67,02/09/23 12:00:00,4111.9,22.70,,,,,
68,02/09/23 12:10:00,4106.0,22.71,,,,,
69,02/09/23 12:20:00,4107.3,22.75,,,,,
70,02/09/23 12:30:00,4106.7,22.74,,,,,
