Date	Time	Low Range (μS/cm) c:1 3	High Range (μS/cm) c:1 3	Temp (°C) c:3	Coupler Detached	Coupler Attached	Host Connected	Stopped	End Of File
06-10-22	04:00:00	0.0	0.0	26.13	Logged				
06-10-22	04:10:00	0.0	0.0	26.09					
06-10-22	04:20:00	0.0	0.0	26.06					
06-10-22	04:30:00	0.0	0.0	26.02					
06-10-22	04:40:00	0.0	0.0	25.99					
06-10-22	04:50:00	0.0	0.0	25.97					
06-10-22	05:00:00	0.0	0.0	25.94					
06-10-22	05:10:00	0.0	0.0	25.91					
06-10-22	05:20:00	0.0	0.0	25.87					
06-10-22	05:30:00	0.0	0.0	25.81					
06-10-22	05:40:00	0.0	0.0	25.76					
06-10-22	05:50:00	0.0	0.0	25.71					
06-10-22	06:00:00	0.0	0.0	25.69					
06-10-22	06:10:00	0.0	0.0	25.67					
06-10-22	06:20:00	0.0	0.0	25.65					
06-10-22	06:30:00	0.0	0.0	25.62					
06-10-22	06:40:00	0.0	0.0	25.61					
06-10-22	06:50:00	0.0	0.0	25.60					
06-10-22	07:00:00	0.0	0.0	25.60					
06-10-22	07:10:00	0.0	0.0	25.60					
06-10-22	07:20:00	0.0	0.0	25.62					
06-10-22	07:30:00	0.0	0.0	25.65					
06-10-22	07:40:00	0.0	0.0	25.67					
06-10-22	07:50:00	0.0	0.0	25.67					
06-10-22	08:00:00	0.0	0.0	25.71					
06-10-22	08:10:00	0.0	0.0	26.08					
06-10-22	08:20:00	0.0	0.0	26.12					
06-10-22	08:30:00	0.0	0.0	26.17					
06-10-22	08:40:00	0.0	0.0	26.28					
06-10-22	08:50:00	0.0	0.0	26.39					
06-10-22	09:00:00	0.0	0.0	26.85					
06-10-22	09:10:00	0.0	0.0	28.33					
06-10-22	09:20:00	0.0	0.0	30.73					
06-10-22	09:30:00	0.0	0.0	34.24					
06-10-22	09:40:00	0.0	0.0	33.65					
06-10-22	09:50:00	0.0	0.0	33.15					
06-10-22	10:00:00	2,594.6	2,611.4	27.12					
