"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Coupler Detached (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,02/09/23 01:00:00,8.59,23.36,,,,,
2,02/09/23 01:10:00,8.58,23.42,,,,,
3,02/09/23 01:20:00,8.57,23.48,,,,,
4,02/09/23 01:30:00,8.57,23.52,,,,,
5,02/09/23 01:40:00,8.56,23.56,,,,,
6,02/09/23 01:50:00,8.54,23.60,,,,,
7,02/09/23 02:00:00,8.55,23.64,,,,,
8,02/09/23 02:10:00,8.55,23.66,,,,,
9,02/09/23 02:20:00,8.53,23.70,,,,,
10,02/09/23 02:30:00,8.54,23.74,,,,,
11,02/09/23 02:40:00,8.52,23.76,,,,,
12,02/09/23 02:50:00,8.53,23.76,,,,,
13,02/09/23 03:00:00,8.55,23.62,,,,,
14,02/09/23 03:10:00,8.56,23.42,,,,,
15,02/09/23 03:20:00,8.60,23.20,,,,,
16,02/09/23 03:30:00,8.64,22.98,,,,,
17,02/09/23 03:40:00,8.67,22.78,,,,,
18,02/09/23 03:50:00,8.69,22.72,,,,,
19,02/09/23 04:00:00,8.68,22.74,,,,,
20,02/09/23 04:10:00,8.67,22.78,,,,,
21,02/09/23 04:20:00,8.67,22.84,,,,,
22,02/09/23 04:30:00,8.66,22.90,,,,,
23,02/09/23 04:40:00,8.65,22.98,,,,,
24,02/09/23 04:50:00,8.64,23.06,,,,,
25,02/09/23 05:00:00,8.63,23.14,,,,,
26,02/09/23 05:10:00,8.62,23.22,,,,,
27,02/09/23 05:20:00,8.59,23.30,,,,,
28,02/09/23 05:30:00,8.59,23.36,,,,,
29,02/09/23 05:40:00,8.57,23.44,,,,,
30,02/09/23 05:50:00,8.57,23.50,,,,,
31,02/09/23 06:00:00,8.55,23.56,,,,,
32,02/09/23 06:10:00,8.54,23.60,,,,,
33,02/09/23 06:20:00,8.55,23.62,,,,,
34,02/09/23 06:30:00,8.55,23.62,,,,,
35,02/09/23 06:40:00,8.56,23.60,,,,,
36,02/09/23 06:50:00,8.56,23.60,,,,,
37,02/09/23 07:00:00,8.56,23.58,,,,,
38,02/09/23 07:10:00,8.56,23.58,,,,,
39,02/09/23 07:20:00,8.57,23.56,,,,,
40,02/09/23 07:30:00,8.56,23.54,,,,,
41,02/09/23 07:40:00,8.57,23.54,,,,,
42,02/09/23 07:50:00,8.57,23.52,,,,,
43,02/09/23 08:00:00,8.58,23.52,,,,,
44,02/09/23 08:10:00,8.56,23.54,,,,,
45,02/09/23 08:20:00,8.55,23.60,,,,,
46,02/09/23 08:30:00,8.57,23.64,,,,,
47,02/09/23 08:40:00,8.56,23.68,,,,,
48,02/09/23 08:50:00,8.54,23.70,,,,,
49,02/09/23 09:00:00,8.53,23.72,,,,,
50,02/09/23 09:10:00,8.54,23.76,,,,,
51,02/09/23 09:20:00,8.54,23.78,,,,,
52,02/09/23 09:30:00,8.53,23.80,,,,,
53,02/09/23 09:40:00,8.53,23.84,,,,,
54,02/09/23 09:50:00,8.51,23.86,,,,,
55,02/09/23 10:00:00,8.52,23.88,,,,,
56,02/09/23 10:10:00,8.52,23.92,,,,,
57,02/09/23 10:20:00,8.51,23.94,,,,,
58,02/09/23 10:30:00,8.51,23.94,,,,,
59,02/09/23 10:40:00,8.53,23.78,,,,,
