"Plot Title: 21515403_04112023"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,02/09/23 01:00:00,8.74,24.60,,,,,
2,02/09/23 01:10:00,8.76,24.56,,,,,
3,02/09/23 01:20:00,8.77,24.52,,,,,
4,02/09/23 01:30:00,8.77,24.46,,,,,
5,02/09/23 01:40:00,8.77,24.42,,,,,
6,02/09/23 01:50:00,8.77,24.40,,,,,
7,02/09/23 02:00:00,8.78,24.34,,,,,
8,02/09/23 02:10:00,8.79,24.32,,,,,
9,02/09/23 02:20:00,8.79,24.28,,,,,
10,02/09/23 02:30:00,8.80,24.24,,,,,
11,02/09/23 02:40:00,8.79,24.22,,,,,
12,02/09/23 02:50:00,8.80,24.18,,,,,
13,02/09/23 03:00:00,8.80,24.16,,,,,
14,02/09/23 03:10:00,8.81,24.12,,,,,
15,02/09/23 03:20:00,8.82,24.10,,,,,
16,02/09/23 03:30:00,8.82,24.06,,,,,
17,02/09/23 03:40:00,8.83,24.04,,,,,
18,02/09/23 03:50:00,8.83,24.00,,,,,
19,02/09/23 04:00:00,8.85,23.98,,,,,
20,02/09/23 04:10:00,8.85,23.94,,,,,
21,02/09/23 04:20:00,8.85,23.90,,,,,
22,02/09/23 04:30:00,8.86,23.86,,,,,
23,02/09/23 04:40:00,8.86,23.80,,,,,
24,02/09/23 04:50:00,8.87,23.76,,,,,
25,02/09/23 05:00:00,8.88,23.70,,,,,
26,02/09/23 05:10:00,8.89,23.64,,,,,
27,02/09/23 05:20:00,8.89,23.60,,,,,
28,02/09/23 05:30:00,8.91,23.54,,,,,
29,02/09/23 05:40:00,8.92,23.48,,,,,
30,02/09/23 05:50:00,8.94,23.42,,,,,
31,02/09/23 06:00:00,8.95,23.36,,,,,
32,02/09/23 06:10:00,8.96,23.30,,,,,
33,02/09/23 06:20:00,8.96,23.24,,,,,
34,02/09/23 06:30:00,8.97,23.20,,,,,
35,02/09/23 06:40:00,8.98,23.14,,,,,
36,02/09/23 06:50:00,8.99,23.10,,,,,
37,02/09/23 07:00:00,9.00,23.08,,,,,
38,02/09/23 07:10:00,9.00,23.04,,,,,
39,02/09/23 07:20:00,9.00,23.00,,,,,
40,02/09/23 07:30:00,9.01,22.98,,,,,
41,02/09/23 07:40:00,9.02,22.94,,,,,
42,02/09/23 07:50:00,9.02,22.90,,,,,
43,02/09/23 08:00:00,9.04,22.88,,,,,
44,02/09/23 08:10:00,9.04,22.84,,,,,
45,02/09/23 08:20:00,9.05,22.82,,,,,
46,02/09/23 08:30:00,9.05,22.78,,,,,
47,02/09/23 08:40:00,9.06,22.78,,,,,
48,02/09/23 08:50:00,9.06,22.76,,,,,
49,02/09/23 09:00:00,9.09,22.84,,,,,
50,02/09/23 09:10:00,9.07,23.08,,,,,
51,02/09/23 09:20:00,8.91,23.90,,,,,
52,02/09/23 09:30:00,8.77,24.62,,,,,
53,02/09/23 09:40:00,8.71,24.94,,,,,
54,02/09/23 09:50:00,8.64,25.36,,,,,
55,02/09/23 10:00:00,8.32,27.28,,,,,
56,02/09/23 10:10:00,8.21,28.16,,,,,
57,02/09/23 10:20:00,6.20,23.98,,,,,
58,02/09/23 10:30:00,6.59,22.40,,,,,
59,02/09/23 10:40:00,6.66,22.16,,,,,
60,02/09/23 10:50:00,6.79,22.14,,,,,
61,02/09/23 11:00:00,6.85,22.14,,,,,
62,02/09/23 11:10:00,6.85,22.14,,,,,
63,02/09/23 11:20:00,6.87,22.16,,,,,
64,02/09/23 11:30:00,6.75,22.18,,,,,
65,02/09/23 11:40:00,6.83,22.18,,,,,
66,02/09/23 11:50:00,6.45,22.20,,,,,
67,02/09/23 12:00:00,6.78,22.22,,,,,
68,02/09/23 12:10:00,6.93,22.22,,,,,
69,02/09/23 12:20:00,7.04,22.24,,,,,
70,02/09/23 12:30:00,7.19,22.26,,,,,
71,02/09/23 12:40:00,7.15,22.26,,,,,
72,02/09/23 12:50:00,7.37,22.32,,,,,
73,02/09/23 13:00:00,7.04,22.34,,,,,
74,02/09/23 13:10:00,7.32,22.36,,,,,
75,02/09/23 13:20:00,7.38,22.36,,,,,
76,02/09/23 13:30:00,7.42,22.36,,,,,
77,02/09/23 13:40:00,7.38,22.50,,,,,
78,02/09/23 13:50:00,7.44,22.64,,,,,
79,02/09/23 14:00:00,7.40,22.68,,,,,
80,02/09/23 14:10:00,7.48,22.70,,,,,
81,02/09/23 14:20:00,7.50,22.82,,,,,
82,02/09/23 14:30:00,7.55,22.84,,,,,
83,02/09/23 14:40:00,7.48,22.96,,,,,
84,02/09/23 14:50:00,7.52,22.96,,,,,
85,02/09/23 15:00:00,7.69,22.72,,,,,
86,02/09/23 15:10:00,7.60,22.72,,,,,
87,02/09/23 15:20:00,7.71,22.70,,,,,
88,02/09/23 15:30:00,7.63,22.66,,,,,
89,02/09/23 15:40:00,7.76,22.60,,,,,
90,02/09/23 15:50:00,7.75,22.58,,,,,
91,02/09/23 16:00:00,7.81,22.56,,,,,
92,02/09/23 16:10:00,7.91,22.54,,,,,
93,02/09/23 16:20:00,7.91,22.54,,,,,
94,02/09/23 16:30:00,7.95,22.54,,,,,
95,02/09/23 16:40:00,7.88,22.54,,,,,
96,02/09/23 16:50:00,7.88,22.52,,,,,
97,02/09/23 17:00:00,7.85,22.50,,,,,
98,02/09/23 17:10:00,7.80,22.48,,,,,
99,02/09/23 17:20:00,7.75,22.48,,,,,
100,02/09/23 17:30:00,7.69,22.46,,,,,
101,02/09/23 17:40:00,7.62,22.46,,,,,
102,02/09/23 17:50:00,7.59,22.44,,,,,
103,02/09/23 18:00:00,7.59,22.42,,,,,
104,02/09/23 18:10:00,7.71,22.40,,,,,
105,02/09/23 18:20:00,7.63,22.38,,,,,
106,02/09/23 18:30:00,7.57,22.36,,,,,
107,02/09/23 18:40:00,7.58,22.36,,,,,
108,02/09/23 18:50:00,7.50,22.34,,,,,
109,02/09/23 19:00:00,7.33,22.34,,,,,
110,02/09/23 19:10:00,7.21,22.32,,,,,
111,02/09/23 19:20:00,7.21,22.30,,,,,
112,02/09/23 19:30:00,7.20,22.28,,,,,
113,02/09/23 19:40:00,7.21,22.26,,,,,
114,02/09/23 19:50:00,7.09,22.26,,,,,
115,02/09/23 20:00:00,7.14,22.24,,,,,
116,02/09/23 20:10:00,7.06,22.22,,,,,
117,02/09/23 20:20:00,7.01,22.22,,,,,
118,02/09/23 20:30:00,7.00,22.22,,,,,
