"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,04/28/23 01:00:00,8.70,22.42,,,,,
2,04/28/23 01:10:00,8.71,22.36,,,,,
3,04/28/23 01:20:00,8.74,22.32,,,,,
4,04/28/23 01:30:00,8.75,22.30,,,,,
5,04/28/23 01:40:00,8.75,22.30,,,,,
6,04/28/23 01:50:00,8.76,22.32,,,,,
7,04/28/23 02:00:00,8.75,22.34,,,,,
8,04/28/23 02:10:00,8.74,22.38,,,,,
9,04/28/23 02:20:00,8.72,22.40,,,,,
10,04/28/23 02:30:00,8.72,22.44,,,,,
11,04/28/23 02:40:00,8.72,22.48,,,,,
12,04/28/23 02:50:00,8.71,22.50,,,,,
13,04/28/23 03:00:00,8.71,22.54,,,,,
14,04/28/23 03:10:00,8.70,22.56,,,,,
15,04/28/23 03:20:00,8.69,22.58,,,,,
16,04/28/23 03:30:00,8.69,22.62,,,,,
17,04/28/23 03:40:00,8.68,22.64,,,,,
18,04/28/23 03:50:00,8.68,22.68,,,,,
19,04/28/23 04:00:00,8.67,22.70,,,,,
20,04/28/23 04:10:00,8.66,22.74,,,,,
21,04/28/23 04:20:00,8.65,22.78,,,,,
22,04/28/23 04:30:00,8.64,22.80,,,,,
23,04/28/23 04:40:00,8.65,22.84,,,,,
24,04/28/23 04:50:00,8.64,22.88,,,,,
25,04/28/23 05:00:00,8.64,22.88,,,,,
26,04/28/23 05:10:00,8.63,22.84,,,,,
27,04/28/23 05:20:00,8.63,22.76,,,,,
28,04/28/23 05:30:00,8.66,22.64,,,,,
29,04/28/23 05:40:00,8.68,22.52,,,,,
30,04/28/23 05:50:00,8.70,22.46,,,,,
31,04/28/23 06:00:00,8.70,22.42,,,,,
32,04/28/23 06:10:00,8.72,22.40,,,,,
33,04/28/23 06:20:00,8.74,22.40,,,,,
34,04/28/23 06:30:00,8.72,22.42,,,,,
35,04/28/23 06:40:00,8.74,22.44,,,,,
36,04/28/23 06:50:00,8.72,22.48,,,,,
37,04/28/23 07:00:00,8.72,22.50,,,,,
38,04/28/23 07:10:00,8.71,22.54,,,,,
39,04/28/23 07:20:00,8.71,22.58,,,,,
40,04/28/23 07:30:00,8.70,22.60,,,,,
41,04/28/23 07:40:00,8.70,22.62,,,,,
42,04/28/23 07:50:00,8.70,22.64,,,,,
43,04/28/23 08:00:00,8.70,22.66,,,,,
44,04/28/23 08:10:00,8.68,22.70,,,,,
45,04/28/23 08:20:00,8.69,22.72,,,,,
46,04/28/23 08:30:00,8.68,22.76,,,,,
47,04/28/23 08:40:00,8.67,22.78,,,,,
48,04/28/23 08:50:00,8.67,22.82,,,,,
49,04/28/23 09:00:00,8.66,22.86,,,,,
50,04/28/23 09:10:00,8.66,22.88,,,,,
51,04/28/23 09:20:00,8.65,22.88,,,,,
52,04/28/23 09:30:00,8.65,22.82,,,,,
53,04/28/23 09:40:00,8.66,22.72,,,,,
54,04/28/23 09:50:00,8.68,22.60,,,,,
55,04/28/23 10:00:00,8.69,22.50,,,,,
56,04/28/23 10:10:00,8.72,22.44,,,,,
57,04/28/23 10:20:00,8.74,22.42,,,,,
58,04/28/23 10:30:00,8.74,22.40,,,,,
59,04/28/23 10:40:00,8.75,22.40,,,,,
60,04/28/23 10:50:00,8.75,22.44,,,,,
61,04/28/23 11:00:00,8.72,22.48,,,,,
62,04/28/23 11:10:00,8.72,22.52,,,,,
63,04/28/23 11:20:00,8.72,22.56,,,,,
64,04/28/23 11:30:00,8.70,22.60,,,,,
65,04/28/23 11:40:00,8.69,22.66,,,,,
66,04/28/23 11:50:00,8.68,22.70,,,,,
67,04/28/23 12:00:00,8.67,22.76,,,,,
68,04/28/23 12:10:00,8.67,22.80,,,,,
69,04/28/23 12:20:00,8.66,22.86,,,,,
70,04/28/23 12:30:00,8.65,22.90,,,,,
71,04/28/23 12:40:00,8.65,22.96,,,,,
72,04/28/23 12:50:00,8.63,23.00,,,,,
73,04/28/23 13:00:00,8.63,23.04,,,,,
74,04/28/23 13:10:00,8.61,23.08,,,,,
75,04/28/23 13:20:00,8.61,23.14,,,,,
76,04/28/23 13:30:00,8.56,23.22,,,,,
77,04/28/23 13:40:00,8.60,22.92,,,,,
78,04/28/23 13:50:00,8.63,22.70,,,,,
79,04/28/23 14:00:00,8.68,22.44,,,,,
80,04/28/23 14:10:00,8.74,22.18,,,,,
81,04/28/23 14:20:00,8.77,22.54,,,,,
82,04/28/23 14:30:00,8.63,24.08,,,,,
83,04/28/23 14:40:00,8.25,26.44,,,,,
