"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Expired Sensor Cap (LGR S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Coupler Detached (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,04/28/23 01:00:00,8.93,22.06,,,,,,
2,04/28/23 01:10:00,8.96,21.98,,,,,,
3,04/28/23 01:20:00,8.96,21.98,,,,,,
4,04/28/23 01:30:00,8.98,22.02,,,,,,
5,04/28/23 01:40:00,8.96,22.08,,,,,,
6,04/28/23 01:50:00,8.95,22.16,,,,,,
7,04/28/23 02:00:00,8.94,22.24,,,,,,
8,04/28/23 02:10:00,8.93,22.32,,,,,,
9,04/28/23 02:20:00,8.91,22.40,,,,,,
10,04/28/23 02:30:00,8.90,22.46,,,,,,
11,04/28/23 02:40:00,8.89,22.50,,,,,,
12,04/28/23 02:50:00,8.89,22.54,,,,,,
13,04/28/23 03:00:00,8.88,22.56,,,,,,
14,04/28/23 03:10:00,8.85,22.58,,,,,,
15,04/28/23 03:20:00,8.86,22.60,,,,,,
16,04/28/23 03:30:00,8.86,22.62,,,,,,
17,04/28/23 03:40:00,8.85,22.66,,,,,,
18,04/28/23 03:50:00,8.84,22.70,,,,,,
19,04/28/23 04:00:00,8.84,22.76,,,,,,
20,04/28/23 04:10:00,8.84,22.80,,,,,,
21,04/28/23 04:20:00,8.82,22.84,,,,,,
22,04/28/23 04:30:00,8.82,22.88,,,,,,
23,04/28/23 04:40:00,8.82,22.94,,,,,,
24,04/28/23 04:50:00,8.81,22.98,,,,,,
25,04/28/23 05:00:00,8.79,22.94,,,,,,
26,04/28/23 05:10:00,8.79,22.78,,,,,,
27,04/28/23 05:20:00,8.82,22.54,,,,,,
28,04/28/23 05:30:00,8.88,22.28,,,,,,
29,04/28/23 05:40:00,8.92,22.12,,,,,,
30,04/28/23 05:50:00,8.95,22.06,,,,,,
31,04/28/23 06:00:00,8.95,22.08,,,,,,
32,04/28/23 06:10:00,8.96,22.12,,,,,,
33,04/28/23 06:20:00,8.94,22.18,,,,,,
34,04/28/23 06:30:00,8.93,22.26,,,,,,
35,04/28/23 06:40:00,8.93,22.34,,,,,,
36,04/28/23 06:50:00,8.92,22.42,,,,,,
37,04/28/23 07:00:00,8.91,22.50,,,,,,
38,04/28/23 07:10:00,8.89,22.56,,,,,,
39,04/28/23 07:20:00,8.89,22.60,,,,,,
40,04/28/23 07:30:00,8.86,22.62,,,,,,
41,04/28/23 07:40:00,8.86,22.64,,,,,,
42,04/28/23 07:50:00,8.86,22.66,,,,,,
43,04/28/23 08:00:00,8.86,22.68,,,,,,
44,04/28/23 08:10:00,8.86,22.70,,,,,,
45,04/28/23 08:20:00,8.86,22.74,,,,,,
46,04/28/23 08:30:00,8.85,22.78,,,,,,
47,04/28/23 08:40:00,8.85,22.84,,,,,,
48,04/28/23 08:50:00,8.84,22.88,,,,,,
49,04/28/23 09:00:00,8.83,22.94,,,,,,
50,04/28/23 09:10:00,8.82,22.98,,,,,,
51,04/28/23 09:20:00,8.81,22.88,,,,,,
52,04/28/23 09:30:00,8.83,22.68,,,,,,
53,04/28/23 09:40:00,8.86,22.42,,,,,,
54,04/28/23 09:50:00,8.91,22.20,,,,,,
55,04/28/23 10:00:00,8.95,22.08,,,,,,
