"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Coupler Detached (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,02/01/24 01:00:00,6.99,26.62,,,,,
2,02/01/24 01:10:00,7.02,26.52,,,,,
3,02/01/24 01:20:00,7.04,26.42,,,,,
4,02/01/24 01:30:00,7.05,26.32,,,,,
5,02/01/24 01:40:00,7.07,26.22,,,,,
6,02/01/24 01:50:00,7.10,26.14,,,,,
7,02/01/24 02:00:00,7.11,26.04,,,,,
8,02/01/24 02:10:00,7.13,25.96,,,,,
9,02/01/24 02:20:00,7.15,25.86,,,,,
10,02/01/24 02:30:00,7.16,25.78,,,,,
11,02/01/24 02:40:00,7.19,25.70,,,,,
12,02/01/24 02:50:00,7.19,25.62,,,,,
13,02/01/24 03:00:00,7.21,25.56,,,,,
14,02/01/24 03:10:00,7.23,25.48,,,,,
15,02/01/24 03:20:00,7.24,25.40,,,,,
16,02/01/24 03:30:00,7.25,25.34,,,,,
17,02/01/24 03:40:00,7.28,25.26,,,,,
18,02/01/24 03:50:00,7.29,25.18,,,,,
19,02/01/24 04:00:00,7.31,25.10,,,,,
20,02/01/24 04:10:00,7.33,25.02,,,,,
21,02/01/24 04:20:00,7.34,24.94,,,,,
22,02/01/24 04:30:00,7.35,24.88,,,,,
23,02/01/24 04:40:00,7.38,24.80,,,,,
24,02/01/24 04:50:00,7.39,24.72,,,,,
25,02/01/24 05:00:00,7.41,24.64,,,,,
26,02/01/24 05:10:00,7.42,24.58,,,,,
27,02/01/24 05:20:00,7.43,24.52,,,,,
28,02/01/24 05:30:00,7.47,24.44,,,,,
29,02/01/24 05:40:00,7.47,24.38,,,,,
30,02/01/24 05:50:00,7.49,24.32,,,,,
31,02/01/24 06:00:00,7.51,24.28,,,,,
32,02/01/24 06:10:00,7.52,24.22,,,,,
33,02/01/24 06:20:00,7.54,24.16,,,,,
34,02/01/24 06:30:00,7.54,24.12,,,,,
35,02/01/24 06:40:00,7.57,24.06,,,,,
36,02/01/24 06:50:00,7.58,24.02,,,,,
37,02/01/24 07:00:00,7.59,23.98,,,,,
38,02/01/24 07:10:00,7.59,23.94,,,,,
39,02/01/24 07:20:00,7.60,23.92,,,,,
40,02/01/24 07:30:00,7.63,23.88,,,,,
41,02/01/24 07:40:00,7.64,23.84,,,,,
42,02/01/24 07:50:00,7.64,23.82,,,,,
43,02/01/24 08:00:00,7.66,23.78,,,,,
44,02/01/24 08:10:00,7.66,23.78,,,,,
45,02/01/24 08:20:00,7.67,23.76,,,,,
46,02/01/24 08:30:00,7.68,23.74,,,,,
47,02/01/24 08:40:00,7.68,23.76,,,,,
48,02/01/24 08:50:00,7.74,23.80,,,,,
49,02/01/24 09:00:00,7.76,24.06,,,,,
50,02/01/24 09:10:00,7.69,24.60,,,,,
51,02/01/24 09:20:00,7.51,25.98,,,,,
52,02/01/24 09:30:00,7.60,28.86,,,,,
53,02/01/24 09:40:00,0.26,26.24,,,,,
54,02/01/24 09:50:00,0.39,25.20,,,,,
55,02/01/24 10:00:00,0.83,24.84,,,,,
56,02/01/24 10:10:00,0.89,24.64,,,,,
57,02/01/24 10:20:00,0.72,24.54,,,,,
58,02/01/24 10:30:00,0.73,24.48,,,,,
59,02/01/24 10:40:00,0.83,24.42,,,,,
60,02/01/24 10:50:00,0.88,24.40,,,,,
61,02/01/24 11:00:00,1.16,24.36,,,,,
62,02/01/24 11:10:00,1.26,24.34,,,,,
63,02/01/24 11:20:00,1.41,24.32,,,,,
64,02/01/24 11:30:00,1.40,24.32,,,,,
65,02/01/24 11:40:00,1.32,24.32,,,,,
66,02/01/24 11:50:00,1.85,24.32,,,,,
67,02/01/24 12:00:00,2.09,24.34,,,,,
68,02/01/24 12:10:00,1.93,24.34,,,,,
69,02/01/24 12:20:00,1.71,24.34,,,,,
70,02/01/24 12:30:00,2.08,24.36,,,,,
71,02/01/24 12:40:00,1.84,24.36,,,,,
72,02/01/24 12:50:00,1.49,24.38,,,,,
73,02/01/24 13:00:00,1.09,24.40,,,,,
74,02/01/24 13:10:00,0.81,24.40,,,,,
75,02/01/24 13:20:00,0.88,24.42,,,,,
76,02/01/24 13:30:00,1.45,24.42,,,,,
77,02/01/24 13:40:00,1.53,24.42,,,,,
78,02/01/24 13:50:00,1.13,24.44,,,,,
79,02/01/24 14:00:00,0.83,24.44,,,,,
80,02/01/24 14:10:00,0.59,24.44,,,,,
81,02/01/24 14:20:00,0.87,24.46,,,,,
82,02/01/24 14:30:00,0.83,24.46,,,,,
83,02/01/24 14:40:00,1.03,24.46,,,,,
84,02/01/24 14:50:00,0.59,24.46,,,,,
85,02/01/24 15:00:00,1.71,24.46,,,,,
86,02/01/24 15:10:00,1.50,24.46,,,,,
87,02/01/24 15:20:00,1.36,24.46,,,,,
88,02/01/24 15:30:00,1.45,24.46,,,,,
89,02/01/24 15:40:00,1.08,24.46,,,,,
90,02/01/24 15:50:00,0.80,24.46,,,,,
91,02/01/24 16:00:00,0.55,24.44,,,,,
92,02/01/24 16:10:00,0.39,24.46,,,,,
93,02/01/24 16:20:00,0.25,24.46,,,,,
94,02/01/24 16:30:00,0.19,24.44,,,,,
95,02/01/24 16:40:00,0.09,24.46,,,,,
96,02/01/24 16:50:00,0.03,24.46,,,,,
97,02/01/24 17:00:00,0.01,24.44,,,,,
98,02/01/24 17:10:00,-0.00,24.44,,,,,
99,02/01/24 17:20:00,0.12,24.44,,,,,
100,02/01/24 17:30:00,0.02,24.44,,,,,
101,02/01/24 17:40:00,-0.01,24.44,,,,,
102,02/01/24 17:50:00,0.07,24.44,,,,,
103,02/01/24 18:00:00,-0.00,24.44,,,,,
104,02/01/24 18:10:00,-0.02,24.42,,,,,
105,02/01/24 18:20:00,-0.02,24.42,,,,,
106,02/01/24 18:30:00,-0.02,24.40,,,,,
107,02/01/24 18:40:00,-0.02,24.38,,,,,
108,02/01/24 18:50:00,-0.03,24.36,,,,,
109,02/01/24 19:00:00,-0.03,24.34,,,,,
110,02/01/24 19:10:00,-0.03,24.32,,,,,
