"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,02/01/24 01:00:00,8.07,26.62,,,,,
2,02/01/24 03:00:00,8.23,25.60,,,,,
3,02/01/24 05:00:00,8.37,24.70,,,,,
4,02/01/24 07:00:00,8.47,24.06,,,,,
5,02/01/24 09:00:00,8.49,24.12,,,,,
6,02/01/24 11:00:00,7.90,23.28,,,,,
7,02/01/24 13:00:00,8.33,23.34,,,,,
8,02/01/24 15:00:00,8.37,23.28,,,,,
9,02/01/24 17:00:00,8.07,23.16,,,,,
10,02/01/24 19:00:00,7.83,22.96,,,,,
11,02/01/24 21:00:00,7.56,22.86,,,,,
12,02/01/24 23:00:00,7.29,22.94,,,,,
13,02/02/24 01:00:00,7.25,22.98,,,,,
14,02/02/24 03:00:00,7.28,22.78,,,,,
15,02/02/24 05:00:00,7.30,22.84,,,,,
16,02/02/24 07:00:00,7.37,22.78,,,,,
17,02/02/24 09:00:00,7.46,22.80,,,,,
18,02/02/24 11:00:00,7.70,22.80,,,,,
19,02/02/24 13:00:00,7.89,22.86,,,,,
20,02/02/24 15:00:00,8.07,23.20,,,,,
21,02/02/24 17:00:00,8.14,22.80,,,,,
22,02/02/24 19:00:00,7.77,22.66,,,,,
23,02/02/24 21:00:00,7.49,22.60,,,,,
24,02/02/24 23:00:00,7.32,22.52,,,,,
25,02/03/24 01:00:00,7.23,22.70,,,,,
26,02/03/24 03:00:00,7.33,22.58,,,,,
27,02/03/24 05:00:00,7.31,22.50,,,,,
28,02/03/24 07:00:00,7.22,22.48,,,,,
29,02/03/24 09:00:00,7.35,22.50,,,,,
30,02/03/24 11:00:00,7.55,22.54,,,,,
31,02/03/24 13:00:00,8.12,22.78,,,,,
32,02/03/24 15:00:00,8.58,22.96,,,,,
33,02/03/24 17:00:00,8.40,22.76,,,,,
34,02/03/24 19:00:00,7.94,22.54,,,,,
35,02/03/24 21:00:00,7.59,22.48,,,,,
36,02/03/24 23:00:00,7.44,22.56,,,,,
37,02/04/24 01:00:00,7.32,22.66,,,,,
38,02/04/24 03:00:00,7.11,22.92,,,,,
39,02/04/24 05:00:00,7.15,22.72,,,,,
40,02/04/24 07:00:00,7.13,22.54,,,,,
41,02/04/24 09:00:00,7.15,22.62,,,,,
42,02/04/24 11:00:00,7.80,22.78,,,,,
43,02/04/24 13:00:00,8.51,22.94,,,,,
44,02/04/24 15:00:00,8.35,23.12,,,,,
45,02/04/24 17:00:00,8.35,22.88,,,,,
46,02/04/24 19:00:00,7.80,22.70,,,,,
47,02/04/24 21:00:00,7.37,22.64,,,,,
48,02/04/24 23:00:00,7.38,22.66,,,,,
49,02/05/24 01:00:00,7.26,22.80,,,,,
50,02/05/24 03:00:00,7.11,22.96,,,,,
51,02/05/24 05:00:00,7.03,22.94,,,,,
52,02/05/24 07:00:00,7.11,22.68,,,,,
53,02/05/24 09:00:00,7.23,22.72,,,,,
54,02/05/24 11:00:00,7.66,22.82,,,,,
55,02/05/24 13:00:00,8.01,22.94,,,,,
56,02/05/24 15:00:00,8.27,23.04,,,,,
57,02/05/24 17:00:00,8.35,22.98,,,,,
58,02/05/24 19:00:00,7.87,22.82,,,,,
59,02/05/24 21:00:00,7.26,22.74,,,,,
60,02/05/24 23:00:00,7.38,22.74,,,,,
61,02/06/24 01:00:00,7.33,22.76,,,,,
62,02/06/24 03:00:00,7.22,22.94,,,,,
63,02/06/24 05:00:00,7.29,22.94,,,,,
64,02/06/24 07:00:00,7.22,22.86,,,,,
65,02/06/24 09:00:00,7.21,22.94,,,,,
66,02/06/24 11:00:00,7.71,22.86,,,,,
67,02/06/24 13:00:00,7.99,23.02,,,,,
68,02/06/24 15:00:00,8.25,23.34,,,,,
69,02/06/24 17:00:00,8.17,22.98,,,,,
70,02/06/24 19:00:00,7.83,22.78,,,,,
71,02/06/24 21:00:00,7.43,22.72,,,,,
72,02/06/24 23:00:00,7.22,22.70,,,,,
73,02/07/24 01:00:00,7.19,22.70,,,,,
74,02/07/24 03:00:00,7.22,22.88,,,,,
75,02/07/24 05:00:00,7.08,22.78,,,,,
