"Plot Title: 21515403_Yellow"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,03/15/24 12:00:00 PM,8.85,22.76,,,,,
2,03/15/24 12:10:00 PM,8.84,22.78,,,,,
3,03/15/24 12:20:00 PM,8.84,22.78,,,,,
4,03/15/24 12:30:00 PM,8.84,22.78,,,,,
5,03/15/24 12:40:00 PM,8.84,22.78,,,,,
6,03/15/24 12:50:00 PM,8.84,22.78,,,,,
7,03/15/24 01:00:00 PM,8.84,22.78,,,,,
8,03/15/24 01:10:00 PM,8.82,22.78,,,,,
9,03/15/24 01:20:00 PM,8.85,22.78,,,,,
10,03/15/24 01:30:00 PM,8.82,22.80,,,,,
11,03/15/24 01:40:00 PM,8.84,22.80,,,,,
12,03/15/24 01:50:00 PM,8.82,22.82,,,,,
13,03/15/24 02:00:00 PM,8.82,22.84,,,,,
14,03/15/24 02:10:00 PM,8.81,22.86,,,,,
15,03/15/24 02:20:00 PM,8.81,22.90,,,,,
16,03/15/24 02:30:00 PM,8.81,22.92,,,,,
17,03/15/24 02:40:00 PM,8.78,23.04,,,,,
18,03/15/24 02:50:00 PM,8.75,23.28,,,,,
19,03/15/24 03:00:00 PM,8.37,25.02,,,,,
20,03/15/24 03:10:00 PM,8.29,25.60,,,,,
21,03/15/24 03:20:00 PM,8.36,25.20,,,,,
22,03/15/24 03:30:00 PM,8.42,24.74,,,,,
23,03/15/24 03:40:00 PM,8.51,24.32,,,,,
24,03/15/24 03:50:00 PM,8.57,23.94,,,,,
25,03/15/24 04:00:00 PM,8.65,23.72,,,,,
26,03/15/24 04:10:00 PM,8.68,24.02,,,,,
27,03/15/24 04:20:00 PM,8.56,24.80,,,,,
28,03/15/24 04:30:00 PM,7.74,26.46,,,,,
29,03/15/24 04:40:00 PM,8.05,24.86,,,,,
30,03/15/24 04:50:00 PM,8.19,24.28,,,,,
31,03/15/24 05:00:00 PM,8.25,24.16,,,,,
32,03/15/24 05:10:00 PM,8.13,24.10,,,,,
33,03/15/24 05:20:00 PM,8.02,24.10,,,,,
34,03/15/24 05:30:00 PM,8.18,24.08,,,,,
35,03/15/24 05:40:00 PM,8.24,24.08,,,,,
36,03/15/24 05:50:00 PM,8.15,24.06,,,,,
37,03/15/24 06:00:00 PM,7.93,24.02,,,,,
38,03/15/24 06:10:00 PM,7.92,23.98,,,,,
39,03/15/24 06:20:00 PM,7.70,23.96,,,,,
40,03/15/24 06:30:00 PM,7.59,23.92,,,,,
41,03/15/24 06:40:00 PM,7.44,23.88,,,,,
42,03/15/24 06:50:00 PM,7.36,23.86,,,,,
43,03/15/24 07:00:00 PM,7.18,23.84,,,,,
44,03/15/24 07:10:00 PM,7.09,23.78,,,,,
45,03/15/24 07:20:00 PM,6.93,23.72,,,,,
46,03/15/24 07:30:00 PM,6.74,23.70,,,,,
47,03/15/24 07:40:00 PM,6.60,23.64,,,,,
48,03/15/24 07:50:00 PM,6.45,23.60,,,,,
49,03/15/24 08:00:00 PM,6.33,23.54,,,,,
50,03/15/24 08:10:00 PM,6.17,23.52,,,,,
51,03/15/24 08:20:00 PM,6.16,23.46,,,,,
52,03/15/24 08:30:00 PM,6.05,23.42,,,,,
53,03/15/24 08:40:00 PM,5.97,23.38,,,,,
54,03/15/24 08:50:00 PM,5.76,23.34,,,,,
55,03/15/24 09:00:00 PM,5.61,23.30,,,,,
56,03/15/24 09:10:00 PM,5.45,23.26,,,,,
57,03/15/24 09:20:00 PM,5.34,23.20,,,,,
58,03/15/24 09:30:00 PM,5.29,23.16,,,,,
59,03/15/24 09:40:00 PM,5.20,23.10,,,,,
