"Plot Title: 21446085_Green"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,03/15/24 12:00:00 PM,8.81,22.68,,,,
2,03/15/24 12:10:00 PM,8.79,22.70,,,,
3,03/15/24 12:20:00 PM,8.79,22.72,,,,
4,03/15/24 12:30:00 PM,8.79,22.72,,,,
5,03/15/24 12:40:00 PM,8.79,22.72,,,,
6,03/15/24 12:50:00 PM,8.79,22.72,,,,
7,03/15/24 01:00:00 PM,8.79,22.72,,,,
8,03/15/24 01:10:00 PM,8.78,22.72,,,,
9,03/15/24 01:20:00 PM,8.78,22.72,,,,
10,03/15/24 01:30:00 PM,8.79,22.74,,,,
11,03/15/24 01:40:00 PM,8.78,22.74,,,,
12,03/15/24 01:50:00 PM,8.77,22.76,,,,
13,03/15/24 02:00:00 PM,8.77,22.78,,,,
14,03/15/24 02:10:00 PM,8.77,22.80,,,,
15,03/15/24 02:20:00 PM,8.76,22.82,,,,
16,03/15/24 02:30:00 PM,8.76,22.86,,,,
17,03/15/24 02:40:00 PM,8.75,22.96,,,,
18,03/15/24 02:50:00 PM,8.71,23.20,,,,
19,03/15/24 03:00:00 PM,8.66,23.46,,,,
20,03/15/24 03:10:00 PM,8.04,26.38,,,,
21,03/15/24 03:20:00 PM,8.17,25.86,,,,
22,03/15/24 03:30:00 PM,8.29,25.12,,,,
23,03/15/24 03:40:00 PM,8.38,24.54,,,,
24,03/15/24 03:50:00 PM,8.49,24.06,,,,
25,03/15/24 04:00:00 PM,8.57,23.78,,,,
26,03/15/24 04:10:00 PM,8.60,24.12,,,,
27,03/15/24 04:20:00 PM,8.47,24.92,,,,
28,03/15/24 04:30:00 PM,8.38,25.44,,,,
29,03/15/24 04:40:00 PM,8.41,25.36,,,,
30,03/15/24 04:50:00 PM,8.39,25.50,,,,
31,03/15/24 05:00:00 PM,8.44,25.30,,,,
32,03/15/24 05:10:00 PM,7.79,25.96,,,,
33,03/15/24 05:20:00 PM,8.40,23.82,,,,
34,03/15/24 05:30:00 PM,8.59,23.08,,,,
35,03/15/24 05:40:00 PM,8.55,22.94,,,,
36,03/15/24 05:50:00 PM,8.53,22.88,,,,
37,03/15/24 06:00:00 PM,8.42,22.88,,,,
38,03/15/24 06:10:00 PM,8.40,22.86,,,,
39,03/15/24 06:20:00 PM,8.34,22.84,,,,
40,03/15/24 06:30:00 PM,8.31,22.82,,,,
41,03/15/24 06:40:00 PM,8.18,22.82,,,,
42,03/15/24 06:50:00 PM,8.13,22.80,,,,
43,03/15/24 07:00:00 PM,8.06,22.78,,,,
44,03/15/24 07:10:00 PM,8.02,22.78,,,,
45,03/15/24 07:20:00 PM,7.94,22.76,,,,
46,03/15/24 07:30:00 PM,7.91,22.74,,,,
47,03/15/24 07:40:00 PM,7.89,22.74,,,,
48,03/15/24 07:50:00 PM,7.85,22.72,,,,
49,03/15/24 08:00:00 PM,7.88,22.72,,,,
50,03/15/24 08:10:00 PM,7.84,22.72,,,,
51,03/15/24 08:20:00 PM,7.79,22.72,,,,
52,03/15/24 08:30:00 PM,7.77,22.72,,,,
53,03/15/24 08:40:00 PM,7.76,22.70,,,,
54,03/15/24 08:50:00 PM,7.72,22.70,,,,
55,03/15/24 09:00:00 PM,7.69,22.70,,,,
56,03/15/24 09:10:00 PM,7.66,22.70,,,,
57,03/15/24 09:20:00 PM,7.66,22.68,,,,
58,03/15/24 09:30:00 PM,7.65,22.68,,,,
59,03/15/24 09:40:00 PM,7.63,22.66,,,,
60,03/15/24 09:50:00 PM,7.63,22.66,,,,
61,03/15/24 10:00:00 PM,7.59,22.66,,,,
62,03/15/24 10:10:00 PM,7.59,22.68,,,,
63,03/15/24 10:20:00 PM,7.59,22.66,,,,
64,03/15/24 10:30:00 PM,7.59,22.66,,,,
65,03/15/24 10:40:00 PM,7.57,22.66,,,,
66,03/15/24 10:50:00 PM,7.53,22.66,,,,
67,03/15/24 11:00:00 PM,7.54,22.64,,,,
68,03/15/24 11:10:00 PM,7.58,22.64,,,,
69,03/15/24 11:20:00 PM,7.57,22.64,,,,
70,03/15/24 11:30:00 PM,7.54,22.64,,,,
71,03/15/24 11:40:00 PM,7.57,22.64,,,,
72,03/15/24 11:50:00 PM,7.57,22.64,,,,
73,03/16/24 12:00:00 AM,7.58,22.64,,,,
74,03/16/24 12:10:00 AM,7.57,22.64,,,,
75,03/16/24 12:20:00 AM,7.59,22.64,,,,
76,03/16/24 12:30:00 AM,7.62,22.64,,,,
77,03/16/24 12:40:00 AM,7.61,22.66,,,,
78,03/16/24 12:50:00 AM,7.57,22.66,,,,
79,03/16/24 01:00:00 AM,7.58,22.66,,,,
80,03/16/24 01:10:00 AM,7.49,22.66,,,,
81,03/16/24 01:20:00 AM,7.56,22.66,,,,
82,03/16/24 01:30:00 AM,7.50,22.66,,,,
83,03/16/24 01:40:00 AM,7.48,22.66,,,,
84,03/16/24 01:50:00 AM,7.50,22.66,,,,
85,03/16/24 02:00:00 AM,7.49,22.66,,,,
86,03/16/24 02:10:00 AM,7.46,22.64,,,,
87,03/16/24 02:20:00 AM,7.56,22.66,,,,
88,03/16/24 02:30:00 AM,7.54,22.66,,,,
89,03/16/24 02:40:00 AM,7.49,22.66,,,,
90,03/16/24 02:50:00 AM,7.55,22.66,,,,
91,03/16/24 03:00:00 AM,7.62,22.66,,,,
92,03/16/24 03:10:00 AM,7.56,22.66,,,,
93,03/16/24 03:20:00 AM,7.53,22.66,,,,
94,03/16/24 03:30:00 AM,7.50,22.66,,,,
95,03/16/24 03:40:00 AM,7.53,22.66,,,,
96,03/16/24 03:50:00 AM,7.55,22.66,,,,
97,03/16/24 04:00:00 AM,7.49,22.66,,,,
98,03/16/24 04:10:00 AM,7.53,22.66,,,,
99,03/16/24 04:20:00 AM,7.49,22.66,,,,
100,03/16/24 04:30:00 AM,7.51,22.66,,,,
101,03/16/24 04:40:00 AM,7.49,22.66,,,,
102,03/16/24 04:50:00 AM,7.44,22.64,,,,
103,03/16/24 05:00:00 AM,7.47,22.66,,,,
104,03/16/24 05:10:00 AM,7.43,22.64,,,,
105,03/16/24 05:20:00 AM,7.49,22.64,,,,
106,03/16/24 05:30:00 AM,7.51,22.64,,,,
107,03/16/24 05:40:00 AM,7.47,22.64,,,,
108,03/16/24 05:50:00 AM,7.47,22.64,,,,
109,03/16/24 06:00:00 AM,7.47,22.64,,,,
110,03/16/24 06:10:00 AM,7.48,22.64,,,,
111,03/16/24 06:20:00 AM,7.49,22.62,,,,
112,03/16/24 06:30:00 AM,7.43,22.62,,,,
113,03/16/24 06:40:00 AM,7.49,22.64,,,,
114,03/16/24 06:50:00 AM,7.41,22.64,,,,
115,03/16/24 07:00:00 AM,7.46,22.64,,,,
116,03/16/24 07:10:00 AM,7.47,22.64,,,,
117,03/16/24 07:20:00 AM,7.44,22.64,,,,
118,03/16/24 07:30:00 AM,7.48,22.64,,,,
119,03/16/24 07:40:00 AM,7.49,22.64,,,,
120,03/16/24 07:50:00 AM,7.49,22.64,,,,
121,03/16/24 08:00:00 AM,7.51,22.64,,,,
122,03/16/24 08:10:00 AM,7.50,22.66,,,,
123,03/16/24 08:20:00 AM,7.49,22.66,,,,
124,03/16/24 08:30:00 AM,7.54,22.66,,,,
125,03/16/24 08:40:00 AM,7.61,22.66,,,,
126,03/16/24 08:50:00 AM,7.63,22.66,,,,
127,03/16/24 09:00:00 AM,7.58,22.66,,,,
128,03/16/24 09:10:00 AM,7.62,22.66,,,,
129,03/16/24 09:20:00 AM,7.61,22.68,,,,
130,03/16/24 09:30:00 AM,7.62,22.68,,,,
131,03/16/24 09:40:00 AM,7.71,22.70,,,,
132,03/16/24 09:50:00 AM,7.77,22.70,,,,
133,03/16/24 10:00:00 AM,7.74,22.72,,,,
134,03/16/24 10:10:00 AM,7.83,22.74,,,,
135,03/16/24 10:20:00 AM,7.87,22.76,,,,
136,03/16/24 10:30:00 AM,7.89,22.76,,,,
137,03/16/24 10:40:00 AM,7.96,22.78,,,,
138,03/16/24 10:50:00 AM,7.94,22.80,,,,
139,03/16/24 11:00:00 AM,8.06,22.80,,,,
140,03/16/24 11:10:00 AM,8.19,22.84,,,,
141,03/16/24 11:20:00 AM,8.15,22.86,,,,
142,03/16/24 11:30:00 AM,8.19,22.88,,,,
143,03/16/24 11:40:00 AM,8.18,22.90,,,,
144,03/16/24 11:50:00 AM,8.31,22.90,,,,
145,03/16/24 12:00:00 PM,8.29,22.92,,,,
146,03/16/24 12:10:00 PM,8.31,22.94,,,,
147,03/16/24 12:20:00 PM,8.37,22.94,,,,
148,03/16/24 12:30:00 PM,8.42,22.96,,,,
149,03/16/24 12:40:00 PM,8.56,22.96,,,,
150,03/16/24 12:50:00 PM,8.52,22.98,,,,
151,03/16/24 01:00:00 PM,8.49,23.00,,,,
152,03/16/24 01:10:00 PM,8.48,23.00,,,,
153,03/16/24 01:20:00 PM,8.55,23.02,,,,
154,03/16/24 01:30:00 PM,8.53,23.04,,,,
155,03/16/24 01:40:00 PM,8.53,23.08,,,,
156,03/16/24 01:50:00 PM,8.57,23.12,,,,
157,03/16/24 02:00:00 PM,8.62,23.14,,,,
158,03/16/24 02:10:00 PM,8.74,23.18,,,,
159,03/16/24 02:20:00 PM,8.81,23.24,,,,
160,03/16/24 02:30:00 PM,8.86,23.26,,,,
161,03/16/24 02:40:00 PM,8.86,23.26,,,,
162,03/16/24 02:50:00 PM,8.85,23.28,,,,
163,03/16/24 03:00:00 PM,8.87,23.28,,,,
164,03/16/24 03:10:00 PM,8.91,23.26,,,,
165,03/16/24 03:20:00 PM,8.92,23.24,,,,
166,03/16/24 03:30:00 PM,8.90,23.26,,,,
167,03/16/24 03:40:00 PM,8.98,23.24,,,,
168,03/16/24 03:50:00 PM,8.97,23.20,,,,
169,03/16/24 04:00:00 PM,8.90,23.14,,,,
170,03/16/24 04:10:00 PM,8.84,23.12,,,,
171,03/16/24 04:20:00 PM,8.72,23.10,,,,
172,03/16/24 04:30:00 PM,8.67,23.08,,,,
173,03/16/24 04:40:00 PM,8.57,23.06,,,,
174,03/16/24 04:50:00 PM,8.51,23.04,,,,
175,03/16/24 05:00:00 PM,8.49,23.02,,,,
176,03/16/24 05:10:00 PM,8.48,23.00,,,,
177,03/16/24 05:20:00 PM,8.44,23.00,,,,
178,03/16/24 05:30:00 PM,8.41,22.98,,,,
179,03/16/24 05:40:00 PM,8.40,22.98,,,,
180,03/16/24 05:50:00 PM,8.34,22.96,,,,
181,03/16/24 06:00:00 PM,8.32,22.94,,,,
182,03/16/24 06:10:00 PM,8.30,22.92,,,,
183,03/16/24 06:20:00 PM,8.24,22.90,,,,
184,03/16/24 06:30:00 PM,8.21,22.90,,,,
