"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,09/18/23 01:00:00,8.26,26.04,,,,,
2,09/18/23 01:10:00,8.27,26.04,,,,,
3,09/18/23 01:20:00,8.26,26.04,,,,,
4,09/18/23 01:30:00,8.27,26.04,,,,,
5,09/18/23 01:40:00,8.27,26.02,,,,,
6,09/18/23 01:50:00,8.27,26.02,,,,,
7,09/18/23 02:00:00,8.27,26.02,,,,,
8,09/18/23 02:10:00,8.27,26.02,,,,,
9,09/18/23 02:20:00,8.27,26.02,,,,,
10,09/18/23 02:30:00,8.26,26.02,,,,,
11,09/18/23 02:40:00,8.26,26.00,,,,,
12,09/18/23 02:50:00,8.27,26.00,,,,,
13,09/18/23 03:00:00,8.26,25.98,,,,,
14,09/18/23 03:10:00,8.26,25.98,,,,,
15,09/18/23 03:20:00,8.27,25.96,,,,,
16,09/18/23 03:30:00,8.27,25.96,,,,,
17,09/18/23 03:40:00,8.26,25.96,,,,,
18,09/18/23 03:50:00,8.26,25.94,,,,,
19,09/18/23 04:00:00,8.27,25.94,,,,,
20,09/18/23 04:10:00,8.27,25.94,,,,,
21,09/18/23 04:20:00,8.26,25.94,,,,,
22,09/18/23 04:30:00,8.27,25.94,,,,,
23,09/18/23 04:40:00,8.27,25.94,,,,,
24,09/18/23 04:50:00,8.27,25.92,,,,,
25,09/18/23 05:00:00,8.27,25.92,,,,,
26,09/18/23 05:10:00,8.28,25.92,,,,,
27,09/18/23 05:20:00,8.27,25.92,,,,,
28,09/18/23 05:30:00,8.27,25.92,,,,,
29,09/18/23 05:40:00,8.28,25.92,,,,,
30,09/18/23 05:50:00,8.27,25.90,,,,,
31,09/18/23 06:00:00,8.28,25.90,,,,,
32,09/18/23 06:10:00,8.27,25.90,,,,,
33,09/18/23 06:20:00,8.28,25.88,,,,,
