"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,09/18/23 01:00:00 AM,8.38,26.02,,,,
2,09/18/23 01:10:00 AM,8.38,26.02,,,,
3,09/18/23 01:20:00 AM,8.37,26.00,,,,
4,09/18/23 01:30:00 AM,8.38,26.00,,,,
5,09/18/23 01:40:00 AM,8.38,26.00,,,,
6,09/18/23 01:50:00 AM,8.38,26.00,,,,
7,09/18/23 02:00:00 AM,8.40,25.98,,,,
8,09/18/23 02:10:00 AM,8.38,25.98,,,,
9,09/18/23 02:20:00 AM,8.38,25.98,,,,
10,09/18/23 02:30:00 AM,8.38,25.98,,,,
11,09/18/23 02:40:00 AM,8.38,25.96,,,,
12,09/18/23 02:50:00 AM,8.38,25.96,,,,
13,09/18/23 03:00:00 AM,8.37,25.96,,,,
14,09/18/23 03:10:00 AM,8.38,25.94,,,,
15,09/18/23 03:20:00 AM,8.40,25.94,,,,
16,09/18/23 03:30:00 AM,8.38,25.92,,,,
17,09/18/23 03:40:00 AM,8.40,25.92,,,,
18,09/18/23 03:50:00 AM,8.40,25.92,,,,
19,09/18/23 04:00:00 AM,8.40,25.90,,,,
20,09/18/23 04:10:00 AM,8.40,25.90,,,,
21,09/18/23 04:20:00 AM,8.40,25.90,,,,
22,09/18/23 04:30:00 AM,8.40,25.90,,,,
23,09/18/23 04:40:00 AM,8.41,25.88,,,,
24,09/18/23 04:50:00 AM,8.40,25.88,,,,
25,09/18/23 05:00:00 AM,8.40,25.88,,,,
26,09/18/23 05:10:00 AM,8.41,25.88,,,,
27,09/18/23 05:20:00 AM,8.41,25.88,,,,
28,09/18/23 05:30:00 AM,8.41,25.88,,,,
29,09/18/23 05:40:00 AM,8.40,25.86,,,,
30,09/18/23 05:50:00 AM,8.40,25.86,,,,
31,09/18/23 06:00:00 AM,8.41,25.86,,,,
32,09/18/23 06:10:00 AM,8.41,25.84,,,,
33,09/18/23 06:20:00 AM,8.41,25.84,,,,
34,09/18/23 06:30:00 AM,8.40,25.82,,,,
35,09/18/23 06:40:00 AM,8.41,25.82,,,,
36,09/18/23 06:50:00 AM,8.42,25.82,,,,
37,09/18/23 07:00:00 AM,8.42,25.82,,,,
38,09/18/23 07:10:00 AM,8.43,25.80,,,,
39,09/18/23 07:20:00 AM,8.42,25.80,,,,
40,09/18/23 07:30:00 AM,8.42,25.80,,,,
41,09/18/23 07:40:00 AM,8.42,25.80,,,,
42,09/18/23 07:50:00 AM,8.42,25.80,,,,
43,09/18/23 08:00:00 AM,8.43,25.80,,,,
44,09/18/23 08:10:00 AM,8.43,25.80,,,,
45,09/18/23 08:20:00 AM,8.42,25.80,,,,
46,09/18/23 08:30:00 AM,8.42,25.80,,,,
47,09/18/23 08:40:00 AM,8.43,25.80,,,,
48,09/18/23 08:50:00 AM,8.43,25.80,,,,
49,09/18/23 09:00:00 AM,8.43,25.80,,,,
50,09/18/23 09:10:00 AM,8.43,25.80,,,,
51,09/18/23 09:20:00 AM,8.42,25.80,,,,
52,09/18/23 09:30:00 AM,8.42,25.80,,,,
53,09/18/23 09:40:00 AM,8.43,25.78,,,,
54,09/18/23 09:50:00 AM,8.43,25.78,,,,
55,09/18/23 10:00:00 AM,8.43,25.78,,,,
56,09/18/23 10:10:00 AM,8.43,25.80,,,,
57,09/18/23 10:20:00 AM,8.43,25.80,,,,
58,09/18/23 10:30:00 AM,8.43,25.80,,,,
59,09/18/23 10:40:00 AM,8.43,25.80,,,,
60,09/18/23 10:50:00 AM,8.42,25.82,,,,
61,09/18/23 11:00:00 AM,8.42,25.82,,,,
62,09/18/23 11:10:00 AM,8.42,25.84,,,,
63,09/18/23 11:20:00 AM,8.43,25.86,,,,
64,09/18/23 11:30:00 AM,8.41,25.86,,,,
65,09/18/23 11:40:00 AM,8.43,25.98,,,,
66,09/18/23 11:50:00 AM,8.41,26.00,,,,
67,09/18/23 12:00:00 PM,8.43,25.80,,,,
68,09/18/23 12:10:00 PM,8.44,25.56,,,,
69,09/18/23 12:20:00 PM,8.46,25.34,,,,
70,09/18/23 12:30:00 PM,8.41,25.82,,,,
71,09/18/23 12:40:00 PM,8.10,27.78,,,,
72,09/18/23 12:50:00 PM,7.97,29.28,,,,
73,09/18/23 01:00:00 PM,7.50,32.46,,,,
74,09/18/23 01:10:00 PM,7.32,33.72,,,,
75,09/18/23 01:20:00 PM,7.32,33.84,,,,
76,09/18/23 01:30:00 PM,7.24,34.88,,,,
77,09/18/23 01:40:00 PM,7.20,35.62,,,,
78,09/18/23 01:50:00 PM,7.06,36.20,,,,
79,09/18/23 02:00:00 PM,7.21,35.08,,,,
80,09/18/23 02:10:00 PM,7.38,33.84,,,,
81,09/18/23 02:20:00 PM,7.51,32.86,,,,
82,09/18/23 02:30:00 PM,7.42,33.32,,,,
83,09/18/23 02:40:00 PM,7.41,32.92,,,,
84,09/18/23 02:50:00 PM,7.88,27.24,,,,
85,09/18/23 03:00:00 PM,8.64,24.20,,,,
86,09/18/23 03:10:00 PM,8.62,23.76,,,,
87,09/18/23 03:20:00 PM,8.70,23.68,,,,
88,09/18/23 03:30:00 PM,8.77,23.60,,,,
89,09/18/23 03:40:00 PM,8.74,23.52,,,,
90,09/18/23 03:50:00 PM,8.79,23.42,,,,
91,09/18/23 04:00:00 PM,8.75,23.36,,,,
92,09/18/23 04:10:00 PM,8.77,23.34,,,,
93,09/18/23 04:20:00 PM,8.73,23.30,,,,
