"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,04/29/25 01:00:00 PM,8.39,23.90,,,,
2,04/29/25 01:10:00 PM,8.49,23.86,,,,
3,04/29/25 01:20:00 PM,8.53,23.62,,,,
4,04/29/25 01:30:00 PM,8.59,23.28,,,,
5,04/29/25 01:40:00 PM,8.64,22.94,,,,
6,04/29/25 01:50:00 PM,8.68,22.68,,,,
7,04/29/25 02:00:00 PM,8.74,22.42,,,,
8,04/29/25 02:10:00 PM,8.75,22.34,,,,
9,04/29/25 02:20:00 PM,8.61,23.70,,,,
10,04/29/25 02:30:00 PM,8.39,25.34,,,,
11,04/29/25 02:40:00 PM,8.24,26.24,,,,
12,04/29/25 02:50:00 PM,8.10,26.94,,,,
13,04/29/25 03:00:00 PM,7.72,27.24,,,,
14,04/29/25 03:10:00 PM,3.46,28.02,,,,
15,04/29/25 03:20:00 PM,3.25,28.26,,,,
16,04/29/25 03:30:00 PM,3.12,28.30,,,,
17,04/29/25 03:40:00 PM,3.15,28.26,,,,
18,04/29/25 03:50:00 PM,3.07,28.20,,,,
19,04/29/25 04:00:00 PM,3.03,28.16,,,,
20,04/29/25 04:10:00 PM,2.96,28.10,,,,
21,04/29/25 04:20:00 PM,2.84,28.06,,,,
22,04/29/25 04:30:00 PM,2.86,28.02,,,,
23,04/29/25 04:40:00 PM,2.95,27.98,,,,
24,04/29/25 04:50:00 PM,2.88,27.92,,,,
25,04/29/25 05:00:00 PM,3.08,27.86,,,,
26,04/29/25 05:10:00 PM,3.05,27.80,,,,
27,04/29/25 05:20:00 PM,3.04,27.78,,,,
28,04/29/25 05:30:00 PM,2.93,27.74,,,,
29,04/29/25 05:40:00 PM,3.00,27.72,,,,
30,04/29/25 05:50:00 PM,2.90,27.70,,,,
31,04/29/25 06:00:00 PM,3.07,27.66,,,,
32,04/29/25 06:10:00 PM,3.09,27.64,,,,
33,04/29/25 06:20:00 PM,3.02,27.62,,,,
34,04/29/25 06:30:00 PM,3.02,27.58,,,,
35,04/29/25 06:40:00 PM,2.92,27.54,,,,
36,04/29/25 06:50:00 PM,2.85,27.54,,,,
37,04/29/25 07:00:00 PM,2.78,27.50,,,,
38,04/29/25 07:10:00 PM,2.87,27.46,,,,
39,04/29/25 07:20:00 PM,2.81,27.42,,,,
40,04/29/25 07:30:00 PM,2.86,27.38,,,,
41,04/29/25 07:40:00 PM,2.67,27.34,,,,
42,04/29/25 07:50:00 PM,2.45,27.32,,,,
43,04/29/25 08:00:00 PM,2.37,27.28,,,,
44,04/29/25 08:10:00 PM,2.22,27.26,,,,
45,04/29/25 08:20:00 PM,2.15,27.24,,,,
46,04/29/25 08:30:00 PM,2.19,27.20,,,,
47,04/29/25 08:40:00 PM,2.00,27.16,,,,
48,04/29/25 08:50:00 PM,1.92,27.14,,,,
49,04/29/25 09:00:00 PM,1.99,27.10,,,,
50,04/29/25 09:10:00 PM,1.90,27.08,,,,
51,04/29/25 09:20:00 PM,1.78,27.06,,,,
52,04/29/25 09:30:00 PM,1.75,27.04,,,,
53,04/29/25 09:40:00 PM,1.76,27.00,,,,
54,04/29/25 09:50:00 PM,1.75,26.96,,,,
55,04/29/25 10:00:00 PM,1.75,26.94,,,,
56,04/29/25 10:10:00 PM,1.69,26.90,,,,
57,04/29/25 10:20:00 PM,1.66,26.88,,,,
58,04/29/25 10:30:00 PM,1.59,26.84,,,,
59,04/29/25 10:40:00 PM,1.54,26.80,,,,
60,04/29/25 10:50:00 PM,1.51,26.78,,,,
61,04/29/25 11:00:00 PM,1.47,26.76,,,,
62,04/29/25 11:10:00 PM,1.39,26.74,,,,
63,04/29/25 11:20:00 PM,1.34,26.70,,,,
64,04/29/25 11:30:00 PM,1.25,26.68,,,,
65,04/29/25 11:40:00 PM,1.28,26.64,,,,
66,04/29/25 11:50:00 PM,1.20,26.62,,,,
67,04/30/25 12:00:00 AM,1.18,26.60,,,,
68,04/30/25 12:10:00 AM,1.09,26.56,,,,
69,04/30/25 12:20:00 AM,1.10,26.54,,,,
70,04/30/25 12:30:00 AM,1.03,26.50,,,,
71,04/30/25 12:40:00 AM,1.03,26.48,,,,
72,04/30/25 12:50:00 AM,0.99,26.44,,,,
73,04/30/25 01:00:00 AM,0.95,26.40,,,,
74,04/30/25 01:10:00 AM,0.90,26.38,,,,
75,04/30/25 01:20:00 AM,0.86,26.36,,,,
76,04/30/25 01:30:00 AM,0.85,26.34,,,,
77,04/30/25 01:40:00 AM,0.86,26.30,,,,
78,04/30/25 01:50:00 AM,0.81,26.28,,,,
79,04/30/25 02:00:00 AM,0.84,26.24,,,,
80,04/30/25 02:10:00 AM,0.80,26.22,,,,
81,04/30/25 02:20:00 AM,0.80,26.20,,,,
82,04/30/25 02:30:00 AM,0.80,26.16,,,,
83,04/30/25 02:40:00 AM,0.79,26.14,,,,
84,04/30/25 02:50:00 AM,0.81,26.12,,,,
85,04/30/25 03:00:00 AM,0.73,26.08,,,,
86,04/30/25 03:10:00 AM,0.69,26.06,,,,
87,04/30/25 03:20:00 AM,0.66,26.06,,,,
88,04/30/25 03:30:00 AM,0.65,26.04,,,,
89,04/30/25 03:40:00 AM,0.65,26.02,,,,
90,04/30/25 03:50:00 AM,0.70,26.00,,,,
91,04/30/25 04:00:00 AM,0.69,25.96,,,,
92,04/30/25 04:10:00 AM,0.65,25.94,,,,
93,04/30/25 04:20:00 AM,0.62,25.92,,,,
94,04/30/25 04:30:00 AM,0.67,25.90,,,,
95,04/30/25 04:40:00 AM,0.64,25.86,,,,
96,04/30/25 04:50:00 AM,0.66,25.84,,,,
97,04/30/25 05:00:00 AM,0.61,25.80,,,,
98,04/30/25 05:10:00 AM,0.67,25.78,,,,
99,04/30/25 05:20:00 AM,0.67,25.76,,,,
100,04/30/25 05:30:00 AM,0.71,25.72,,,,
101,04/30/25 05:40:00 AM,0.68,25.70,,,,
102,04/30/25 05:50:00 AM,0.63,25.68,,,,
103,04/30/25 06:00:00 AM,0.60,25.66,,,,
104,04/30/25 06:10:00 AM,0.58,25.64,,,,
105,04/30/25 06:20:00 AM,0.57,25.62,,,,
106,04/30/25 06:30:00 AM,0.53,25.60,,,,
107,04/30/25 06:40:00 AM,0.53,25.60,,,,
108,04/30/25 06:50:00 AM,0.54,25.58,,,,
109,04/30/25 07:00:00 AM,0.57,25.58,,,,
110,04/30/25 07:10:00 AM,0.56,25.56,,,,
111,04/30/25 07:20:00 AM,0.46,25.56,,,,
112,04/30/25 07:30:00 AM,0.45,25.54,,,,
113,04/30/25 07:40:00 AM,0.48,25.52,,,,
114,04/30/25 07:50:00 AM,0.56,25.52,,,,
115,04/30/25 08:00:00 AM,0.59,25.52,,,,
116,04/30/25 08:10:00 AM,0.62,25.52,,,,
117,04/30/25 08:20:00 AM,0.72,25.52,,,,
118,04/30/25 08:30:00 AM,0.76,25.50,,,,
119,04/30/25 08:40:00 AM,0.78,25.50,,,,
120,04/30/25 08:50:00 AM,0.93,25.52,,,,
121,04/30/25 09:00:00 AM,1.00,25.54,,,,
122,04/30/25 09:10:00 AM,1.04,25.56,,,,
123,04/30/25 09:20:00 AM,1.08,25.58,,,,
124,04/30/25 09:30:00 AM,1.24,25.60,,,,
125,04/30/25 09:40:00 AM,1.22,25.64,,,,
126,04/30/25 09:50:00 AM,1.59,25.72,,,,
127,04/30/25 10:00:00 AM,1.62,25.80,,,,
128,04/30/25 10:10:00 AM,1.80,25.92,,,,
129,04/30/25 10:20:00 AM,1.85,26.00,,,,
130,04/30/25 10:30:00 AM,1.94,26.10,,,,
131,04/30/25 10:40:00 AM,2.03,26.18,,,,
132,04/30/25 10:50:00 AM,2.35,26.30,,,,
133,04/30/25 11:00:00 AM,2.62,26.42,,,,
