"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,04/29/25 01:00:00 PM,36.06,22.56,,,,
2,04/29/25 01:10:00 PM,9.02,22.50,,,,
3,04/29/25 01:20:00 PM,9.02,22.46,,,,
4,04/29/25 01:30:00 PM,9.02,22.46,,,,
5,04/29/25 01:40:00 PM,9.02,22.48,,,,
6,04/29/25 01:50:00 PM,9.03,22.48,,,,
7,04/29/25 02:00:00 PM,9.03,22.50,,,,
8,04/29/25 02:10:00 PM,9.02,22.50,,,,
9,04/29/25 02:20:00 PM,9.02,22.44,,,,
10,04/29/25 02:30:00 PM,9.03,22.40,,,,
11,04/29/25 02:40:00 PM,9.04,22.40,,,,
12,04/29/25 02:50:00 PM,9.03,22.40,,,,
13,04/29/25 03:00:00 PM,9.03,22.40,,,,
14,04/29/25 03:10:00 PM,9.03,22.42,,,,
15,04/29/25 03:20:00 PM,9.03,22.42,,,,
16,04/29/25 03:30:00 PM,9.03,22.40,,,,
17,04/29/25 03:40:00 PM,9.05,22.34,,,,
18,04/29/25 03:50:00 PM,9.04,22.30,,,,
19,04/29/25 04:00:00 PM,9.05,22.30,,,,
20,04/29/25 04:10:00 PM,9.05,22.30,,,,
21,04/29/25 04:20:00 PM,9.04,22.32,,,,
22,04/29/25 04:30:00 PM,9.05,22.34,,,,
23,04/29/25 04:40:00 PM,9.04,22.34,,,,
24,04/29/25 04:50:00 PM,9.04,22.34,,,,
25,04/29/25 05:00:00 PM,9.03,22.34,,,,
26,04/29/25 05:10:00 PM,9.04,22.30,,,,
27,04/29/25 05:20:00 PM,9.05,22.26,,,,
28,04/29/25 05:30:00 PM,9.06,22.24,,,,
29,04/29/25 05:40:00 PM,9.06,22.26,,,,
30,04/29/25 05:50:00 PM,9.05,22.26,,,,
31,04/29/25 06:00:00 PM,9.06,22.26,,,,
32,04/29/25 06:10:00 PM,9.07,22.26,,,,
33,04/29/25 06:20:00 PM,9.08,22.22,,,,
34,04/29/25 06:30:00 PM,9.07,22.18,,,,
35,04/29/25 06:40:00 PM,9.07,22.18,,,,
36,04/29/25 06:50:00 PM,9.06,22.18,,,,
37,04/29/25 07:00:00 PM,9.07,22.18,,,,
38,04/29/25 07:10:00 PM,9.07,22.20,,,,
39,04/29/25 07:20:00 PM,9.07,22.18,,,,
40,04/29/25 07:30:00 PM,9.10,22.12,,,,
41,04/29/25 07:40:00 PM,9.08,22.10,,,,
42,04/29/25 07:50:00 PM,9.09,22.12,,,,
43,04/29/25 08:00:00 PM,9.08,22.14,,,,
44,04/29/25 08:10:00 PM,9.08,22.12,,,,
45,04/29/25 08:20:00 PM,9.10,22.08,,,,
46,04/29/25 08:30:00 PM,9.10,22.08,,,,
47,04/29/25 08:40:00 PM,9.09,22.12,,,,
48,04/29/25 08:50:00 PM,9.09,22.12,,,,
49,04/29/25 09:00:00 PM,9.09,22.10,,,,
50,04/29/25 09:10:00 PM,9.09,22.10,,,,
51,04/29/25 09:20:00 PM,9.09,22.14,,,,
52,04/29/25 09:30:00 PM,9.08,22.16,,,,
53,04/29/25 09:40:00 PM,9.09,22.14,,,,
54,04/29/25 09:50:00 PM,9.08,22.18,,,,
55,04/29/25 10:00:00 PM,9.09,22.22,,,,
56,04/29/25 10:10:00 PM,9.08,22.22,,,,
57,04/29/25 10:20:00 PM,9.07,22.24,,,,
58,04/29/25 10:30:00 PM,9.07,22.28,,,,
59,04/29/25 10:40:00 PM,9.06,22.28,,,,
60,04/29/25 10:50:00 PM,9.06,22.30,,,,
61,04/29/25 11:00:00 PM,9.05,22.34,,,,
62,04/29/25 11:10:00 PM,9.05,22.34,,,,
63,04/29/25 11:20:00 PM,9.05,22.38,,,,
64,04/29/25 11:30:00 PM,9.04,22.36,,,,
65,04/29/25 11:40:00 PM,9.04,22.38,,,,
66,04/29/25 11:50:00 PM,9.03,22.40,,,,
67,04/30/25 12:00:00 AM,9.03,22.42,,,,
68,04/30/25 12:10:00 AM,9.02,22.46,,,,
69,04/30/25 12:20:00 AM,9.02,22.48,,,,
70,04/30/25 12:30:00 AM,9.01,22.52,,,,
71,04/30/25 12:40:00 AM,9.00,22.54,,,,
72,04/30/25 12:50:00 AM,9.00,22.56,,,,
73,04/30/25 01:00:00 AM,8.99,22.58,,,,
74,04/30/25 01:10:00 AM,9.00,22.58,,,,
75,04/30/25 01:20:00 AM,9.01,22.60,,,,
76,04/30/25 01:30:00 AM,8.98,22.68,,,,
77,04/30/25 01:40:00 AM,8.96,22.72,,,,
78,04/30/25 01:50:00 AM,8.96,22.68,,,,
79,04/30/25 02:00:00 AM,8.52,25.12,,,,
80,04/30/25 02:10:00 AM,7.97,28.54,,,,
81,04/30/25 02:20:00 AM,7.87,29.40,,,,
82,04/30/25 02:30:00 AM,7.70,30.64,,,,
83,04/30/25 02:40:00 AM,7.70,30.84,,,,
84,04/30/25 02:50:00 AM,7.78,30.42,,,,
85,04/30/25 03:00:00 AM,7.84,30.14,,,,
86,04/30/25 03:10:00 AM,7.93,29.58,,,,
87,04/30/25 03:20:00 AM,8.00,29.14,,,,
88,04/30/25 03:30:00 AM,8.02,28.96,,,,
89,04/30/25 03:40:00 AM,8.56,25.96,,,,
90,04/30/25 03:50:00 AM,8.94,23.98,,,,
91,04/30/25 04:00:00 AM,8.92,23.64,,,,
92,04/30/25 04:10:00 AM,8.80,23.58,,,,
93,04/30/25 04:20:00 AM,8.90,23.56,,,,
94,04/30/25 04:30:00 AM,8.76,23.58,,,,
95,04/30/25 04:40:00 AM,8.84,23.60,,,,
96,04/30/25 04:50:00 AM,8.85,23.58,,,,
97,04/30/25 05:00:00 AM,8.90,23.60,,,,
98,04/30/25 05:10:00 AM,8.92,23.58,,,,
99,04/30/25 05:20:00 AM,8.81,23.52,,,,
100,04/30/25 05:30:00 AM,8.83,23.50,,,,
101,04/30/25 05:40:00 AM,8.79,23.48,,,,
102,04/30/25 05:50:00 AM,8.73,23.46,,,,
103,04/30/25 06:00:00 AM,8.64,23.46,,,,
104,04/30/25 06:10:00 AM,8.60,23.44,,,,
105,04/30/25 06:20:00 AM,8.57,23.42,,,,
106,04/30/25 06:30:00 AM,8.42,23.40,,,,
107,04/30/25 06:40:00 AM,8.43,23.38,,,,
108,04/30/25 06:50:00 AM,8.42,23.38,,,,
109,04/30/25 07:00:00 AM,8.36,23.38,,,,
110,04/30/25 07:10:00 AM,8.28,23.36,,,,
111,04/30/25 07:20:00 AM,8.16,23.34,,,,
112,04/30/25 07:30:00 AM,8.11,23.32,,,,
113,04/30/25 07:40:00 AM,8.06,23.30,,,,
114,04/30/25 07:50:00 AM,8.02,23.28,,,,
115,04/30/25 08:00:00 AM,7.94,23.26,,,,
116,04/30/25 08:10:00 AM,7.95,23.26,,,,
117,04/30/25 08:20:00 AM,7.94,23.24,,,,
118,04/30/25 08:30:00 AM,7.93,23.22,,,,
119,04/30/25 08:40:00 AM,7.91,23.22,,,,
120,04/30/25 08:50:00 AM,7.86,23.20,,,,
121,04/30/25 09:00:00 AM,7.87,23.20,,,,
122,04/30/25 09:10:00 AM,7.81,23.18,,,,
123,04/30/25 09:20:00 AM,7.74,23.16,,,,
124,04/30/25 09:30:00 AM,7.70,23.14,,,,
125,04/30/25 09:40:00 AM,7.69,23.12,,,,
126,04/30/25 09:50:00 AM,7.65,23.12,,,,
127,04/30/25 10:00:00 AM,7.61,23.10,,,,
128,04/30/25 10:10:00 AM,7.61,23.08,,,,
129,04/30/25 10:20:00 AM,7.53,23.06,,,,
130,04/30/25 10:30:00 AM,7.53,23.06,,,,
131,04/30/25 10:40:00 AM,7.47,23.04,,,,
132,04/30/25 10:50:00 AM,7.45,23.02,,,,
133,04/30/25 11:00:00 AM,7.44,23.00,,,,
134,04/30/25 11:10:00 AM,7.57,23.00,,,,
135,04/30/25 11:20:00 AM,7.50,22.98,,,,
136,04/30/25 11:30:00 AM,7.49,22.98,,,,
137,04/30/25 11:40:00 AM,7.47,22.96,,,,
138,04/30/25 11:50:00 AM,7.55,22.94,,,,
139,04/30/25 12:00:00 PM,7.53,22.92,,,,
140,04/30/25 12:10:00 PM,7.47,22.92,,,,
141,04/30/25 12:20:00 PM,7.36,22.92,,,,
142,04/30/25 12:30:00 PM,7.41,22.90,,,,
143,04/30/25 12:40:00 PM,7.27,22.90,,,,
144,04/30/25 12:50:00 PM,7.27,22.90,,,,
145,04/30/25 01:00:00 PM,7.27,22.88,,,,
146,04/30/25 01:10:00 PM,7.27,22.88,,,,
147,04/30/25 01:20:00 PM,7.25,22.86,,,,
148,04/30/25 01:30:00 PM,7.20,22.86,,,,
149,04/30/25 01:40:00 PM,7.18,22.86,,,,
150,04/30/25 01:50:00 PM,7.23,22.84,,,,
151,04/30/25 02:00:00 PM,7.25,22.82,,,,
152,04/30/25 02:10:00 PM,7.26,22.84,,,,
153,04/30/25 02:20:00 PM,7.22,22.82,,,,
154,04/30/25 02:30:00 PM,7.18,22.82,,,,
155,04/30/25 02:40:00 PM,7.13,22.82,,,,
156,04/30/25 02:50:00 PM,7.11,22.82,,,,
157,04/30/25 03:00:00 PM,7.08,22.80,,,,
158,04/30/25 03:10:00 PM,7.06,22.78,,,,
159,04/30/25 03:20:00 PM,7.01,22.76,,,,
160,04/30/25 03:30:00 PM,7.02,22.76,,,,
161,04/30/25 03:40:00 PM,7.07,22.76,,,,
162,04/30/25 03:50:00 PM,7.05,22.74,,,,
163,04/30/25 04:00:00 PM,7.05,22.74,,,,
164,04/30/25 04:10:00 PM,7.12,22.74,,,,
165,04/30/25 04:20:00 PM,7.01,22.74,,,,
166,04/30/25 04:30:00 PM,6.94,22.72,,,,
167,04/30/25 04:40:00 PM,7.01,22.72,,,,
168,04/30/25 04:50:00 PM,7.04,22.72,,,,
169,04/30/25 05:00:00 PM,6.99,22.72,,,,
170,04/30/25 05:10:00 PM,6.97,22.72,,,,
171,04/30/25 05:20:00 PM,6.99,22.70,,,,
172,04/30/25 05:30:00 PM,6.97,22.70,,,,
173,04/30/25 05:40:00 PM,6.97,22.70,,,,
174,04/30/25 05:50:00 PM,7.00,22.70,,,,
175,04/30/25 06:00:00 PM,7.00,22.70,,,,
176,04/30/25 06:10:00 PM,7.02,22.68,,,,
177,04/30/25 06:20:00 PM,7.04,22.70,,,,
178,04/30/25 06:30:00 PM,7.02,22.68,,,,
179,04/30/25 06:40:00 PM,7.00,22.68,,,,
180,04/30/25 06:50:00 PM,6.99,22.68,,,,
181,04/30/25 07:00:00 PM,7.02,22.68,,,,
182,04/30/25 07:10:00 PM,7.10,22.70,,,,
183,04/30/25 07:20:00 PM,7.10,22.70,,,,
184,04/30/25 07:30:00 PM,7.07,22.68,,,,
185,04/30/25 07:40:00 PM,7.09,22.68,,,,
186,04/30/25 07:50:00 PM,7.12,22.68,,,,
187,04/30/25 08:00:00 PM,7.14,22.68,,,,
188,04/30/25 08:10:00 PM,7.18,22.70,,,,
189,04/30/25 08:20:00 PM,7.20,22.68,,,,
190,04/30/25 08:30:00 PM,7.23,22.70,,,,
191,04/30/25 08:40:00 PM,7.29,22.70,,,,
192,04/30/25 08:50:00 PM,7.34,22.72,,,,
193,04/30/25 09:00:00 PM,7.40,22.74,,,,
194,04/30/25 09:10:00 PM,7.39,22.74,,,,
195,04/30/25 09:20:00 PM,7.50,22.74,,,,
196,04/30/25 09:30:00 PM,7.64,22.74,,,,
197,04/30/25 09:40:00 PM,7.64,22.76,,,,
198,04/30/25 09:50:00 PM,7.73,22.78,,,,
199,04/30/25 10:00:00 PM,7.78,22.78,,,,
200,04/30/25 10:10:00 PM,7.81,22.80,,,,
201,04/30/25 10:20:00 PM,7.77,22.84,,,,
202,04/30/25 10:30:00 PM,7.83,22.84,,,,
203,04/30/25 10:40:00 PM,7.97,22.84,,,,
204,04/30/25 10:50:00 PM,7.93,22.86,,,,
205,04/30/25 11:00:00 PM,8.06,22.86,,,,
206,04/30/25 11:10:00 PM,8.19,22.88,,,,
207,04/30/25 11:20:00 PM,8.20,22.90,,,,
208,04/30/25 11:30:00 PM,8.22,22.92,,,,
209,04/30/25 11:40:00 PM,8.30,22.92,,,,
210,04/30/25 11:50:00 PM,8.34,22.94,,,,
211,05/01/25 12:00:00 AM,8.37,22.96,,,,
212,05/01/25 12:10:00 AM,8.46,23.00,,,,
213,05/01/25 12:20:00 AM,8.47,23.06,,,,
214,05/01/25 12:30:00 AM,8.55,23.08,,,,
215,05/01/25 12:40:00 AM,8.62,23.10,,,,
216,05/01/25 12:50:00 AM,8.59,23.12,,,,
217,05/01/25 01:00:00 AM,8.62,23.22,,,,
218,05/01/25 01:10:00 AM,8.70,23.28,,,,
219,05/01/25 01:20:00 AM,8.73,23.32,,,,
220,05/01/25 01:30:00 AM,8.72,23.36,,,,
221,05/01/25 01:40:00 AM,8.77,23.34,,,,
222,05/01/25 01:50:00 AM,8.86,23.40,,,,
