"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Expired Sensor Cap (LGR S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,08/06/25 01:00:00 AM,8.75,22.42,,,,,
2,08/06/25 01:10:00 AM,8.76,22.40,,,,,
3,08/06/25 01:20:00 AM,8.75,22.36,,,,,
4,08/06/25 01:30:00 AM,8.74,22.36,,,,,
5,08/06/25 01:40:00 AM,8.75,22.36,,,,,
6,08/06/25 01:50:00 AM,8.76,22.34,,,,,
7,08/06/25 02:00:00 AM,8.76,22.32,,,,,
8,08/06/25 02:10:00 AM,8.76,22.30,,,,,
9,08/06/25 02:20:00 AM,8.76,22.30,,,,,
10,08/06/25 02:30:00 AM,8.77,22.30,,,,,
11,08/06/25 02:40:00 AM,8.77,22.26,,,,,
12,08/06/25 02:50:00 AM,8.77,22.24,,,,,
13,08/06/25 03:00:00 AM,8.77,22.26,,,,,
14,08/06/25 03:10:00 AM,8.77,22.22,,,,,
15,08/06/25 03:20:00 AM,8.78,22.20,,,,,
16,08/06/25 03:30:00 AM,8.77,22.20,,,,,
17,08/06/25 03:40:00 AM,8.78,22.20,,,,,
18,08/06/25 03:50:00 AM,8.77,22.18,,,,,
19,08/06/25 04:00:00 AM,8.78,22.14,,,,,
20,08/06/25 04:10:00 AM,8.79,22.14,,,,,
21,08/06/25 04:20:00 AM,8.78,22.14,,,,,
22,08/06/25 04:30:00 AM,8.78,22.14,,,,,
23,08/06/25 04:40:00 AM,8.79,22.12,,,,,
24,08/06/25 04:50:00 AM,8.79,22.12,,,,,
25,08/06/25 05:00:00 AM,8.79,22.10,,,,,
26,08/06/25 05:10:00 AM,8.79,22.12,,,,,
27,08/06/25 05:20:00 AM,8.79,22.10,,,,,
28,08/06/25 05:30:00 AM,8.80,22.08,,,,,
29,08/06/25 05:40:00 AM,8.80,22.06,,,,,
30,08/06/25 05:50:00 AM,8.79,22.08,,,,,
31,08/06/25 06:00:00 AM,8.80,22.08,,,,,
32,08/06/25 06:10:00 AM,8.80,22.04,,,,,
33,08/06/25 06:20:00 AM,8.81,22.02,,,,,
34,08/06/25 06:30:00 AM,8.81,22.02,,,,,
35,08/06/25 06:40:00 AM,8.81,22.00,,,,,
36,08/06/25 06:50:00 AM,8.81,21.98,,,,,
37,08/06/25 07:00:00 AM,8.82,21.98,,,,,
38,08/06/25 07:10:00 AM,8.82,21.98,,,,,
39,08/06/25 07:20:00 AM,8.83,21.94,,,,,
40,08/06/25 07:30:00 AM,8.83,21.92,,,,,
41,08/06/25 07:40:00 AM,8.82,21.92,,,,,
42,08/06/25 07:50:00 AM,8.84,21.88,,,,,
43,08/06/25 08:00:00 AM,8.84,21.88,,,,,
44,08/06/25 08:10:00 AM,8.83,21.88,,,,,
45,08/06/25 08:20:00 AM,8.83,21.94,,,,,
46,08/06/25 08:30:00 AM,8.81,22.08,,,,,
