"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,02/05/26 01:00:00 AM,8.58,23.76,,,,
2,02/05/26 01:10:00 AM,8.59,23.64,,,,
3,02/05/26 01:20:00 AM,8.61,23.50,,,,
4,02/05/26 01:30:00 AM,8.64,23.38,,,,
5,02/05/26 01:40:00 AM,8.66,23.26,,,,
6,02/05/26 01:50:00 AM,8.68,23.12,,,,
7,02/05/26 02:00:00 AM,8.70,23.00,,,,
8,02/05/26 02:10:00 AM,8.72,22.88,,,,
9,02/05/26 02:20:00 AM,8.73,22.76,,,,
10,02/05/26 02:30:00 AM,8.75,22.66,,,,
11,02/05/26 02:40:00 AM,8.78,22.54,,,,
12,02/05/26 02:50:00 AM,8.79,22.44,,,,
13,02/05/26 03:00:00 AM,8.81,22.34,,,,
14,02/05/26 03:10:00 AM,8.83,22.22,,,,
15,02/05/26 03:20:00 AM,8.84,22.12,,,,
16,02/05/26 03:30:00 AM,8.86,22.02,,,,
17,02/05/26 03:40:00 AM,8.88,21.92,,,,
18,02/05/26 03:50:00 AM,8.89,21.84,,,,
19,02/05/26 04:00:00 AM,8.92,21.74,,,,
20,02/05/26 04:10:00 AM,8.93,21.66,,,,
21,02/05/26 04:20:00 AM,8.94,21.56,,,,
22,02/05/26 04:30:00 AM,8.95,21.48,,,,
23,02/05/26 04:40:00 AM,8.97,21.40,,,,
24,02/05/26 04:50:00 AM,8.99,21.32,,,,
25,02/05/26 05:00:00 AM,9.00,21.24,,,,
26,02/05/26 05:10:00 AM,9.02,21.16,,,,
27,02/05/26 05:20:00 AM,9.03,21.08,,,,
28,02/05/26 05:30:00 AM,9.04,21.00,,,,
29,02/05/26 05:40:00 AM,9.06,20.94,,,,
30,02/05/26 05:50:00 AM,9.08,20.88,,,,
31,02/05/26 06:00:00 AM,9.09,20.84,,,,
32,02/05/26 06:10:00 AM,9.09,20.80,,,,
33,02/05/26 06:20:00 AM,9.09,20.76,,,,
34,02/05/26 06:30:00 AM,9.10,20.72,,,,
35,02/05/26 06:40:00 AM,9.11,20.70,,,,
36,02/05/26 06:50:00 AM,9.11,20.68,,,,
37,02/05/26 07:00:00 AM,9.11,20.66,,,,
38,02/05/26 07:10:00 AM,9.11,20.66,,,,
39,02/05/26 07:20:00 AM,9.12,20.64,,,,
40,02/05/26 07:30:00 AM,9.12,20.62,,,,
41,02/05/26 07:40:00 AM,9.13,20.62,,,,
42,02/05/26 07:50:00 AM,9.12,20.60,,,,
43,02/05/26 08:00:00 AM,9.13,20.60,,,,
44,02/05/26 08:10:00 AM,9.12,20.60,,,,
45,02/05/26 08:20:00 AM,9.13,20.62,,,,
46,02/05/26 08:30:00 AM,9.11,20.64,,,,
47,02/05/26 08:40:00 AM,9.14,20.68,,,,
48,02/05/26 08:50:00 AM,9.11,20.80,,,,
49,02/05/26 09:00:00 AM,9.07,21.02,,,,
50,02/05/26 09:10:00 AM,8.93,21.92,,,,
51,02/05/26 09:20:00 AM,8.54,24.60,,,,
52,02/05/26 09:30:00 AM,8.27,25.94,,,,
53,02/05/26 09:40:00 AM,2.21,28.26,,,,
54,02/05/26 09:50:00 AM,0.91,24.38,,,,
55,02/05/26 10:00:00 AM,0.83,23.66,,,,
56,02/05/26 10:10:00 AM,0.88,23.58,,,,
57,02/05/26 10:20:00 AM,0.93,23.54,,,,
58,02/05/26 10:30:00 AM,0.91,23.48,,,,
59,02/05/26 10:40:00 AM,1.09,23.58,,,,
60,02/05/26 10:50:00 AM,1.16,23.58,,,,
61,02/05/26 11:00:00 AM,1.37,23.72,,,,
62,02/05/26 11:10:00 AM,1.43,23.74,,,,
63,02/05/26 11:20:00 AM,1.57,23.76,,,,
64,02/05/26 11:30:00 AM,1.67,23.90,,,,
65,02/05/26 11:40:00 AM,1.95,24.10,,,,
66,02/05/26 11:50:00 AM,2.00,24.04,,,,
67,02/05/26 12:00:00 PM,2.17,24.08,,,,
68,02/05/26 12:10:00 PM,2.13,24.14,,,,
69,02/05/26 12:20:00 PM,2.09,24.18,,,,
70,02/05/26 12:30:00 PM,2.28,24.24,,,,
71,02/05/26 12:40:00 PM,2.22,24.32,,,,
72,02/05/26 12:50:00 PM,2.27,24.34,,,,
73,02/05/26 01:00:00 PM,2.21,24.42,,,,
74,02/05/26 01:10:00 PM,2.23,24.48,,,,
75,02/05/26 01:20:00 PM,2.24,24.56,,,,
76,02/05/26 01:30:00 PM,2.42,24.76,,,,
77,02/05/26 01:40:00 PM,2.39,24.92,,,,
78,02/05/26 01:50:00 PM,2.38,25.00,,,,
79,02/05/26 02:00:00 PM,2.35,25.02,,,,
80,02/05/26 02:10:00 PM,2.27,25.06,,,,
81,02/05/26 02:20:00 PM,2.37,25.12,,,,
82,02/05/26 02:30:00 PM,2.46,25.22,,,,
83,02/05/26 02:40:00 PM,2.67,25.30,,,,
84,02/05/26 02:50:00 PM,2.58,25.36,,,,
85,02/05/26 03:00:00 PM,2.59,25.44,,,,
86,02/05/26 03:10:00 PM,2.60,25.46,,,,
87,02/05/26 03:20:00 PM,2.60,25.50,,,,
88,02/05/26 03:30:00 PM,2.72,25.54,,,,
89,02/05/26 03:40:00 PM,2.78,25.58,,,,
90,02/05/26 03:50:00 PM,2.85,25.62,,,,
91,02/05/26 04:00:00 PM,2.87,25.64,,,,
92,02/05/26 04:10:00 PM,3.12,25.68,,,,
93,02/05/26 04:20:00 PM,3.21,25.68,,,,
94,02/05/26 04:30:00 PM,3.08,25.70,,,,
95,02/05/26 04:40:00 PM,3.00,25.68,,,,
96,02/05/26 04:50:00 PM,2.95,25.68,,,,
97,02/05/26 05:00:00 PM,2.88,25.66,,,,
98,02/05/26 05:10:00 PM,2.89,25.64,,,,
99,02/05/26 05:20:00 PM,2.84,25.62,,,,
100,02/05/26 05:30:00 PM,2.84,25.62,,,,
101,02/05/26 05:40:00 PM,2.79,25.58,,,,
102,02/05/26 05:50:00 PM,2.73,25.56,,,,
103,02/05/26 06:00:00 PM,2.66,25.52,,,,
104,02/05/26 06:10:00 PM,2.58,25.50,,,,
105,02/05/26 06:20:00 PM,2.56,25.46,,,,
106,02/05/26 06:30:00 PM,2.56,25.44,,,,
107,02/05/26 06:40:00 PM,2.52,25.40,,,,
108,02/05/26 06:50:00 PM,2.56,25.36,,,,
109,02/05/26 07:00:00 PM,2.53,25.34,,,,
110,02/05/26 07:10:00 PM,2.49,25.32,,,,
111,02/05/26 07:20:00 PM,2.46,25.30,,,,
112,02/05/26 07:30:00 PM,2.42,25.26,,,,
113,02/05/26 07:40:00 PM,2.40,25.24,,,,
114,02/05/26 07:50:00 PM,2.36,25.22,,,,
115,02/05/26 08:00:00 PM,2.40,25.18,,,,
116,02/05/26 08:10:00 PM,2.42,25.16,,,,
117,02/05/26 08:20:00 PM,2.38,25.14,,,,
118,02/05/26 08:30:00 PM,2.30,25.12,,,,
119,02/05/26 08:40:00 PM,2.28,25.08,,,,
120,02/05/26 08:50:00 PM,2.38,25.06,,,,
121,02/05/26 09:00:00 PM,2.23,25.04,,,,
122,02/05/26 09:10:00 PM,2.21,25.02,,,,
123,02/05/26 09:20:00 PM,2.17,24.98,,,,
124,02/05/26 09:30:00 PM,2.16,24.96,,,,
125,02/05/26 09:40:00 PM,2.15,24.94,,,,
126,02/05/26 09:50:00 PM,2.09,24.92,,,,
127,02/05/26 10:00:00 PM,2.04,24.88,,,,
128,02/05/26 10:10:00 PM,2.01,24.86,,,,
129,02/05/26 10:20:00 PM,1.98,24.86,,,,
130,02/05/26 10:30:00 PM,1.87,24.82,,,,
131,02/05/26 10:40:00 PM,1.86,24.80,,,,
132,02/05/26 10:50:00 PM,1.82,24.78,,,,
133,02/05/26 11:00:00 PM,1.83,24.76,,,,
134,02/05/26 11:10:00 PM,1.75,24.74,,,,
135,02/05/26 11:20:00 PM,1.73,24.72,,,,
136,02/05/26 11:30:00 PM,1.71,24.68,,,,
137,02/05/26 11:40:00 PM,1.74,24.66,,,,
138,02/05/26 11:50:00 PM,1.76,24.64,,,,
139,02/06/26 12:00:00 AM,1.72,24.62,,,,
140,02/06/26 12:10:00 AM,1.62,24.60,,,,
141,02/06/26 12:20:00 AM,1.65,24.58,,,,
142,02/06/26 12:30:00 AM,1.60,24.54,,,,
143,02/06/26 12:40:00 AM,1.60,24.52,,,,
144,02/06/26 12:50:00 AM,1.58,24.50,,,,
145,02/06/26 01:00:00 AM,1.61,24.46,,,,
146,02/06/26 01:10:00 AM,1.56,24.44,,,,
147,02/06/26 01:20:00 AM,1.54,24.42,,,,
148,02/06/26 01:30:00 AM,1.51,24.40,,,,
149,02/06/26 01:40:00 AM,1.49,24.38,,,,
150,02/06/26 01:50:00 AM,1.46,24.36,,,,
151,02/06/26 02:00:00 AM,1.43,24.34,,,,
152,02/06/26 02:10:00 AM,1.44,24.32,,,,
153,02/06/26 02:20:00 AM,1.42,24.28,,,,
154,02/06/26 02:30:00 AM,1.39,24.26,,,,
155,02/06/26 02:40:00 AM,1.40,24.24,,,,
156,02/06/26 02:50:00 AM,1.35,24.22,,,,
157,02/06/26 03:00:00 AM,1.34,24.20,,,,
158,02/06/26 03:10:00 AM,1.32,24.18,,,,
159,02/06/26 03:20:00 AM,1.29,24.16,,,,
160,02/06/26 03:30:00 AM,1.26,24.12,,,,
161,02/06/26 03:40:00 AM,1.23,24.10,,,,
162,02/06/26 03:50:00 AM,1.23,24.08,,,,
163,02/06/26 04:00:00 AM,1.20,24.06,,,,
164,02/06/26 04:10:00 AM,1.21,24.04,,,,
165,02/06/26 04:20:00 AM,1.20,24.02,,,,
166,02/06/26 04:30:00 AM,1.19,24.00,,,,
167,02/06/26 04:40:00 AM,1.21,23.98,,,,
168,02/06/26 04:50:00 AM,1.17,23.96,,,,
169,02/06/26 05:00:00 AM,1.14,23.94,,,,
170,02/06/26 05:10:00 AM,1.15,23.92,,,,
171,02/06/26 05:20:00 AM,1.13,23.90,,,,
172,02/06/26 05:30:00 AM,1.11,23.88,,,,
173,02/06/26 05:40:00 AM,1.05,23.86,,,,
174,02/06/26 05:50:00 AM,1.04,23.84,,,,
175,02/06/26 06:00:00 AM,1.04,23.82,,,,
176,02/06/26 06:10:00 AM,1.02,23.78,,,,
177,02/06/26 06:20:00 AM,1.03,23.78,,,,
178,02/06/26 06:30:00 AM,1.02,23.76,,,,
179,02/06/26 06:40:00 AM,1.00,23.74,,,,
180,02/06/26 06:50:00 AM,0.97,23.72,,,,
181,02/06/26 07:00:00 AM,1.00,23.70,,,,
182,02/06/26 07:10:00 AM,1.00,23.68,,,,
183,02/06/26 07:20:00 AM,0.96,23.66,,,,
184,02/06/26 07:30:00 AM,0.96,23.66,,,,
185,02/06/26 07:40:00 AM,0.90,23.64,,,,
186,02/06/26 07:50:00 AM,0.92,23.62,,,,
187,02/06/26 08:00:00 AM,0.96,23.62,,,,
188,02/06/26 08:10:00 AM,0.92,23.60,,,,
189,02/06/26 08:20:00 AM,0.91,23.60,,,,
190,02/06/26 08:30:00 AM,0.97,23.60,,,,
191,02/06/26 08:40:00 AM,1.02,23.60,,,,
192,02/06/26 08:50:00 AM,1.07,23.62,,,,
193,02/06/26 09:00:00 AM,1.11,23.62,,,,
194,02/06/26 09:10:00 AM,1.17,23.64,,,,
195,02/06/26 09:20:00 AM,1.28,23.70,,,,
196,02/06/26 09:30:00 AM,1.42,23.74,,,,
197,02/06/26 09:40:00 AM,1.44,23.78,,,,
198,02/06/26 09:50:00 AM,1.42,23.76,,,,
199,02/06/26 10:00:00 AM,1.49,23.74,,,,
200,02/06/26 10:10:00 AM,1.58,23.78,,,,
201,02/06/26 10:20:00 AM,1.65,23.82,,,,
202,02/06/26 10:30:00 AM,1.73,23.94,,,,
203,02/06/26 10:40:00 AM,1.67,23.96,,,,
204,02/06/26 10:50:00 AM,1.74,23.96,,,,
205,02/06/26 11:00:00 AM,1.89,23.98,,,,
206,02/06/26 11:10:00 AM,2.04,24.04,,,,
207,02/06/26 11:20:00 AM,2.02,24.08,,,,
208,02/06/26 11:30:00 AM,2.33,24.20,,,,
209,02/06/26 11:40:00 AM,2.31,24.32,,,,
210,02/06/26 11:50:00 AM,2.11,24.24,,,,
211,02/06/26 12:00:00 PM,2.30,24.30,,,,
212,02/06/26 12:10:00 PM,2.42,24.34,,,,
213,02/06/26 12:20:00 PM,2.47,24.36,,,,
