"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,02/05/26 01:00:00 AM,8.67,23.50,,,,
2,02/05/26 01:10:00 AM,8.69,23.38,,,,
3,02/05/26 01:20:00 AM,8.70,23.24,,,,
4,02/05/26 01:30:00 AM,8.72,23.12,,,,
5,02/05/26 01:40:00 AM,8.75,23.00,,,,
6,02/05/26 01:50:00 AM,8.77,22.88,,,,
7,02/05/26 02:00:00 AM,8.78,22.76,,,,
8,02/05/26 02:10:00 AM,8.81,22.64,,,,
9,02/05/26 02:20:00 AM,8.83,22.52,,,,
10,02/05/26 02:30:00 AM,8.84,22.40,,,,
11,02/05/26 02:40:00 AM,8.86,22.30,,,,
12,02/05/26 02:50:00 AM,8.87,22.20,,,,
13,02/05/26 03:00:00 AM,8.90,22.10,,,,
14,02/05/26 03:10:00 AM,8.90,21.98,,,,
15,02/05/26 03:20:00 AM,8.93,21.88,,,,
16,02/05/26 03:30:00 AM,8.94,21.78,,,,
17,02/05/26 03:40:00 AM,8.96,21.70,,,,
18,02/05/26 03:50:00 AM,8.97,21.60,,,,
19,02/05/26 04:00:00 AM,8.98,21.52,,,,
20,02/05/26 04:10:00 AM,9.00,21.42,,,,
21,02/05/26 04:20:00 AM,9.03,21.34,,,,
22,02/05/26 04:30:00 AM,9.04,21.26,,,,
23,02/05/26 04:40:00 AM,9.04,21.16,,,,
24,02/05/26 04:50:00 AM,9.07,21.10,,,,
25,02/05/26 05:00:00 AM,9.08,21.02,,,,
26,02/05/26 05:10:00 AM,9.10,20.94,,,,
27,02/05/26 05:20:00 AM,9.10,20.86,,,,
28,02/05/26 05:30:00 AM,9.12,20.80,,,,
29,02/05/26 05:40:00 AM,9.12,20.74,,,,
30,02/05/26 05:50:00 AM,9.14,20.70,,,,
31,02/05/26 06:00:00 AM,9.15,20.64,,,,
32,02/05/26 06:10:00 AM,9.15,20.62,,,,
33,02/05/26 06:20:00 AM,9.15,20.60,,,,
34,02/05/26 06:30:00 AM,9.17,20.58,,,,
35,02/05/26 06:40:00 AM,9.16,20.56,,,,
36,02/05/26 06:50:00 AM,9.16,20.54,,,,
37,02/05/26 07:00:00 AM,9.17,20.52,,,,
38,02/05/26 07:10:00 AM,9.17,20.52,,,,
39,02/05/26 07:20:00 AM,9.17,20.50,,,,
40,02/05/26 07:30:00 AM,9.18,20.50,,,,
41,02/05/26 07:40:00 AM,9.17,20.50,,,,
42,02/05/26 07:50:00 AM,9.18,20.48,,,,
43,02/05/26 08:00:00 AM,9.18,20.50,,,,
44,02/05/26 08:10:00 AM,9.18,20.50,,,,
45,02/05/26 08:20:00 AM,9.18,20.52,,,,
46,02/05/26 08:30:00 AM,9.16,20.56,,,,
47,02/05/26 08:40:00 AM,9.18,20.62,,,,
48,02/05/26 08:50:00 AM,9.15,20.78,,,,
49,02/05/26 09:00:00 AM,9.11,21.06,,,,
50,02/05/26 09:10:00 AM,8.99,21.86,,,,
51,02/05/26 09:20:00 AM,8.86,22.92,,,,
52,02/05/26 09:30:00 AM,8.71,23.82,,,,
53,02/05/26 09:40:00 AM,8.53,24.98,,,,
54,02/05/26 09:50:00 AM,8.42,25.38,,,,
55,02/05/26 10:00:00 AM,8.39,25.50,,,,
56,02/05/26 10:10:00 AM,8.27,26.28,,,,
57,02/05/26 10:20:00 AM,8.15,26.94,,,,
58,02/05/26 10:30:00 AM,8.05,27.36,,,,
59,02/05/26 10:40:00 AM,8.10,27.00,,,,
60,02/05/26 10:50:00 AM,6.87,25.92,,,,
61,02/05/26 11:00:00 AM,7.03,24.28,,,,
62,02/05/26 11:10:00 AM,7.21,23.98,,,,
63,02/05/26 11:20:00 AM,7.43,23.90,,,,
64,02/05/26 11:30:00 AM,7.39,23.88,,,,
65,02/05/26 11:40:00 AM,7.40,23.88,,,,
66,02/05/26 11:50:00 AM,7.51,23.90,,,,
67,02/05/26 12:00:00 PM,7.47,23.90,,,,
68,02/05/26 12:10:00 PM,7.53,23.90,,,,
69,02/05/26 12:20:00 PM,7.55,23.92,,,,
70,02/05/26 12:30:00 PM,7.53,23.94,,,,
71,02/05/26 12:40:00 PM,7.61,23.92,,,,
