"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,03/07/25 01:00:00 AM,8.77,22.56,,,,
2,03/07/25 01:10:00 AM,8.77,22.56,,,,
3,03/07/25 01:20:00 AM,8.77,22.50,,,,
4,03/07/25 01:30:00 AM,8.77,22.46,,,,
5,03/07/25 01:40:00 AM,8.77,22.46,,,,
6,03/07/25 01:50:00 AM,8.77,22.48,,,,
7,03/07/25 02:00:00 AM,8.78,22.48,,,,
8,03/07/25 02:10:00 AM,8.78,22.50,,,,
9,03/07/25 02:20:00 AM,8.77,22.50,,,,
10,03/07/25 02:30:00 AM,8.77,22.44,,,,
11,03/07/25 02:40:00 AM,8.78,22.40,,,,
12,03/07/25 02:50:00 AM,8.79,22.40,,,,
13,03/07/25 03:00:00 AM,8.78,22.40,,,,
14,03/07/25 03:10:00 AM,8.78,22.40,,,,
15,03/07/25 03:20:00 AM,8.78,22.42,,,,
16,03/07/25 03:30:00 AM,8.78,22.42,,,,
17,03/07/25 03:40:00 AM,8.78,22.40,,,,
18,03/07/25 03:50:00 AM,8.80,22.34,,,,
19,03/07/25 04:00:00 AM,8.79,22.30,,,,
20,03/07/25 04:10:00 AM,8.80,22.30,,,,
21,03/07/25 04:20:00 AM,8.80,22.30,,,,
22,03/07/25 04:30:00 AM,8.79,22.32,,,,
23,03/07/25 04:40:00 AM,8.80,22.34,,,,
24,03/07/25 04:50:00 AM,8.79,22.34,,,,
25,03/07/25 05:00:00 AM,8.79,22.34,,,,
26,03/07/25 05:10:00 AM,8.78,22.34,,,,
27,03/07/25 05:20:00 AM,8.79,22.30,,,,
28,03/07/25 05:30:00 AM,8.80,22.26,,,,
29,03/07/25 05:40:00 AM,8.81,22.24,,,,
