"Plot Title: 21446085"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21446085, SEN S/N: 21446085)","Temp, °C (LGR S/N: 21446085, SEN S/N: 21446085)","Coupler Attached (LGR S/N: 21446085)","Host Connected (LGR S/N: 21446085)","Stopped (LGR S/N: 21446085)","End Of File (LGR S/N: 21446085)"
1,10/28/25 02:00:00 AM,8.98,21.92,,,,
2,10/28/25 02:10:00 AM,8.99,21.92,,,,
3,10/28/25 02:20:00 AM,8.98,21.92,,,,
4,10/28/25 02:30:00 AM,8.98,21.92,,,,
5,10/28/25 02:40:00 AM,8.99,21.88,,,,
6,10/28/25 02:50:00 AM,8.99,21.86,,,,
7,10/28/25 03:00:00 AM,8.99,21.86,,,,
8,10/28/25 03:10:00 AM,8.99,21.88,,,,
9,10/28/25 03:20:00 AM,8.99,21.86,,,,
10,10/28/25 03:30:00 AM,9.00,21.82,,,,
11,10/28/25 03:40:00 AM,9.00,21.82,,,,
12,10/28/25 03:50:00 AM,8.99,21.82,,,,
13,10/28/25 04:00:00 AM,8.99,21.82,,,,
14,10/28/25 04:10:00 AM,9.01,21.78,,,,
15,10/28/25 04:20:00 AM,9.00,21.76,,,,
16,10/28/25 04:30:00 AM,9.00,21.78,,,,
17,10/28/25 04:40:00 AM,9.00,21.78,,,,
18,10/28/25 04:50:00 AM,9.00,21.76,,,,
19,10/28/25 05:00:00 AM,9.01,21.74,,,,
20,10/28/25 05:10:00 AM,9.01,21.74,,,,
21,10/28/25 05:20:00 AM,9.00,21.74,,,,
22,10/28/25 05:30:00 AM,9.01,21.74,,,,
23,10/28/25 05:40:00 AM,9.01,21.70,,,,
24,10/28/25 05:50:00 AM,9.01,21.70,,,,
25,10/28/25 06:00:00 AM,9.00,21.72,,,,
26,10/28/25 06:10:00 AM,9.01,21.72,,,,
27,10/28/25 06:20:00 AM,9.01,21.70,,,,
28,10/28/25 06:30:00 AM,9.02,21.68,,,,
29,10/28/25 06:40:00 AM,9.02,21.70,,,,
30,10/28/25 06:50:00 AM,9.01,21.70,,,,
31,10/28/25 07:00:00 AM,9.03,21.66,,,,
32,10/28/25 07:10:00 AM,9.03,21.66,,,,
33,10/28/25 07:20:00 AM,9.03,21.68,,,,
34,10/28/25 07:30:00 AM,9.02,21.66,,,,
35,10/28/25 07:40:00 AM,9.03,21.64,,,,
36,10/28/25 07:50:00 AM,9.02,21.66,,,,
37,10/28/25 08:00:00 AM,9.02,21.64,,,,
38,10/28/25 08:10:00 AM,9.03,21.64,,,,
39,10/28/25 08:20:00 AM,9.02,21.64,,,,
40,10/28/25 08:30:00 AM,9.02,21.64,,,,
41,10/28/25 08:40:00 AM,9.02,21.64,,,,
42,10/28/25 08:50:00 AM,9.03,21.66,,,,
43,10/28/25 09:00:00 AM,9.02,21.66,,,,
44,10/28/25 09:10:00 AM,9.02,21.66,,,,
45,10/28/25 09:20:00 AM,9.02,21.68,,,,
46,10/28/25 09:30:00 AM,9.03,21.68,,,,
47,10/28/25 09:40:00 AM,9.02,21.68,,,,
48,10/28/25 09:50:00 AM,9.02,21.68,,,,
49,10/28/25 10:00:00 AM,9.02,21.70,,,,
50,10/28/25 10:10:00 AM,9.02,21.72,,,,
51,10/28/25 10:20:00 AM,9.01,21.72,,,,
52,10/28/25 10:30:00 AM,9.01,21.74,,,,
53,10/28/25 10:40:00 AM,9.01,21.76,,,,
54,10/28/25 10:50:00 AM,9.00,21.78,,,,
55,10/28/25 11:00:00 AM,9.00,21.80,,,,
56,10/28/25 11:10:00 AM,8.98,21.84,,,,
57,10/28/25 11:20:00 AM,8.99,21.82,,,,
58,10/28/25 11:30:00 AM,8.98,21.84,,,,
59,10/28/25 11:40:00 AM,8.98,21.86,,,,
60,10/28/25 11:50:00 AM,8.97,21.90,,,,
61,10/28/25 12:00:00 PM,8.95,21.98,,,,
62,10/28/25 12:10:00 PM,8.95,22.06,,,,
63,10/28/25 12:20:00 PM,8.92,22.14,,,,
64,10/28/25 12:30:00 PM,8.89,22.24,,,,
