"Plot Title: 21515403"
"#","Date Time, GMT-10:00","DO conc, mg/L (LGR S/N: 21515403, SEN S/N: 21515403)","Temp, °C (LGR S/N: 21515403, SEN S/N: 21515403)","Coupler Attached (LGR S/N: 21515403)","Host Connected (LGR S/N: 21515403)","Coupler Detached (LGR S/N: 21515403)","Stopped (LGR S/N: 21515403)","End Of File (LGR S/N: 21515403)"
1,10/28/25 02:00:00 AM,8.90,21.94,,,,,
2,10/28/25 02:10:00 AM,8.89,21.94,,,,,
3,10/28/25 02:20:00 AM,8.89,21.94,,,,,
4,10/28/25 02:30:00 AM,8.89,21.94,,,,,
5,10/28/25 02:40:00 AM,8.90,21.92,,,,,
6,10/28/25 02:50:00 AM,8.90,21.88,,,,,
7,10/28/25 03:00:00 AM,8.89,21.88,,,,,
8,10/28/25 03:10:00 AM,8.90,21.88,,,,,
9,10/28/25 03:20:00 AM,8.90,21.88,,,,,
10,10/28/25 03:30:00 AM,8.91,21.84,,,,,
11,10/28/25 03:40:00 AM,8.91,21.82,,,,,
12,10/28/25 03:50:00 AM,8.91,21.84,,,,,
13,10/28/25 04:00:00 AM,8.91,21.84,,,,,
14,10/28/25 04:10:00 AM,8.91,21.80,,,,,
15,10/28/25 04:20:00 AM,8.91,21.78,,,,,
16,10/28/25 04:30:00 AM,8.91,21.78,,,,,
17,10/28/25 04:40:00 AM,8.91,21.80,,,,,
18,10/28/25 04:50:00 AM,8.91,21.78,,,,,
19,10/28/25 05:00:00 AM,8.91,21.76,,,,,
20,10/28/25 05:10:00 AM,8.92,21.76,,,,,
21,10/28/25 05:20:00 AM,8.92,21.76,,,,,
22,10/28/25 05:30:00 AM,8.91,21.78,,,,,
23,10/28/25 05:40:00 AM,8.94,21.74,,,,,
24,10/28/25 05:50:00 AM,8.92,21.74,,,,,
25,10/28/25 06:00:00 AM,8.92,21.74,,,,,
26,10/28/25 06:10:00 AM,8.92,21.74,,,,,
27,10/28/25 06:20:00 AM,8.92,21.72,,,,,
28,10/28/25 06:30:00 AM,8.94,21.72,,,,,
29,10/28/25 06:40:00 AM,8.94,21.72,,,,,
30,10/28/25 06:50:00 AM,8.94,21.72,,,,,
31,10/28/25 07:00:00 AM,8.94,21.70,,,,,
32,10/28/25 07:10:00 AM,8.94,21.68,,,,,
33,10/28/25 07:20:00 AM,8.94,21.70,,,,,
34,10/28/25 07:30:00 AM,8.94,21.68,,,,,
35,10/28/25 07:40:00 AM,8.95,21.66,,,,,
36,10/28/25 07:50:00 AM,8.95,21.68,,,,,
37,10/28/25 08:00:00 AM,8.95,21.66,,,,,
38,10/28/25 08:10:00 AM,8.95,21.66,,,,,
39,10/28/25 08:20:00 AM,8.95,21.66,,,,,
40,10/28/25 08:30:00 AM,8.94,21.68,,,,,
41,10/28/25 08:40:00 AM,8.95,21.68,,,,,
42,10/28/25 08:50:00 AM,8.95,21.70,,,,,
43,10/28/25 09:00:00 AM,8.95,21.70,,,,,
44,10/28/25 09:10:00 AM,8.94,21.70,,,,,
45,10/28/25 09:20:00 AM,8.95,21.72,,,,,
46,10/28/25 09:30:00 AM,8.95,21.72,,,,,
47,10/28/25 09:40:00 AM,8.94,21.74,,,,,
48,10/28/25 09:50:00 AM,8.94,21.74,,,,,
49,10/28/25 10:00:00 AM,8.94,21.76,,,,,
50,10/28/25 10:10:00 AM,8.92,21.78,,,,,
51,10/28/25 10:20:00 AM,8.92,21.78,,,,,
52,10/28/25 10:30:00 AM,8.91,21.80,,,,,
53,10/28/25 10:40:00 AM,8.92,21.82,,,,,
54,10/28/25 10:50:00 AM,8.90,21.84,,,,,
55,10/28/25 11:00:00 AM,8.90,21.88,,,,,
56,10/28/25 11:10:00 AM,8.90,21.90,,,,,
57,10/28/25 11:20:00 AM,8.90,21.90,,,,,
58,10/28/25 11:30:00 AM,8.89,21.90,,,,,
59,10/28/25 11:40:00 AM,8.89,21.94,,,,,
60,10/28/25 11:50:00 AM,8.88,21.98,,,,,
61,10/28/25 12:00:00 PM,8.86,22.06,,,,,
62,10/28/25 12:10:00 PM,8.85,22.14,,,,,
63,10/28/25 12:20:00 PM,8.83,22.24,,,,,
64,10/28/25 12:30:00 PM,8.81,22.36,,,,,
65,10/28/25 12:40:00 PM,8.80,22.46,,,,,
66,10/28/25 12:50:00 PM,8.77,22.58,,,,,
67,10/28/25 01:00:00 PM,8.75,22.70,,,,,
68,10/28/25 01:10:00 PM,8.72,22.80,,,,,
69,10/28/25 01:20:00 PM,8.70,22.90,,,,,
70,10/28/25 01:30:00 PM,8.69,23.02,,,,,
71,10/28/25 01:40:00 PM,8.67,23.12,,,,,
72,10/28/25 01:50:00 PM,8.64,23.24,,,,,
73,10/28/25 02:00:00 PM,8.63,23.34,,,,,
74,10/28/25 02:10:00 PM,8.61,23.46,,,,,
75,10/28/25 02:20:00 PM,8.59,23.54,,,,,
76,10/28/25 02:30:00 PM,8.58,23.62,,,,,
77,10/28/25 02:40:00 PM,8.59,23.56,,,,,
78,10/28/25 02:50:00 PM,8.60,23.44,,,,,
79,10/28/25 03:00:00 PM,8.62,23.36,,,,,
80,10/28/25 03:10:00 PM,8.62,23.26,,,,,
81,10/28/25 03:20:00 PM,8.66,23.10,,,,,
