Serial Number:	20839036 --

Date Time, GMT -1000	Temp, (*C)	mV	pH	Water Detect	Button Down	Button Up	Host Connect	EOF	
2022-04-07 06:00:00	21.33	168.22	3.74	 	 	 	 	 	
2022-04-07 06:10:00	21.33	168.21	3.74	 	 	 	 	 	
2022-04-07 06:20:00	21.26	168.21	3.74	 	 	 	 	 	
2022-04-07 06:30:00	21.16	168.21	3.74	 	 	 	 	 	
2022-04-07 06:40:00	21.11	168.21	3.74	 	 	 	 	 	
2022-04-07 06:50:00	21.11	168.21	3.74	 	 	 	 	 	
2022-04-07 07:00:00	21.14	168.21	3.74	 	 	 	 	 	
2022-04-07 07:10:00	21.14	168.19	3.74	 	 	 	 	 	
2022-04-07 07:20:00	21.16	168.19	3.74	 	 	 	 	 	
2022-04-07 07:30:00	21.16	168.19	3.74	 	 	 	 	 	
2022-04-07 07:40:00	21.19	168.19	3.74	 	 	 	 	 	
2022-04-07 07:50:00	21.21	168.19	3.74	 	 	 	 	 	
2022-04-07 08:00:00	21.23	168.18	3.74	 	 	 	 	 	
2022-04-07 08:10:00	21.16	168.18	3.74	 	 	 	 	 	
2022-04-07 08:20:00	21.14	168.04	3.74	 	 	 	 	 	
2022-04-07 08:30:00	21.38	168.19	3.74	 	 	 	 	 	
2022-04-07 08:40:00	21.81	168.41	3.74	 	 	 	 	 	
2022-04-07 08:50:00	22.38	168.43	3.75	 	 	 	 	 	
2022-04-07 09:00:00	24.64	169.46	3.75	 	 	 	 	 	
2022-04-07 09:10:00	26.00	168.65	3.78	 	 	 	 	 	
2022-04-07 09:20:00	27.72	168.66	3.80	 	 	 	 	 	
2022-04-07 09:30:00	27.86	168.91	3.80	 	 	 	 	 	
2022-04-07 09:40:00	27.96	169.01	3.80	 	 	 	 	 	
2022-04-07 09:50:00	31.02	168.93	3.83	 	 	 	 	 	
2022-04-07 09:51:05	 	 	 	Out	 	 	 	 	
2022-04-07 09:53:35	 	 	 	In	 	 	 	 	
2022-04-07 10:00:00	25.05	-20.30	7.19	 	 	 	 	 	
2022-04-07 10:10:00	23.97	-20.38	7.19	 	 	 	 	 	
2022-04-07 10:20:00	23.63	-20.38	7.19	 	 	 	 	 	
2022-04-07 10:30:00	23.44	-20.27	7.19	 	 	 	 	 	
2022-04-07 10:40:00	23.32	-20.20	7.19	 	 	 	 	 	
2022-04-07 10:50:00	23.24	-20.22	7.19	 	 	 	 	 	
2022-04-07 11:00:00	23.17	-20.23	7.19	 	 	 	 	 	
2022-04-07 11:10:00	23.12	-20.23	7.19	 	 	 	 	 	
2022-04-07 11:20:00	23.08	-20.09	7.19	 	 	 	 	 	
2022-04-07 11:30:00	23.05	-20.14	7.19	 	 	 	 	 	
2022-04-07 11:40:00	23.03	-20.13	7.19	 	 	 	 	 	
2022-04-07 11:50:00	23.00	-20.11	7.19	 	 	 	 	 	
2022-04-07 12:00:00	22.98	-20.13	7.19	 	 	 	 	 	
2022-04-07 12:10:00	22.96	-20.16	7.19	 	 	 	 	 	
2022-04-07 12:20:00	22.96	-20.14	7.19	 	 	 	 	 	
2022-04-07 12:30:00	22.93	-20.14	7.19	 	 	 	 	 	
2022-04-07 12:40:00	22.93	-20.14	7.19	 	 	 	 	 	
2022-04-07 12:50:00	22.91	-20.19	7.19	 	 	 	 	 	
2022-04-07 13:00:00	22.91	-20.20	7.19	 	 	 	 	 	
2022-04-07 13:10:00	22.91	-20.23	7.19	 	 	 	 	 	
2022-04-07 13:20:00	22.88	-20.28	7.19	 	 	 	 	 	
2022-04-07 13:30:00	22.88	-20.31	7.19	 	 	 	 	 	
2022-04-07 13:40:00	22.88	-20.34	7.19	 	 	 	 	 	
2022-04-07 13:50:00	22.86	-20.39	7.20	 	 	 	 	 	
2022-04-07 14:00:00	22.86	-20.42	7.20	 	 	 	 	 	
2022-04-07 14:10:00	22.86	-20.49	7.20	 	 	 	 	 	
2022-04-07 14:20:00	22.86	-20.50	7.20	 	 	 	 	 	
2022-04-07 14:30:00	22.86	-20.55	7.20	 	 	 	 	 	
2022-04-07 14:40:00	22.84	-20.61	7.20	 	 	 	 	 	
2022-04-07 14:50:00	22.84	-20.64	7.20	 	 	 	 	 	
2022-04-07 15:00:00	22.84	-20.70	7.20	 	 	 	 	 	
2022-04-07 15:10:00	22.84	-20.75	7.20	 	 	 	 	 	
2022-04-07 15:20:00	22.84	-20.81	7.20	 	 	 	 	 	
2022-04-07 15:30:00	22.84	-20.88	7.20	 	 	 	 	 	
2022-04-07 15:40:00	22.84	-20.94	7.21	 	 	 	 	 	
2022-04-07 15:50:00	22.84	-20.95	7.21	 	 	 	 	 	
2022-04-07 16:00:00	22.84	-21.02	7.21	 	 	 	 	 	
2022-04-07 16:10:00	22.81	-21.05	7.21	 	 	 	 	 	
2022-04-07 16:20:00	22.81	-21.13	7.21	 	 	 	 	 	
2022-04-07 16:30:00	22.81	-21.17	7.21	 	 	 	 	 	
2022-04-07 16:40:00	22.81	-21.19	7.21	 	 	 	 	 	
2022-04-07 16:50:00	22.81	-21.19	7.21	 	 	 	 	 	
2022-04-07 17:00:00	22.81	-21.30	7.21	 	 	 	 	 	
2022-04-07 17:10:00	22.81	-21.34	7.21	 	 	 	 	 	
