#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,End of File
1,04/04/2024 01:00:00,25.14,179.86,3.55,,,,
2,04/04/2024 01:10:00,25.06,179.82,3.55,,,,
3,04/04/2024 01:20:00,24.97,179.79,3.55,,,,
4,04/04/2024 01:30:00,24.92,179.77,3.55,,,,
5,04/04/2024 01:40:00,24.85,179.71,3.55,,,,
6,04/04/2024 01:50:00,24.77,179.71,3.55,,,,
7,04/04/2024 02:00:00,24.70,179.66,3.55,,,,
8,04/04/2024 02:10:00,24.65,179.61,3.55,,,,
9,04/04/2024 02:20:00,24.58,179.60,3.55,,,,
10,04/04/2024 02:30:00,24.51,179.57,3.55,,,,
11,04/04/2024 02:40:00,24.44,179.52,3.55,,,,
12,04/04/2024 02:50:00,24.39,179.52,3.55,,,,
13,04/04/2024 03:00:00,24.32,179.49,3.55,,,,
14,04/04/2024 03:10:00,24.24,179.43,3.55,,,,
15,04/04/2024 03:20:00,24.17,179.43,3.54,,,,
16,04/04/2024 03:30:00,24.12,179.40,3.54,,,,
17,04/04/2024 03:40:00,24.07,179.35,3.54,,,,
18,04/04/2024 03:50:00,24.00,179.35,3.54,,,,
19,04/04/2024 04:00:00,23.95,179.32,3.54,,,,
20,04/04/2024 04:10:00,23.91,179.27,3.54,,,,
21,04/04/2024 04:20:00,23.86,179.29,3.54,,,,
22,04/04/2024 04:30:00,23.81,179.26,3.54,,,,
23,04/04/2024 04:40:00,23.76,179.21,3.54,,,,
24,04/04/2024 04:50:00,23.74,179.21,3.54,,,,
25,04/04/2024 05:00:00,23.69,179.19,3.54,,,,
26,04/04/2024 05:10:00,23.66,179.15,3.54,,,,
27,04/04/2024 05:20:00,23.62,179.16,3.54,,,,
28,04/04/2024 05:30:00,23.57,179.13,3.54,,,,
29,04/04/2024 05:40:00,23.52,179.08,3.54,,,,
30,04/04/2024 05:50:00,23.45,179.08,3.54,,,,
31,04/04/2024 06:00:00,23.40,179.05,3.54,,,,
32,04/04/2024 06:10:00,23.33,179.02,3.54,,,,
33,04/04/2024 06:20:00,23.28,179.02,3.54,,,,
34,04/04/2024 06:30:00,23.21,178.99,3.54,,,,
35,04/04/2024 06:40:00,23.16,178.94,3.54,,,,
36,04/04/2024 06:50:00,23.09,178.94,3.54,,,,
37,04/04/2024 07:00:00,23.04,178.93,3.54,,,,
38,04/04/2024 07:10:00,23.02,178.88,3.54,,,,
39,04/04/2024 07:20:00,22.97,178.90,3.54,,,,
40,04/04/2024 07:30:00,22.97,178.88,3.54,,,,
41,04/04/2024 07:40:00,22.94,178.83,3.54,,,,
42,04/04/2024 07:50:00,22.94,178.86,3.54,,,,
43,04/04/2024 08:00:00,22.97,178.85,3.54,,,,
44,04/04/2024 08:10:00,22.99,178.82,3.54,,,,
45,04/04/2024 08:20:00,23.04,178.85,3.54,,,,
46,04/04/2024 08:30:00,23.09,178.86,3.54,,,,
47,04/04/2024 08:40:00,23.11,178.85,3.54,,,,
48,04/04/2024 08:50:00,23.33,178.90,3.54,,,,
49,04/04/2024 09:00:00,23.76,178.94,3.55,,,,
50,04/04/2024 09:10:00,24.19,179.05,3.55,,,,
51,04/04/2024 09:20:00,25.91,179.40,3.57,,,,
52,04/04/2024 09:30:00,26.43,179.52,3.57,,,,
53,04/04/2024 09:40:00,27.04,179.72,3.57,,,,
54,04/04/2024 09:50:00,27.53,172.44,3.71,,,,
55,04/04/2024 10:00:00,23.71,-37.59,7.57,,,,
56,04/04/2024 10:10:00,23.26,-38.36,7.58,,,,
57,04/04/2024 10:20:00,23.18,-39.49,7.60,,,,
58,04/04/2024 10:30:00,23.21,-40.66,7.63,,,,
59,04/04/2024 10:40:00,23.28,-41.27,7.64,,,,
60,04/04/2024 10:50:00,23.42,-42.50,7.66,,,,
61,04/04/2024 11:00:00,23.54,-43.77,7.68,,,,
62,04/04/2024 11:10:00,23.54,-43.85,7.68,,,,
63,04/04/2024 11:20:00,23.69,-44.60,7.70,,,,
64,04/04/2024 11:30:00,23.86,-46.03,7.72,,,,
65,04/04/2024 11:40:00,23.95,-47.64,7.75,,,,
66,04/04/2024 11:50:00,24.07,-48.24,7.76,,,,
67,04/04/2024 12:00:00,24.22,-51.03,7.82,,,,
68,04/04/2024 12:10:00,24.22,-49.67,7.79,,,,
69,04/04/2024 12:20:00,24.29,-51.97,7.83,,,,
70,04/04/2024 12:30:00,24.29,-50.81,7.81,,,,
71,04/04/2024 12:40:00,24.34,-55.13,7.89,,,,
72,04/04/2024 12:50:00,24.46,-56.41,7.92,,,,
73,04/04/2024 13:00:00,24.53,-55.38,7.90,,,,
74,04/04/2024 13:10:00,24.53,-56.47,7.92,,,,
75,04/04/2024 13:20:00,24.58,-56.70,7.92,,,,
76,04/04/2024 13:30:00,24.58,-59.69,7.98,,,,
77,04/04/2024 13:40:00,24.63,-57.95,7.94,,,,
78,04/04/2024 13:50:00,24.63,-59.75,7.98,,,,
79,04/04/2024 14:00:00,24.58,-57.80,7.94,,,,
80,04/04/2024 14:10:00,24.58,-58.47,7.95,,,,
81,04/04/2024 14:20:00,24.63,-61.13,8.00,,,,
82,04/04/2024 14:30:00,24.60,-61.19,8.00,,,,
83,04/04/2024 14:40:00,24.63,-60.69,7.99,,,,
84,04/04/2024 14:50:00,24.63,-60.89,8.00,,,,
85,04/04/2024 15:00:00,24.65,-61.44,8.01,,,,
86,04/04/2024 15:10:00,24.63,-61.25,8.00,,,,
87,04/04/2024 15:20:00,24.60,-60.88,8.00,,,,
88,04/04/2024 15:30:00,24.60,-61.63,8.01,,,,
89,04/04/2024 15:40:00,24.56,-60.69,7.99,,,,
90,04/04/2024 15:50:00,24.60,-62.08,8.02,,,,
91,04/04/2024 16:00:00,24.56,-61.13,8.00,,,,
