#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,End of File
1,04/04/2024 01:00:00,25.23,179.65,3.63,,,,
2,04/04/2024 01:10:00,25.14,179.52,3.63,,,,
3,04/04/2024 01:20:00,25.06,179.60,3.63,,,,
4,04/04/2024 01:30:00,24.99,179.58,3.63,,,,
5,04/04/2024 01:40:00,24.92,179.44,3.63,,,,
6,04/04/2024 01:50:00,24.85,179.54,3.63,,,,
7,04/04/2024 02:00:00,24.77,179.51,3.63,,,,
8,04/04/2024 02:10:00,24.70,179.36,3.63,,,,
9,04/04/2024 02:20:00,24.63,179.46,3.63,,,,
10,04/04/2024 02:30:00,24.58,179.43,3.63,,,,
11,04/04/2024 02:40:00,24.51,179.29,3.63,,,,
12,04/04/2024 02:50:00,24.44,179.36,3.63,,,,
13,04/04/2024 03:00:00,24.36,179.33,3.63,,,,
14,04/04/2024 03:10:00,24.29,179.19,3.63,,,,
15,04/04/2024 03:20:00,24.24,179.29,3.63,,,,
16,04/04/2024 03:30:00,24.17,179.26,3.63,,,,
17,04/04/2024 03:40:00,24.12,179.11,3.63,,,,
18,04/04/2024 03:50:00,24.05,179.19,3.63,,,,
19,04/04/2024 04:00:00,24.00,179.16,3.63,,,,
20,04/04/2024 04:10:00,23.95,179.04,3.63,,,,
21,04/04/2024 04:20:00,23.91,179.13,3.63,,,,
22,04/04/2024 04:30:00,23.86,179.10,3.63,,,,
23,04/04/2024 04:40:00,23.81,178.96,3.63,,,,
24,04/04/2024 04:50:00,23.76,179.05,3.63,,,,
25,04/04/2024 05:00:00,23.74,179.04,3.63,,,,
26,04/04/2024 05:10:00,23.69,178.90,3.63,,,,
27,04/04/2024 05:20:00,23.64,178.99,3.63,,,,
28,04/04/2024 05:30:00,23.59,178.96,3.63,,,,
29,04/04/2024 05:40:00,23.54,178.82,3.63,,,,
30,04/04/2024 05:50:00,23.47,178.91,3.63,,,,
31,04/04/2024 06:00:00,23.42,178.88,3.63,,,,
32,04/04/2024 06:10:00,23.38,178.74,3.63,,,,
33,04/04/2024 06:20:00,23.30,178.82,3.63,,,,
34,04/04/2024 06:30:00,23.26,178.79,3.63,,,,
35,04/04/2024 06:40:00,23.18,178.66,3.63,,,,
36,04/04/2024 06:50:00,23.14,178.74,3.63,,,,
37,04/04/2024 07:00:00,23.09,178.71,3.63,,,,
38,04/04/2024 07:10:00,23.04,178.58,3.63,,,,
39,04/04/2024 07:20:00,23.02,178.68,3.63,,,,
40,04/04/2024 07:30:00,22.99,178.66,3.63,,,,
41,04/04/2024 07:40:00,22.99,178.55,3.63,,,,
42,04/04/2024 07:50:00,22.99,178.65,3.63,,,,
43,04/04/2024 08:00:00,22.99,178.65,3.63,,,,
44,04/04/2024 08:10:00,23.04,178.55,3.63,,,,
45,04/04/2024 08:20:00,23.06,178.68,3.63,,,,
46,04/04/2024 08:30:00,23.16,178.71,3.63,,,,
47,04/04/2024 08:40:00,23.23,178.65,3.63,,,,
48,04/04/2024 08:50:00,23.38,178.76,3.63,,,,
49,04/04/2024 09:00:00,23.76,178.85,3.63,,,,
50,04/04/2024 09:10:00,24.15,178.90,3.63,,,,
51,04/04/2024 09:20:00,25.84,179.32,3.65,,,,
52,04/04/2024 09:30:00,26.43,179.40,3.65,,,,
53,04/04/2024 09:40:00,27.80,179.04,3.67,,,,
54,04/04/2024 09:50:00,29.21,179.41,3.68,,,,
55,04/04/2024 10:00:00,31.46,179.33,3.71,,,,
56,04/04/2024 10:10:00,31.66,180.69,3.68,,,,
57,04/04/2024 10:20:00,30.37,180.63,3.67,,,,
58,04/04/2024 10:30:00,28.49,179.51,3.67,,,,
59,04/04/2024 10:40:00,23.95,-32.49,7.61,,,,
60,04/04/2024 10:50:00,23.33,-33.11,7.62,,,,
61,04/04/2024 11:00:00,23.11,-34.03,7.64,,,,
62,04/04/2024 11:10:00,23.09,-34.39,7.64,,,,
63,04/04/2024 11:20:00,23.06,-34.59,7.65,,,,
64,04/04/2024 11:30:00,23.09,-35.24,7.66,,,,
65,04/04/2024 11:40:00,23.09,-34.88,7.65,,,,
66,04/04/2024 11:50:00,23.14,-34.89,7.65,,,,
67,04/04/2024 12:00:00,23.14,-35.03,7.66,,,,
68,04/04/2024 12:10:00,23.16,-34.83,7.65,,,,
69,04/04/2024 12:20:00,23.16,-34.97,7.65,,,,
70,04/04/2024 12:30:00,23.18,-35.00,7.66,,,,
71,04/04/2024 12:40:00,23.16,-35.77,7.67,,,,
72,04/04/2024 12:50:00,23.18,-36.03,7.67,,,,
73,04/04/2024 13:00:00,23.23,-35.36,7.66,,,,
74,04/04/2024 13:10:00,23.28,-35.94,7.67,,,,
75,04/04/2024 13:20:00,23.28,-35.89,7.67,,,,
76,04/04/2024 13:30:00,23.28,-36.31,7.68,,,,
77,04/04/2024 13:40:00,23.30,-36.49,7.68,,,,
78,04/04/2024 13:50:00,23.30,-36.92,7.69,,,,
79,04/04/2024 14:00:00,23.28,-37.05,7.69,,,,
80,04/04/2024 14:10:00,23.28,-37.06,7.69,,,,
81,04/04/2024 14:20:00,23.28,-37.58,7.70,,,,
82,04/04/2024 14:30:00,23.28,-37.70,7.71,,,,
83,04/04/2024 14:40:00,23.28,-37.74,7.71,,,,
84,04/04/2024 14:50:00,23.26,-37.42,7.70,,,,
85,04/04/2024 15:00:00,23.28,-38.30,7.72,,,,
86,04/04/2024 15:10:00,23.28,-38.42,7.72,,,,
87,04/04/2024 15:20:00,23.35,-38.08,7.71,,,,
88,04/04/2024 15:30:00,23.38,-38.13,7.71,,,,
89,04/04/2024 15:40:00,23.38,-37.81,7.71,,,,
90,04/04/2024 15:50:00,23.28,-37.91,7.71,,,,
91,04/04/2024 16:00:00,23.26,-38.27,7.72,,,,
92,04/04/2024 16:10:00,23.23,-37.74,7.71,,,,
93,04/04/2024 16:20:00,23.23,-38.44,7.72,,,,
94,04/04/2024 16:30:00,23.21,-37.75,7.71,,,,
95,04/04/2024 16:40:00,23.21,-37.22,7.70,,,,
96,04/04/2024 16:50:00,23.23,-37.36,7.70,,,,
97,04/04/2024 17:00:00,23.21,-37.27,7.70,,,,
98,04/04/2024 17:10:00,23.18,-37.25,7.70,,,,
99,04/04/2024 17:20:00,23.16,-36.41,7.68,,,,
100,04/04/2024 17:30:00,23.14,-36.17,7.68,,,,
101,04/04/2024 17:40:00,23.11,-35.81,7.67,,,,
102,04/04/2024 17:50:00,23.09,-35.64,7.67,,,,
103,04/04/2024 18:00:00,23.09,-35.75,7.67,,,,
104,04/04/2024 18:10:00,23.06,-35.09,7.66,,,,
105,04/04/2024 18:20:00,23.04,-35.16,7.66,,,,
106,04/04/2024 18:30:00,23.02,-35.27,7.66,,,,
107,04/04/2024 18:40:00,23.02,-34.92,7.65,,,,
108,04/04/2024 18:50:00,22.97,-34.80,7.65,,,,
109,04/04/2024 19:00:00,22.97,-34.00,7.64,,,,
110,04/04/2024 19:10:00,22.94,-33.70,7.63,,,,
111,04/04/2024 19:20:00,22.94,-33.47,7.63,,,,
112,04/04/2024 19:30:00,22.92,-33.74,7.63,,,,
113,04/04/2024 19:40:00,22.92,-33.95,7.64,,,,
114,04/04/2024 19:50:00,22.90,-33.58,7.63,,,,
115,04/04/2024 20:00:00,22.90,-33.31,7.62,,,,
116,04/04/2024 20:10:00,22.90,-32.70,7.61,,,,
117,04/04/2024 20:20:00,22.87,-32.83,7.61,,,,
118,04/04/2024 20:30:00,22.87,-32.78,7.61,,,,
119,04/04/2024 20:40:00,22.85,-33.00,7.62,,,,
120,04/04/2024 20:50:00,22.85,-33.08,7.62,,,,
121,04/04/2024 21:00:00,22.82,-33.17,7.62,,,,
122,04/04/2024 21:10:00,22.82,-32.97,7.62,,,,
123,04/04/2024 21:20:00,22.82,-32.88,7.62,,,,
124,04/04/2024 21:30:00,22.80,-32.84,7.62,,,,
125,04/04/2024 21:40:00,22.80,-32.81,7.61,,,,
126,04/04/2024 21:50:00,22.80,-32.83,7.62,,,,
127,04/04/2024 22:00:00,22.78,-32.84,7.62,,,,
128,04/04/2024 22:10:00,22.78,-32.14,7.60,,,,
129,04/04/2024 22:20:00,22.78,-32.53,7.61,,,,
130,04/04/2024 22:30:00,22.78,-32.72,7.61,,,,
131,04/04/2024 22:40:00,22.78,-32.55,7.61,,,,
132,04/04/2024 22:50:00,22.75,-32.83,7.62,,,,
133,04/04/2024 23:00:00,22.75,-32.78,7.61,,,,
134,04/04/2024 23:10:00,22.75,-32.61,7.61,,,,
135,04/04/2024 23:20:00,22.75,-32.20,7.60,,,,
136,04/04/2024 23:30:00,22.75,-32.34,7.61,,,,
137,04/04/2024 23:40:00,22.75,-32.52,7.61,,,,
138,04/04/2024 23:50:00,22.75,-32.14,7.60,,,,
139,04/05/2024 00:00:00,22.75,-32.09,7.60,,,,
140,04/05/2024 00:10:00,22.75,-32.49,7.61,,,,
141,04/05/2024 00:20:00,22.75,-31.91,7.60,,,,
142,04/05/2024 00:30:00,22.75,-31.74,7.59,,,,
143,04/05/2024 00:40:00,22.75,-31.52,7.59,,,,
144,04/05/2024 00:50:00,22.78,-31.34,7.59,,,,
145,04/05/2024 01:00:00,22.80,-31.28,7.59,,,,
146,04/05/2024 01:10:00,22.80,-31.28,7.59,,,,
147,04/05/2024 01:20:00,22.82,-31.45,7.59,,,,
148,04/05/2024 01:30:00,22.82,-31.16,7.58,,,,
149,04/05/2024 01:40:00,22.85,-31.16,7.58,,,,
150,04/05/2024 01:50:00,22.82,-31.17,7.58,,,,
151,04/05/2024 02:00:00,22.85,-31.31,7.59,,,,
152,04/05/2024 02:10:00,22.85,-31.38,7.59,,,,
153,04/05/2024 02:20:00,22.82,-31.03,7.58,,,,
154,04/05/2024 02:30:00,22.82,-30.61,7.57,,,,
155,04/05/2024 02:40:00,22.85,-31.03,7.58,,,,
156,04/05/2024 02:50:00,22.85,-30.84,7.58,,,,
157,04/05/2024 03:00:00,22.85,-30.69,7.57,,,,
158,04/05/2024 03:10:00,22.85,-30.88,7.58,,,,
159,04/05/2024 03:20:00,22.82,-30.92,7.58,,,,
160,04/05/2024 03:30:00,22.80,-30.78,7.58,,,,
161,04/05/2024 03:40:00,22.78,-31.47,7.59,,,,
162,04/05/2024 03:50:00,22.78,-30.99,7.58,,,,
163,04/05/2024 04:00:00,22.75,-31.53,7.59,,,,
164,04/05/2024 04:10:00,22.73,-31.97,7.60,,,,
165,04/05/2024 04:20:00,22.75,-31.99,7.60,,,,
166,04/05/2024 04:30:00,22.75,-31.45,7.59,,,,
167,04/05/2024 04:40:00,22.75,-30.86,7.58,,,,
168,04/05/2024 04:50:00,22.75,-31.16,7.58,,,,
169,04/05/2024 05:00:00,22.75,-30.58,7.57,,,,
170,04/05/2024 05:10:00,22.75,-30.97,7.58,,,,
171,04/05/2024 05:20:00,22.75,-30.31,7.57,,,,
172,04/05/2024 05:30:00,22.75,-31.44,7.59,,,,
173,04/05/2024 05:40:00,22.73,-32.13,7.60,,,,
174,04/05/2024 05:50:00,22.73,-31.64,7.59,,,,
175,04/05/2024 06:00:00,22.73,-31.56,7.59,,,,
176,04/05/2024 06:10:00,22.73,-31.77,7.60,,,,
177,04/05/2024 06:20:00,22.73,-31.84,7.60,,,,
178,04/05/2024 06:30:00,22.73,-31.67,7.59,,,,
179,04/05/2024 06:40:00,22.73,-31.72,7.59,,,,
180,04/05/2024 06:50:00,22.73,-31.67,7.59,,,,
181,04/05/2024 07:00:00,22.73,-32.13,7.60,,,,
182,04/05/2024 07:10:00,22.73,-32.33,7.61,,,,
183,04/05/2024 07:20:00,22.73,-32.25,7.60,,,,
184,04/05/2024 07:30:00,22.73,-32.69,7.61,,,,
185,04/05/2024 07:40:00,22.70,-32.67,7.61,,,,
186,04/05/2024 07:50:00,22.70,-33.16,7.62,,,,
187,04/05/2024 08:00:00,22.73,-32.66,7.61,,,,
188,04/05/2024 08:10:00,22.70,-34.02,7.64,,,,
189,04/05/2024 08:20:00,22.73,-33.45,7.63,,,,
190,04/05/2024 08:30:00,22.75,-33.59,7.63,,,,
191,04/05/2024 08:40:00,22.75,-33.89,7.64,,,,
192,04/05/2024 08:50:00,22.75,-34.69,7.65,,,,
193,04/05/2024 09:00:00,22.75,-34.14,7.64,,,,
194,04/05/2024 09:10:00,22.78,-35.55,7.67,,,,
195,04/05/2024 09:20:00,22.78,-34.91,7.65,,,,
196,04/05/2024 09:30:00,22.78,-34.52,7.65,,,,
197,04/05/2024 09:40:00,22.80,-35.47,7.66,,,,
198,04/05/2024 09:50:00,22.82,-34.30,7.64,,,,
199,04/05/2024 10:00:00,22.82,-35.00,7.66,,,,
200,04/05/2024 10:10:00,22.85,-35.91,7.67,,,,
201,04/05/2024 10:20:00,22.87,-35.45,7.66,,,,
202,04/05/2024 10:30:00,22.90,-35.33,7.66,,,,
203,04/05/2024 10:40:00,22.94,-35.41,7.66,,,,
204,04/05/2024 10:50:00,22.97,-35.84,7.67,,,,
205,04/05/2024 11:00:00,22.99,-36.45,7.68,,,,
206,04/05/2024 11:10:00,23.02,-35.52,7.67,,,,
