#,Date-Time (HST),Ch: 1 - Temperature   (°C),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Water Detect,Button Down,Button Up,Host Connected,Stopped,End of File
1,02/02/2023 09:41:23,,,,In,,,,,
2,02/09/2023 01:00:00,23.40,158.96,3.65,,,,,,
3,02/09/2023 01:10:00,23.45,158.99,3.65,,,,,,
4,02/09/2023 01:20:00,23.52,158.99,3.65,,,,,,
5,02/09/2023 01:30:00,23.57,159.00,3.65,,,,,,
6,02/09/2023 01:40:00,23.62,159.02,3.65,,,,,,
7,02/09/2023 01:50:00,23.64,159.02,3.65,,,,,,
8,02/09/2023 02:00:00,23.69,159.02,3.65,,,,,,
9,02/09/2023 02:10:00,23.71,159.02,3.65,,,,,,
10,02/09/2023 02:20:00,23.76,159.02,3.65,,,,,,
11,02/09/2023 02:30:00,23.79,159.04,3.65,,,,,,
12,02/09/2023 02:40:00,23.81,159.04,3.65,,,,,,
13,02/09/2023 02:50:00,23.79,159.04,3.65,,,,,,
14,02/09/2023 03:00:00,23.54,158.97,3.65,,,,,,
15,02/09/2023 03:10:00,23.30,158.93,3.64,,,,,,
16,02/09/2023 03:20:00,23.06,158.91,3.64,,,,,,
17,02/09/2023 03:30:00,22.85,158.90,3.64,,,,,,
18,02/09/2023 03:40:00,22.66,158.91,3.64,,,,,,
19,02/09/2023 03:50:00,22.68,158.94,3.64,,,,,,
20,02/09/2023 04:00:00,22.75,158.99,3.64,,,,,,
21,02/09/2023 04:10:00,22.85,159.02,3.64,,,,,,
22,02/09/2023 04:20:00,22.92,159.02,3.64,,,,,,
23,02/09/2023 04:30:00,22.99,159.02,3.64,,,,,,
24,02/09/2023 04:40:00,23.06,159.02,3.64,,,,,,
25,02/09/2023 04:50:00,23.16,159.00,3.64,,,,,,
26,02/09/2023 05:00:00,23.23,159.00,3.64,,,,,,
27,02/09/2023 05:10:00,23.30,158.99,3.64,,,,,,
28,02/09/2023 05:20:00,23.38,158.99,3.64,,,,,,
29,02/09/2023 05:30:00,23.45,158.99,3.65,,,,,,
30,02/09/2023 05:40:00,23.52,158.99,3.65,,,,,,
31,02/09/2023 05:50:00,23.59,158.99,3.65,,,,,,
32,02/09/2023 06:00:00,23.64,158.99,3.65,,,,,,
33,02/09/2023 06:10:00,23.66,159.00,3.65,,,,,,
34,02/09/2023 06:20:00,23.66,158.99,3.65,,,,,,
35,02/09/2023 06:30:00,23.64,158.99,3.65,,,,,,
36,02/09/2023 06:40:00,23.64,158.99,3.65,,,,,,
37,02/09/2023 06:50:00,23.62,158.99,3.65,,,,,,
38,02/09/2023 07:00:00,23.59,158.99,3.65,,,,,,
39,02/09/2023 07:10:00,23.59,158.99,3.65,,,,,,
40,02/09/2023 07:20:00,23.57,158.99,3.65,,,,,,
41,02/09/2023 07:30:00,23.57,159.00,3.65,,,,,,
42,02/09/2023 07:40:00,23.54,159.00,3.65,,,,,,
43,02/09/2023 07:50:00,23.54,159.00,3.65,,,,,,
44,02/09/2023 08:00:00,23.54,159.00,3.65,,,,,,
45,02/09/2023 08:10:00,23.59,159.02,3.65,,,,,,
46,02/09/2023 08:20:00,23.64,159.02,3.65,,,,,,
47,02/09/2023 08:30:00,23.69,159.04,3.65,,,,,,
48,02/09/2023 08:40:00,23.74,159.04,3.65,,,,,,
49,02/09/2023 08:50:00,23.76,159.05,3.65,,,,,,
50,02/09/2023 09:00:00,23.79,159.04,3.65,,,,,,
51,02/09/2023 09:10:00,23.81,159.05,3.65,,,,,,
52,02/09/2023 09:20:00,23.83,159.04,3.65,,,,,,
53,02/09/2023 09:30:00,23.86,159.04,3.65,,,,,,
54,02/09/2023 09:40:00,23.91,159.04,3.65,,,,,,
55,02/09/2023 09:50:00,23.93,159.05,3.65,,,,,,
56,02/09/2023 10:00:00,23.95,159.05,3.65,,,,,,
57,02/09/2023 10:10:00,23.98,159.05,3.65,,,,,,
58,02/09/2023 10:20:00,24.00,159.05,3.65,,,,,,
59,02/09/2023 10:30:00,23.95,159.05,3.65,,,,,,
60,02/09/2023 10:40:00,23.71,159.00,3.65,,,,,,
61,02/09/2023 10:50:00,23.50,158.97,3.65,,,,,,
62,02/09/2023 11:00:00,23.28,158.94,3.64,,,,,,
63,02/09/2023 11:10:00,23.11,158.94,3.64,,,,,,
64,02/09/2023 11:20:00,22.90,158.94,3.64,,,,,,
65,02/09/2023 11:30:00,22.70,158.96,3.64,,,,,,
66,02/09/2023 11:40:00,22.54,158.99,3.63,,,,,,
67,02/09/2023 11:50:00,22.37,159.00,3.63,,,,,,
68,02/09/2023 12:00:00,22.35,159.05,3.63,,,,,,
69,02/09/2023 12:10:00,22.42,159.08,3.63,,,,,,
70,02/09/2023 12:20:00,22.51,159.10,3.63,,,,,,
71,02/09/2023 12:30:00,22.58,159.10,3.63,,,,,,
72,02/09/2023 12:40:00,22.66,159.10,3.63,,,,,,
73,02/09/2023 12:50:00,22.75,159.07,3.64,,,,,,
74,02/09/2023 13:00:00,22.85,159.05,3.64,,,,,,
75,02/09/2023 13:10:00,22.92,159.02,3.64,,,,,,
76,02/09/2023 13:20:00,22.99,158.99,3.64,,,,,,
