#,Date-Time (HST),Ch: 1 - Temperature   (°C),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,02/09/2023 01:00:00,23.86,181.52,3.64,,,,,
2,02/09/2023 01:10:00,23.81,181.52,3.64,,,,,
3,02/09/2023 01:20:00,23.79,181.52,3.64,,,,,
4,02/09/2023 01:30:00,23.74,181.51,3.64,,,,,
5,02/09/2023 01:40:00,23.69,181.49,3.64,,,,,
6,02/09/2023 01:50:00,23.66,181.49,3.64,,,,,
7,02/09/2023 02:00:00,23.64,181.49,3.64,,,,,
8,02/09/2023 02:10:00,23.59,181.47,3.64,,,,,
9,02/09/2023 02:20:00,23.57,181.46,3.64,,,,,
10,02/09/2023 02:30:00,23.54,181.46,3.64,,,,,
11,02/09/2023 02:40:00,23.52,181.44,3.64,,,,,
12,02/09/2023 02:50:00,23.50,181.43,3.64,,,,,
13,02/09/2023 03:00:00,23.47,181.43,3.64,,,,,
14,02/09/2023 03:10:00,23.42,181.41,3.64,,,,,
15,02/09/2023 03:20:00,23.40,181.41,3.64,,,,,
16,02/09/2023 03:30:00,23.38,181.40,3.64,,,,,
17,02/09/2023 03:40:00,23.35,181.38,3.64,,,,,
18,02/09/2023 03:50:00,23.35,181.38,3.64,,,,,
19,02/09/2023 04:00:00,23.33,181.38,3.64,,,,,
20,02/09/2023 04:10:00,23.28,181.36,3.64,,,,,
21,02/09/2023 04:20:00,23.26,181.35,3.64,,,,,
22,02/09/2023 04:30:00,23.23,181.35,3.63,,,,,
23,02/09/2023 04:40:00,23.18,181.33,3.63,,,,,
24,02/09/2023 04:50:00,23.16,181.33,3.63,,,,,
25,02/09/2023 05:00:00,23.11,181.32,3.63,,,,,
26,02/09/2023 05:10:00,23.09,181.30,3.63,,,,,
27,02/09/2023 05:20:00,23.04,181.29,3.63,,,,,
28,02/09/2023 05:30:00,22.99,181.27,3.63,,,,,
29,02/09/2023 05:40:00,22.94,181.27,3.63,,,,,
30,02/09/2023 05:50:00,22.87,181.24,3.63,,,,,
