#,Date-Time (HST),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,02/01/2024 01:00:00,26.89,182.82,3.72,,,,,
2,02/01/2024 01:10:00,26.79,182.77,3.72,,,,,
3,02/01/2024 01:20:00,26.70,182.72,3.72,,,,,
4,02/01/2024 01:30:00,26.60,182.68,3.71,,,,,
5,02/01/2024 01:40:00,26.50,182.63,3.71,,,,,
6,02/01/2024 01:50:00,26.43,182.58,3.71,,,,,
7,02/01/2024 02:00:00,26.33,182.54,3.71,,,,,
8,02/01/2024 02:10:00,26.26,182.51,3.71,,,,,
9,02/01/2024 02:20:00,26.16,182.46,3.71,,,,,
10,02/01/2024 02:30:00,26.08,182.41,3.71,,,,,
11,02/01/2024 02:40:00,26.01,182.38,3.71,,,,,
12,02/01/2024 02:50:00,25.91,182.33,3.71,,,,,
13,02/01/2024 03:00:00,25.84,182.29,3.71,,,,,
14,02/01/2024 03:10:00,25.77,182.26,3.71,,,,,
15,02/01/2024 03:20:00,25.70,182.21,3.71,,,,,
16,02/01/2024 03:30:00,25.62,182.16,3.71,,,,,
17,02/01/2024 03:40:00,25.55,182.11,3.71,,,,,
18,02/01/2024 03:50:00,25.48,182.08,3.71,,,,,
19,02/01/2024 04:00:00,25.40,182.04,3.71,,,,,
20,02/01/2024 04:10:00,25.31,181.99,3.71,,,,,
21,02/01/2024 04:20:00,25.23,181.94,3.71,,,,,
22,02/01/2024 04:30:00,25.16,181.90,3.71,,,,,
23,02/01/2024 04:40:00,25.09,181.86,3.71,,,,,
24,02/01/2024 04:50:00,25.02,181.82,3.71,,,,,
25,02/01/2024 05:00:00,24.94,181.77,3.71,,,,,
26,02/01/2024 05:10:00,24.87,181.74,3.71,,,,,
27,02/01/2024 05:20:00,24.80,181.69,3.71,,,,,
28,02/01/2024 05:30:00,24.73,181.66,3.71,,,,,
29,02/01/2024 05:40:00,24.68,181.61,3.71,,,,,
30,02/01/2024 05:50:00,24.60,181.58,3.71,,,,,
31,02/01/2024 06:00:00,24.56,181.54,3.71,,,,,
32,02/01/2024 06:10:00,24.51,181.51,3.71,,,,,
33,02/01/2024 06:20:00,24.46,181.46,3.71,,,,,
34,02/01/2024 06:30:00,24.41,181.43,3.71,,,,,
35,02/01/2024 06:40:00,24.36,181.40,3.71,,,,,
36,02/01/2024 06:50:00,24.32,181.36,3.71,,,,,
37,02/01/2024 07:00:00,24.27,181.32,3.71,,,,,
38,02/01/2024 07:10:00,24.24,181.30,3.71,,,,,
39,02/01/2024 07:20:00,24.19,181.26,3.71,,,,,
40,02/01/2024 07:30:00,24.17,181.22,3.71,,,,,
41,02/01/2024 07:40:00,24.12,181.21,3.71,,,,,
42,02/01/2024 07:50:00,24.10,181.16,3.72,,,,,
43,02/01/2024 08:00:00,24.07,181.13,3.72,,,,,
44,02/01/2024 08:10:00,24.05,181.11,3.72,,,,,
45,02/01/2024 08:20:00,24.03,181.08,3.72,,,,,
46,02/01/2024 08:30:00,24.00,181.05,3.72,,,,,
47,02/01/2024 08:40:00,24.00,180.94,3.72,,,,,
48,02/01/2024 08:50:00,23.98,180.82,3.72,,,,,
49,02/01/2024 09:00:00,24.46,180.35,3.73,,,,,
50,02/01/2024 09:10:00,24.92,179.99,3.75,,,,,
51,02/01/2024 09:20:00,25.87,179.58,3.76,,,,,
52,02/01/2024 09:30:00,28.25,152.36,4.29,,,,,
53,02/01/2024 09:40:00,25.31,-12.98,7.31,,,,,
54,02/01/2024 09:50:00,24.85,-13.95,7.32,,,,,
55,02/01/2024 10:00:00,24.65,-14.00,7.33,,,,,
56,02/01/2024 10:10:00,24.51,-14.53,7.34,,,,,
57,02/01/2024 10:20:00,24.46,-15.19,7.35,,,,,
58,02/01/2024 10:30:00,24.41,-15.70,7.36,,,,,
59,02/01/2024 10:40:00,24.41,-16.13,7.37,,,,,
60,02/01/2024 10:50:00,24.41,-16.39,7.37,,,,,
61,02/01/2024 11:00:00,24.39,-16.63,7.37,,,,,
62,02/01/2024 11:10:00,24.39,-16.83,7.38,,,,,
63,02/01/2024 11:20:00,24.39,-16.98,7.38,,,,,
64,02/01/2024 11:30:00,24.39,-17.16,7.38,,,,,
65,02/01/2024 11:40:00,24.39,-17.31,7.39,,,,,
66,02/01/2024 11:50:00,24.41,-17.33,7.39,,,,,
67,02/01/2024 12:00:00,24.41,-17.44,7.39,,,,,
68,02/01/2024 12:10:00,24.41,-17.53,7.39,,,,,
69,02/01/2024 12:20:00,24.44,-17.72,7.39,,,,,
70,02/01/2024 12:30:00,24.44,-17.84,7.40,,,,,
71,02/01/2024 12:40:00,24.46,-17.89,7.40,,,,,
72,02/01/2024 12:50:00,24.46,-17.97,7.40,,,,,
73,02/01/2024 13:00:00,24.46,-18.05,7.40,,,,,
74,02/01/2024 13:10:00,24.48,-18.13,7.40,,,,,
75,02/01/2024 13:20:00,24.48,-18.19,7.40,,,,,
76,02/01/2024 13:30:00,24.51,-18.25,7.40,,,,,
77,02/01/2024 13:40:00,24.51,-18.31,7.41,,,,,
78,02/01/2024 13:50:00,24.51,-18.31,7.41,,,,,
79,02/01/2024 14:00:00,24.53,-18.33,7.41,,,,,
80,02/01/2024 14:10:00,24.53,-18.36,7.41,,,,,
81,02/01/2024 14:20:00,24.53,-18.36,7.41,,,,,
82,02/01/2024 14:30:00,24.53,-18.38,7.41,,,,,
83,02/01/2024 14:40:00,24.53,-18.39,7.41,,,,,
84,02/01/2024 14:50:00,24.53,-18.36,7.41,,,,,
85,02/01/2024 15:00:00,24.56,-18.33,7.41,,,,,
86,02/01/2024 15:10:00,24.56,-18.23,7.40,,,,,
87,02/01/2024 15:20:00,24.56,-18.19,7.40,,,,,
88,02/01/2024 15:30:00,24.56,-18.16,7.40,,,,,
