#,Date-Time (HST),Ch:1 - Temperature   (°C),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Water Detect,Button Down,Button Up,Host Connected,Stopped,End of File
1,01/25/2024 09:10:16,,,,In,,,,,
2,02/01/2024 01:00:00,26.82,161.40,3.81,,,,,,
3,02/01/2024 01:10:00,26.70,161.40,3.81,,,,,,
4,02/01/2024 01:20:00,26.60,161.40,3.81,,,,,,
5,02/01/2024 01:30:00,26.50,161.38,3.81,,,,,,
6,02/01/2024 01:40:00,26.43,161.38,3.81,,,,,,
7,02/01/2024 01:50:00,26.33,161.38,3.81,,,,,,
8,02/01/2024 02:00:00,26.23,161.38,3.81,,,,,,
9,02/01/2024 02:10:00,26.16,161.38,3.81,,,,,,
10,02/01/2024 02:20:00,26.08,161.38,3.81,,,,,,
11,02/01/2024 02:30:00,25.99,161.36,3.81,,,,,,
12,02/01/2024 02:40:00,25.91,161.36,3.81,,,,,,
13,02/01/2024 02:50:00,25.84,161.36,3.81,,,,,,
14,02/01/2024 03:00:00,25.77,161.36,3.80,,,,,,
15,02/01/2024 03:10:00,25.70,161.35,3.80,,,,,,
16,02/01/2024 03:20:00,25.62,161.33,3.80,,,,,,
17,02/01/2024 03:30:00,25.55,161.33,3.80,,,,,,
18,02/01/2024 03:40:00,25.48,161.32,3.80,,,,,,
19,02/01/2024 03:50:00,25.40,161.29,3.80,,,,,,
20,02/01/2024 04:00:00,25.33,161.27,3.80,,,,,,
21,02/01/2024 04:10:00,25.23,161.25,3.80,,,,,,
22,02/01/2024 04:20:00,25.16,161.24,3.80,,,,,,
23,02/01/2024 04:30:00,25.09,161.22,3.80,,,,,,
24,02/01/2024 04:40:00,25.02,161.22,3.80,,,,,,
25,02/01/2024 04:50:00,24.94,161.21,3.80,,,,,,
26,02/01/2024 05:00:00,24.87,161.19,3.80,,,,,,
27,02/01/2024 05:10:00,24.80,161.18,3.80,,,,,,
28,02/01/2024 05:20:00,24.73,161.18,3.80,,,,,,
29,02/01/2024 05:30:00,24.68,161.18,3.80,,,,,,
30,02/01/2024 05:40:00,24.60,161.18,3.80,,,,,,
31,02/01/2024 05:50:00,24.56,161.16,3.80,,,,,,
32,02/01/2024 06:00:00,24.48,161.16,3.79,,,,,,
33,02/01/2024 06:10:00,24.44,161.16,3.79,,,,,,
34,02/01/2024 06:20:00,24.39,161.16,3.79,,,,,,
35,02/01/2024 06:30:00,24.34,161.16,3.79,,,,,,
36,02/01/2024 06:40:00,24.29,161.15,3.79,,,,,,
37,02/01/2024 06:50:00,24.24,161.15,3.79,,,,,,
38,02/01/2024 07:00:00,24.19,161.15,3.79,,,,,,
39,02/01/2024 07:10:00,24.17,161.15,3.79,,,,,,
40,02/01/2024 07:20:00,24.12,161.15,3.79,,,,,,
41,02/01/2024 07:30:00,24.07,161.15,3.79,,,,,,
42,02/01/2024 07:40:00,24.05,161.13,3.79,,,,,,
43,02/01/2024 07:50:00,24.03,161.13,3.79,,,,,,
44,02/01/2024 08:00:00,23.98,161.13,3.79,,,,,,
45,02/01/2024 08:10:00,23.95,161.13,3.79,,,,,,
46,02/01/2024 08:20:00,23.95,161.15,3.79,,,,,,
47,02/01/2024 08:30:00,23.93,161.15,3.79,,,,,,
48,02/01/2024 08:40:00,23.93,161.02,3.79,,,,,,
49,02/01/2024 08:50:00,23.93,160.96,3.79,,,,,,
50,02/01/2024 09:00:00,24.24,160.99,3.80,,,,,,
51,02/01/2024 09:10:00,24.53,160.86,3.80,,,,,,
52,02/01/2024 09:20:00,25.06,160.54,3.81,,,,,,
53,02/01/2024 09:30:00,25.96,160.30,3.83,,,,,,
54,02/01/2024 09:40:00,26.82,160.24,3.84,,,,,,
55,02/01/2024 09:50:00,27.43,160.18,3.84,,,,,,
56,02/01/2024 10:00:00,27.95,160.11,3.85,,,,,,
57,02/01/2024 10:10:00,28.44,160.57,3.85,,,,,,
58,02/01/2024 10:18:16,,,,Out,,,,,
59,02/01/2024 10:20:00,28.05,136.46,4.29,,,,,,
60,02/01/2024 10:24:46,,,,In,,,,,
61,02/01/2024 10:26:01,,,,Out,,,,,
62,02/01/2024 10:26:16,,,,In,,,,,
63,02/01/2024 10:30:00,24.34,-39.75,7.60,,,,,,
64,02/01/2024 10:40:00,23.57,-38.39,7.57,,,,,,
65,02/01/2024 10:50:00,23.38,-36.97,7.55,,,,,,
66,02/01/2024 11:00:00,23.30,-35.88,7.53,,,,,,
67,02/01/2024 11:10:00,23.26,-36.08,7.53,,,,,,
68,02/01/2024 11:20:00,23.26,-36.30,7.53,,,,,,
69,02/01/2024 11:30:00,23.26,-35.53,7.52,,,,,,
70,02/01/2024 11:40:00,23.26,-35.08,7.51,,,,,,
71,02/01/2024 11:50:00,23.28,-35.30,7.51,,,,,,
72,02/01/2024 12:00:00,23.28,-35.28,7.51,,,,,,
73,02/01/2024 12:10:00,23.30,-35.41,7.52,,,,,,
74,02/01/2024 12:20:00,23.23,-38.67,7.58,,,,,,
75,02/01/2024 12:30:00,23.30,-36.74,7.54,,,,,,
76,02/01/2024 12:40:00,23.28,-38.02,7.57,,,,,,
77,02/01/2024 12:50:00,23.26,-36.75,7.54,,,,,,
78,02/01/2024 13:00:00,23.30,-35.88,7.53,,,,,,
79,02/01/2024 13:10:00,23.33,-38.86,7.58,,,,,,
80,02/01/2024 13:20:00,23.33,-36.83,7.54,,,,,,
81,02/01/2024 13:30:00,23.30,-36.86,7.54,,,,,,
82,02/01/2024 13:40:00,23.28,-38.36,7.57,,,,,,
83,02/01/2024 13:50:00,23.26,-34.94,7.51,,,,,,
84,02/01/2024 14:00:00,23.23,-39.00,7.58,,,,,,
85,02/01/2024 14:10:00,23.23,-37.00,7.55,,,,,,
86,02/01/2024 14:20:00,23.21,-37.81,7.56,,,,,,
87,02/01/2024 14:30:00,23.21,-38.58,7.58,,,,,,
88,02/01/2024 14:40:00,23.21,-39.34,7.59,,,,,,
89,02/01/2024 14:50:00,23.23,-37.47,7.56,,,,,,
