#,Date-Time (HST),Ch:1 - Temperature   (°F),Ch:2 - Millivolts   (mv),Ch:3 - pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,07/12/2023 14:00:00,71.49,175.21,3.80,,,,,
2,07/12/2023 14:10:00,70.75,175.38,3.79,,,,,
3,07/12/2023 14:20:00,70.25,175.41,3.79,,,,,
4,07/12/2023 14:30:00,69.91,175.44,3.79,,,,,
5,07/12/2023 14:40:00,69.91,176.05,3.78,,,,,
6,07/12/2023 14:50:00,70.93,175.55,3.79,,,,,
7,07/12/2023 15:00:00,70.63,175.46,3.79,,,,,
8,07/12/2023 15:10:00,70.25,175.51,3.79,,,,,
9,07/12/2023 15:20:00,69.98,175.40,3.79,,,,,
10,07/12/2023 15:30:00,71.49,175.55,3.80,,,,,
11,07/12/2023 15:40:00,72.95,175.52,3.81,,,,,
12,07/12/2023 15:50:00,74.59,175.65,3.81,,,,,
13,07/12/2023 16:00:00,77.47,176.02,3.82,,,,,
14,07/12/2023 16:10:00,79.83,176.49,3.83,,,,,
15,07/12/2023 16:20:00,81.01,176.77,3.83,,,,,
16,07/12/2023 16:30:00,81.10,175.29,3.86,,,,,
17,07/12/2023 16:40:00,79.83,-29.06,7.95,,,,,
18,07/12/2023 16:50:00,79.61,-33.83,8.04,,,,,
19,07/12/2023 17:00:00,79.48,-35.09,8.07,,,,,
20,07/12/2023 17:10:00,79.43,-35.86,8.08,,,,,
21,07/12/2023 17:20:00,79.39,-35.67,8.08,,,,,
22,07/12/2023 17:30:00,79.34,-35.44,8.07,,,,,
23,07/12/2023 17:40:00,79.30,-35.03,8.07,,,,,
24,07/12/2023 17:50:00,79.30,-34.52,8.06,,,,,
25,07/12/2023 18:00:00,79.27,-33.95,8.05,,,,,
26,07/12/2023 18:10:00,79.21,-33.44,8.04,,,,,
27,07/12/2023 18:20:00,79.21,-33.00,8.03,,,,,
28,07/12/2023 18:30:00,79.18,-32.52,8.02,,,,,
29,07/12/2023 18:40:00,79.12,-32.31,8.01,,,,,
30,07/12/2023 18:50:00,79.09,-31.72,8.00,,,,,
31,07/12/2023 19:00:00,79.09,-31.39,7.99,,,,,
32,07/12/2023 19:10:00,79.03,-31.59,8.00,,,,,
33,07/12/2023 19:20:00,79.00,-30.89,7.98,,,,,
34,07/12/2023 19:30:00,78.94,-30.41,7.97,,,,,
35,07/12/2023 19:40:00,78.91,-30.14,7.97,,,,,
36,07/12/2023 19:50:00,78.91,-29.77,7.96,,,,,
37,07/12/2023 20:00:00,78.87,-29.86,7.96,,,,,
38,07/12/2023 20:10:00,78.78,-29.34,7.95,,,,,
39,07/12/2023 20:20:00,78.78,-29.28,7.95,,,,,
40,07/12/2023 20:30:00,78.73,-29.06,7.95,,,,,
41,07/12/2023 20:40:00,78.69,-28.78,7.94,,,,,
42,07/12/2023 20:50:00,78.60,-28.52,7.94,,,,,
43,07/12/2023 21:00:00,78.57,-28.16,7.93,,,,,
44,07/12/2023 21:10:00,78.51,-28.02,7.93,,,,,
45,07/12/2023 21:20:00,78.48,-27.63,7.92,,,,,
46,07/12/2023 21:30:00,78.39,-27.31,7.91,,,,,
47,07/12/2023 21:40:00,78.33,-27.28,7.91,,,,,
48,07/12/2023 21:50:00,78.30,-27.03,7.91,,,,,
49,07/12/2023 22:00:00,78.26,-26.53,7.90,,,,,
50,07/12/2023 22:10:00,78.17,-26.66,7.90,,,,,
51,07/12/2023 22:20:00,78.12,-26.49,7.90,,,,,
52,07/12/2023 22:30:00,78.08,-26.25,7.89,,,,,
53,07/12/2023 22:40:00,78.03,-26.05,7.89,,,,,
54,07/12/2023 22:50:00,77.99,-26.08,7.89,,,,,
55,07/12/2023 23:00:00,77.95,-25.81,7.88,,,,,
56,07/12/2023 23:10:00,77.90,-25.50,7.88,,,,,
57,07/12/2023 23:20:00,77.90,-25.20,7.87,,,,,
58,07/12/2023 23:30:00,77.86,-25.30,7.87,,,,,
59,07/12/2023 23:40:00,77.81,-25.30,7.87,,,,,
60,07/12/2023 23:50:00,77.77,-25.09,7.87,,,,,
61,07/13/2023 00:00:00,77.72,-25.00,7.87,,,,,
62,07/13/2023 00:10:00,77.68,-25.03,7.87,,,,,
63,07/13/2023 00:20:00,77.65,-25.06,7.87,,,,,
