#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Water Detect,Button Down,Button Up,Host Connected,End of File
1,06/13/2024 10:25:01,,,,In,,,,
2,06/13/2024 11:00:00,27.87,163.68,3.65,,,,,
3,06/13/2024 11:10:00,28.39,164.02,3.65,,,,,
4,06/13/2024 11:20:00,28.72,164.07,3.65,,,,,
5,06/13/2024 11:30:00,28.97,164.05,3.66,,,,,
6,06/13/2024 11:40:00,29.49,164.27,3.66,,,,,
7,06/13/2024 11:50:00,29.26,164.35,3.65,,,,,
8,06/13/2024 12:00:00,29.59,164.27,3.66,,,,,
9,06/13/2024 12:03:23,,,,,Logged,Logged,,
10,06/13/2024 12:03:35,,,,,,,Logged,
11,06/13/2024 12:10:00,29.77,164.36,3.66,,,,,
12,06/13/2024 12:20:00,30.14,164.47,3.66,,,,,
13,06/13/2024 12:30:00,30.12,164.52,3.66,,,,,
14,06/13/2024 12:40:00,30.07,164.86,3.65,,,,,
15,06/13/2024 12:50:00,31.71,166.58,3.64,,,,,
16,06/13/2024 13:00:00,31.92,166.24,3.65,,,,,
17,06/13/2024 13:10:00,31.31,158.55,3.79,,,,,
18,06/13/2024 13:20:00,27.65,-38.16,7.71,,,,,
19,06/13/2024 13:30:00,27.04,-43.80,7.83,,,,,
20,06/13/2024 13:40:00,26.84,-45.78,7.87,,,,,
21,06/13/2024 13:50:00,26.79,-46.63,7.89,,,,,
22,06/13/2024 14:00:00,26.77,-46.97,7.89,,,,,
23,06/13/2024 14:10:00,26.74,-47.47,7.90,,,,,
24,06/13/2024 14:20:00,26.82,-48.00,7.91,,,,,
25,06/13/2024 14:30:00,26.82,-48.39,7.92,,,,,
26,06/13/2024 14:40:00,26.84,-48.55,7.92,,,,,
27,06/13/2024 14:50:00,26.87,-48.89,7.93,,,,,
28,06/13/2024 15:00:00,26.89,-49.03,7.93,,,,,
29,06/13/2024 15:10:00,26.92,-48.77,7.93,,,,,
30,06/13/2024 15:20:00,26.94,-48.35,7.92,,,,,
31,06/13/2024 15:30:00,26.96,-48.41,7.92,,,,,
32,06/13/2024 15:40:00,27.01,-48.41,7.92,,,,,
33,06/13/2024 15:50:00,27.04,-48.66,7.93,,,,,
34,06/13/2024 16:00:00,27.06,-48.83,7.93,,,,,
35,06/13/2024 16:10:00,27.09,-48.60,7.93,,,,,
36,06/13/2024 16:20:00,27.11,-48.66,7.93,,,,,
37,06/13/2024 16:30:00,27.16,-48.77,7.93,,,,,
38,06/13/2024 16:40:00,27.21,-48.74,7.93,,,,,
39,06/13/2024 16:50:00,27.21,-48.53,7.92,,,,,
40,06/13/2024 17:00:00,27.23,-48.24,7.92,,,,,
41,06/13/2024 17:10:00,27.21,-47.99,7.91,,,,,
42,06/13/2024 17:20:00,27.23,-48.00,7.91,,,,,
43,06/13/2024 17:30:00,27.23,-48.13,7.92,,,,,
44,06/13/2024 17:40:00,27.19,-48.22,7.92,,,,,
45,06/13/2024 17:50:00,27.16,-47.66,7.91,,,,,
46,06/13/2024 18:00:00,27.14,-47.52,7.90,,,,,
47,06/13/2024 18:10:00,27.11,-47.69,7.91,,,,,
48,06/13/2024 18:20:00,27.11,-47.50,7.90,,,,,
49,06/13/2024 18:30:00,27.09,-47.60,7.90,,,,,
50,06/13/2024 18:40:00,27.01,-47.61,7.91,,,,,
51,06/13/2024 18:50:00,27.01,-47.56,7.90,,,,,
52,06/13/2024 19:00:00,26.96,-47.60,7.91,,,,,
53,06/13/2024 19:10:00,26.92,-47.49,7.90,,,,,
54,06/13/2024 19:20:00,26.84,-47.47,7.90,,,,,
55,06/13/2024 19:30:00,26.74,-47.58,7.91,,,,,
56,06/13/2024 19:40:00,26.67,-47.31,7.90,,,,,
57,06/13/2024 19:50:00,26.57,-47.08,7.90,,,,,
58,06/13/2024 20:00:00,26.50,-46.81,7.89,,,,,
59,06/13/2024 20:10:00,26.48,-46.60,7.89,,,,,
60,06/13/2024 20:20:00,26.38,-46.63,7.89,,,,,
61,06/13/2024 20:30:00,26.30,-46.45,7.88,,,,,
62,06/13/2024 20:40:00,26.26,-46.19,7.88,,,,,
63,06/13/2024 20:50:00,26.21,-45.85,7.87,,,,,
64,06/13/2024 21:00:00,26.16,-45.53,7.87,,,,,
65,06/13/2024 21:10:00,26.11,-45.47,7.86,,,,,
66,06/13/2024 21:20:00,26.08,-45.06,7.86,,,,,
67,06/13/2024 21:30:00,26.04,-45.14,7.86,,,,,
68,06/13/2024 21:40:00,26.01,-44.50,7.85,,,,,
69,06/13/2024 21:50:00,25.96,-44.80,7.85,,,,,
70,06/13/2024 22:00:00,25.91,-44.64,7.85,,,,,
71,06/13/2024 22:10:00,25.89,-44.47,7.85,,,,,
72,06/13/2024 22:20:00,25.87,-44.45,7.84,,,,,
73,06/13/2024 22:30:00,25.82,-44.25,7.84,,,,,
74,06/13/2024 22:40:00,25.77,-44.19,7.84,,,,,
75,06/13/2024 22:50:00,25.74,-43.89,7.83,,,,,
76,06/13/2024 23:00:00,25.72,-44.03,7.84,,,,,
77,06/13/2024 23:10:00,25.70,-43.95,7.84,,,,,
78,06/13/2024 23:20:00,25.67,-43.94,7.84,,,,,
79,06/13/2024 23:30:00,25.65,-43.88,7.83,,,,,
80,06/13/2024 23:40:00,25.62,-43.86,7.83,,,,,
81,06/13/2024 23:50:00,25.60,-43.55,7.83,,,,,
82,06/14/2024 00:00:00,25.57,-43.63,7.83,,,,,
83,06/14/2024 00:10:00,25.55,-43.36,7.82,,,,,
84,06/14/2024 00:20:00,25.53,-43.33,7.82,,,,,
85,06/14/2024 00:30:00,25.50,-43.25,7.82,,,,,
86,06/14/2024 00:40:00,25.45,-43.41,7.82,,,,,
87,06/14/2024 00:50:00,25.45,-43.22,7.82,,,,,
88,06/14/2024 01:00:00,25.43,-43.10,7.82,,,,,
