#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),End of File
1,06/13/2024 11:00:00,27.51,175.57,3.62,
2,06/13/2024 11:10:00,27.95,175.82,3.62,
3,06/13/2024 11:20:00,28.27,175.96,3.62,
4,06/13/2024 11:30:00,28.52,176.04,3.62,
5,06/13/2024 11:40:00,28.54,176.41,3.61,
6,06/13/2024 11:50:00,29.29,176.54,3.62,
7,06/13/2024 12:00:00,25.45,-14.94,7.23,
8,06/13/2024 12:10:00,24.19,-36.64,7.64,
9,06/13/2024 12:20:00,23.79,-40.34,7.72,
10,06/13/2024 12:30:00,23.69,-42.20,7.75,
11,06/13/2024 12:40:00,23.62,-43.67,7.78,
12,06/13/2024 12:50:00,23.62,-44.24,7.79,
13,06/13/2024 13:00:00,23.62,-44.50,7.80,
14,06/13/2024 13:10:00,23.64,-44.75,7.80,
15,06/13/2024 13:20:00,23.64,-44.53,7.80,
16,06/13/2024 13:30:00,23.66,-44.95,7.80,
17,06/13/2024 13:40:00,23.64,-45.13,7.81,
18,06/13/2024 13:50:00,23.66,-45.52,7.82,
19,06/13/2024 14:00:00,23.66,-46.16,7.83,
20,06/13/2024 14:10:00,23.69,-46.31,7.83,
21,06/13/2024 14:20:00,23.66,-46.67,7.84,
22,06/13/2024 14:30:00,23.66,-46.25,7.83,
23,06/13/2024 14:40:00,23.69,-46.31,7.83,
24,06/13/2024 14:50:00,23.66,-45.94,7.82,
25,06/13/2024 15:00:00,23.64,-46.05,7.83,
26,06/13/2024 15:10:00,23.66,-46.10,7.83,
27,06/13/2024 15:20:00,23.69,-46.17,7.83,
28,06/13/2024 15:30:00,23.64,-45.70,7.82,
29,06/13/2024 15:40:00,23.64,-46.05,7.83,
30,06/13/2024 15:50:00,23.62,-45.97,7.82,
31,06/13/2024 16:00:00,23.57,-45.52,7.82,
32,06/13/2024 16:10:00,23.52,-45.17,7.81,
33,06/13/2024 16:20:00,23.47,-44.78,7.80,
34,06/13/2024 16:30:00,23.42,-44.44,7.80,
35,06/13/2024 16:40:00,23.38,-43.86,7.78,
36,06/13/2024 16:50:00,23.38,-43.58,7.78,
37,06/13/2024 17:00:00,23.33,-43.24,7.77,
38,06/13/2024 17:10:00,23.33,-42.86,7.77,
39,06/13/2024 17:20:00,23.30,-42.38,7.76,
40,06/13/2024 17:30:00,23.28,-42.25,7.75,
41,06/13/2024 17:40:00,23.23,-41.78,7.74,
42,06/13/2024 17:50:00,23.23,-41.42,7.74,
43,06/13/2024 18:00:00,23.21,-41.22,7.73,
44,06/13/2024 18:10:00,23.21,-40.89,7.73,
45,06/13/2024 18:20:00,23.18,-40.63,7.72,
46,06/13/2024 18:30:00,23.16,-40.27,7.72,
47,06/13/2024 18:40:00,23.16,-40.11,7.71,
48,06/13/2024 18:50:00,23.14,-39.84,7.71,
49,06/13/2024 19:00:00,23.14,-39.64,7.70,
50,06/13/2024 19:10:00,23.14,-39.36,7.70,
51,06/13/2024 19:20:00,23.11,-39.08,7.69,
52,06/13/2024 19:30:00,23.11,-39.03,7.69,
53,06/13/2024 19:40:00,23.11,-38.91,7.69,
54,06/13/2024 19:50:00,23.11,-38.75,7.69,
55,06/13/2024 20:00:00,23.11,-38.66,7.68,
56,06/13/2024 20:10:00,23.11,-38.42,7.68,
57,06/13/2024 20:20:00,23.11,-38.25,7.68,
58,06/13/2024 20:30:00,23.09,-38.22,7.68,
59,06/13/2024 20:40:00,23.09,-38.16,7.68,
60,06/13/2024 20:50:00,23.09,-38.05,7.67,
61,06/13/2024 21:00:00,23.09,-38.06,7.67,
62,06/13/2024 21:10:00,23.09,-38.03,7.67,
63,06/13/2024 21:20:00,23.09,-37.83,7.67,
64,06/13/2024 21:30:00,23.11,-37.86,7.67,
65,06/13/2024 21:40:00,23.11,-37.94,7.67,
66,06/13/2024 21:50:00,23.11,-37.49,7.66,
67,06/13/2024 22:00:00,23.11,-37.66,7.67,
68,06/13/2024 22:10:00,23.11,-37.70,7.67,
69,06/13/2024 22:20:00,23.11,-37.72,7.67,
70,06/13/2024 22:30:00,23.11,-37.77,7.67,
71,06/13/2024 22:40:00,23.14,-37.77,7.67,
72,06/13/2024 22:50:00,23.14,-37.70,7.67,
73,06/13/2024 23:00:00,23.14,-37.80,7.67,
74,06/13/2024 23:10:00,23.14,-37.92,7.67,
75,06/13/2024 23:20:00,23.14,-37.94,7.67,
76,06/13/2024 23:30:00,23.14,-37.75,7.67,
77,06/13/2024 23:40:00,23.14,-37.63,7.67,
78,06/13/2024 23:50:00,23.14,-37.63,7.67,
79,06/14/2024 00:00:00,23.14,-37.39,7.66,
80,06/14/2024 00:10:00,23.11,-37.45,7.66,
81,06/14/2024 00:20:00,23.11,-37.30,7.66,
82,06/14/2024 00:30:00,23.09,-37.92,7.67,
83,06/14/2024 00:40:00,23.09,-38.20,7.68,
84,06/14/2024 00:50:00,23.09,-38.22,7.68,
