#,Date et heure (HST),Température   (°C),Millivolts   (mv),pH   (pH),Démarré,Bouton Bas,Bouton Haut,Hôte connecté,Arrêté,Fin du fichier
1,11/22/2024 03:00:00,21.53,180.94,3.46,Enregistré,,,,,
2,11/22/2024 03:10:00,21.51,180.93,3.46,,,,,,
3,11/22/2024 03:20:00,21.51,180.90,3.46,,,,,,
4,11/22/2024 03:30:00,21.49,180.94,3.46,,,,,,
5,11/22/2024 03:40:00,21.46,180.94,3.46,,,,,,
6,11/22/2024 03:50:00,21.41,180.91,3.46,,,,,,
7,11/22/2024 04:00:00,21.41,180.96,3.46,,,,,,
8,11/22/2024 04:10:00,21.39,180.93,3.46,,,,,,
9,11/22/2024 04:20:00,21.39,180.88,3.46,,,,,,
10,11/22/2024 04:30:00,21.41,180.91,3.46,,,,,,
11,11/22/2024 04:40:00,21.41,180.90,3.46,,,,,,
12,11/22/2024 04:50:00,21.41,180.85,3.46,,,,,,
13,11/22/2024 05:00:00,21.44,180.88,3.46,,,,,,
14,11/22/2024 05:10:00,21.44,180.86,3.46,,,,,,
15,11/22/2024 05:20:00,21.46,180.83,3.46,,,,,,
16,11/22/2024 05:30:00,21.46,180.86,3.46,,,,,,
17,11/22/2024 05:40:00,21.49,180.85,3.46,,,,,,
18,11/22/2024 05:50:00,21.49,180.82,3.46,,,,,,
19,11/22/2024 06:00:00,21.49,180.86,3.46,,,,,,
20,11/22/2024 06:10:00,21.46,180.86,3.46,,,,,,
21,11/22/2024 06:20:00,21.46,180.85,3.46,,,,,,
22,11/22/2024 06:30:00,21.44,180.90,3.46,,,,,,
23,11/22/2024 06:40:00,21.41,180.90,3.46,,,,,,
24,11/22/2024 06:50:00,21.39,180.86,3.46,,,,,,
25,11/22/2024 07:00:00,21.37,180.91,3.46,,,,,,
26,11/22/2024 07:10:00,21.37,180.90,3.46,,,,,,
27,11/22/2024 07:20:00,21.34,180.86,3.46,,,,,,
28,11/22/2024 07:30:00,21.34,180.90,3.46,,,,,,
29,11/22/2024 07:40:00,21.37,180.88,3.46,,,,,,
30,11/22/2024 07:50:00,21.37,180.83,3.46,,,,,,
31,11/22/2024 08:00:00,21.37,180.86,3.46,,,,,,
32,11/22/2024 08:10:00,21.39,180.83,3.46,,,,,,
33,11/22/2024 08:20:00,21.39,180.80,3.46,,,,,,
34,11/22/2024 08:30:00,21.41,180.83,3.46,,,,,,
35,11/22/2024 08:40:00,21.44,180.82,3.46,,,,,,
36,11/22/2024 08:50:00,21.44,180.79,3.46,,,,,,
37,11/22/2024 09:00:00,21.44,180.83,3.46,,,,,,
38,11/22/2024 09:10:00,21.44,180.83,3.46,,,,,,
39,11/22/2024 09:20:00,21.41,180.82,3.46,,,,,,
40,11/22/2024 09:30:00,21.41,180.86,3.46,,,,,,
41,11/22/2024 09:40:00,21.39,180.86,3.46,,,,,,
42,11/22/2024 09:50:00,21.37,180.85,3.46,,,,,,
43,11/22/2024 10:00:00,21.34,180.88,3.46,,,,,,
44,11/22/2024 10:10:00,21.34,180.88,3.46,,,,,,
45,11/22/2024 10:20:00,21.32,180.85,3.46,,,,,,
46,11/22/2024 10:30:00,21.32,180.88,3.46,,,,,,
47,11/22/2024 10:40:00,21.32,180.86,3.46,,,,,,
48,11/22/2024 10:50:00,21.34,180.82,3.46,,,,,,
49,11/22/2024 11:00:00,21.34,180.85,3.46,,,,,,
50,11/22/2024 11:10:00,21.37,180.83,3.46,,,,,,
51,11/22/2024 11:20:00,21.37,180.79,3.46,,,,,,
52,11/22/2024 11:30:00,21.39,180.83,3.46,,,,,,
53,11/22/2024 11:40:00,21.41,180.82,3.46,,,,,,
54,11/22/2024 11:50:00,21.44,180.77,3.46,,,,,,
55,11/22/2024 12:00:00,21.46,180.82,3.46,,,,,,
56,11/22/2024 12:10:00,21.46,180.82,3.46,,,,,,
57,11/22/2024 12:20:00,21.46,180.79,3.46,,,,,,
58,11/22/2024 12:30:00,21.44,180.85,3.46,,,,,,
59,11/22/2024 12:40:00,21.44,180.83,3.46,,,,,,
60,11/22/2024 12:50:00,21.41,180.82,3.46,,,,,,
61,11/22/2024 13:00:00,21.41,180.88,3.46,,,,,,
62,11/22/2024 13:10:00,21.39,180.86,3.46,,,,,,
63,11/22/2024 13:20:00,21.37,180.83,3.46,,,,,,
64,11/22/2024 13:30:00,21.34,180.88,3.46,,,,,,
65,11/22/2024 13:40:00,21.34,180.88,3.46,,,,,,
66,11/22/2024 13:50:00,21.32,180.85,3.46,,,,,,
67,11/22/2024 14:00:00,21.70,180.30,3.47,,,,,,
68,11/22/2024 14:10:00,22.87,179.55,3.50,,,,,,
69,11/22/2024 14:20:00,25.06,178.58,3.54,,,,,,
70,11/22/2024 14:30:00,26.87,181.08,3.52,,,,,,
71,11/22/2024 14:40:00,28.07,182.13,3.51,,,,,,
72,11/22/2024 14:50:00,29.11,182.46,3.52,,,,,,
73,11/22/2024 15:00:00,29.89,182.85,3.52,,,,,,
74,11/22/2024 15:10:00,30.42,183.19,3.52,,,,,,
75,11/22/2024 15:20:00,30.82,183.47,3.52,,,,,,
76,11/22/2024 15:30:00,31.13,183.74,3.52,,,,,,
77,11/22/2024 15:40:00,31.31,183.96,3.52,,,,,,
78,11/22/2024 15:50:00,30.70,183.49,3.52,,,,,,
79,11/22/2024 16:00:00,29.74,183.40,3.51,,,,,,
80,11/22/2024 16:10:00,25.77,-43.49,7.44,,,,,,
81,11/22/2024 16:20:00,24.10,-43.58,7.44,,,,,,
82,11/22/2024 16:30:00,23.66,-43.38,7.44,,,,,,
83,11/22/2024 16:40:00,23.50,-43.39,7.44,,,,,,
84,11/22/2024 16:50:00,23.40,-43.25,7.44,,,,,,
85,11/22/2024 17:00:00,23.35,-43.17,7.44,,,,,,
86,11/22/2024 17:10:00,23.33,-42.94,7.43,,,,,,
87,11/22/2024 17:20:00,23.30,-43.00,7.44,,,,,,
88,11/22/2024 17:30:00,23.30,-42.83,7.43,,,,,,
89,11/22/2024 17:40:00,23.28,-42.78,7.43,,,,,,
90,11/22/2024 17:50:00,23.26,-42.72,7.43,,,,,,
91,11/22/2024 18:00:00,23.26,-42.64,7.43,,,,,,
92,11/22/2024 18:10:00,23.23,-42.61,7.43,,,,,,
93,11/22/2024 18:20:00,23.23,-42.61,7.43,,,,,,
94,11/22/2024 18:30:00,23.23,-42.56,7.43,,,,,,
95,11/22/2024 18:40:00,23.21,-42.49,7.43,,,,,,
96,11/22/2024 18:50:00,23.21,-42.49,7.43,,,,,,
97,11/22/2024 19:00:00,23.18,-42.42,7.43,,,,,,
98,11/22/2024 19:10:00,23.18,-42.36,7.42,,,,,,
99,11/22/2024 19:20:00,23.18,-42.38,7.42,,,,,,
100,11/22/2024 19:30:00,23.16,-42.33,7.42,,,,,,
101,11/22/2024 19:40:00,23.16,-42.16,7.42,,,,,,
102,11/22/2024 19:50:00,23.16,-42.31,7.42,,,,,,
103,11/22/2024 20:00:00,23.14,-42.28,7.42,,,,,,
104,11/22/2024 20:10:00,23.14,-42.27,7.42,,,,,,
105,11/22/2024 20:20:00,23.14,-42.17,7.42,,,,,,
106,11/22/2024 20:30:00,23.11,-42.19,7.42,,,,,,
107,11/22/2024 20:40:00,23.11,-42.19,7.42,,,,,,
108,11/22/2024 20:50:00,23.11,-42.14,7.42,,,,,,
109,11/22/2024 21:00:00,23.09,-42.08,7.42,,,,,,
110,11/22/2024 21:10:00,23.09,-42.11,7.42,,,,,,
111,11/22/2024 21:20:00,23.09,-42.10,7.42,,,,,,
112,11/22/2024 21:30:00,23.09,-41.88,7.42,,,,,,
113,11/22/2024 21:40:00,23.09,-42.05,7.42,,,,,,
114,11/22/2024 21:50:00,23.06,-42.05,7.42,,,,,,
115,11/22/2024 22:00:00,23.06,-41.97,7.42,,,,,,
116,11/22/2024 22:10:00,23.06,-41.85,7.42,,,,,,
117,11/22/2024 22:20:00,23.06,-41.85,7.42,,,,,,
118,11/22/2024 22:30:00,23.06,-41.81,7.41,,,,,,
119,11/22/2024 22:40:00,23.06,-41.66,7.41,,,,,,
120,11/22/2024 22:50:00,23.06,-41.61,7.41,,,,,,
121,11/22/2024 23:00:00,23.04,-41.55,7.41,,,,,,
122,11/22/2024 23:10:00,23.04,-41.39,7.41,,,,,,
123,11/22/2024 23:20:00,23.04,-41.55,7.41,,,,,,
124,11/22/2024 23:30:00,23.04,-41.63,7.41,,,,,,
125,11/22/2024 23:40:00,23.04,-41.58,7.41,,,,,,
126,11/22/2024 23:50:00,23.04,-41.22,7.40,,,,,,
127,11/23/2024 00:00:00,23.04,-41.20,7.40,,,,,,
128,11/23/2024 00:10:00,23.04,-41.14,7.40,,,,,,
129,11/23/2024 00:20:00,23.04,-41.03,7.40,,,,,,
130,11/23/2024 00:30:00,23.04,-41.00,7.40,,,,,,
131,11/23/2024 00:40:00,23.04,-40.84,7.40,,,,,,
132,11/23/2024 00:50:00,23.04,-40.88,7.40,,,,,,
133,11/23/2024 01:00:00,23.04,-40.78,7.40,,,,,,
134,11/23/2024 01:10:00,23.04,-40.77,7.40,,,,,,
135,11/23/2024 01:20:00,23.04,-40.75,7.40,,,,,,
136,11/23/2024 01:30:00,23.04,-40.58,7.39,,,,,,
137,11/23/2024 01:40:00,23.02,-40.75,7.40,,,,,,
138,11/23/2024 01:50:00,23.02,-40.75,7.40,,,,,,
139,11/23/2024 02:00:00,23.02,-40.80,7.40,,,,,,
140,11/23/2024 02:10:00,23.02,-40.77,7.40,,,,,,
141,11/23/2024 02:20:00,23.02,-40.67,7.39,,,,,,
142,11/23/2024 02:30:00,23.02,-40.52,7.39,,,,,,
143,11/23/2024 02:40:00,23.02,-40.56,7.39,,,,,,
