Date	Time	Temp (°C) c:1	mV (mv) c:2	pH c:4	Water Detect	Button Down	Button Up	Host Connected	End Of File
06-10-22	04:00:00	26.01	161.29	4.28					
06-10-22	04:10:00	25.96	161.29	4.28					
06-10-22	04:20:00	25.94	161.19	4.28					
06-10-22	04:30:00	25.89	161.25	4.28					
06-10-22	04:40:00	25.84	161.27	4.28					
06-10-22	04:50:00	25.82	161.16	4.28					
06-10-22	05:00:00	25.77	161.25	4.28					
06-10-22	05:10:00	25.74	161.24	4.28					
06-10-22	05:20:00	25.70	161.15	4.28					
06-10-22	05:30:00	25.67	161.22	4.28					
06-10-22	05:40:00	25.62	161.22	4.28					
06-10-22	05:50:00	25.57	161.13	4.28					
06-10-22	06:00:00	25.55	161.21	4.28					
06-10-22	06:10:00	25.53	161.21	4.28					
06-10-22	06:20:00	25.48	161.11	4.28					
06-10-22	06:30:00	25.45	161.19	4.28					
06-10-22	06:40:00	25.43	161.18	4.28					
06-10-22	06:50:00	25.40	161.08	4.28					
06-10-22	07:00:00	25.38	161.16	4.28					
06-10-22	07:10:00	25.36	161.16	4.28					
06-10-22	07:20:00	25.33	161.05	4.28					
06-10-22	07:30:00	25.33	161.13	4.28					
06-10-22	07:40:00	25.31	161.11	4.28					
06-10-22	07:50:00	25.31	161.04	4.28					
06-10-22	08:00:00	25.31	161.10	4.28					
06-10-22	08:10:00	25.38	161.08	4.28					
06-10-22	08:20:00	25.40	160.99	4.28					
06-10-22	08:30:00	25.43	161.04	4.28					
06-10-22	08:40:00	25.50	161.00	4.28					
06-10-22	08:50:00	25.60	160.90	4.29					
06-10-22	09:00:00	25.84	160.77	4.29					
06-10-22	09:10:00	26.57	160.82	4.30					
06-10-22	09:20:00	27.73	161.43	4.30					
06-10-22	09:30:00	30.07	160.75	4.33					
06-10-22	09:40:00	31.26	161.21	4.33					
06-10-22	09:46:45				Out				
06-10-22	09:48:00				In				
06-10-22	09:50:00	28.17	-17.86	7.30					
06-10-22	09:53:45				Out				
06-10-22	09:54:15				In				
06-10-22	09:55:45				Out				
06-10-22	09:57:45				In				
06-10-22	10:00:00	26.72	-24.19	7.41					
06-10-22	10:10:00	26.48	-22.28	7.37					
06-10-22	10:20:00	26.33	-21.28	7.36					
06-10-22	10:30:00	26.30	-20.69	7.35					
06-10-22	10:40:00	26.33	-20.34	7.34					
06-10-22	10:50:00	26.35	-21.19	7.36					
06-10-22	11:00:00	26.40	-20.75	7.35					
06-10-22	11:10:00	26.38	-20.86	7.35					
06-10-22	11:20:00	26.45	-20.58	7.35					
06-10-22	11:30:00	26.40	-20.50	7.34					
06-10-22	11:40:00	26.45	-20.91	7.35					
06-10-22	11:50:00	26.48	-20.55	7.35					
06-10-22	12:00:00	26.48	-20.83	7.35					
06-10-22	12:10:00	26.50	-20.80	7.35					
06-10-22	12:20:00	26.50	-21.95	7.37					
06-10-22	12:30:00	26.50	-21.81	7.37					
06-10-22	12:40:00	26.55	-21.74	7.37					
06-10-22	12:50:00	26.60	-21.14	7.36					
06-10-22	13:00:00	26.62	-21.45	7.36					
06-10-22	13:10:00	26.62	-21.74	7.37					
06-10-22	13:20:00	26.77	-23.14	7.39					
06-10-22	13:30:00	26.74	-23.47	7.39					
06-10-22	13:40:00	26.70	-23.22	7.39					
06-10-22	13:50:00	26.67	-23.81	7.40					
06-10-22	14:00:00	26.84	-23.97	7.40					
06-10-22	14:10:00	26.89	-24.97	7.42					
06-10-22	14:20:00	26.96	-25.28	7.42					
06-10-22	14:30:00	26.62	-24.91	7.42					
06-10-22	14:40:00	26.57	-25.17	7.42					
06-10-22	14:50:00	26.57	-25.44	7.43					
06-10-22	15:00:00	26.57	-25.34	7.43					
06-10-22	15:10:00	26.57	-25.99	7.44					
06-10-22	15:20:00	26.57	-25.99	7.44					
06-10-22	15:30:00	26.57	-25.88	7.44					
06-10-22	15:40:00	26.60	-26.00	7.44					
06-10-22	15:50:00	26.57	-27.64	7.46					
06-10-22	16:00:00	26.57	-28.09	7.47					
06-10-22	16:10:00	26.57	-29.47	7.50					
06-10-22	16:20:00	26.57	-29.75	7.50					
06-10-22	16:30:00	26.62	-29.06	7.49					
06-10-22	16:40:00	26.60	-29.47	7.50					
06-10-22	16:50:00	26.60	-29.70	7.50					
06-10-22	17:00:00	26.60	-29.27	7.49					
06-10-22	17:10:00	26.60	-28.84	7.48					
06-10-22	17:20:00	26.60	-29.03	7.49					
06-10-22	17:30:00	26.57	-28.39	7.48					
06-10-22	17:40:00	26.60	-28.58	7.48					
06-10-22	17:50:00	26.60	-29.14	7.49					
06-10-22	18:00:00	26.57	-29.00	7.49					
06-10-22	18:10:00	26.57	-27.89	7.47					
06-10-22	18:20:00	26.57	-28.77	7.48					
06-10-22	18:30:00	26.55	-28.42	7.48					
06-10-22	18:40:00	26.55	-27.80	7.47					
06-10-22	18:50:00	26.52	-27.42	7.46					
06-10-22	19:00:00	26.52	-27.41	7.46					
06-10-22	19:10:00	26.52	-27.20	7.46					
06-10-22	19:20:00	26.50	-26.99	7.45					
06-10-22	19:30:00	26.50	-27.11	7.46					
06-10-22	19:40:00	26.48	-26.75	7.45					
06-10-22	19:50:00	26.45	-26.86	7.45					
06-10-22	20:00:00	26.43	-26.50	7.45					
06-10-22	20:10:00	26.40	-26.30	7.44					
06-10-22	20:20:00	26.38	-26.24	7.44					
06-10-22	20:30:00	26.38	-26.38	7.44					
06-10-22	20:40:00	26.35	-26.27	7.44					
06-10-22	20:50:00	26.33	-26.69	7.45					
06-10-22	21:00:00	26.30	-26.81	7.45					
06-10-22	21:10:00	26.30	-27.00	7.45					
06-10-22	21:20:00	26.28	-27.36	7.46					
06-10-22	21:30:00	26.26	-26.94	7.45					
06-10-22	21:40:00	26.23	-26.77	7.45					
06-10-22	21:50:00	26.21	-26.91	7.45					
06-10-22	22:00:00	26.21	-26.78	7.45					
06-10-22	22:10:00	26.18	-26.97	7.45					
06-10-22	22:20:00	26.16	-26.77	7.45					
06-10-22	22:30:00	26.16	-26.63	7.45					
06-10-22	22:40:00	26.13	-26.70	7.45					
06-10-22	22:50:00	26.13	-26.94	7.45					
06-10-22	23:00:00	26.11	-27.06	7.46					
06-10-22	23:10:00	26.08	-26.70	7.45					
06-10-22	23:20:00	26.06	-26.74	7.45					
06-10-22	23:30:00	26.06	-27.08	7.46					
06-10-22	23:40:00	26.04	-26.67	7.45					
06-10-22	23:50:00	26.04	-26.97	7.45					
07-10-22	00:00:00	26.01	-26.80	7.45					
07-10-22	00:10:00	25.99	-26.84	7.45					
07-10-22	00:20:00	25.99	-26.72	7.45					
07-10-22	00:30:00	25.99	-26.64	7.45					
07-10-22	00:40:00	25.96	-26.36	7.44					
07-10-22	00:50:00	25.96	-26.34	7.44					
07-10-22	01:00:00	25.94	-26.58	7.45					
07-10-22	01:10:00	25.94	-26.75	7.45					
07-10-22	01:20:00	25.94	-26.36	7.44					
07-10-22	01:30:00	25.91	-26.34	7.44					
07-10-22	01:40:00	25.91	-26.33	7.44					
07-10-22	01:50:00	25.91	-26.02	7.44					
07-10-22	02:00:00	25.89	-25.91	7.44					
07-10-22	02:10:00	25.89	-25.99	7.44					
07-10-22	02:20:00	25.87	-25.78	7.43					
07-10-22	02:30:00	25.87	-25.75	7.43					
07-10-22	02:40:00	25.84	-25.50	7.43					
07-10-22	02:50:00	25.84	-25.56	7.43					
07-10-22	03:00:00	25.84	-25.33	7.43					
07-10-22	03:10:00	25.82	-25.44	7.43					
07-10-22	03:20:00	25.79	-25.42	7.43					
07-10-22	03:30:00	25.79	-25.59	7.43					
07-10-22	03:40:00	25.79	-25.14	7.42					
07-10-22	03:50:00	25.77	-25.14	7.42					
07-10-22	04:00:00	25.77	-24.94	7.42					
07-10-22	04:10:00	25.74	-24.66	7.42					
07-10-22	04:20:00	25.74	-24.50	7.41					
07-10-22	04:30:00	25.74	-24.59	7.41					
07-10-22	04:40:00	25.72	-24.45	7.41					
07-10-22	04:50:00	25.72	-24.33	7.41					
07-10-22	05:00:00	25.70	-24.24	7.41					
07-10-22	05:10:00	25.70	-24.14	7.41					
07-10-22	05:20:00	25.70	-24.08	7.41					
07-10-22	05:30:00	25.67	-24.00	7.40					
07-10-22	05:40:00	25.67	-23.89	7.40					
07-10-22	05:50:00	25.67	-24.02	7.40					
07-10-22	06:00:00	25.65	-23.91	7.40					
07-10-22	06:10:00	25.65	-23.83	7.40					
07-10-22	06:20:00	25.62	-23.80	7.40					
07-10-22	06:30:00	25.62	-23.70	7.40					
07-10-22	06:40:00	25.62	-24.16	7.41					
07-10-22	06:50:00	25.62	-23.89	7.40					
07-10-22	07:00:00	25.60	-23.69	7.40					
07-10-22	07:10:00	25.60	-23.56	7.40					
07-10-22	07:20:00	25.60	-23.53	7.40					
07-10-22	07:30:00	25.60	-23.63	7.40					
07-10-22	07:40:00	25.60	-23.69	7.40					
07-10-22	07:50:00	25.60	-23.67	7.40					
07-10-22	08:00:00	25.60	-23.66	7.40					
07-10-22	08:10:00	25.62	-23.70	7.40					
07-10-22	08:20:00	25.65	-23.67	7.40					
07-10-22	08:30:00	25.67	-23.45	7.40					
07-10-22	08:40:00	25.67	-23.31	7.39					
07-10-22	08:50:00	25.70	-23.17	7.39					
07-10-22	09:00:00	25.74	-23.42	7.39					
07-10-22	09:10:00	25.79	-23.58	7.40					
07-10-22	09:20:00	25.82	-23.56	7.40					
07-10-22	09:30:00	25.84	-23.49	7.40					
07-10-22	09:40:00	25.84	-23.38	7.39					
07-10-22	09:50:00	25.87	-23.28	7.39					
07-10-22	10:00:00	25.87	-23.34	7.39					
07-10-22	10:10:00	25.91	-23.39	7.39					
07-10-22	10:20:00	25.94	-23.44	7.39					
07-10-22	10:30:00	26.01	-23.49	7.40					
07-10-22	10:40:00	26.06	-23.53	7.40					
07-10-22	10:50:00	26.13	-23.63	7.40					
07-10-22	11:00:00	26.21	-23.66	7.40					
07-10-22	11:10:00	26.23	-23.61	7.40					
07-10-22	11:20:00	26.30	-23.72	7.40					
07-10-22	11:30:00	26.33	-23.59	7.40					
07-10-22	11:40:00	26.33	-23.67	7.40					
07-10-22	11:50:00	26.40	-23.67	7.40					
07-10-22	12:00:00	26.40	-23.34	7.39					
07-10-22	12:10:00	26.40	-23.19	7.39					
07-10-22	12:20:00	26.43	-24.08	7.41					
07-10-22	12:30:00	26.52	-24.41	7.41					
07-10-22	12:40:00	26.55	-24.34	7.41					
07-10-22	12:50:00	26.70	-24.89	7.42					
07-10-22	13:00:00	26.57	-25.31	7.43					
07-10-22	13:10:00	26.62	-25.45	7.43					
07-10-22	13:20:00	26.67	-25.72	7.43					
07-10-22	13:30:00	26.60	-25.67	7.43					
07-10-22	13:40:00	26.72	-25.78	7.43					
07-10-22	13:50:00	26.82	-26.09	7.44					
07-10-22	14:00:00	26.94	-26.42	7.44					
07-10-22	14:10:00	27.11	-26.84	7.45					
