#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,09/20/2024 01:00:00,23.35,174.10,3.46,,,,,
2,09/20/2024 01:10:00,23.38,174.11,3.46,,,,,
3,09/20/2024 01:20:00,23.30,174.10,3.46,,,,,
4,09/20/2024 01:30:00,23.30,174.08,3.46,,,,,
5,09/20/2024 01:40:00,23.30,174.10,3.46,,,,,
6,09/20/2024 01:50:00,23.30,174.10,3.46,,,,,
7,09/20/2024 02:00:00,23.26,174.08,3.46,,,,,
8,09/20/2024 02:10:00,23.26,174.08,3.46,,,,,
9,09/20/2024 02:20:00,23.26,174.08,3.46,,,,,
10,09/20/2024 02:30:00,23.21,174.07,3.46,,,,,
11,09/20/2024 02:40:00,23.18,174.08,3.46,,,,,
12,09/20/2024 02:50:00,23.21,174.07,3.46,,,,,
13,09/20/2024 03:00:00,23.21,174.07,3.46,,,,,
14,09/20/2024 03:10:00,23.18,174.07,3.46,,,,,
15,09/20/2024 03:20:00,23.16,174.07,3.46,,,,,
16,09/20/2024 03:30:00,23.16,174.05,3.46,,,,,
17,09/20/2024 03:40:00,23.16,174.07,3.46,,,,,
18,09/20/2024 03:50:00,23.18,174.07,3.46,,,,,
19,09/20/2024 04:00:00,23.11,174.04,3.46,,,,,
20,09/20/2024 04:10:00,23.11,174.04,3.46,,,,,
21,09/20/2024 04:20:00,23.11,174.04,3.46,,,,,
22,09/20/2024 04:30:00,23.14,174.04,3.46,,,,,
23,09/20/2024 04:40:00,23.11,174.04,3.46,,,,,
24,09/20/2024 04:50:00,23.09,174.02,3.46,,,,,
25,09/20/2024 05:00:00,23.06,174.02,3.46,,,,,
26,09/20/2024 05:10:00,23.09,174.02,3.46,,,,,
27,09/20/2024 05:20:00,23.09,174.02,3.46,,,,,
28,09/20/2024 05:30:00,23.04,174.01,3.46,,,,,
29,09/20/2024 05:40:00,23.04,174.02,3.46,,,,,
30,09/20/2024 05:50:00,23.04,174.01,3.46,,,,,
31,09/20/2024 06:00:00,23.06,173.99,3.46,,,,,
32,09/20/2024 06:10:00,23.02,174.01,3.46,,,,,
33,09/20/2024 06:20:00,22.99,173.99,3.46,,,,,
34,09/20/2024 06:30:00,22.99,173.97,3.46,,,,,
35,09/20/2024 06:40:00,22.99,173.99,3.46,,,,,
36,09/20/2024 06:50:00,22.94,173.97,3.46,,,,,
37,09/20/2024 07:00:00,22.92,173.96,3.46,,,,,
38,09/20/2024 07:10:00,22.94,173.97,3.46,,,,,
39,09/20/2024 07:20:00,22.90,173.96,3.46,,,,,
40,09/20/2024 07:30:00,22.87,173.94,3.46,,,,,
41,09/20/2024 07:40:00,22.90,173.96,3.46,,,,,
42,09/20/2024 07:50:00,22.85,173.94,3.45,,,,,
43,09/20/2024 08:00:00,22.87,173.93,3.46,,,,,
44,09/20/2024 08:10:00,22.87,173.94,3.46,,,,,
45,09/20/2024 08:20:00,22.85,173.93,3.46,,,,,
46,09/20/2024 08:30:00,22.87,173.91,3.46,,,,,
47,09/20/2024 08:40:00,22.85,173.93,3.46,,,,,
48,09/20/2024 08:50:00,22.85,173.91,3.46,,,,,
49,09/20/2024 09:00:00,22.85,173.90,3.46,,,,,
50,09/20/2024 09:10:00,22.82,173.91,3.46,,,,,
51,09/20/2024 09:20:00,22.85,173.90,3.46,,,,,
52,09/20/2024 09:30:00,22.82,173.90,3.46,,,,,
53,09/20/2024 09:40:00,22.82,173.90,3.46,,,,,
54,09/20/2024 09:50:00,22.80,173.90,3.46,,,,,
55,09/20/2024 10:00:00,22.78,173.86,3.46,,,,,
56,09/20/2024 10:10:00,22.75,173.88,3.45,,,,,
