#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Button Down,Button Up,Host Connected,Stopped,End of File
1,09/20/2024 01:00:00,23.42,174.15,3.55,,,,,
2,09/20/2024 01:10:00,23.42,174.13,3.55,,,,,
3,09/20/2024 01:20:00,23.38,174.13,3.55,,,,,
4,09/20/2024 01:30:00,23.38,174.13,3.55,,,,,
5,09/20/2024 01:40:00,23.38,174.11,3.55,,,,,
6,09/20/2024 01:50:00,23.38,174.13,3.55,,,,,
7,09/20/2024 02:00:00,23.33,174.11,3.55,,,,,
8,09/20/2024 02:10:00,23.33,174.10,3.55,,,,,
9,09/20/2024 02:20:00,23.33,174.11,3.55,,,,,
10,09/20/2024 02:30:00,23.28,174.10,3.55,,,,,
11,09/20/2024 02:40:00,23.28,174.08,3.55,,,,,
12,09/20/2024 02:50:00,23.28,174.10,3.55,,,,,
13,09/20/2024 03:00:00,23.28,174.08,3.55,,,,,
14,09/20/2024 03:10:00,23.23,174.07,3.55,,,,,
15,09/20/2024 03:20:00,23.23,174.07,3.55,,,,,
16,09/20/2024 03:30:00,23.23,174.07,3.55,,,,,
17,09/20/2024 03:40:00,23.23,174.07,3.55,,,,,
18,09/20/2024 03:50:00,23.23,174.07,3.55,,,,,
19,09/20/2024 04:00:00,23.18,174.05,3.55,,,,,
20,09/20/2024 04:10:00,23.18,174.04,3.55,,,,,
21,09/20/2024 04:20:00,23.18,174.05,3.55,,,,,
22,09/20/2024 04:30:00,23.21,174.05,3.55,,,,,
23,09/20/2024 04:40:00,23.16,174.04,3.55,,,,,
24,09/20/2024 04:50:00,23.14,174.04,3.55,,,,,
25,09/20/2024 05:00:00,23.16,174.02,3.55,,,,,
26,09/20/2024 05:10:00,23.16,174.02,3.55,,,,,
27,09/20/2024 05:20:00,23.16,174.02,3.55,,,,,
28,09/20/2024 05:30:00,23.11,174.02,3.55,,,,,
29,09/20/2024 05:40:00,23.11,174.01,3.55,,,,,
30,09/20/2024 05:50:00,23.11,174.01,3.55,,,,,
31,09/20/2024 06:00:00,23.11,174.01,3.55,,,,,
32,09/20/2024 06:10:00,23.06,174.01,3.55,,,,,
