#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,04/03/2025 01:00:00,26.01,172.86,3.38,Logged,,,,,
2,04/03/2025 01:10:00,25.91,172.80,3.38,,,,,,
3,04/03/2025 01:20:00,25.79,172.76,3.38,,,,,,
4,04/03/2025 01:30:00,25.70,172.71,3.38,,,,,,
5,04/03/2025 01:40:00,25.60,172.66,3.38,,,,,,
6,04/03/2025 01:50:00,25.53,172.61,3.38,,,,,,
7,04/03/2025 02:00:00,25.43,172.58,3.38,,,,,,
8,04/03/2025 02:10:00,25.36,172.54,3.38,,,,,,
9,04/03/2025 02:20:00,25.28,172.49,3.38,,,,,,
10,04/03/2025 02:30:00,25.19,172.47,3.38,,,,,,
11,04/03/2025 02:40:00,25.11,172.43,3.38,,,,,,
12,04/03/2025 02:50:00,25.04,172.38,3.38,,,,,,
13,04/03/2025 03:00:00,24.97,172.35,3.38,,,,,,
14,04/03/2025 03:10:00,24.90,172.32,3.38,,,,,,
15,04/03/2025 03:20:00,24.82,172.29,3.38,,,,,,
16,04/03/2025 03:30:00,24.75,172.26,3.38,,,,,,
17,04/03/2025 03:40:00,24.68,172.22,3.38,,,,,,
18,04/03/2025 03:50:00,24.60,172.18,3.38,,,,,,
19,04/03/2025 04:00:00,24.53,172.16,3.38,,,,,,
20,04/03/2025 04:10:00,24.46,172.11,3.38,,,,,,
21,04/03/2025 04:20:00,24.39,172.08,3.38,,,,,,
22,04/03/2025 04:30:00,24.34,172.07,3.38,,,,,,
23,04/03/2025 04:40:00,24.27,172.04,3.38,,,,,,
24,04/03/2025 04:50:00,24.22,172.01,3.38,,,,,,
25,04/03/2025 05:00:00,24.17,171.99,3.38,,,,,,
26,04/03/2025 05:10:00,24.12,171.96,3.38,,,,,,
27,04/03/2025 05:20:00,24.07,171.94,3.38,,,,,,
28,04/03/2025 05:30:00,24.03,171.93,3.38,,,,,,
29,04/03/2025 05:40:00,23.98,171.91,3.38,,,,,,
30,04/03/2025 05:50:00,23.95,171.88,3.38,,,,,,
31,04/03/2025 06:00:00,23.91,171.86,3.38,,,,,,
32,04/03/2025 06:10:00,23.86,171.85,3.38,,,,,,
33,04/03/2025 06:20:00,23.81,171.82,3.38,,,,,,
34,04/03/2025 06:30:00,23.74,171.80,3.37,,,,,,
35,04/03/2025 06:40:00,23.69,171.77,3.37,,,,,,
36,04/03/2025 06:50:00,23.64,171.74,3.37,,,,,,
37,04/03/2025 07:00:00,23.59,171.72,3.37,,,,,,
38,04/03/2025 07:10:00,23.54,171.71,3.37,,,,,,
39,04/03/2025 07:20:00,23.50,171.68,3.37,,,,,,
40,04/03/2025 07:30:00,23.47,171.68,3.37,,,,,,
41,04/03/2025 07:40:00,23.45,171.66,3.37,,,,,,
42,04/03/2025 07:50:00,23.47,171.65,3.37,,,,,,
43,04/03/2025 08:00:00,23.50,171.68,3.37,,,,,,
44,04/03/2025 08:10:00,23.54,171.69,3.37,,,,,,
45,04/03/2025 08:20:00,23.62,171.69,3.38,,,,,,
46,04/03/2025 08:30:00,23.71,171.74,3.38,,,,,,
47,04/03/2025 08:40:00,23.86,171.77,3.38,,,,,,
48,04/03/2025 08:50:00,24.03,171.82,3.38,,,,,,
49,04/03/2025 09:00:00,24.92,172.16,3.38,,,,,,
50,04/03/2025 09:10:00,25.28,172.29,3.38,,,,,,
51,04/03/2025 09:20:00,25.50,172.33,3.39,,,,,,
52,04/03/2025 09:30:00,25.70,172.41,3.39,,,,,,
53,04/03/2025 09:40:00,25.91,172.55,3.39,,,,,,
54,04/03/2025 09:50:00,28.10,167.63,3.51,,,,,,
55,04/03/2025 10:00:00,26.74,-9.50,6.88,,,,,,
56,04/03/2025 10:10:00,26.45,-25.69,7.19,,,,,,
57,04/03/2025 10:20:00,26.57,-32.02,7.31,,,,,,
58,04/03/2025 10:30:00,26.67,-35.99,7.39,,,,,,
59,04/03/2025 10:40:00,26.99,-38.39,7.43,,,,,,
60,04/03/2025 10:50:00,27.19,-39.86,7.46,,,,,,
61,04/03/2025 11:00:00,27.31,-40.86,7.48,,,,,,
62,04/03/2025 11:10:00,27.33,-41.85,7.50,,,,,,
63,04/03/2025 11:20:00,27.46,-42.50,7.51,,,,,,
64,04/03/2025 11:30:00,27.65,-43.19,7.52,,,,,,
65,04/03/2025 11:40:00,27.75,-43.89,7.53,,,,,,
66,04/03/2025 11:50:00,27.87,-44.78,7.55,,,,,,
67,04/03/2025 12:00:00,28.12,-44.88,7.55,,,,,,
68,04/03/2025 12:10:00,28.25,-45.52,7.56,,,,,,
69,04/03/2025 12:20:00,28.25,-46.35,7.58,,,,,,
70,04/03/2025 12:30:00,28.22,-47.55,7.60,,,,,,
71,04/03/2025 12:40:00,28.22,-48.53,7.62,,,,,,
72,04/03/2025 12:50:00,28.27,-49.22,7.63,,,,,,
73,04/03/2025 13:00:00,28.42,-49.49,7.64,,,,,,
74,04/03/2025 13:10:00,28.57,-49.78,7.65,,,,,,
75,04/03/2025 13:20:00,28.62,-50.31,7.66,,,,,,
76,04/03/2025 13:30:00,28.69,-50.78,7.66,,,,,,
77,04/03/2025 13:40:00,28.82,-51.47,7.68,,,,,,
78,04/03/2025 13:50:00,28.89,-51.83,7.68,,,,,,
79,04/03/2025 14:00:00,29.09,-51.97,7.69,,,,,,
80,04/03/2025 14:10:00,29.11,-51.85,7.68,,,,,,
81,04/03/2025 14:20:00,29.14,-52.24,7.69,,,,,,
82,04/03/2025 14:30:00,29.24,-52.66,7.70,,,,,,
83,04/03/2025 14:40:00,29.29,-53.17,7.71,,,,,,
84,04/03/2025 14:50:00,29.26,-53.33,7.71,,,,,,
85,04/03/2025 15:00:00,29.29,-54.17,7.73,,,,,,
86,04/03/2025 15:10:00,29.26,-54.64,7.74,,,,,,
87,04/03/2025 15:20:00,29.24,-54.83,7.74,,,,,,
88,04/03/2025 15:30:00,29.21,-54.81,7.74,,,,,,
89,04/03/2025 15:40:00,29.21,-54.66,7.74,,,,,,
90,04/03/2025 15:50:00,29.11,-54.53,7.73,,,,,,
91,04/03/2025 16:00:00,29.04,-54.64,7.74,,,,,,
92,04/03/2025 16:10:00,29.02,-54.78,7.74,,,,,,
93,04/03/2025 16:20:00,28.99,-54.85,7.74,,,,,,
94,04/03/2025 16:30:00,28.92,-54.89,7.74,,,,,,
95,04/03/2025 16:40:00,28.87,-54.99,7.74,,,,,,
96,04/03/2025 16:50:00,28.82,-54.66,7.74,,,,,,
97,04/03/2025 17:00:00,28.74,-54.89,7.74,,,,,,
98,04/03/2025 17:10:00,28.67,-54.81,7.74,,,,,,
99,04/03/2025 17:20:00,28.62,-54.78,7.74,,,,,,
100,04/03/2025 17:30:00,28.52,-54.83,7.74,,,,,,
101,04/03/2025 17:40:00,28.42,-53.78,7.72,,,,,,
102,04/03/2025 17:50:00,28.32,-53.75,7.72,,,,,,
103,04/03/2025 18:00:00,28.27,-53.11,7.71,,,,,,
104,04/03/2025 18:10:00,28.20,-52.02,7.69,,,,,,
105,04/03/2025 18:20:00,28.10,-50.74,7.66,,,,,,
106,04/03/2025 18:30:00,28.05,-50.28,7.66,,,,,,
107,04/03/2025 18:40:00,28.00,-49.85,7.65,,,,,,
108,04/03/2025 18:50:00,27.92,-49.35,7.64,,,,,,
109,04/03/2025 19:00:00,27.90,-48.74,7.63,,,,,,
110,04/03/2025 19:10:00,27.83,-48.49,7.62,,,,,,
111,04/03/2025 19:20:00,27.78,-47.66,7.61,,,,,,
112,04/03/2025 19:30:00,27.73,-47.06,7.60,,,,,,
