#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,04/29/2025 13:00:00,22.97,177.08,3.36,Logged,,,,,
2,04/29/2025 13:10:00,22.85,177.15,3.36,,,,,,
3,04/29/2025 13:20:00,22.78,177.11,3.36,,,,,,
4,04/29/2025 13:30:00,22.66,177.02,3.36,,,,,,
5,04/29/2025 13:40:00,22.58,177.11,3.35,,,,,,
6,04/29/2025 13:50:00,22.49,177.08,3.35,,,,,,
7,04/29/2025 14:00:00,22.42,176.99,3.35,,,,,,
8,04/29/2025 14:10:00,22.92,177.19,3.36,,,,,,
9,04/29/2025 14:20:00,24.22,177.32,3.37,,,,,,
10,04/29/2025 14:30:00,25.14,177.44,3.38,,,,,,
11,04/29/2025 14:40:00,25.65,177.72,3.38,,,,,,
12,04/29/2025 14:50:00,26.18,178.07,3.38,,,,,,
13,04/29/2025 15:00:00,25.57,177.82,3.38,,,,,,
14,04/29/2025 15:10:00,24.92,177.77,3.37,,,,,,
15,04/29/2025 15:20:00,24.51,177.69,3.37,,,,,,
16,04/29/2025 15:30:00,24.17,177.55,3.36,,,,,,
17,04/29/2025 15:40:00,23.81,177.55,3.36,,,,,,
18,04/29/2025 15:50:00,23.64,177.57,3.36,,,,,,
19,04/29/2025 16:00:00,23.62,177.47,3.36,,,,,,
20,04/29/2025 16:10:00,24.65,174.21,3.44,,,,,,
21,04/29/2025 16:20:00,24.19,-20.55,7.25,,,,,,
22,04/29/2025 16:30:00,24.17,-32.11,7.47,,,,,,
23,04/29/2025 16:40:00,24.15,-37.38,7.58,,,,,,
24,04/29/2025 16:50:00,24.10,-40.02,7.63,,,,,,
25,04/29/2025 17:00:00,24.10,-40.84,7.64,,,,,,
26,04/29/2025 17:10:00,24.82,-47.85,7.78,,,,,,
27,04/29/2025 17:20:00,25.33,-56.52,7.95,,,,,,
28,04/29/2025 17:30:00,25.53,-58.95,7.99,,,,,,
29,04/29/2025 17:40:00,26.13,-64.21,8.09,,,,,,
30,04/29/2025 17:50:00,26.55,-67.36,8.15,,,,,,
31,04/29/2025 18:00:00,27.01,-70.97,8.22,,,,,,
32,04/29/2025 18:10:00,27.19,-72.49,8.25,,,,,,
33,04/29/2025 18:20:00,27.28,-72.27,8.25,,,,,,
34,04/29/2025 18:30:00,27.41,-73.44,8.27,,,,,,
35,04/29/2025 18:40:00,27.51,-73.80,8.27,,,,,,
36,04/29/2025 18:50:00,27.51,-73.38,8.27,,,,,,
37,04/29/2025 19:00:00,27.55,-72.72,8.25,,,,,,
38,04/29/2025 19:10:00,27.58,-73.24,8.26,,,,,,
39,04/29/2025 19:20:00,27.60,-73.77,8.27,,,,,,
40,04/29/2025 19:30:00,27.60,-72.97,8.26,,,,,,
41,04/29/2025 19:40:00,27.55,-73.44,8.27,,,,,,
42,04/29/2025 19:50:00,27.55,-73.35,8.27,,,,,,
43,04/29/2025 20:00:00,27.41,-72.39,8.25,,,,,,
44,04/29/2025 20:10:00,27.36,-72.25,8.25,,,,,,
45,04/29/2025 20:20:00,27.38,-72.02,8.24,,,,,,
46,04/29/2025 20:30:00,27.36,-70.11,8.20,,,,,,
47,04/29/2025 20:40:00,27.36,-70.99,8.22,,,,,,
48,04/29/2025 20:50:00,27.23,-70.80,8.22,,,,,,
49,04/29/2025 21:00:00,27.09,-69.99,8.20,,,,,,
50,04/29/2025 21:10:00,26.96,-69.08,8.19,,,,,,
51,04/29/2025 21:20:00,26.79,-67.52,8.16,,,,,,
52,04/29/2025 21:30:00,26.65,-65.86,8.12,,,,,,
53,04/29/2025 21:40:00,26.50,-64.46,8.10,,,,,,
54,04/29/2025 21:50:00,26.40,-63.33,8.08,,,,,,
55,04/29/2025 22:00:00,26.28,-62.22,8.05,,,,,,
56,04/29/2025 22:10:00,26.18,-61.00,8.03,,,,,,
57,04/29/2025 22:20:00,26.08,-59.99,8.01,,,,,,
58,04/29/2025 22:30:00,25.96,-58.99,7.99,,,,,,
59,04/29/2025 22:40:00,25.87,-58.08,7.98,,,,,,
60,04/29/2025 22:50:00,25.77,-57.06,7.96,,,,,,
61,04/29/2025 23:00:00,25.70,-56.33,7.94,,,,,,
62,04/29/2025 23:10:00,25.62,-55.60,7.93,,,,,,
63,04/29/2025 23:20:00,25.53,-54.86,7.91,,,,,,
64,04/29/2025 23:30:00,25.45,-54.17,7.90,,,,,,
65,04/29/2025 23:40:00,25.38,-53.47,7.89,,,,,,
66,04/29/2025 23:50:00,25.33,-52.85,7.87,,,,,,
67,04/30/2025 00:00:00,25.26,-52.28,7.86,,,,,,
68,04/30/2025 00:10:00,25.19,-51.67,7.85,,,,,,
69,04/30/2025 00:20:00,25.14,-51.10,7.84,,,,,,
70,04/30/2025 00:30:00,25.09,-50.66,7.83,,,,,,
71,04/30/2025 00:40:00,25.04,-50.02,7.82,,,,,,
72,04/30/2025 00:50:00,24.99,-49.58,7.81,,,,,,
73,04/30/2025 01:00:00,24.94,-49.16,7.80,,,,,,
74,04/30/2025 01:10:00,24.90,-48.70,7.80,,,,,,
75,04/30/2025 01:20:00,24.85,-48.28,7.79,,,,,,
76,04/30/2025 01:30:00,24.80,-48.03,7.78,,,,,,
77,04/30/2025 01:40:00,24.75,-47.63,7.77,,,,,,
78,04/30/2025 01:50:00,24.73,-47.20,7.77,,,,,,
79,04/30/2025 02:00:00,24.68,-46.81,7.76,,,,,,
