#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,02/06/2025 01:00:00,24.41,185.62,3.51,Logged,,,,,
2,02/06/2025 01:10:00,24.29,185.55,3.51,,,,,,
3,02/06/2025 01:20:00,24.17,185.49,3.51,,,,,,
4,02/06/2025 01:30:00,24.03,185.44,3.51,,,,,,
5,02/06/2025 01:40:00,23.91,185.40,3.51,,,,,,
6,02/06/2025 01:50:00,23.79,185.33,3.51,,,,,,
7,02/06/2025 02:00:00,23.66,185.29,3.51,,,,,,
8,02/06/2025 02:10:00,23.54,185.24,3.51,,,,,,
9,02/06/2025 02:20:00,23.42,185.18,3.51,,,,,,
10,02/06/2025 02:30:00,23.30,185.12,3.51,,,,,,
11,02/06/2025 02:40:00,23.18,185.08,3.51,,,,,,
12,02/06/2025 02:50:00,23.06,185.04,3.51,,,,,,
13,02/06/2025 03:00:00,22.94,184.97,3.50,,,,,,
14,02/06/2025 03:10:00,22.85,184.93,3.50,,,,,,
15,02/06/2025 03:20:00,22.73,184.88,3.50,,,,,,
16,02/06/2025 03:30:00,22.63,184.82,3.50,,,,,,
17,02/06/2025 03:40:00,22.54,184.79,3.50,,,,,,
18,02/06/2025 03:50:00,22.42,184.74,3.50,,,,,,
19,02/06/2025 04:00:00,22.32,184.68,3.50,,,,,,
20,02/06/2025 04:10:00,22.23,184.65,3.50,,,,,,
21,02/06/2025 04:20:00,22.13,184.60,3.50,,,,,,
22,02/06/2025 04:30:00,22.03,184.54,3.50,,,,,,
23,02/06/2025 04:40:00,21.94,184.51,3.50,,,,,,
24,02/06/2025 04:50:00,21.87,184.46,3.50,,,,,,
25,02/06/2025 05:00:00,21.77,184.41,3.50,,,,,,
26,02/06/2025 05:10:00,21.68,184.37,3.50,,,,,,
27,02/06/2025 05:20:00,21.60,184.32,3.50,,,,,,
28,02/06/2025 05:30:00,21.51,184.27,3.50,,,,,,
29,02/06/2025 05:40:00,21.44,184.24,3.50,,,,,,
30,02/06/2025 05:50:00,21.37,184.19,3.50,,,,,,
31,02/06/2025 06:00:00,21.27,184.15,3.50,,,,,,
32,02/06/2025 06:10:00,21.20,184.11,3.50,,,,,,
33,02/06/2025 06:20:00,21.13,184.08,3.50,,,,,,
34,02/06/2025 06:30:00,21.08,184.02,3.50,,,,,,
35,02/06/2025 06:40:00,21.01,184.01,3.50,,,,,,
36,02/06/2025 06:50:00,20.94,183.96,3.50,,,,,,
37,02/06/2025 07:00:00,20.86,183.93,3.50,,,,,,
38,02/06/2025 07:10:00,20.82,183.90,3.50,,,,,,
39,02/06/2025 07:20:00,20.75,183.85,3.50,,,,,,
40,02/06/2025 07:30:00,20.70,183.82,3.50,,,,,,
41,02/06/2025 07:40:00,20.65,183.80,3.50,,,,,,
42,02/06/2025 07:50:00,20.60,183.77,3.50,,,,,,
43,02/06/2025 08:00:00,20.56,183.74,3.50,,,,,,
44,02/06/2025 08:10:00,20.53,183.74,3.50,,,,,,
45,02/06/2025 08:20:00,20.51,183.72,3.50,,,,,,
46,02/06/2025 08:30:00,20.51,183.69,3.50,,,,,,
47,02/06/2025 08:40:00,20.51,183.66,3.50,,,,,,
48,02/06/2025 08:50:00,20.53,183.55,3.50,,,,,,
49,02/06/2025 09:00:00,20.77,183.43,3.51,,,,,,
50,02/06/2025 09:10:00,21.63,182.19,3.54,,,,,,
51,02/06/2025 09:20:00,22.70,181.83,3.56,,,,,,
52,02/06/2025 09:30:00,25.11,182.54,3.57,,,,,,
53,02/06/2025 09:40:00,24.75,-12.53,6.99,,,,,,
54,02/06/2025 09:50:00,24.07,-11.02,6.97,,,,,,
55,02/06/2025 10:00:00,23.86,-10.81,6.96,,,,,,
56,02/06/2025 10:10:00,23.76,-11.39,6.97,,,,,,
57,02/06/2025 10:20:00,23.71,-12.06,6.99,,,,,,
58,02/06/2025 10:30:00,23.71,-12.75,7.00,,,,,,
59,02/06/2025 10:40:00,23.71,-13.31,7.01,,,,,,
60,02/06/2025 10:50:00,23.74,-13.72,7.02,,,,,,
61,02/06/2025 11:00:00,23.76,-13.92,7.02,,,,,,
62,02/06/2025 11:10:00,23.79,-13.95,7.02,,,,,,
63,02/06/2025 11:20:00,23.83,-13.92,7.02,,,,,,
64,02/06/2025 11:30:00,23.88,-13.81,7.02,,,,,,
65,02/06/2025 11:40:00,23.93,-13.66,7.01,,,,,,
66,02/06/2025 11:50:00,24.00,-13.73,7.02,,,,,,
67,02/06/2025 12:00:00,24.05,-13.59,7.01,,,,,,
68,02/06/2025 12:10:00,24.12,-13.53,7.01,,,,,,
69,02/06/2025 12:20:00,24.17,-13.45,7.01,,,,,,
70,02/06/2025 12:30:00,24.17,-13.33,7.01,,,,,,
71,02/06/2025 12:40:00,24.19,-13.30,7.01,,,,,,
72,02/06/2025 12:50:00,24.24,-13.25,7.01,,,,,,
73,02/06/2025 13:00:00,24.29,-13.38,7.01,,,,,,
74,02/06/2025 13:10:00,24.34,-13.34,7.01,,,,,,
75,02/06/2025 13:20:00,24.39,-13.30,7.01,,,,,,
76,02/06/2025 13:30:00,24.44,-13.38,7.01,,,,,,
77,02/06/2025 13:40:00,24.51,-13.30,7.01,,,,,,
