#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,02/06/2025 01:00:00,24.65,186.19,3.50,Logged,,,,,
2,02/06/2025 01:10:00,24.53,186.10,3.50,,,,,,
3,02/06/2025 01:20:00,24.41,186.10,3.50,,,,,,
4,02/06/2025 01:30:00,24.27,186.04,3.50,,,,,,
5,02/06/2025 01:40:00,24.15,185.94,3.50,,,,,,
6,02/06/2025 01:50:00,24.03,185.94,3.50,,,,,,
7,02/06/2025 02:00:00,23.91,185.88,3.50,,,,,,
8,02/06/2025 02:10:00,23.79,185.79,3.50,,,,,,
9,02/06/2025 02:20:00,23.66,185.80,3.50,,,,,,
10,02/06/2025 02:30:00,23.54,185.74,3.50,,,,,,
11,02/06/2025 02:40:00,23.42,185.65,3.50,,,,,,
12,02/06/2025 02:50:00,23.30,185.65,3.50,,,,,,
13,02/06/2025 03:00:00,23.18,185.58,3.50,,,,,,
14,02/06/2025 03:10:00,23.09,185.49,3.50,,,,,,
15,02/06/2025 03:20:00,22.97,185.49,3.50,,,,,,
16,02/06/2025 03:30:00,22.87,185.43,3.50,,,,,,
17,02/06/2025 03:40:00,22.75,185.33,3.50,,,,,,
18,02/06/2025 03:50:00,22.66,185.33,3.49,,,,,,
19,02/06/2025 04:00:00,22.56,185.27,3.49,,,,,,
20,02/06/2025 04:10:00,22.47,185.19,3.49,,,,,,
21,02/06/2025 04:20:00,22.35,185.18,3.49,,,,,,
22,02/06/2025 04:30:00,22.25,185.12,3.49,,,,,,
23,02/06/2025 04:40:00,22.15,185.04,3.49,,,,,,
24,02/06/2025 04:50:00,22.08,185.04,3.49,,,,,,
25,02/06/2025 05:00:00,21.99,184.97,3.49,,,,,,
26,02/06/2025 05:10:00,21.89,184.88,3.49,,,,,,
27,02/06/2025 05:20:00,21.80,184.88,3.49,,,,,,
28,02/06/2025 05:30:00,21.72,184.83,3.49,,,,,,
29,02/06/2025 05:40:00,21.63,184.74,3.49,,,,,,
30,02/06/2025 05:50:00,21.56,184.76,3.49,,,,,,
31,02/06/2025 06:00:00,21.49,184.69,3.49,,,,,,
32,02/06/2025 06:10:00,21.39,184.62,3.49,,,,,,
33,02/06/2025 06:20:00,21.32,184.62,3.49,,,,,,
34,02/06/2025 06:30:00,21.25,184.57,3.49,,,,,,
35,02/06/2025 06:40:00,21.17,184.49,3.49,,,,,,
36,02/06/2025 06:50:00,21.10,184.49,3.49,,,,,,
37,02/06/2025 07:00:00,21.03,184.44,3.49,,,,,,
38,02/06/2025 07:10:00,20.98,184.37,3.49,,,,,,
39,02/06/2025 07:20:00,20.91,184.38,3.49,,,,,,
40,02/06/2025 07:30:00,20.86,184.33,3.49,,,,,,
41,02/06/2025 07:40:00,20.79,184.27,3.49,,,,,,
42,02/06/2025 07:50:00,20.75,184.27,3.49,,,,,,
43,02/06/2025 08:00:00,20.70,184.24,3.49,,,,,,
44,02/06/2025 08:10:00,20.65,184.16,3.49,,,,,,
45,02/06/2025 08:20:00,20.63,184.19,3.49,,,,,,
46,02/06/2025 08:30:00,20.60,184.16,3.49,,,,,,
47,02/06/2025 08:40:00,20.60,184.10,3.49,,,,,,
48,02/06/2025 08:50:00,20.60,184.15,3.49,,,,,,
49,02/06/2025 09:00:00,20.89,184.19,3.49,,,,,,
50,02/06/2025 09:10:00,21.94,184.33,3.50,,,,,,
51,02/06/2025 09:20:00,23.04,184.22,3.52,,,,,,
