#,Date-Time (HST),Temperature   (°C),Millivolts   (mv),pH   (pH),Started,Button Down,Button Up,Host Connected,End of File
1,07/31/2025 01:00:00,22.78,178.76,3.51,Logged,,,,
2,07/31/2025 01:10:00,22.75,178.74,3.51,,,,,
3,07/31/2025 01:20:00,22.75,178.74,3.51,,,,,
4,07/31/2025 01:30:00,22.75,178.74,3.51,,,,,
5,07/31/2025 01:40:00,22.73,178.72,3.51,,,,,
6,07/31/2025 01:50:00,22.70,178.72,3.51,,,,,
7,07/31/2025 02:00:00,22.70,178.71,3.51,,,,,
8,07/31/2025 02:10:00,22.70,178.71,3.51,,,,,
9,07/31/2025 02:20:00,22.70,178.71,3.51,,,,,
10,07/31/2025 02:30:00,22.66,178.69,3.51,,,,,
11,07/31/2025 02:40:00,22.66,178.69,3.51,,,,,
12,07/31/2025 02:50:00,22.66,178.69,3.51,,,,,
13,07/31/2025 03:00:00,22.66,178.68,3.51,,,,,
14,07/31/2025 03:10:00,22.63,178.68,3.51,,,,,
15,07/31/2025 03:20:00,22.63,178.66,3.51,,,,,
16,07/31/2025 03:30:00,22.63,178.66,3.51,,,,,
17,07/31/2025 03:40:00,22.63,178.66,3.51,,,,,
18,07/31/2025 03:50:00,22.58,178.65,3.51,,,,,
19,07/31/2025 04:00:00,22.56,178.65,3.51,,,,,
20,07/31/2025 04:10:00,22.56,178.63,3.51,,,,,
21,07/31/2025 04:20:00,22.56,178.63,3.51,,,,,
22,07/31/2025 04:30:00,22.56,178.61,3.51,,,,,
23,07/31/2025 04:40:00,22.54,178.61,3.51,,,,,
24,07/31/2025 04:50:00,22.54,178.60,3.51,,,,,
25,07/31/2025 05:00:00,22.54,178.60,3.51,,,,,
26,07/31/2025 05:10:00,22.54,178.60,3.51,,,,,
27,07/31/2025 05:20:00,22.51,178.58,3.51,,,,,
28,07/31/2025 05:30:00,22.49,178.58,3.51,,,,,
29,07/31/2025 05:40:00,22.49,178.58,3.51,,,,,
30,07/31/2025 05:50:00,22.49,178.58,3.51,,,,,
31,07/31/2025 06:00:00,22.51,178.58,3.51,,,,,
32,07/31/2025 06:10:00,22.47,178.57,3.51,,,,,
33,07/31/2025 06:20:00,22.47,178.57,3.51,,,,,
34,07/31/2025 06:30:00,22.47,178.57,3.51,,,,,
35,07/31/2025 06:40:00,22.42,178.55,3.51,,,,,
36,07/31/2025 06:50:00,22.42,178.54,3.51,,,,,
37,07/31/2025 07:00:00,22.42,178.54,3.51,,,,,
38,07/31/2025 07:10:00,22.42,178.54,3.51,,,,,
39,07/31/2025 07:20:00,22.39,178.52,3.51,,,,,
