"Plot Title: 20970108"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970108, SEN S/N: 20970108)","Coupler Detached (LGR S/N: 20970108)","End Of File (LGR S/N: 20970108)"
1,04/03/25 01:00:00 AM,26.426,Logged,
2,04/03/25 01:10:00 AM,26.304,,
3,04/03/25 01:20:00 AM,26.182,,
4,04/03/25 01:30:00 AM,26.085,,
5,04/03/25 01:40:00 AM,25.987,,
6,04/03/25 01:50:00 AM,25.890,,
7,04/03/25 02:00:00 AM,25.793,,
8,04/03/25 02:10:00 AM,25.695,,
9,04/03/25 02:20:00 AM,25.623,,
10,04/03/25 02:30:00 AM,25.525,,
11,04/03/25 02:40:00 AM,25.453,,
12,04/03/25 02:50:00 AM,25.380,,
13,04/03/25 03:00:00 AM,25.307,,
14,04/03/25 03:10:00 AM,25.210,,
15,04/03/25 03:20:00 AM,25.137,,
16,04/03/25 03:30:00 AM,25.065,,
17,04/03/25 03:40:00 AM,24.992,,
18,04/03/25 03:50:00 AM,24.919,,
19,04/03/25 04:00:00 AM,24.847,,
20,04/03/25 04:10:00 AM,24.774,,
21,04/03/25 04:20:00 AM,24.702,,
22,04/03/25 04:30:00 AM,24.653,,
23,04/03/25 04:40:00 AM,24.581,,
24,04/03/25 04:50:00 AM,24.508,,
25,04/03/25 05:00:00 AM,24.460,,
26,04/03/25 05:10:00 AM,24.412,,
27,04/03/25 05:20:00 AM,24.363,,
28,04/03/25 05:30:00 AM,24.315,,
29,04/03/25 05:40:00 AM,24.267,,
30,04/03/25 05:50:00 AM,24.219,,
31,04/03/25 06:00:00 AM,24.171,,
32,04/03/25 06:10:00 AM,24.122,,
33,04/03/25 06:20:00 AM,24.074,,
34,04/03/25 06:30:00 AM,24.026,,
35,04/03/25 06:40:00 AM,23.978,,
36,04/03/25 06:50:00 AM,23.930,,
37,04/03/25 07:00:00 AM,23.857,,
38,04/03/25 07:10:00 AM,23.809,,
39,04/03/25 07:20:00 AM,23.761,,
40,04/03/25 07:30:00 AM,23.737,,
41,04/03/25 07:40:00 AM,23.713,,
42,04/03/25 07:50:00 AM,23.689,,
43,04/03/25 08:00:00 AM,23.689,,
44,04/03/25 08:10:00 AM,23.713,,
45,04/03/25 08:20:00 AM,23.737,,
46,04/03/25 08:30:00 AM,23.809,,
47,04/03/25 08:40:00 AM,23.881,,
48,04/03/25 08:50:00 AM,24.026,,
49,04/03/25 09:00:00 AM,24.436,,
50,04/03/25 09:10:00 AM,25.137,,
51,04/03/25 09:20:00 AM,25.331,,
52,04/03/25 09:30:00 AM,25.404,,
53,04/03/25 09:40:00 AM,25.720,,
54,04/03/25 09:50:00 AM,30.520,,
55,04/03/25 10:00:00 AM,28.518,,
56,04/03/25 10:10:00 AM,26.940,,
57,04/03/25 10:20:00 AM,26.769,,
58,04/03/25 10:30:00 AM,26.818,,
59,04/03/25 10:40:00 AM,26.965,,
60,04/03/25 10:50:00 AM,27.186,,
61,04/03/25 11:00:00 AM,27.333,,
62,04/03/25 11:10:00 AM,27.456,,
63,04/03/25 11:20:00 AM,27.554,,
64,04/03/25 11:30:00 AM,27.628,,
65,04/03/25 11:40:00 AM,27.727,,
66,04/03/25 11:50:00 AM,27.702,,
67,04/03/25 12:00:00 PM,27.776,,
68,04/03/25 12:10:00 PM,27.850,,
69,04/03/25 12:20:00 PM,27.899,,
70,04/03/25 12:30:00 PM,27.875,,
71,04/03/25 12:40:00 PM,27.850,,
72,04/03/25 12:50:00 PM,27.801,,
73,04/03/25 01:00:00 PM,27.825,,
74,04/03/25 01:10:00 PM,27.924,,
75,04/03/25 01:20:00 PM,28.023,,
76,04/03/25 01:30:00 PM,28.097,,
77,04/03/25 01:40:00 PM,28.147,,
78,04/03/25 01:50:00 PM,28.171,,
79,04/03/25 02:00:00 PM,28.245,,
80,04/03/25 02:10:00 PM,28.320,,
81,04/03/25 02:20:00 PM,28.444,,
82,04/03/25 02:30:00 PM,28.444,,
83,04/03/25 02:40:00 PM,28.419,,
84,04/03/25 02:50:00 PM,28.394,,
85,04/03/25 03:00:00 PM,28.394,,
86,04/03/25 03:10:00 PM,28.345,,
87,04/03/25 03:20:00 PM,28.320,,
88,04/03/25 03:30:00 PM,28.320,,
89,04/03/25 03:40:00 PM,28.295,,
90,04/03/25 03:50:00 PM,28.295,,
91,04/03/25 04:00:00 PM,28.295,,
92,04/03/25 04:10:00 PM,28.270,,
93,04/03/25 04:20:00 PM,28.270,,
94,04/03/25 04:30:00 PM,28.295,,
95,04/03/25 04:40:00 PM,28.270,,
96,04/03/25 04:50:00 PM,28.270,,
97,04/03/25 05:00:00 PM,28.270,,
98,04/03/25 05:10:00 PM,28.245,,
99,04/03/25 05:20:00 PM,28.245,,
100,04/03/25 05:30:00 PM,28.221,,
101,04/03/25 05:40:00 PM,28.196,,
102,04/03/25 05:50:00 PM,28.171,,
103,04/03/25 06:00:00 PM,28.122,,
104,04/03/25 06:10:00 PM,28.097,,
105,04/03/25 06:20:00 PM,28.072,,
106,04/03/25 06:30:00 PM,28.023,,
107,04/03/25 06:40:00 PM,27.974,,
108,04/03/25 06:50:00 PM,27.949,,
109,04/03/25 07:00:00 PM,27.924,,
110,04/03/25 07:10:00 PM,27.875,,
111,04/03/25 07:20:00 PM,27.825,,
112,04/03/25 07:30:00 PM,27.801,,
113,04/03/25 07:40:00 PM,27.751,,
114,04/03/25 07:50:00 PM,27.702,,
115,04/03/25 08:00:00 PM,27.653,,
116,04/03/25 08:10:00 PM,27.604,,
117,04/03/25 08:20:00 PM,27.554,,
118,04/03/25 08:30:00 PM,27.530,,
119,04/03/25 08:40:00 PM,27.481,,
120,04/03/25 08:50:00 PM,27.456,,
121,04/03/25 09:00:00 PM,27.431,,
122,04/03/25 09:10:00 PM,27.407,,
123,04/03/25 09:20:00 PM,27.358,,
124,04/03/25 09:30:00 PM,27.333,,
125,04/03/25 09:40:00 PM,27.284,,
126,04/03/25 09:50:00 PM,27.235,,
127,04/03/25 10:00:00 PM,27.210,,
128,04/03/25 10:10:00 PM,27.186,,
129,04/03/25 10:20:00 PM,27.136,,
130,04/03/25 10:30:00 PM,27.087,,
131,04/03/25 10:40:00 PM,27.038,,
132,04/03/25 10:50:00 PM,27.014,,
133,04/03/25 11:00:00 PM,26.989,,
134,04/03/25 11:10:00 PM,26.965,,
135,04/03/25 11:20:00 PM,26.940,,
136,04/03/25 11:30:00 PM,26.891,,
137,04/03/25 11:40:00 PM,26.891,,
138,04/03/25 11:50:00 PM,26.867,,
139,04/04/25 12:00:00 AM,26.842,,
140,04/04/25 12:10:00 AM,26.818,,
141,04/04/25 12:20:00 AM,26.793,,
142,04/04/25 12:30:00 AM,26.769,,
143,04/04/25 12:40:00 AM,26.744,,
144,04/04/25 12:50:00 AM,26.720,,
145,04/04/25 01:00:00 AM,26.695,,
146,04/04/25 01:10:00 AM,26.671,,
147,04/04/25 01:20:00 AM,26.646,,
148,04/04/25 01:30:00 AM,26.646,,
149,04/04/25 01:40:00 AM,26.622,,
150,04/04/25 01:50:00 AM,26.598,,
151,04/04/25 02:00:00 AM,26.598,,
152,04/04/25 02:10:00 AM,26.573,,
153,04/04/25 02:20:00 AM,26.549,,
154,04/04/25 02:30:00 AM,26.549,,
155,04/04/25 02:40:00 AM,26.524,,
156,04/04/25 02:50:00 AM,26.500,,
157,04/04/25 03:00:00 AM,26.500,,
158,04/04/25 03:10:00 AM,26.475,,
159,04/04/25 03:20:00 AM,26.451,,
160,04/04/25 03:30:00 AM,26.426,,
161,04/04/25 03:40:00 AM,26.426,,
162,04/04/25 03:50:00 AM,26.402,,
163,04/04/25 04:00:00 AM,26.378,,
164,04/04/25 04:10:00 AM,26.353,,
165,04/04/25 04:20:00 AM,26.329,,
166,04/04/25 04:30:00 AM,26.304,,
167,04/04/25 04:40:00 AM,26.280,,
168,04/04/25 04:50:00 AM,26.256,,
169,04/04/25 05:00:00 AM,26.231,,
170,04/04/25 05:10:00 AM,26.231,,
171,04/04/25 05:20:00 AM,26.207,,
172,04/04/25 05:30:00 AM,26.182,,
173,04/04/25 05:40:00 AM,26.158,,
174,04/04/25 05:50:00 AM,26.158,,
175,04/04/25 06:00:00 AM,26.109,,
176,04/04/25 06:10:00 AM,26.109,,
177,04/04/25 06:20:00 AM,26.085,,
178,04/04/25 06:30:00 AM,26.061,,
179,04/04/25 06:40:00 AM,26.036,,
180,04/04/25 06:50:00 AM,26.012,,
181,04/04/25 07:00:00 AM,25.987,,
182,04/04/25 07:10:00 AM,25.963,,
183,04/04/25 07:20:00 AM,25.963,,
184,04/04/25 07:30:00 AM,25.963,,
185,04/04/25 07:40:00 AM,25.939,,
186,04/04/25 07:50:00 AM,25.939,,
187,04/04/25 08:00:00 AM,25.914,,
188,04/04/25 08:10:00 AM,25.914,,
189,04/04/25 08:20:00 AM,25.914,,
190,04/04/25 08:30:00 AM,25.914,,
191,04/04/25 08:40:00 AM,25.890,,
192,04/04/25 08:50:00 AM,25.890,,
193,04/04/25 09:00:00 AM,25.866,,
194,04/04/25 09:10:00 AM,25.866,,
195,04/04/25 09:20:00 AM,25.866,,
196,04/04/25 09:30:00 AM,25.866,,
197,04/04/25 09:40:00 AM,25.866,,
198,04/04/25 09:50:00 AM,25.866,,
199,04/04/25 10:00:00 AM,25.866,,
200,04/04/25 10:10:00 AM,25.890,,
201,04/04/25 10:20:00 AM,25.963,,
202,04/04/25 10:30:00 AM,25.987,,
203,04/04/25 10:40:00 AM,26.036,,
204,04/04/25 10:50:00 AM,26.085,,
205,04/04/25 11:00:00 AM,26.085,,
206,04/04/25 11:10:00 AM,26.109,,
207,04/04/25 11:20:00 AM,26.134,,
208,04/04/25 11:30:00 AM,26.158,,
209,04/04/25 11:40:00 AM,26.182,,
210,04/04/25 11:50:00 AM,26.207,,
211,04/04/25 12:00:00 PM,26.256,,
212,04/04/25 12:10:00 PM,26.256,,
213,04/04/25 12:20:00 PM,26.304,,
214,04/04/25 12:30:00 PM,26.402,,
215,04/04/25 12:40:00 PM,26.500,,
216,04/04/25 12:50:00 PM,26.573,,
217,04/04/25 01:00:00 PM,26.622,,
218,04/04/25 01:10:00 PM,26.695,,
219,04/04/25 01:20:00 PM,26.818,,
220,04/04/25 01:30:00 PM,26.891,,
221,04/04/25 01:40:00 PM,26.891,,
222,04/04/25 01:50:00 PM,26.965,,
223,04/04/25 02:00:00 PM,26.989,,
224,04/04/25 02:10:00 PM,27.063,,
225,04/04/25 02:20:00 PM,27.087,,
226,04/04/25 02:30:00 PM,27.087,,
227,04/04/25 02:40:00 PM,27.136,,
228,04/04/25 02:50:00 PM,27.136,,
229,04/04/25 03:00:00 PM,27.136,,
230,04/04/25 03:10:00 PM,27.136,,
231,04/04/25 03:20:00 PM,27.186,,
232,04/04/25 03:30:00 PM,27.161,,
233,04/04/25 03:40:00 PM,27.186,,
234,04/04/25 03:50:00 PM,27.186,,
235,04/04/25 04:00:00 PM,27.186,,
236,04/04/25 04:10:00 PM,27.186,,
237,04/04/25 04:20:00 PM,27.161,,
238,04/04/25 04:30:00 PM,27.161,,
239,04/04/25 04:40:00 PM,27.161,,
240,04/04/25 04:50:00 PM,27.136,,
241,04/04/25 05:00:00 PM,27.136,,
242,04/04/25 05:10:00 PM,27.112,,
243,04/04/25 05:20:00 PM,27.087,,
244,04/04/25 05:30:00 PM,27.063,,
245,04/04/25 05:40:00 PM,27.038,,
246,04/04/25 05:50:00 PM,27.014,,
247,04/04/25 06:00:00 PM,26.989,,
248,04/04/25 06:10:00 PM,26.940,,
249,04/04/25 06:20:00 PM,26.916,,
250,04/04/25 06:30:00 PM,26.891,,
251,04/04/25 06:40:00 PM,26.867,,
252,04/04/25 06:50:00 PM,26.818,,
253,04/04/25 07:00:00 PM,26.769,,
254,04/04/25 07:10:00 PM,26.744,,
255,04/04/25 07:20:00 PM,26.720,,
256,04/04/25 07:30:00 PM,26.695,,
