"Plot Title: 20970092"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970092, SEN S/N: 20970092)","Coupler Detached (LGR S/N: 20970092)","End Of File (LGR S/N: 20970092)"
1,04/03/25 01:00:00 AM,26.280,Logged,
2,04/03/25 01:10:00 AM,26.158,,
3,04/03/25 01:20:00 AM,26.061,,
4,04/03/25 01:30:00 AM,25.963,,
5,04/03/25 01:40:00 AM,25.841,,
6,04/03/25 01:50:00 AM,25.768,,
7,04/03/25 02:00:00 AM,25.671,,
8,04/03/25 02:10:00 AM,25.574,,
9,04/03/25 02:20:00 AM,25.501,,
10,04/03/25 02:30:00 AM,25.404,,
11,04/03/25 02:40:00 AM,25.331,,
12,04/03/25 02:50:00 AM,25.258,,
13,04/03/25 03:00:00 AM,25.186,,
14,04/03/25 03:10:00 AM,25.089,,
15,04/03/25 03:20:00 AM,25.016,,
16,04/03/25 03:30:00 AM,24.944,,
17,04/03/25 03:40:00 AM,24.871,,
18,04/03/25 03:50:00 AM,24.798,,
19,04/03/25 04:00:00 AM,24.726,,
20,04/03/25 04:10:00 AM,24.653,,
21,04/03/25 04:20:00 AM,24.605,,
22,04/03/25 04:30:00 AM,24.532,,
23,04/03/25 04:40:00 AM,24.460,,
24,04/03/25 04:50:00 AM,24.412,,
25,04/03/25 05:00:00 AM,24.339,,
26,04/03/25 05:10:00 AM,24.291,,
27,04/03/25 05:20:00 AM,24.243,,
28,04/03/25 05:30:00 AM,24.195,,
29,04/03/25 05:40:00 AM,24.146,,
30,04/03/25 05:50:00 AM,24.098,,
31,04/03/25 06:00:00 AM,24.050,,
32,04/03/25 06:10:00 AM,24.002,,
33,04/03/25 06:20:00 AM,23.954,,
34,04/03/25 06:30:00 AM,23.905,,
35,04/03/25 06:40:00 AM,23.857,,
36,04/03/25 06:50:00 AM,23.809,,
37,04/03/25 07:00:00 AM,23.737,,
38,04/03/25 07:10:00 AM,23.689,,
39,04/03/25 07:20:00 AM,23.641,,
40,04/03/25 07:30:00 AM,23.617,,
41,04/03/25 07:40:00 AM,23.593,,
42,04/03/25 07:50:00 AM,23.569,,
43,04/03/25 08:00:00 AM,23.569,,
44,04/03/25 08:10:00 AM,23.569,,
45,04/03/25 08:20:00 AM,23.617,,
46,04/03/25 08:30:00 AM,23.665,,
47,04/03/25 08:40:00 AM,23.737,,
48,04/03/25 08:50:00 AM,23.857,,
49,04/03/25 09:00:00 AM,24.315,,
50,04/03/25 09:10:00 AM,25.040,,
51,04/03/25 09:20:00 AM,25.283,,
52,04/03/25 09:30:00 AM,25.331,,
53,04/03/25 09:40:00 AM,25.987,,
54,04/03/25 09:50:00 AM,29.715,,
55,04/03/25 10:00:00 AM,35.555,,
56,04/03/25 10:10:00 AM,26.744,,
57,04/03/25 10:20:00 AM,26.353,,
58,04/03/25 10:30:00 AM,26.329,,
59,04/03/25 10:40:00 AM,26.402,,
60,04/03/25 10:50:00 AM,26.524,,
61,04/03/25 11:00:00 AM,26.695,,
62,04/03/25 11:10:00 AM,26.891,,
63,04/03/25 11:20:00 AM,27.136,,
64,04/03/25 11:30:00 AM,27.284,,
65,04/03/25 11:40:00 AM,27.161,,
66,04/03/25 11:50:00 AM,27.136,,
67,04/03/25 12:00:00 PM,27.456,,
68,04/03/25 12:10:00 PM,27.579,,
69,04/03/25 12:20:00 PM,27.628,,
70,04/03/25 12:30:00 PM,27.801,,
71,04/03/25 12:40:00 PM,27.530,,
72,04/03/25 12:50:00 PM,27.628,,
73,04/03/25 01:00:00 PM,27.751,,
74,04/03/25 01:10:00 PM,27.974,,
75,04/03/25 01:20:00 PM,28.147,,
76,04/03/25 01:30:00 PM,28.270,,
77,04/03/25 01:40:00 PM,28.419,,
78,04/03/25 01:50:00 PM,28.419,,
79,04/03/25 02:00:00 PM,28.543,,
80,04/03/25 02:10:00 PM,28.667,,
