"Plot Title: 21445021"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445021, SEN S/N: 21445021)","Coupler Detached (LGR S/N: 21445021)","End Of File (LGR S/N: 21445021)"
1,04/03/25 01:00:00 AM,25.963,Logged,
2,04/03/25 01:10:00 AM,25.841,,
3,04/03/25 01:20:00 AM,25.744,,
4,04/03/25 01:30:00 AM,25.671,,
5,04/03/25 01:40:00 AM,25.574,,
6,04/03/25 01:50:00 AM,25.501,,
7,04/03/25 02:00:00 AM,25.404,,
8,04/03/25 02:10:00 AM,25.331,,
9,04/03/25 02:20:00 AM,25.258,,
10,04/03/25 02:30:00 AM,25.186,,
11,04/03/25 02:40:00 AM,25.113,,
12,04/03/25 02:50:00 AM,25.016,,
13,04/03/25 03:00:00 AM,24.944,,
14,04/03/25 03:10:00 AM,24.871,,
15,04/03/25 03:20:00 AM,24.798,,
16,04/03/25 03:30:00 AM,24.726,,
17,04/03/25 03:40:00 AM,24.653,,
18,04/03/25 03:50:00 AM,24.581,,
19,04/03/25 04:00:00 AM,24.508,,
20,04/03/25 04:10:00 AM,24.460,,
21,04/03/25 04:20:00 AM,24.388,,
22,04/03/25 04:30:00 AM,24.339,,
23,04/03/25 04:40:00 AM,24.267,,
24,04/03/25 04:50:00 AM,24.219,,
25,04/03/25 05:00:00 AM,24.171,,
26,04/03/25 05:10:00 AM,24.122,,
27,04/03/25 05:20:00 AM,24.098,,
28,04/03/25 05:30:00 AM,24.050,,
29,04/03/25 05:40:00 AM,24.002,,
30,04/03/25 05:50:00 AM,23.954,,
31,04/03/25 06:00:00 AM,23.930,,
32,04/03/25 06:10:00 AM,23.857,,
33,04/03/25 06:20:00 AM,23.809,,
34,04/03/25 06:30:00 AM,23.761,,
35,04/03/25 06:40:00 AM,23.689,,
36,04/03/25 06:50:00 AM,23.641,,
37,04/03/25 07:00:00 AM,23.593,,
38,04/03/25 07:10:00 AM,23.569,,
39,04/03/25 07:20:00 AM,23.521,,
40,04/03/25 07:30:00 AM,23.497,,
41,04/03/25 07:40:00 AM,23.497,,
42,04/03/25 07:50:00 AM,23.521,,
43,04/03/25 08:00:00 AM,23.569,,
44,04/03/25 08:10:00 AM,23.641,,
45,04/03/25 08:20:00 AM,23.737,,
46,04/03/25 08:30:00 AM,23.833,,
47,04/03/25 08:40:00 AM,23.954,,
48,04/03/25 08:50:00 AM,24.171,,
49,04/03/25 09:00:00 AM,25.065,,
50,04/03/25 09:10:00 AM,25.598,,
51,04/03/25 09:20:00 AM,25.671,,
52,04/03/25 09:30:00 AM,25.768,,
53,04/03/25 09:40:00 AM,26.061,,
54,04/03/25 09:50:00 AM,28.717,,
55,04/03/25 10:00:00 AM,31.204,,
56,04/03/25 10:10:00 AM,32.407,,
57,04/03/25 10:20:00 AM,30.925,,
58,04/03/25 10:30:00 AM,30.495,,
59,04/03/25 10:40:00 AM,30.646,,
60,04/03/25 10:50:00 AM,28.916,,
61,04/03/25 11:00:00 AM,29.690,,
62,04/03/25 11:10:00 AM,29.240,,
63,04/03/25 11:20:00 AM,29.090,,
64,04/03/25 11:30:00 AM,29.090,,
65,04/03/25 11:40:00 AM,29.090,,
66,04/03/25 11:50:00 AM,28.791,,
67,04/03/25 12:00:00 PM,29.290,,
68,04/03/25 12:10:00 PM,29.090,,
69,04/03/25 12:20:00 PM,28.916,,
70,04/03/25 12:30:00 PM,28.965,,
71,04/03/25 12:40:00 PM,29.464,,
72,04/03/25 12:50:00 PM,29.090,,
73,04/03/25 01:00:00 PM,29.389,,
74,04/03/25 01:10:00 PM,29.265,,
75,04/03/25 01:20:00 PM,29.690,,
76,04/03/25 01:30:00 PM,29.840,,
77,04/03/25 01:40:00 PM,29.815,,
78,04/03/25 01:50:00 PM,29.991,,
79,04/03/25 02:00:00 PM,29.790,,
80,04/03/25 02:10:00 PM,29.966,,
81,04/03/25 02:20:00 PM,29.991,,
82,04/03/25 02:30:00 PM,30.066,,
83,04/03/25 02:40:00 PM,29.916,,
84,04/03/25 02:50:00 PM,30.217,,
85,04/03/25 03:00:00 PM,29.815,,
86,04/03/25 03:10:00 PM,29.941,,
87,04/03/25 03:20:00 PM,29.991,,
88,04/03/25 03:30:00 PM,30.066,,
89,04/03/25 03:40:00 PM,30.293,,
90,04/03/25 03:50:00 PM,30.293,,
91,04/03/25 04:00:00 PM,30.293,,
92,04/03/25 04:10:00 PM,30.343,,
93,04/03/25 04:20:00 PM,30.394,,
94,04/03/25 04:30:00 PM,30.243,,
95,04/03/25 04:40:00 PM,30.243,,
96,04/03/25 04:50:00 PM,30.167,,
97,04/03/25 05:00:00 PM,29.916,,
98,04/03/25 05:10:00 PM,29.890,,
99,04/03/25 05:20:00 PM,30.117,,
100,04/03/25 05:30:00 PM,30.293,,
101,04/03/25 05:40:00 PM,30.419,,
102,04/03/25 05:50:00 PM,30.697,,
103,04/03/25 06:00:00 PM,30.798,,
104,04/03/25 06:10:00 PM,30.773,,
105,04/03/25 06:20:00 PM,30.748,,
106,04/03/25 06:30:00 PM,30.798,,
107,04/03/25 06:40:00 PM,30.950,,
108,04/03/25 06:50:00 PM,31.052,,
109,04/03/25 07:00:00 PM,31.128,,
110,04/03/25 07:10:00 PM,31.179,,
111,04/03/25 07:20:00 PM,31.153,,
112,04/03/25 07:30:00 PM,31.179,,
113,04/03/25 07:40:00 PM,31.153,,
114,04/03/25 07:50:00 PM,31.153,,
115,04/03/25 08:00:00 PM,31.204,,
116,04/03/25 08:10:00 PM,31.230,,
117,04/03/25 08:20:00 PM,31.331,,
118,04/03/25 08:30:00 PM,31.357,,
119,04/03/25 08:40:00 PM,31.484,,
120,04/03/25 08:50:00 PM,31.637,,
121,04/03/25 09:00:00 PM,31.791,,
122,04/03/25 09:10:00 PM,31.765,,
123,04/03/25 09:20:00 PM,31.791,,
124,04/03/25 09:30:00 PM,31.740,,
125,04/03/25 09:40:00 PM,31.893,,
126,04/03/25 09:50:00 PM,31.919,,
127,04/03/25 10:00:00 PM,31.842,,
128,04/03/25 10:10:00 PM,31.996,,
129,04/03/25 10:20:00 PM,32.124,,
130,04/03/25 10:30:00 PM,32.175,,
131,04/03/25 10:40:00 PM,32.330,,
132,04/03/25 10:50:00 PM,32.304,,
133,04/03/25 11:00:00 PM,32.201,,
134,04/03/25 11:10:00 PM,32.227,,
135,04/03/25 11:20:00 PM,32.073,,
136,04/03/25 11:30:00 PM,32.021,,
137,04/03/25 11:40:00 PM,31.816,,
138,04/03/25 11:50:00 PM,31.893,,
139,04/04/25 12:00:00 AM,31.919,,
140,04/04/25 12:10:00 AM,31.868,,
141,04/04/25 12:20:00 AM,31.893,,
142,04/04/25 12:30:00 AM,31.868,,
143,04/04/25 12:40:00 AM,31.740,,
144,04/04/25 12:50:00 AM,31.842,,
145,04/04/25 01:00:00 AM,31.791,,
146,04/04/25 01:10:00 AM,31.842,,
147,04/04/25 01:20:00 AM,31.663,,
148,04/04/25 01:30:00 AM,31.561,,
149,04/04/25 01:40:00 AM,31.382,,
150,04/04/25 01:50:00 AM,31.281,,
151,04/04/25 02:00:00 AM,31.179,,
152,04/04/25 02:10:00 AM,31.153,,
153,04/04/25 02:20:00 AM,31.026,,
154,04/04/25 02:30:00 AM,31.052,,
155,04/04/25 02:40:00 AM,30.874,,
156,04/04/25 02:50:00 AM,30.874,,
157,04/04/25 03:00:00 AM,30.722,,
158,04/04/25 03:10:00 AM,30.748,,
159,04/04/25 03:20:00 AM,30.722,,
160,04/04/25 03:30:00 AM,30.773,,
161,04/04/25 03:40:00 AM,30.773,,
162,04/04/25 03:50:00 AM,30.672,,
163,04/04/25 04:00:00 AM,30.748,,
164,04/04/25 04:10:00 AM,30.167,,
165,04/04/25 04:20:00 AM,29.540,,
166,04/04/25 04:30:00 AM,29.490,,
167,04/04/25 04:40:00 AM,29.389,,
