"Plot Title: 20970122"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970122, SEN S/N: 20970122)","Coupler Detached (LGR S/N: 20970122)","End Of File (LGR S/N: 20970122)"
1,04/03/25 01:00:00 AM,25.914,Logged,
2,04/03/25 01:10:00 AM,25.793,,
3,04/03/25 01:20:00 AM,25.695,,
4,04/03/25 01:30:00 AM,25.623,,
5,04/03/25 01:40:00 AM,25.525,,
6,04/03/25 01:50:00 AM,25.453,,
7,04/03/25 02:00:00 AM,25.380,,
8,04/03/25 02:10:00 AM,25.307,,
9,04/03/25 02:20:00 AM,25.210,,
10,04/03/25 02:30:00 AM,25.137,,
11,04/03/25 02:40:00 AM,25.065,,
12,04/03/25 02:50:00 AM,24.992,,
13,04/03/25 03:00:00 AM,24.919,,
14,04/03/25 03:10:00 AM,24.847,,
15,04/03/25 03:20:00 AM,24.774,,
16,04/03/25 03:30:00 AM,24.677,,
17,04/03/25 03:40:00 AM,24.605,,
18,04/03/25 03:50:00 AM,24.557,,
19,04/03/25 04:00:00 AM,24.484,,
20,04/03/25 04:10:00 AM,24.412,,
21,04/03/25 04:20:00 AM,24.339,,
22,04/03/25 04:30:00 AM,24.291,,
23,04/03/25 04:40:00 AM,24.219,,
24,04/03/25 04:50:00 AM,24.171,,
25,04/03/25 05:00:00 AM,24.122,,
26,04/03/25 05:10:00 AM,24.098,,
27,04/03/25 05:20:00 AM,24.050,,
28,04/03/25 05:30:00 AM,24.026,,
29,04/03/25 05:40:00 AM,23.978,,
30,04/03/25 05:50:00 AM,23.930,,
31,04/03/25 06:00:00 AM,23.881,,
32,04/03/25 06:10:00 AM,23.833,,
33,04/03/25 06:20:00 AM,23.761,,
34,04/03/25 06:30:00 AM,23.713,,
35,04/03/25 06:40:00 AM,23.641,,
36,04/03/25 06:50:00 AM,23.593,,
37,04/03/25 07:00:00 AM,23.545,,
38,04/03/25 07:10:00 AM,23.521,,
39,04/03/25 07:20:00 AM,23.497,,
40,04/03/25 07:30:00 AM,23.472,,
41,04/03/25 07:40:00 AM,23.497,,
42,04/03/25 07:50:00 AM,23.545,,
43,04/03/25 08:00:00 AM,23.617,,
44,04/03/25 08:10:00 AM,23.713,,
45,04/03/25 08:20:00 AM,23.833,,
46,04/03/25 08:30:00 AM,24.002,,
47,04/03/25 08:40:00 AM,24.195,,
48,04/03/25 08:50:00 AM,24.484,,
49,04/03/25 09:00:00 AM,25.550,,
50,04/03/25 09:10:00 AM,25.598,,
51,04/03/25 09:20:00 AM,25.307,,
52,04/03/25 09:30:00 AM,25.428,,
53,04/03/25 09:40:00 AM,27.702,,
54,04/03/25 09:50:00 AM,34.969,,
55,04/03/25 10:00:00 AM,34.863,,
56,04/03/25 10:10:00 AM,33.652,,
57,04/03/25 10:20:00 AM,32.073,,
58,04/03/25 10:30:00 AM,32.227,,
59,04/03/25 10:40:00 AM,25.113,,
60,04/03/25 10:50:00 AM,24.122,,
61,04/03/25 11:00:00 AM,23.978,,
62,04/03/25 11:10:00 AM,24.050,,
63,04/03/25 11:20:00 AM,24.122,,
64,04/03/25 11:30:00 AM,24.098,,
65,04/03/25 11:40:00 AM,24.171,,
66,04/03/25 11:50:00 AM,24.243,,
67,04/03/25 12:00:00 PM,24.388,,
68,04/03/25 12:10:00 PM,24.484,,
69,04/03/25 12:20:00 PM,24.484,,
70,04/03/25 12:30:00 PM,24.557,,
71,04/03/25 12:40:00 PM,24.557,,
72,04/03/25 12:50:00 PM,24.581,,
73,04/03/25 01:00:00 PM,24.653,,
74,04/03/25 01:10:00 PM,24.702,,
75,04/03/25 01:20:00 PM,24.750,,
76,04/03/25 01:30:00 PM,24.798,,
77,04/03/25 01:40:00 PM,24.798,,
78,04/03/25 01:50:00 PM,24.823,,
79,04/03/25 02:00:00 PM,24.823,,
80,04/03/25 02:10:00 PM,24.847,,
81,04/03/25 02:20:00 PM,24.871,,
82,04/03/25 02:30:00 PM,24.871,,
83,04/03/25 02:40:00 PM,24.847,,
84,04/03/25 02:50:00 PM,24.847,,
85,04/03/25 03:00:00 PM,24.847,,
86,04/03/25 03:10:00 PM,24.798,,
87,04/03/25 03:20:00 PM,24.798,,
88,04/03/25 03:30:00 PM,24.774,,
89,04/03/25 03:40:00 PM,24.750,,
90,04/03/25 03:50:00 PM,24.726,,
91,04/03/25 04:00:00 PM,24.702,,
92,04/03/25 04:10:00 PM,24.653,,
93,04/03/25 04:20:00 PM,24.653,,
94,04/03/25 04:30:00 PM,24.605,,
95,04/03/25 04:40:00 PM,24.532,,
96,04/03/25 04:50:00 PM,24.484,,
97,04/03/25 05:00:00 PM,24.436,,
98,04/03/25 05:10:00 PM,24.436,,
99,04/03/25 05:20:00 PM,24.388,,
100,04/03/25 05:30:00 PM,24.363,,
101,04/03/25 05:40:00 PM,24.315,,
102,04/03/25 05:50:00 PM,24.291,,
103,04/03/25 06:00:00 PM,24.267,,
104,04/03/25 06:10:00 PM,24.219,,
105,04/03/25 06:20:00 PM,24.171,,
106,04/03/25 06:30:00 PM,24.171,,
107,04/03/25 06:40:00 PM,24.098,,
108,04/03/25 06:50:00 PM,24.026,,
109,04/03/25 07:00:00 PM,24.002,,
110,04/03/25 07:10:00 PM,23.978,,
111,04/03/25 07:20:00 PM,23.954,,
112,04/03/25 07:30:00 PM,23.930,,
113,04/03/25 07:40:00 PM,23.881,,
114,04/03/25 07:50:00 PM,23.881,,
115,04/03/25 08:00:00 PM,23.881,,
116,04/03/25 08:10:00 PM,23.857,,
117,04/03/25 08:20:00 PM,23.857,,
118,04/03/25 08:30:00 PM,23.833,,
119,04/03/25 08:40:00 PM,23.833,,
120,04/03/25 08:50:00 PM,23.809,,
121,04/03/25 09:00:00 PM,23.809,,
122,04/03/25 09:10:00 PM,23.809,,
123,04/03/25 09:20:00 PM,23.785,,
124,04/03/25 09:30:00 PM,23.785,,
125,04/03/25 09:40:00 PM,23.785,,
126,04/03/25 09:50:00 PM,23.785,,
127,04/03/25 10:00:00 PM,23.761,,
128,04/03/25 10:10:00 PM,23.761,,
129,04/03/25 10:20:00 PM,23.761,,
130,04/03/25 10:30:00 PM,23.737,,
131,04/03/25 10:40:00 PM,23.737,,
132,04/03/25 10:50:00 PM,23.713,,
133,04/03/25 11:00:00 PM,23.713,,
134,04/03/25 11:10:00 PM,23.641,,
135,04/03/25 11:20:00 PM,23.545,,
136,04/03/25 11:30:00 PM,23.545,,
137,04/03/25 11:40:00 PM,23.497,,
138,04/03/25 11:50:00 PM,23.497,,
139,04/04/25 12:00:00 AM,23.472,,
140,04/04/25 12:10:00 AM,23.472,,
141,04/04/25 12:20:00 AM,23.448,,
142,04/04/25 12:30:00 AM,23.448,,
143,04/04/25 12:40:00 AM,23.448,,
144,04/04/25 12:50:00 AM,23.400,,
145,04/04/25 01:00:00 AM,23.400,,
146,04/04/25 01:10:00 AM,23.400,,
147,04/04/25 01:20:00 AM,23.376,,
148,04/04/25 01:30:00 AM,23.352,,
149,04/04/25 01:40:00 AM,23.352,,
150,04/04/25 01:50:00 AM,23.352,,
151,04/04/25 02:00:00 AM,23.328,,
152,04/04/25 02:10:00 AM,23.328,,
153,04/04/25 02:20:00 AM,23.328,,
154,04/04/25 02:30:00 AM,23.328,,
155,04/04/25 02:40:00 AM,23.328,,
156,04/04/25 02:50:00 AM,23.328,,
157,04/04/25 03:00:00 AM,23.328,,
158,04/04/25 03:10:00 AM,23.304,,
159,04/04/25 03:20:00 AM,23.304,,
160,04/04/25 03:30:00 AM,23.304,,
161,04/04/25 03:40:00 AM,23.304,,
162,04/04/25 03:50:00 AM,23.304,,
163,04/04/25 04:00:00 AM,23.280,,
164,04/04/25 04:10:00 AM,23.304,,
165,04/04/25 04:20:00 AM,23.304,,
166,04/04/25 04:30:00 AM,23.280,,
167,04/04/25 04:40:00 AM,23.280,,
168,04/04/25 04:50:00 AM,23.280,,
169,04/04/25 05:00:00 AM,23.280,,
170,04/04/25 05:10:00 AM,23.256,,
171,04/04/25 05:20:00 AM,23.256,,
172,04/04/25 05:30:00 AM,23.256,,
173,04/04/25 05:40:00 AM,23.256,,
174,04/04/25 05:50:00 AM,23.256,,
175,04/04/25 06:00:00 AM,23.256,,
176,04/04/25 06:10:00 AM,23.256,,
177,04/04/25 06:20:00 AM,23.256,,
178,04/04/25 06:30:00 AM,23.256,,
179,04/04/25 06:40:00 AM,23.256,,
180,04/04/25 06:50:00 AM,23.256,,
181,04/04/25 07:00:00 AM,23.256,,
182,04/04/25 07:10:00 AM,23.256,,
183,04/04/25 07:20:00 AM,23.256,,
184,04/04/25 07:30:00 AM,23.280,,
185,04/04/25 07:40:00 AM,23.280,,
186,04/04/25 07:50:00 AM,23.280,,
187,04/04/25 08:00:00 AM,23.304,,
188,04/04/25 08:10:00 AM,23.328,,
189,04/04/25 08:20:00 AM,23.328,,
190,04/04/25 08:30:00 AM,23.352,,
191,04/04/25 08:40:00 AM,23.376,,
192,04/04/25 08:50:00 AM,23.400,,
193,04/04/25 09:00:00 AM,23.424,,
194,04/04/25 09:10:00 AM,23.448,,
195,04/04/25 09:20:00 AM,23.497,,
196,04/04/25 09:30:00 AM,23.545,,
197,04/04/25 09:40:00 AM,23.545,,
198,04/04/25 09:50:00 AM,23.569,,
199,04/04/25 10:00:00 AM,23.641,,
200,04/04/25 10:10:00 AM,23.689,,
201,04/04/25 10:20:00 AM,23.737,,
202,04/04/25 10:30:00 AM,23.809,,
203,04/04/25 10:40:00 AM,23.857,,
204,04/04/25 10:50:00 AM,23.905,,
205,04/04/25 11:00:00 AM,23.978,,
206,04/04/25 11:10:00 AM,23.954,,
207,04/04/25 11:20:00 AM,24.002,,
208,04/04/25 11:30:00 AM,24.002,,
209,04/04/25 11:40:00 AM,24.026,,
210,04/04/25 11:50:00 AM,24.050,,
211,04/04/25 12:00:00 PM,24.050,,
212,04/04/25 12:10:00 PM,24.146,,
213,04/04/25 12:20:00 PM,24.219,,
214,04/04/25 12:30:00 PM,24.363,,
215,04/04/25 12:40:00 PM,24.363,,
216,04/04/25 12:50:00 PM,24.339,,
217,04/04/25 01:00:00 PM,24.388,,
218,04/04/25 01:10:00 PM,24.436,,
219,04/04/25 01:20:00 PM,24.460,,
220,04/04/25 01:30:00 PM,24.484,,
221,04/04/25 01:40:00 PM,24.508,,
222,04/04/25 01:50:00 PM,24.508,,
223,04/04/25 02:00:00 PM,24.508,,
224,04/04/25 02:10:00 PM,24.484,,
225,04/04/25 02:20:00 PM,24.436,,
226,04/04/25 02:30:00 PM,24.436,,
227,04/04/25 02:40:00 PM,24.412,,
228,04/04/25 02:50:00 PM,24.412,,
229,04/04/25 03:00:00 PM,24.363,,
230,04/04/25 03:10:00 PM,24.363,,
231,04/04/25 03:20:00 PM,24.339,,
232,04/04/25 03:30:00 PM,24.363,,
233,04/04/25 03:40:00 PM,24.339,,
234,04/04/25 03:50:00 PM,24.339,,
235,04/04/25 04:00:00 PM,24.315,,
236,04/04/25 04:10:00 PM,24.315,,
237,04/04/25 04:20:00 PM,24.243,,
238,04/04/25 04:30:00 PM,24.219,,
239,04/04/25 04:40:00 PM,24.122,,
240,04/04/25 04:50:00 PM,24.026,,
241,04/04/25 05:00:00 PM,23.954,,
242,04/04/25 05:10:00 PM,23.930,,
243,04/04/25 05:20:00 PM,23.905,,
244,04/04/25 05:30:00 PM,23.881,,
245,04/04/25 05:40:00 PM,23.857,,
246,04/04/25 05:50:00 PM,23.833,,
247,04/04/25 06:00:00 PM,23.809,,
248,04/04/25 06:10:00 PM,23.785,,
