"Plot Title: 21445022"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445022, SEN S/N: 21445022)","Coupler Detached (LGR S/N: 21445022)","Coupler Attached (LGR S/N: 21445022)","Host Connected (LGR S/N: 21445022)","Stopped (LGR S/N: 21445022)","End Of File (LGR S/N: 21445022)"
1,04/06/23 01:00:00 AM,24.968,Logged,,,,
2,04/06/23 01:10:00 AM,24.895,,,,,
3,04/06/23 01:20:00 AM,24.798,,,,,
4,04/06/23 01:30:00 AM,24.726,,,,,
5,04/06/23 01:40:00 AM,24.653,,,,,
6,04/06/23 01:50:00 AM,24.581,,,,,
7,04/06/23 02:00:00 AM,24.508,,,,,
8,04/06/23 02:10:00 AM,24.460,,,,,
9,04/06/23 02:20:00 AM,24.388,,,,,
10,04/06/23 02:30:00 AM,24.339,,,,,
11,04/06/23 02:40:00 AM,24.267,,,,,
12,04/06/23 02:50:00 AM,24.219,,,,,
13,04/06/23 03:00:00 AM,24.146,,,,,
14,04/06/23 03:10:00 AM,24.098,,,,,
15,04/06/23 03:20:00 AM,24.050,,,,,
16,04/06/23 03:30:00 AM,24.002,,,,,
17,04/06/23 03:40:00 AM,23.954,,,,,
18,04/06/23 03:50:00 AM,23.881,,,,,
19,04/06/23 04:00:00 AM,23.833,,,,,
20,04/06/23 04:10:00 AM,23.785,,,,,
21,04/06/23 04:20:00 AM,23.737,,,,,
22,04/06/23 04:30:00 AM,23.689,,,,,
23,04/06/23 04:40:00 AM,23.641,,,,,
24,04/06/23 04:50:00 AM,23.593,,,,,
25,04/06/23 05:00:00 AM,23.545,,,,,
26,04/06/23 05:10:00 AM,23.521,,,,,
27,04/06/23 05:20:00 AM,23.472,,,,,
28,04/06/23 05:30:00 AM,23.448,,,,,
29,04/06/23 05:40:00 AM,23.400,,,,,
30,04/06/23 05:50:00 AM,23.352,,,,,
31,04/06/23 06:00:00 AM,23.304,,,,,
32,04/06/23 06:10:00 AM,23.256,,,,,
33,04/06/23 06:20:00 AM,23.208,,,,,
34,04/06/23 06:30:00 AM,23.160,,,,,
35,04/06/23 06:40:00 AM,23.088,,,,,
36,04/06/23 06:50:00 AM,23.064,,,,,
37,04/06/23 07:00:00 AM,23.040,,,,,
38,04/06/23 07:10:00 AM,23.040,,,,,
39,04/06/23 07:20:00 AM,23.160,,,,,
40,04/06/23 07:30:00 AM,23.280,,,,,
41,04/06/23 07:40:00 AM,23.448,,,,,
42,04/06/23 07:50:00 AM,23.713,,,,,
43,04/06/23 08:00:00 AM,23.881,,,,,
44,04/06/23 08:10:00 AM,24.026,,,,,
45,04/06/23 08:20:00 AM,24.146,,,,,
46,04/06/23 08:30:00 AM,24.315,,,,,
47,04/06/23 08:40:00 AM,24.460,,,,,
48,04/06/23 08:50:00 AM,24.605,,,,,
49,04/06/23 09:00:00 AM,26.109,,,,,
50,04/06/23 09:10:00 AM,26.842,,,,,
51,04/06/23 09:20:00 AM,26.378,,,,,
52,04/06/23 09:30:00 AM,26.965,,,,,
53,04/06/23 09:40:00 AM,27.653,,,,,
54,04/06/23 09:50:00 AM,29.389,,,,,
