"Plot Title: 20970102"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970102, SEN S/N: 20970102)","Coupler Detached (LGR S/N: 20970102)","Coupler Attached (LGR S/N: 20970102)","Host Connected (LGR S/N: 20970102)","Stopped (LGR S/N: 20970102)","End Of File (LGR S/N: 20970102)"
1,04/06/23 01:00:00 AM,24.653,Logged,,,,
2,04/06/23 01:10:00 AM,24.581,,,,,
3,04/06/23 01:20:00 AM,24.508,,,,,
4,04/06/23 01:30:00 AM,24.436,,,,,
5,04/06/23 01:40:00 AM,24.363,,,,,
6,04/06/23 01:50:00 AM,24.315,,,,,
7,04/06/23 02:00:00 AM,24.267,,,,,
8,04/06/23 02:10:00 AM,24.195,,,,,
9,04/06/23 02:20:00 AM,24.146,,,,,
10,04/06/23 02:30:00 AM,24.098,,,,,
11,04/06/23 02:40:00 AM,24.050,,,,,
12,04/06/23 02:50:00 AM,23.978,,,,,
13,04/06/23 03:00:00 AM,23.930,,,,,
14,04/06/23 03:10:00 AM,23.881,,,,,
15,04/06/23 03:20:00 AM,23.833,,,,,
16,04/06/23 03:30:00 AM,23.785,,,,,
17,04/06/23 03:40:00 AM,23.737,,,,,
18,04/06/23 03:50:00 AM,23.689,,,,,
19,04/06/23 04:00:00 AM,23.641,,,,,
20,04/06/23 04:10:00 AM,23.593,,,,,
21,04/06/23 04:20:00 AM,23.521,,,,,
22,04/06/23 04:30:00 AM,23.472,,,,,
23,04/06/23 04:40:00 AM,23.424,,,,,
24,04/06/23 04:50:00 AM,23.400,,,,,
25,04/06/23 05:00:00 AM,23.376,,,,,
26,04/06/23 05:10:00 AM,23.352,,,,,
27,04/06/23 05:20:00 AM,23.304,,,,,
28,04/06/23 05:30:00 AM,23.280,,,,,
29,04/06/23 05:40:00 AM,23.232,,,,,
30,04/06/23 05:50:00 AM,23.184,,,,,
31,04/06/23 06:00:00 AM,23.136,,,,,
32,04/06/23 06:10:00 AM,23.088,,,,,
33,04/06/23 06:20:00 AM,23.016,,,,,
34,04/06/23 06:30:00 AM,22.944,,,,,
35,04/06/23 06:40:00 AM,22.872,,,,,
36,04/06/23 06:50:00 AM,22.848,,,,,
37,04/06/23 07:00:00 AM,22.872,,,,,
38,04/06/23 07:10:00 AM,22.968,,,,,
39,04/06/23 07:20:00 AM,23.280,,,,,
40,04/06/23 07:30:00 AM,23.521,,,,,
41,04/06/23 07:40:00 AM,23.833,,,,,
42,04/06/23 07:50:00 AM,24.219,,,,,
43,04/06/23 08:00:00 AM,24.388,,,,,
44,04/06/23 08:10:00 AM,24.484,,,,,
45,04/06/23 08:20:00 AM,24.557,,,,,
46,04/06/23 08:30:00 AM,24.677,,,,,
47,04/06/23 08:40:00 AM,24.798,,,,,
48,04/06/23 08:50:00 AM,24.944,,,,,
49,04/06/23 09:00:00 AM,29.190,,,,,
50,04/06/23 09:10:00 AM,28.147,,,,,
51,04/06/23 09:20:00 AM,27.407,,,,,
52,04/06/23 09:30:00 AM,27.949,,,,,
53,04/06/23 09:40:00 AM,30.343,,,,,
54,04/06/23 09:50:00 AM,25.089,,,,,
55,04/06/23 10:00:00 AM,23.593,,,,,
56,04/06/23 10:10:00 AM,23.448,,,,,
57,04/06/23 10:20:00 AM,23.424,,,,,
58,04/06/23 10:30:00 AM,23.497,,,,,
59,04/06/23 10:40:00 AM,23.617,,,,,
60,04/06/23 10:50:00 AM,23.737,,,,,
61,04/06/23 11:00:00 AM,23.809,,,,,
62,04/06/23 11:10:00 AM,23.954,,,,,
63,04/06/23 11:20:00 AM,24.074,,,,,
64,04/06/23 11:30:00 AM,24.122,,,,,
65,04/06/23 11:40:00 AM,24.219,,,,,
66,04/06/23 11:50:00 AM,24.219,,,,,
67,04/06/23 12:00:00 PM,24.339,,,,,
68,04/06/23 12:10:00 PM,24.412,,,,,
69,04/06/23 12:20:00 PM,24.436,,,,,
70,04/06/23 12:30:00 PM,24.388,,,,,
71,04/06/23 12:40:00 PM,24.436,,,,,
72,04/06/23 12:50:00 PM,24.436,,,,,
73,04/06/23 01:00:00 PM,24.484,,,,,
74,04/06/23 01:10:00 PM,24.508,,,,,
75,04/06/23 01:20:00 PM,24.605,,,,,
76,04/06/23 01:30:00 PM,24.653,,,,,
77,04/06/23 01:40:00 PM,24.677,,,,,
78,04/06/23 01:50:00 PM,24.798,,,,,
79,04/06/23 02:00:00 PM,24.847,,,,,
80,04/06/23 02:10:00 PM,24.823,,,,,
81,04/06/23 02:20:00 PM,24.702,,,,,
82,04/06/23 02:30:00 PM,24.581,,,,,
83,04/06/23 02:40:00 PM,24.629,,,,,
84,04/06/23 02:50:00 PM,24.605,,,,,
85,04/06/23 03:00:00 PM,24.532,,,,,
86,04/06/23 03:10:00 PM,24.508,,,,,
87,04/06/23 03:20:00 PM,24.508,,,,,
88,04/06/23 03:30:00 PM,24.508,,,,,
89,04/06/23 03:40:00 PM,24.532,,,,,
90,04/06/23 03:50:00 PM,24.532,,,,,
91,04/06/23 04:00:00 PM,24.532,,,,,
92,04/06/23 04:10:00 PM,24.532,,,,,
93,04/06/23 04:20:00 PM,24.557,,,,,
94,04/06/23 04:30:00 PM,24.532,,,,,
95,04/06/23 04:40:00 PM,24.532,,,,,
96,04/06/23 04:50:00 PM,24.557,,,,,
97,04/06/23 05:00:00 PM,24.532,,,,,
98,04/06/23 05:10:00 PM,24.508,,,,,
99,04/06/23 05:20:00 PM,24.508,,,,,
100,04/06/23 05:30:00 PM,24.508,,,,,
101,04/06/23 05:40:00 PM,24.508,,,,,
102,04/06/23 05:50:00 PM,24.484,,,,,
103,04/06/23 06:00:00 PM,24.484,,,,,
104,04/06/23 06:10:00 PM,24.460,,,,,
105,04/06/23 06:20:00 PM,24.460,,,,,
106,04/06/23 06:30:00 PM,24.412,,,,,
107,04/06/23 06:40:00 PM,24.388,,,,,
108,04/06/23 06:50:00 PM,24.388,,,,,
109,04/06/23 07:00:00 PM,24.363,,,,,
110,04/06/23 07:10:00 PM,24.339,,,,,
111,04/06/23 07:20:00 PM,24.291,,,,,
112,04/06/23 07:30:00 PM,24.291,,,,,
113,04/06/23 07:40:00 PM,24.267,,,,,
114,04/06/23 07:50:00 PM,24.243,,,,,
115,04/06/23 08:00:00 PM,24.219,,,,,
116,04/06/23 08:10:00 PM,24.195,,,,,
117,04/06/23 08:20:00 PM,24.195,,,,,
118,04/06/23 08:30:00 PM,24.171,,,,,
119,04/06/23 08:40:00 PM,24.146,,,,,
120,04/06/23 08:50:00 PM,24.146,,,,,
121,04/06/23 09:00:00 PM,24.122,,,,,
122,04/06/23 09:10:00 PM,24.098,,,,,
123,04/06/23 09:20:00 PM,24.074,,,,,
124,04/06/23 09:30:00 PM,24.050,,,,,
125,04/06/23 09:40:00 PM,24.026,,,,,
126,04/06/23 09:50:00 PM,24.002,,,,,
127,04/06/23 10:00:00 PM,23.978,,,,,
