"Plot Title: 21445021"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445021, SEN S/N: 21445021)","Coupler Detached (LGR S/N: 21445021)","Coupler Attached (LGR S/N: 21445021)","Host Connected (LGR S/N: 21445021)","Stopped (LGR S/N: 21445021)","End Of File (LGR S/N: 21445021)"
1,04/06/23 01:00:00 AM,24.823,Logged,,,,
2,04/06/23 01:10:00 AM,24.750,,,,,
3,04/06/23 01:20:00 AM,24.653,,,,,
4,04/06/23 01:30:00 AM,24.581,,,,,
5,04/06/23 01:40:00 AM,24.508,,,,,
6,04/06/23 01:50:00 AM,24.460,,,,,
7,04/06/23 02:00:00 AM,24.388,,,,,
8,04/06/23 02:10:00 AM,24.339,,,,,
9,04/06/23 02:20:00 AM,24.267,,,,,
10,04/06/23 02:30:00 AM,24.219,,,,,
11,04/06/23 02:40:00 AM,24.171,,,,,
12,04/06/23 02:50:00 AM,24.098,,,,,
13,04/06/23 03:00:00 AM,24.050,,,,,
14,04/06/23 03:10:00 AM,24.002,,,,,
15,04/06/23 03:20:00 AM,23.930,,,,,
16,04/06/23 03:30:00 AM,23.881,,,,,
17,04/06/23 03:40:00 AM,23.833,,,,,
18,04/06/23 03:50:00 AM,23.785,,,,,
19,04/06/23 04:00:00 AM,23.737,,,,,
20,04/06/23 04:10:00 AM,23.689,,,,,
21,04/06/23 04:20:00 AM,23.641,,,,,
22,04/06/23 04:30:00 AM,23.593,,,,,
23,04/06/23 04:40:00 AM,23.545,,,,,
24,04/06/23 04:50:00 AM,23.497,,,,,
25,04/06/23 05:00:00 AM,23.448,,,,,
26,04/06/23 05:10:00 AM,23.424,,,,,
27,04/06/23 05:20:00 AM,23.400,,,,,
28,04/06/23 05:30:00 AM,23.352,,,,,
29,04/06/23 05:40:00 AM,23.304,,,,,
30,04/06/23 05:50:00 AM,23.280,,,,,
31,04/06/23 06:00:00 AM,23.232,,,,,
32,04/06/23 06:10:00 AM,23.184,,,,,
33,04/06/23 06:20:00 AM,23.112,,,,,
34,04/06/23 06:30:00 AM,23.064,,,,,
35,04/06/23 06:40:00 AM,22.992,,,,,
36,04/06/23 06:50:00 AM,22.968,,,,,
37,04/06/23 07:00:00 AM,22.968,,,,,
38,04/06/23 07:10:00 AM,22.992,,,,,
