"Plot Title: 20970110"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970110, SEN S/N: 20970110)","Coupler Detached (LGR S/N: 20970110)","Coupler Attached (LGR S/N: 20970110)","Host Connected (LGR S/N: 20970110)","Stopped (LGR S/N: 20970110)","End Of File (LGR S/N: 20970110)"
1,04/06/23 01:00:00 AM,24.944,Logged,,,,
2,04/06/23 01:10:00 AM,24.871,,,,,
3,04/06/23 01:20:00 AM,24.774,,,,,
4,04/06/23 01:30:00 AM,24.702,,,,,
5,04/06/23 01:40:00 AM,24.629,,,,,
6,04/06/23 01:50:00 AM,24.557,,,,,
7,04/06/23 02:00:00 AM,24.508,,,,,
8,04/06/23 02:10:00 AM,24.436,,,,,
9,04/06/23 02:20:00 AM,24.388,,,,,
10,04/06/23 02:30:00 AM,24.315,,,,,
11,04/06/23 02:40:00 AM,24.267,,,,,
12,04/06/23 02:50:00 AM,24.219,,,,,
13,04/06/23 03:00:00 AM,24.146,,,,,
14,04/06/23 03:10:00 AM,24.098,,,,,
15,04/06/23 03:20:00 AM,24.050,,,,,
16,04/06/23 03:30:00 AM,23.978,,,,,
17,04/06/23 03:40:00 AM,23.930,,,,,
18,04/06/23 03:50:00 AM,23.881,,,,,
19,04/06/23 04:00:00 AM,23.833,,,,,
20,04/06/23 04:10:00 AM,23.785,,,,,
21,04/06/23 04:20:00 AM,23.737,,,,,
22,04/06/23 04:30:00 AM,23.689,,,,,
23,04/06/23 04:40:00 AM,23.641,,,,,
24,04/06/23 04:50:00 AM,23.593,,,,,
25,04/06/23 05:00:00 AM,23.545,,,,,
26,04/06/23 05:10:00 AM,23.521,,,,,
27,04/06/23 05:20:00 AM,23.472,,,,,
28,04/06/23 05:30:00 AM,23.448,,,,,
29,04/06/23 05:40:00 AM,23.400,,,,,
30,04/06/23 05:50:00 AM,23.352,,,,,
31,04/06/23 06:00:00 AM,23.304,,,,,
32,04/06/23 06:10:00 AM,23.256,,,,,
33,04/06/23 06:20:00 AM,23.208,,,,,
34,04/06/23 06:30:00 AM,23.160,,,,,
35,04/06/23 06:40:00 AM,23.088,,,,,
36,04/06/23 06:50:00 AM,23.064,,,,,
37,04/06/23 07:00:00 AM,23.040,,,,,
38,04/06/23 07:10:00 AM,23.064,,,,,
39,04/06/23 07:20:00 AM,23.232,,,,,
40,04/06/23 07:30:00 AM,23.352,,,,,
41,04/06/23 07:40:00 AM,23.545,,,,,
42,04/06/23 07:50:00 AM,23.833,,,,,
43,04/06/23 08:00:00 AM,24.026,,,,,
44,04/06/23 08:10:00 AM,24.146,,,,,
45,04/06/23 08:20:00 AM,24.243,,,,,
46,04/06/23 08:30:00 AM,24.412,,,,,
47,04/06/23 08:40:00 AM,24.508,,,,,
48,04/06/23 08:50:00 AM,24.629,,,,,
49,04/06/23 09:00:00 AM,25.768,,,,,
50,04/06/23 09:10:00 AM,26.353,,,,,
51,04/06/23 09:20:00 AM,25.598,,,,,
52,04/06/23 09:30:00 AM,26.451,,,,,
53,04/06/23 09:40:00 AM,27.677,,,,,
54,04/06/23 09:50:00 AM,28.791,,,,,
55,04/06/23 10:00:00 AM,28.072,,,,,
56,04/06/23 10:10:00 AM,27.653,,,,,
57,04/06/23 10:20:00 AM,27.235,,,,,
58,04/06/23 10:30:00 AM,25.380,,,,,
59,04/06/23 10:40:00 AM,24.050,,,,,
60,04/06/23 10:50:00 AM,23.978,,,,,
61,04/06/23 11:00:00 AM,24.074,,,,,
62,04/06/23 11:10:00 AM,24.195,,,,,
63,04/06/23 11:20:00 AM,24.291,,,,,
64,04/06/23 11:30:00 AM,24.339,,,,,
65,04/06/23 11:40:00 AM,24.436,,,,,
66,04/06/23 11:50:00 AM,24.532,,,,,
67,04/06/23 12:00:00 PM,24.677,,,,,
68,04/06/23 12:10:00 PM,24.750,,,,,
69,04/06/23 12:20:00 PM,24.895,,,,,
70,04/06/23 12:30:00 PM,25.040,,,,,
71,04/06/23 12:40:00 PM,25.258,,,,,
72,04/06/23 12:50:00 PM,25.355,,,,,
73,04/06/23 01:00:00 PM,25.453,,,,,
74,04/06/23 01:10:00 PM,25.598,,,,,
75,04/06/23 01:20:00 PM,25.768,,,,,
76,04/06/23 01:30:00 PM,25.866,,,,,
77,04/06/23 01:40:00 PM,25.817,,,,,
78,04/06/23 01:50:00 PM,25.866,,,,,
79,04/06/23 02:00:00 PM,26.061,,,,,
80,04/06/23 02:10:00 PM,26.231,,,,,
81,04/06/23 02:20:00 PM,26.402,,,,,
82,04/06/23 02:30:00 PM,26.598,,,,,
83,04/06/23 02:40:00 PM,26.793,,,,,
84,04/06/23 02:50:00 PM,26.940,,,,,
85,04/06/23 03:00:00 PM,27.063,,,,,
86,04/06/23 03:10:00 PM,27.014,,,,,
87,04/06/23 03:20:00 PM,26.965,,,,,
88,04/06/23 03:30:00 PM,26.916,,,,,
89,04/06/23 03:40:00 PM,26.818,,,,,
90,04/06/23 03:50:00 PM,26.549,,,,,
91,04/06/23 04:00:00 PM,26.304,,,,,
92,04/06/23 04:10:00 PM,26.061,,,,,
93,04/06/23 04:20:00 PM,25.890,,,,,
94,04/06/23 04:30:00 PM,25.817,,,,,
95,04/06/23 04:40:00 PM,25.744,,,,,
96,04/06/23 04:50:00 PM,25.695,,,,,
97,04/06/23 05:00:00 PM,25.695,,,,,
98,04/06/23 05:10:00 PM,25.671,,,,,
99,04/06/23 05:20:00 PM,25.695,,,,,
100,04/06/23 05:30:00 PM,25.647,,,,,
101,04/06/23 05:40:00 PM,25.671,,,,,
102,04/06/23 05:50:00 PM,25.695,,,,,
103,04/06/23 06:00:00 PM,25.720,,,,,
104,04/06/23 06:10:00 PM,25.720,,,,,
105,04/06/23 06:20:00 PM,25.720,,,,,
106,04/06/23 06:30:00 PM,25.720,,,,,
107,04/06/23 06:40:00 PM,25.695,,,,,
108,04/06/23 06:50:00 PM,25.720,,,,,
109,04/06/23 07:00:00 PM,25.768,,,,,
110,04/06/23 07:10:00 PM,25.817,,,,,
111,04/06/23 07:20:00 PM,25.817,,,,,
112,04/06/23 07:30:00 PM,25.817,,,,,
113,04/06/23 07:40:00 PM,25.817,,,,,
114,04/06/23 07:50:00 PM,25.841,,,,,
115,04/06/23 08:00:00 PM,25.866,,,,,
116,04/06/23 08:10:00 PM,25.866,,,,,
117,04/06/23 08:20:00 PM,25.866,,,,,
118,04/06/23 08:30:00 PM,25.939,,,,,
119,04/06/23 08:40:00 PM,25.963,,,,,
120,04/06/23 08:50:00 PM,25.987,,,,,
121,04/06/23 09:00:00 PM,26.012,,,,,
122,04/06/23 09:10:00 PM,26.012,,,,,
123,04/06/23 09:20:00 PM,25.987,,,,,
124,04/06/23 09:30:00 PM,25.939,,,,,
125,04/06/23 09:40:00 PM,25.866,,,,,
126,04/06/23 09:50:00 PM,25.793,,,,,
127,04/06/23 10:00:00 PM,25.744,,,,,
128,04/06/23 10:10:00 PM,25.695,,,,,
129,04/06/23 10:20:00 PM,25.598,,,,,
130,04/06/23 10:30:00 PM,25.501,,,,,
131,04/06/23 10:40:00 PM,25.404,,,,,
132,04/06/23 10:50:00 PM,25.307,,,,,
133,04/06/23 11:00:00 PM,25.258,,,,,
134,04/06/23 11:10:00 PM,25.234,,,,,
135,04/06/23 11:20:00 PM,25.186,,,,,
136,04/06/23 11:30:00 PM,25.137,,,,,
137,04/06/23 11:40:00 PM,25.065,,,,,
138,04/06/23 11:50:00 PM,24.992,,,,,
139,04/07/23 12:00:00 AM,24.919,,,,,
140,04/07/23 12:10:00 AM,24.847,,,,,
141,04/07/23 12:20:00 AM,24.798,,,,,
142,04/07/23 12:30:00 AM,24.750,,,,,
143,04/07/23 12:40:00 AM,24.702,,,,,
144,04/07/23 12:50:00 AM,24.653,,,,,
145,04/07/23 01:00:00 AM,24.581,,,,,
146,04/07/23 01:10:00 AM,24.508,,,,,
147,04/07/23 01:20:00 AM,24.436,,,,,
148,04/07/23 01:30:00 AM,24.388,,,,,
149,04/07/23 01:40:00 AM,24.339,,,,,
150,04/07/23 01:50:00 AM,24.291,,,,,
151,04/07/23 02:00:00 AM,24.243,,,,,
152,04/07/23 02:10:00 AM,24.171,,,,,
153,04/07/23 02:20:00 AM,24.098,,,,,
154,04/07/23 02:30:00 AM,24.050,,,,,
155,04/07/23 02:40:00 AM,23.978,,,,,
156,04/07/23 02:50:00 AM,23.930,,,,,
157,04/07/23 03:00:00 AM,23.881,,,,,
158,04/07/23 03:10:00 AM,23.833,,,,,
159,04/07/23 03:20:00 AM,23.809,,,,,
160,04/07/23 03:30:00 AM,23.761,,,,,
161,04/07/23 03:40:00 AM,23.737,,,,,
162,04/07/23 03:50:00 AM,23.737,,,,,
163,04/07/23 04:00:00 AM,23.737,,,,,
164,04/07/23 04:10:00 AM,23.713,,,,,
165,04/07/23 04:20:00 AM,23.737,,,,,
166,04/07/23 04:30:00 AM,23.737,,,,,
167,04/07/23 04:40:00 AM,23.665,,,,,
168,04/07/23 04:50:00 AM,23.617,,,,,
169,04/07/23 05:00:00 AM,23.593,,,,,
170,04/07/23 05:10:00 AM,23.545,,,,,
171,04/07/23 05:20:00 AM,23.497,,,,,
172,04/07/23 05:30:00 AM,23.448,,,,,
173,04/07/23 05:40:00 AM,23.400,,,,,
174,04/07/23 05:50:00 AM,23.376,,,,,
175,04/07/23 06:00:00 AM,23.352,,,,,
176,04/07/23 06:10:00 AM,23.328,,,,,
177,04/07/23 06:20:00 AM,23.304,,,,,
178,04/07/23 06:30:00 AM,23.304,,,,,
179,04/07/23 06:40:00 AM,23.280,,,,,
180,04/07/23 06:50:00 AM,23.280,,,,,
181,04/07/23 07:00:00 AM,23.280,,,,,
182,04/07/23 07:10:00 AM,23.256,,,,,
183,04/07/23 07:20:00 AM,23.256,,,,,
184,04/07/23 07:30:00 AM,23.232,,,,,
185,04/07/23 07:40:00 AM,23.256,,,,,
186,04/07/23 07:50:00 AM,23.256,,,,,
187,04/07/23 08:00:00 AM,23.280,,,,,
188,04/07/23 08:10:00 AM,23.304,,,,,
189,04/07/23 08:20:00 AM,23.328,,,,,
190,04/07/23 08:30:00 AM,23.352,,,,,
191,04/07/23 08:40:00 AM,23.376,,,,,
192,04/07/23 08:50:00 AM,23.424,,,,,
193,04/07/23 09:00:00 AM,23.497,,,,,
194,04/07/23 09:10:00 AM,23.593,,,,,
195,04/07/23 09:20:00 AM,23.713,,,,,
196,04/07/23 09:30:00 AM,23.833,,,,,
197,04/07/23 09:40:00 AM,23.930,,,,,
198,04/07/23 09:50:00 AM,24.026,,,,,
199,04/07/23 10:00:00 AM,24.098,,,,,
200,04/07/23 10:10:00 AM,24.146,,,,,
201,04/07/23 10:20:00 AM,24.219,,,,,
202,04/07/23 10:30:00 AM,24.267,,,,,
203,04/07/23 10:40:00 AM,24.267,,,,,
204,04/07/23 10:50:00 AM,24.315,,,,,
205,04/07/23 11:00:00 AM,24.363,,,,,
206,04/07/23 11:10:00 AM,24.412,,,,,
207,04/07/23 11:20:00 AM,24.484,,,,,
208,04/07/23 11:30:00 AM,24.532,,,,,
209,04/07/23 11:40:00 AM,24.605,,,,,
210,04/07/23 11:50:00 AM,24.677,,,,,
211,04/07/23 12:00:00 PM,24.750,,,,,
212,04/07/23 12:10:00 PM,24.774,,,,,
213,04/07/23 12:20:00 PM,24.798,,,,,
214,04/07/23 12:30:00 PM,24.823,,,,,
215,04/07/23 12:40:00 PM,24.847,,,,,
216,04/07/23 12:50:00 PM,24.895,,,,,
217,04/07/23 01:00:00 PM,24.871,,,,,
218,04/07/23 01:10:00 PM,24.944,,,,,
219,04/07/23 01:20:00 PM,25.065,,,,,
