"Plot Title: 20970109"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970109, SEN S/N: 20970109)","Coupler Detached (LGR S/N: 20970109)","Coupler Attached (LGR S/N: 20970109)","Host Connected (LGR S/N: 20970109)","Stopped (LGR S/N: 20970109)","End Of File (LGR S/N: 20970109)"
1,04/04/24 01:00:00 AM,25.404,Logged,,,,
2,04/04/24 01:10:00 AM,25.307,,,,,
3,04/04/24 01:20:00 AM,25.234,,,,,
4,04/04/24 01:30:00 AM,25.137,,,,,
5,04/04/24 01:40:00 AM,25.065,,,,,
6,04/04/24 01:50:00 AM,24.992,,,,,
7,04/04/24 02:00:00 AM,24.919,,,,,
8,04/04/24 02:10:00 AM,24.847,,,,,
9,04/04/24 02:20:00 AM,24.774,,,,,
10,04/04/24 02:30:00 AM,24.702,,,,,
11,04/04/24 02:40:00 AM,24.629,,,,,
12,04/04/24 02:50:00 AM,24.557,,,,,
13,04/04/24 03:00:00 AM,24.484,,,,,
14,04/04/24 03:10:00 AM,24.412,,,,,
15,04/04/24 03:20:00 AM,24.339,,,,,
16,04/04/24 03:30:00 AM,24.291,,,,,
17,04/04/24 03:40:00 AM,24.219,,,,,
18,04/04/24 03:50:00 AM,24.171,,,,,
19,04/04/24 04:00:00 AM,24.098,,,,,
20,04/04/24 04:10:00 AM,24.050,,,,,
21,04/04/24 04:20:00 AM,24.002,,,,,
22,04/04/24 04:30:00 AM,23.954,,,,,
23,04/04/24 04:40:00 AM,23.905,,,,,
24,04/04/24 04:50:00 AM,23.857,,,,,
25,04/04/24 05:00:00 AM,23.809,,,,,
26,04/04/24 05:10:00 AM,23.785,,,,,
27,04/04/24 05:20:00 AM,23.737,,,,,
28,04/04/24 05:30:00 AM,23.665,,,,,
29,04/04/24 05:40:00 AM,23.617,,,,,
30,04/04/24 05:50:00 AM,23.545,,,,,
31,04/04/24 06:00:00 AM,23.497,,,,,
32,04/04/24 06:10:00 AM,23.448,,,,,
33,04/04/24 06:20:00 AM,23.376,,,,,
34,04/04/24 06:30:00 AM,23.328,,,,,
35,04/04/24 06:40:00 AM,23.256,,,,,
36,04/04/24 06:50:00 AM,23.208,,,,,
37,04/04/24 07:00:00 AM,23.160,,,,,
38,04/04/24 07:10:00 AM,23.136,,,,,
39,04/04/24 07:20:00 AM,23.112,,,,,
40,04/04/24 07:30:00 AM,23.088,,,,,
41,04/04/24 07:40:00 AM,23.088,,,,,
42,04/04/24 07:50:00 AM,23.088,,,,,
43,04/04/24 08:00:00 AM,23.112,,,,,
44,04/04/24 08:10:00 AM,23.136,,,,,
45,04/04/24 08:20:00 AM,23.184,,,,,
46,04/04/24 08:30:00 AM,23.256,,,,,
47,04/04/24 08:40:00 AM,23.400,,,,,
48,04/04/24 08:50:00 AM,23.930,,,,,
49,04/04/24 09:00:00 AM,24.581,,,,,
50,04/04/24 09:10:00 AM,26.012,,,,,
51,04/04/24 09:20:00 AM,29.740,,,,,
52,04/04/24 09:30:00 AM,30.041,,,,,
53,04/04/24 09:40:00 AM,30.444,,,,,
54,04/04/24 09:50:00 AM,23.954,,,,,
55,04/04/24 10:00:00 AM,23.136,,,,,
56,04/04/24 10:10:00 AM,23.064,,,,,
57,04/04/24 10:20:00 AM,23.160,,,,,
58,04/04/24 10:30:00 AM,23.256,,,,,
59,04/04/24 10:40:00 AM,23.280,,,,,
60,04/04/24 10:50:00 AM,23.448,,,,,
61,04/04/24 11:00:00 AM,23.545,,,,,
62,04/04/24 11:10:00 AM,23.593,,,,,
63,04/04/24 11:20:00 AM,23.665,,,,,
64,04/04/24 11:30:00 AM,23.761,,,,,
65,04/04/24 11:40:00 AM,23.857,,,,,
66,04/04/24 11:50:00 AM,24.050,,,,,
67,04/04/24 12:00:00 PM,24.171,,,,,
68,04/04/24 12:10:00 PM,24.195,,,,,
69,04/04/24 12:20:00 PM,24.171,,,,,
70,04/04/24 12:30:00 PM,24.219,,,,,
71,04/04/24 12:40:00 PM,24.315,,,,,
72,04/04/24 12:50:00 PM,24.484,,,,,
73,04/04/24 01:00:00 PM,24.484,,,,,
74,04/04/24 01:10:00 PM,24.508,,,,,
75,04/04/24 01:20:00 PM,24.557,,,,,
76,04/04/24 01:30:00 PM,24.532,,,,,
77,04/04/24 01:40:00 PM,24.653,,,,,
78,04/04/24 01:50:00 PM,24.629,,,,,
79,04/04/24 02:00:00 PM,24.605,,,,,
80,04/04/24 02:10:00 PM,24.557,,,,,
81,04/04/24 02:20:00 PM,24.557,,,,,
82,04/04/24 02:30:00 PM,24.605,,,,,
83,04/04/24 02:40:00 PM,24.629,,,,,
84,04/04/24 02:50:00 PM,24.605,,,,,
85,04/04/24 03:00:00 PM,24.581,,,,,
86,04/04/24 03:10:00 PM,24.581,,,,,
87,04/04/24 03:20:00 PM,24.557,,,,,
88,04/04/24 03:30:00 PM,24.557,,,,,
89,04/04/24 03:40:00 PM,24.508,,,,,
90,04/04/24 03:50:00 PM,24.508,,,,,
91,04/04/24 04:00:00 PM,24.508,,,,,
92,04/04/24 04:10:00 PM,24.484,,,,,
93,04/04/24 04:20:00 PM,24.484,,,,,
94,04/04/24 04:30:00 PM,24.460,,,,,
95,04/04/24 04:40:00 PM,24.436,,,,,
96,04/04/24 04:50:00 PM,24.436,,,,,
97,04/04/24 05:00:00 PM,24.412,,,,,
98,04/04/24 05:10:00 PM,24.436,,,,,
99,04/04/24 05:20:00 PM,24.436,,,,,
100,04/04/24 05:30:00 PM,24.412,,,,,
101,04/04/24 05:40:00 PM,24.412,,,,,
102,04/04/24 05:50:00 PM,24.412,,,,,
103,04/04/24 06:00:00 PM,24.388,,,,,
104,04/04/24 06:10:00 PM,24.363,,,,,
105,04/04/24 06:20:00 PM,24.339,,,,,
106,04/04/24 06:30:00 PM,24.315,,,,,
107,04/04/24 06:40:00 PM,24.291,,,,,
108,04/04/24 06:50:00 PM,24.267,,,,,
109,04/04/24 07:00:00 PM,24.243,,,,,
110,04/04/24 07:10:00 PM,24.219,,,,,
111,04/04/24 07:20:00 PM,24.195,,,,,
112,04/04/24 07:30:00 PM,24.171,,,,,
113,04/04/24 07:40:00 PM,24.146,,,,,
114,04/04/24 07:50:00 PM,24.122,,,,,
115,04/04/24 08:00:00 PM,24.098,,,,,
116,04/04/24 08:10:00 PM,24.074,,,,,
117,04/04/24 08:20:00 PM,24.050,,,,,
118,04/04/24 08:30:00 PM,24.026,,,,,
119,04/04/24 08:40:00 PM,23.978,,,,,
120,04/04/24 08:50:00 PM,23.954,,,,,
121,04/04/24 09:00:00 PM,23.930,,,,,
122,04/04/24 09:10:00 PM,23.905,,,,,
123,04/04/24 09:20:00 PM,23.881,,,,,
124,04/04/24 09:30:00 PM,23.833,,,,,
125,04/04/24 09:40:00 PM,23.809,,,,,
126,04/04/24 09:50:00 PM,23.761,,,,,
127,04/04/24 10:00:00 PM,23.737,,,,,
128,04/04/24 10:10:00 PM,23.713,,,,,
129,04/04/24 10:20:00 PM,23.665,,,,,
130,04/04/24 10:30:00 PM,23.641,,,,,
131,04/04/24 10:40:00 PM,23.617,,,,,
132,04/04/24 10:50:00 PM,23.569,,,,,
133,04/04/24 11:00:00 PM,23.545,,,,,
134,04/04/24 11:10:00 PM,23.521,,,,,
135,04/04/24 11:20:00 PM,23.497,,,,,
136,04/04/24 11:30:00 PM,23.448,,,,,
137,04/04/24 11:40:00 PM,23.424,,,,,
138,04/04/24 11:50:00 PM,23.400,,,,,
139,04/05/24 12:00:00 AM,23.376,,,,,
140,04/05/24 12:10:00 AM,23.352,,,,,
141,04/05/24 12:20:00 AM,23.328,,,,,
142,04/05/24 12:30:00 AM,23.304,,,,,
143,04/05/24 12:40:00 AM,23.280,,,,,
