"Plot Title: 20970115"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970115, SEN S/N: 20970115)","Coupler Detached (LGR S/N: 20970115)","Coupler Attached (LGR S/N: 20970115)","Host Connected (LGR S/N: 20970115)","Stopped (LGR S/N: 20970115)","End Of File (LGR S/N: 20970115)"
1,04/04/24 01:00:00 AM,25.623,Logged,,,,
2,04/04/24 01:10:00 AM,25.525,,,,,
3,04/04/24 01:20:00 AM,25.428,,,,,
4,04/04/24 01:30:00 AM,25.355,,,,,
5,04/04/24 01:40:00 AM,25.258,,,,,
6,04/04/24 01:50:00 AM,25.186,,,,,
7,04/04/24 02:00:00 AM,25.113,,,,,
8,04/04/24 02:10:00 AM,25.040,,,,,
9,04/04/24 02:20:00 AM,24.968,,,,,
10,04/04/24 02:30:00 AM,24.871,,,,,
11,04/04/24 02:40:00 AM,24.798,,,,,
12,04/04/24 02:50:00 AM,24.726,,,,,
13,04/04/24 03:00:00 AM,24.653,,,,,
14,04/04/24 03:10:00 AM,24.605,,,,,
15,04/04/24 03:20:00 AM,24.508,,,,,
16,04/04/24 03:30:00 AM,24.460,,,,,
17,04/04/24 03:40:00 AM,24.388,,,,,
18,04/04/24 03:50:00 AM,24.315,,,,,
19,04/04/24 04:00:00 AM,24.267,,,,,
20,04/04/24 04:10:00 AM,24.219,,,,,
21,04/04/24 04:20:00 AM,24.146,,,,,
22,04/04/24 04:30:00 AM,24.098,,,,,
23,04/04/24 04:40:00 AM,24.050,,,,,
24,04/04/24 04:50:00 AM,24.002,,,,,
25,04/04/24 05:00:00 AM,23.954,,,,,
26,04/04/24 05:10:00 AM,23.905,,,,,
27,04/04/24 05:20:00 AM,23.857,,,,,
28,04/04/24 05:30:00 AM,23.809,,,,,
29,04/04/24 05:40:00 AM,23.761,,,,,
30,04/04/24 05:50:00 AM,23.713,,,,,
31,04/04/24 06:00:00 AM,23.665,,,,,
32,04/04/24 06:10:00 AM,23.593,,,,,
33,04/04/24 06:20:00 AM,23.545,,,,,
34,04/04/24 06:30:00 AM,23.497,,,,,
35,04/04/24 06:40:00 AM,23.424,,,,,
36,04/04/24 06:50:00 AM,23.376,,,,,
37,04/04/24 07:00:00 AM,23.328,,,,,
38,04/04/24 07:10:00 AM,23.280,,,,,
39,04/04/24 07:20:00 AM,23.232,,,,,
40,04/04/24 07:30:00 AM,23.208,,,,,
41,04/04/24 07:40:00 AM,23.184,,,,,
42,04/04/24 07:50:00 AM,23.160,,,,,
43,04/04/24 08:00:00 AM,23.160,,,,,
44,04/04/24 08:10:00 AM,23.160,,,,,
45,04/04/24 08:20:00 AM,23.184,,,,,
46,04/04/24 08:30:00 AM,22.872,,,,,
47,04/04/24 08:40:00 AM,23.016,,,,,
48,04/04/24 08:50:00 AM,23.761,,,,,
49,04/04/24 09:00:00 AM,24.798,,,,,
50,04/04/24 09:10:00 AM,25.695,,,,,
51,04/04/24 09:20:00 AM,27.949,,,,,
52,04/04/24 09:30:00 AM,29.515,,,,,
53,04/04/24 09:40:00 AM,29.414,,,,,
54,04/04/24 09:50:00 AM,30.016,,,,,
55,04/04/24 10:00:00 AM,31.433,,,,,
56,04/04/24 10:10:00 AM,23.713,,,,,
57,04/04/24 10:20:00 AM,23.448,,,,,
58,04/04/24 10:30:00 AM,23.569,,,,,
59,04/04/24 10:40:00 AM,23.713,,,,,
60,04/04/24 10:50:00 AM,23.833,,,,,
61,04/04/24 11:00:00 AM,24.050,,,,,
62,04/04/24 11:10:00 AM,24.339,,,,,
63,04/04/24 11:20:00 AM,24.484,,,,,
64,04/04/24 11:30:00 AM,24.677,,,,,
65,04/04/24 11:40:00 AM,24.871,,,,,
66,04/04/24 11:50:00 AM,25.113,,,,,
67,04/04/24 12:00:00 PM,25.186,,,,,
