"Plot Title: 20970094"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970094, SEN S/N: 20970094)","Coupler Detached (LGR S/N: 20970094)","Coupler Attached (LGR S/N: 20970094)","Host Connected (LGR S/N: 20970094)","Stopped (LGR S/N: 20970094)","End Of File (LGR S/N: 20970094)"
1,04/04/24 01:00:00 AM,25.525,Logged,,,,
2,04/04/24 01:10:00 AM,25.428,,,,,
3,04/04/24 01:20:00 AM,25.355,,,,,
4,04/04/24 01:30:00 AM,25.283,,,,,
5,04/04/24 01:40:00 AM,25.210,,,,,
6,04/04/24 01:50:00 AM,25.137,,,,,
7,04/04/24 02:00:00 AM,25.065,,,,,
8,04/04/24 02:10:00 AM,24.992,,,,,
9,04/04/24 02:20:00 AM,24.895,,,,,
10,04/04/24 02:30:00 AM,24.823,,,,,
11,04/04/24 02:40:00 AM,24.750,,,,,
12,04/04/24 02:50:00 AM,24.702,,,,,
13,04/04/24 03:00:00 AM,24.629,,,,,
14,04/04/24 03:10:00 AM,24.557,,,,,
15,04/04/24 03:20:00 AM,24.484,,,,,
16,04/04/24 03:30:00 AM,24.412,,,,,
17,04/04/24 03:40:00 AM,24.363,,,,,
18,04/04/24 03:50:00 AM,24.291,,,,,
19,04/04/24 04:00:00 AM,24.243,,,,,
20,04/04/24 04:10:00 AM,24.195,,,,,
21,04/04/24 04:20:00 AM,24.122,,,,,
22,04/04/24 04:30:00 AM,24.074,,,,,
23,04/04/24 04:40:00 AM,24.026,,,,,
24,04/04/24 04:50:00 AM,23.978,,,,,
25,04/04/24 05:00:00 AM,23.954,,,,,
26,04/04/24 05:10:00 AM,23.905,,,,,
27,04/04/24 05:20:00 AM,23.857,,,,,
28,04/04/24 05:30:00 AM,23.809,,,,,
29,04/04/24 05:40:00 AM,23.761,,,,,
30,04/04/24 05:50:00 AM,23.689,,,,,
31,04/04/24 06:00:00 AM,23.641,,,,,
32,04/04/24 06:10:00 AM,23.593,,,,,
33,04/04/24 06:20:00 AM,23.521,,,,,
34,04/04/24 06:30:00 AM,23.472,,,,,
35,04/04/24 06:40:00 AM,23.400,,,,,
36,04/04/24 06:50:00 AM,23.352,,,,,
37,04/04/24 07:00:00 AM,23.304,,,,,
38,04/04/24 07:10:00 AM,23.256,,,,,
39,04/04/24 07:20:00 AM,23.232,,,,,
40,04/04/24 07:30:00 AM,23.208,,,,,
41,04/04/24 07:40:00 AM,23.184,,,,,
42,04/04/24 07:50:00 AM,23.184,,,,,
43,04/04/24 08:00:00 AM,23.184,,,,,
44,04/04/24 08:10:00 AM,23.208,,,,,
45,04/04/24 08:20:00 AM,23.232,,,,,
46,04/04/24 08:30:00 AM,23.280,,,,,
47,04/04/24 08:40:00 AM,23.352,,,,,
48,04/04/24 08:50:00 AM,23.833,,,,,
