"Plot Title: 21445020"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445020, SEN S/N: 21445020)","Coupler Detached (LGR S/N: 21445020)","Coupler Attached (LGR S/N: 21445020)","Host Connected (LGR S/N: 21445020)","Stopped (LGR S/N: 21445020)","End Of File (LGR S/N: 21445020)"
1,04/04/24 01:00:00 AM,25.404,Logged,,,,
2,04/04/24 01:10:00 AM,25.307,,,,,
3,04/04/24 01:20:00 AM,25.234,,,,,
4,04/04/24 01:30:00 AM,25.162,,,,,
5,04/04/24 01:40:00 AM,25.089,,,,,
6,04/04/24 01:50:00 AM,25.016,,,,,
7,04/04/24 02:00:00 AM,24.944,,,,,
8,04/04/24 02:10:00 AM,24.871,,,,,
9,04/04/24 02:20:00 AM,24.798,,,,,
10,04/04/24 02:30:00 AM,24.726,,,,,
11,04/04/24 02:40:00 AM,24.653,,,,,
12,04/04/24 02:50:00 AM,24.581,,,,,
13,04/04/24 03:00:00 AM,24.508,,,,,
14,04/04/24 03:10:00 AM,24.436,,,,,
15,04/04/24 03:20:00 AM,24.363,,,,,
16,04/04/24 03:30:00 AM,24.291,,,,,
17,04/04/24 03:40:00 AM,24.243,,,,,
18,04/04/24 03:50:00 AM,24.171,,,,,
19,04/04/24 04:00:00 AM,24.122,,,,,
20,04/04/24 04:10:00 AM,24.074,,,,,
21,04/04/24 04:20:00 AM,24.026,,,,,
22,04/04/24 04:30:00 AM,23.978,,,,,
23,04/04/24 04:40:00 AM,23.930,,,,,
24,04/04/24 04:50:00 AM,23.881,,,,,
25,04/04/24 05:00:00 AM,23.833,,,,,
26,04/04/24 05:10:00 AM,23.809,,,,,
27,04/04/24 05:20:00 AM,23.761,,,,,
28,04/04/24 05:30:00 AM,23.713,,,,,
29,04/04/24 05:40:00 AM,23.641,,,,,
30,04/04/24 05:50:00 AM,23.593,,,,,
31,04/04/24 06:00:00 AM,23.521,,,,,
32,04/04/24 06:10:00 AM,23.472,,,,,
33,04/04/24 06:20:00 AM,23.400,,,,,
34,04/04/24 06:30:00 AM,23.352,,,,,
35,04/04/24 06:40:00 AM,23.304,,,,,
36,04/04/24 06:50:00 AM,23.232,,,,,
37,04/04/24 07:00:00 AM,23.184,,,,,
38,04/04/24 07:10:00 AM,23.160,,,,,
39,04/04/24 07:20:00 AM,23.136,,,,,
40,04/04/24 07:30:00 AM,23.112,,,,,
41,04/04/24 07:40:00 AM,23.112,,,,,
42,04/04/24 07:50:00 AM,23.112,,,,,
43,04/04/24 08:00:00 AM,23.136,,,,,
44,04/04/24 08:10:00 AM,23.184,,,,,
45,04/04/24 08:20:00 AM,23.232,,,,,
46,04/04/24 08:30:00 AM,23.376,,,,,
47,04/04/24 08:40:00 AM,23.521,,,,,
48,04/04/24 08:50:00 AM,24.098,,,,,
49,04/04/24 09:00:00 AM,24.944,,,,,
50,04/04/24 09:10:00 AM,26.402,,,,,
51,04/04/24 09:20:00 AM,31.026,,,,,
52,04/04/24 09:30:00 AM,30.369,,,,,
53,04/04/24 09:40:00 AM,29.941,,,,,
54,04/04/24 09:50:00 AM,30.722,,,,,
55,04/04/24 10:00:00 AM,33.809,,,,,
56,04/04/24 10:10:00 AM,30.596,,,,,
57,04/04/24 10:20:00 AM,28.617,,,,,
58,04/04/24 10:30:00 AM,28.866,,,,,
59,04/04/24 10:40:00 AM,28.916,,,,,
60,04/04/24 10:50:00 AM,24.339,,,,,
61,04/04/24 11:00:00 AM,23.785,,,,,
62,04/04/24 11:10:00 AM,23.785,,,,,
63,04/04/24 11:20:00 AM,23.833,,,,,
64,04/04/24 11:30:00 AM,24.074,,,,,
65,04/04/24 11:40:00 AM,24.098,,,,,
66,04/04/24 11:50:00 AM,24.219,,,,,
67,04/04/24 12:00:00 PM,24.291,,,,,
68,04/04/24 12:10:00 PM,24.508,,,,,
69,04/04/24 12:20:00 PM,24.702,,,,,
70,04/04/24 12:30:00 PM,24.726,,,,,
71,04/04/24 12:40:00 PM,24.774,,,,,
72,04/04/24 12:50:00 PM,24.992,,,,,
73,04/04/24 01:00:00 PM,25.210,,,,,
74,04/04/24 01:10:00 PM,25.307,,,,,
75,04/04/24 01:20:00 PM,25.355,,,,,
76,04/04/24 01:30:00 PM,25.258,,,,,
77,04/04/24 01:40:00 PM,25.283,,,,,
78,04/04/24 01:50:00 PM,25.404,,,,,
79,04/04/24 02:00:00 PM,25.525,,,,,
80,04/04/24 02:10:00 PM,25.695,,,,,
81,04/04/24 02:20:00 PM,25.793,,,,,
82,04/04/24 02:30:00 PM,25.987,,,,,
83,04/04/24 02:40:00 PM,26.182,,,,,
84,04/04/24 02:50:00 PM,26.109,,,,,
85,04/04/24 03:00:00 PM,25.939,,,,,
86,04/04/24 03:10:00 PM,25.841,,,,,
87,04/04/24 03:20:00 PM,26.085,,,,,
88,04/04/24 03:30:00 PM,26.109,,,,,
89,04/04/24 03:40:00 PM,26.158,,,,,
90,04/04/24 03:50:00 PM,25.890,,,,,
91,04/04/24 04:00:00 PM,25.817,,,,,
92,04/04/24 04:10:00 PM,26.012,,,,,
93,04/04/24 04:20:00 PM,25.720,,,,,
94,04/04/24 04:30:00 PM,25.817,,,,,
95,04/04/24 04:40:00 PM,26.012,,,,,
96,04/04/24 04:50:00 PM,26.109,,,,,
97,04/04/24 05:00:00 PM,25.841,,,,,
98,04/04/24 05:10:00 PM,25.841,,,,,
99,04/04/24 05:20:00 PM,25.817,,,,,
100,04/04/24 05:30:00 PM,26.036,,,,,
101,04/04/24 05:40:00 PM,26.036,,,,,
102,04/04/24 05:50:00 PM,25.890,,,,,
103,04/04/24 06:00:00 PM,25.890,,,,,
104,04/04/24 06:10:00 PM,25.841,,,,,
105,04/04/24 06:20:00 PM,25.793,,,,,
106,04/04/24 06:30:00 PM,25.793,,,,,
107,04/04/24 06:40:00 PM,25.695,,,,,
108,04/04/24 06:50:00 PM,25.744,,,,,
109,04/04/24 07:00:00 PM,25.841,,,,,
110,04/04/24 07:10:00 PM,25.525,,,,,
111,04/04/24 07:20:00 PM,25.598,,,,,
112,04/04/24 07:30:00 PM,25.647,,,,,
113,04/04/24 07:40:00 PM,25.428,,,,,
114,04/04/24 07:50:00 PM,25.404,,,,,
115,04/04/24 08:00:00 PM,25.428,,,,,
116,04/04/24 08:10:00 PM,25.477,,,,,
117,04/04/24 08:20:00 PM,25.283,,,,,
118,04/04/24 08:30:00 PM,25.283,,,,,
119,04/04/24 08:40:00 PM,25.307,,,,,
120,04/04/24 08:50:00 PM,25.186,,,,,
121,04/04/24 09:00:00 PM,25.162,,,,,
122,04/04/24 09:10:00 PM,25.040,,,,,
123,04/04/24 09:20:00 PM,24.847,,,,,
124,04/04/24 09:30:00 PM,24.823,,,,,
125,04/04/24 09:40:00 PM,24.726,,,,,
126,04/04/24 09:50:00 PM,24.702,,,,,
127,04/04/24 10:00:00 PM,24.677,,,,,
128,04/04/24 10:10:00 PM,24.702,,,,,
129,04/04/24 10:20:00 PM,24.726,,,,,
130,04/04/24 10:30:00 PM,24.629,,,,,
131,04/04/24 10:40:00 PM,24.557,,,,,
132,04/04/24 10:50:00 PM,24.460,,,,,
133,04/04/24 11:00:00 PM,24.388,,,,,
134,04/04/24 11:10:00 PM,24.388,,,,,
135,04/04/24 11:20:00 PM,24.219,,,,,
136,04/04/24 11:30:00 PM,24.219,,,,,
137,04/04/24 11:40:00 PM,24.171,,,,,
138,04/04/24 11:50:00 PM,24.146,,,,,
139,04/05/24 12:00:00 AM,23.978,,,,,
140,04/05/24 12:10:00 AM,24.002,,,,,
141,04/05/24 12:20:00 AM,23.978,,,,,
142,04/05/24 12:30:00 AM,23.905,,,,,
143,04/05/24 12:40:00 AM,23.978,,,,,
