"Plot Title: 20970123"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970123, SEN S/N: 20970123)","Coupler Detached (LGR S/N: 20970123)","Coupler Attached (LGR S/N: 20970123)","Host Connected (LGR S/N: 20970123)","Stopped (LGR S/N: 20970123)","End Of File (LGR S/N: 20970123)"
1,04/04/24 01:00:00 AM,25.477,Logged,,,,
2,04/04/24 01:10:00 AM,25.380,,,,,
3,04/04/24 01:20:00 AM,25.307,,,,,
4,04/04/24 01:30:00 AM,25.234,,,,,
5,04/04/24 01:40:00 AM,25.162,,,,,
6,04/04/24 01:50:00 AM,25.089,,,,,
7,04/04/24 02:00:00 AM,25.016,,,,,
8,04/04/24 02:10:00 AM,24.944,,,,,
9,04/04/24 02:20:00 AM,24.871,,,,,
10,04/04/24 02:30:00 AM,24.798,,,,,
11,04/04/24 02:40:00 AM,24.726,,,,,
12,04/04/24 02:50:00 AM,24.653,,,,,
13,04/04/24 03:00:00 AM,24.581,,,,,
14,04/04/24 03:10:00 AM,24.508,,,,,
15,04/04/24 03:20:00 AM,24.436,,,,,
16,04/04/24 03:30:00 AM,24.388,,,,,
17,04/04/24 03:40:00 AM,24.315,,,,,
18,04/04/24 03:50:00 AM,24.267,,,,,
19,04/04/24 04:00:00 AM,24.219,,,,,
20,04/04/24 04:10:00 AM,24.146,,,,,
21,04/04/24 04:20:00 AM,24.098,,,,,
22,04/04/24 04:30:00 AM,24.050,,,,,
23,04/04/24 04:40:00 AM,24.002,,,,,
24,04/04/24 04:50:00 AM,23.954,,,,,
25,04/04/24 05:00:00 AM,23.930,,,,,
26,04/04/24 05:10:00 AM,23.881,,,,,
27,04/04/24 05:20:00 AM,23.833,,,,,
28,04/04/24 05:30:00 AM,23.785,,,,,
29,04/04/24 05:40:00 AM,23.737,,,,,
30,04/04/24 05:50:00 AM,23.665,,,,,
31,04/04/24 06:00:00 AM,23.617,,,,,
32,04/04/24 06:10:00 AM,23.545,,,,,
33,04/04/24 06:20:00 AM,23.497,,,,,
34,04/04/24 06:30:00 AM,23.448,,,,,
35,04/04/24 06:40:00 AM,23.376,,,,,
36,04/04/24 06:50:00 AM,23.328,,,,,
37,04/04/24 07:00:00 AM,23.280,,,,,
38,04/04/24 07:10:00 AM,23.232,,,,,
39,04/04/24 07:20:00 AM,23.208,,,,,
40,04/04/24 07:30:00 AM,23.208,,,,,
41,04/04/24 07:40:00 AM,23.184,,,,,
42,04/04/24 07:50:00 AM,23.208,,,,,
43,04/04/24 08:00:00 AM,23.208,,,,,
44,04/04/24 08:10:00 AM,23.256,,,,,
45,04/04/24 08:20:00 AM,23.304,,,,,
46,04/04/24 08:30:00 AM,23.472,,,,,
47,04/04/24 08:40:00 AM,23.641,,,,,
48,04/04/24 08:50:00 AM,24.195,,,,,
49,04/04/24 09:00:00 AM,25.016,,,,,
50,04/04/24 09:10:00 AM,26.036,,,,,
51,04/04/24 09:20:00 AM,27.505,,,,,
52,04/04/24 09:30:00 AM,27.974,,,,,
53,04/04/24 09:40:00 AM,28.766,,,,,
54,04/04/24 09:50:00 AM,30.142,,,,,
55,04/04/24 10:00:00 AM,32.975,,,,,
56,04/04/24 10:10:00 AM,30.419,,,,,
57,04/04/24 10:20:00 AM,28.916,,,,,
58,04/04/24 10:30:00 AM,30.343,,,,,
59,04/04/24 10:40:00 AM,24.363,,,,,
60,04/04/24 10:50:00 AM,23.256,,,,,
61,04/04/24 11:00:00 AM,23.088,,,,,
62,04/04/24 11:10:00 AM,23.112,,,,,
63,04/04/24 11:20:00 AM,23.112,,,,,
64,04/04/24 11:30:00 AM,23.136,,,,,
65,04/04/24 11:40:00 AM,23.136,,,,,
66,04/04/24 11:50:00 AM,23.160,,,,,
67,04/04/24 12:00:00 PM,23.184,,,,,
68,04/04/24 12:10:00 PM,23.184,,,,,
69,04/04/24 12:20:00 PM,23.280,,,,,
70,04/04/24 12:30:00 PM,23.304,,,,,
71,04/04/24 12:40:00 PM,23.400,,,,,
72,04/04/24 12:50:00 PM,23.521,,,,,
73,04/04/24 01:00:00 PM,23.569,,,,,
74,04/04/24 01:10:00 PM,23.617,,,,,
75,04/04/24 01:20:00 PM,23.617,,,,,
76,04/04/24 01:30:00 PM,23.641,,,,,
77,04/04/24 01:40:00 PM,23.641,,,,,
78,04/04/24 01:50:00 PM,23.665,,,,,
79,04/04/24 02:00:00 PM,23.641,,,,,
80,04/04/24 02:10:00 PM,23.641,,,,,
81,04/04/24 02:20:00 PM,23.617,,,,,
