"Plot Title: 20970093"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970093, SEN S/N: 20970093)","Coupler Detached (LGR S/N: 20970093)","Coupler Attached (LGR S/N: 20970093)","Host Connected (LGR S/N: 20970093)","Stopped (LGR S/N: 20970093)","End Of File (LGR S/N: 20970093)"
1,04/04/24 01:00:00 AM,25.623,Logged,,,,
2,04/04/24 01:10:00 AM,25.525,,,,,
3,04/04/24 01:20:00 AM,25.428,,,,,
4,04/04/24 01:30:00 AM,25.355,,,,,
5,04/04/24 01:40:00 AM,25.283,,,,,
6,04/04/24 01:50:00 AM,25.186,,,,,
7,04/04/24 02:00:00 AM,25.113,,,,,
8,04/04/24 02:10:00 AM,25.040,,,,,
9,04/04/24 02:20:00 AM,24.968,,,,,
10,04/04/24 02:30:00 AM,24.895,,,,,
11,04/04/24 02:40:00 AM,24.823,,,,,
12,04/04/24 02:50:00 AM,24.750,,,,,
13,04/04/24 03:00:00 AM,24.677,,,,,
14,04/04/24 03:10:00 AM,24.605,,,,,
15,04/04/24 03:20:00 AM,24.532,,,,,
16,04/04/24 03:30:00 AM,24.460,,,,,
17,04/04/24 03:40:00 AM,24.412,,,,,
18,04/04/24 03:50:00 AM,24.339,,,,,
19,04/04/24 04:00:00 AM,24.291,,,,,
20,04/04/24 04:10:00 AM,24.219,,,,,
21,04/04/24 04:20:00 AM,24.171,,,,,
22,04/04/24 04:30:00 AM,24.122,,,,,
23,04/04/24 04:40:00 AM,24.074,,,,,
24,04/04/24 04:50:00 AM,24.026,,,,,
25,04/04/24 05:00:00 AM,23.978,,,,,
26,04/04/24 05:10:00 AM,23.930,,,,,
27,04/04/24 05:20:00 AM,23.881,,,,,
28,04/04/24 05:30:00 AM,23.833,,,,,
29,04/04/24 05:40:00 AM,23.785,,,,,
30,04/04/24 05:50:00 AM,23.737,,,,,
31,04/04/24 06:00:00 AM,23.689,,,,,
32,04/04/24 06:10:00 AM,23.617,,,,,
33,04/04/24 06:20:00 AM,23.569,,,,,
34,04/04/24 06:30:00 AM,23.497,,,,,
35,04/04/24 06:40:00 AM,23.448,,,,,
36,04/04/24 06:50:00 AM,23.400,,,,,
37,04/04/24 07:00:00 AM,23.352,,,,,
38,04/04/24 07:10:00 AM,23.280,,,,,
39,04/04/24 07:20:00 AM,23.256,,,,,
40,04/04/24 07:30:00 AM,23.208,,,,,
41,04/04/24 07:40:00 AM,23.184,,,,,
42,04/04/24 07:50:00 AM,23.160,,,,,
43,04/04/24 08:00:00 AM,23.160,,,,,
44,04/04/24 08:10:00 AM,23.160,,,,,
45,04/04/24 08:20:00 AM,23.184,,,,,
46,04/04/24 08:30:00 AM,23.184,,,,,
47,04/04/24 08:40:00 AM,23.232,,,,,
48,04/04/24 08:50:00 AM,23.905,,,,,
49,04/04/24 09:00:00 AM,24.774,,,,,
50,04/04/24 09:10:00 AM,25.939,,,,,
51,04/04/24 09:20:00 AM,28.320,,,,,
52,04/04/24 09:30:00 AM,28.841,,,,,
53,04/04/24 09:40:00 AM,28.866,,,,,
54,04/04/24 09:50:00 AM,29.815,,,,,
55,04/04/24 10:00:00 AM,32.794,,,,,
56,04/04/24 10:10:00 AM,30.773,,,,,
57,04/04/24 10:20:00 AM,30.117,,,,,
58,04/04/24 10:30:00 AM,29.340,,,,,
59,04/04/24 10:40:00 AM,29.040,,,,,
60,04/04/24 10:50:00 AM,23.400,,,,,
61,04/04/24 11:00:00 AM,23.040,,,,,
62,04/04/24 11:10:00 AM,23.064,,,,,
63,04/04/24 11:20:00 AM,23.088,,,,,
64,04/04/24 11:30:00 AM,23.112,,,,,
65,04/04/24 11:40:00 AM,23.136,,,,,
66,04/04/24 11:50:00 AM,23.160,,,,,
67,04/04/24 12:00:00 PM,23.184,,,,,
