"Plot Title: 20970093"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970093, SEN S/N: 20970093)","Coupler Detached (LGR S/N: 20970093)","Coupler Attached (LGR S/N: 20970093)","Host Connected (LGR S/N: 20970093)","Stopped (LGR S/N: 20970093)","End Of File (LGR S/N: 20970093)"
1,02/09/23 01:00:00,24.122,Logged,,,,
2,02/09/23 01:10:00,24.074,,,,,
3,02/09/23 01:20:00,24.026,,,,,
4,02/09/23 01:30:00,23.978,,,,,
5,02/09/23 01:40:00,23.954,,,,,
6,02/09/23 01:50:00,23.905,,,,,
7,02/09/23 02:00:00,23.881,,,,,
8,02/09/23 02:10:00,23.857,,,,,
9,02/09/23 02:20:00,23.809,,,,,
10,02/09/23 02:30:00,23.785,,,,,
11,02/09/23 02:40:00,23.761,,,,,
12,02/09/23 02:50:00,23.737,,,,,
13,02/09/23 03:00:00,23.689,,,,,
14,02/09/23 03:10:00,23.665,,,,,
15,02/09/23 03:20:00,23.641,,,,,
16,02/09/23 03:30:00,23.617,,,,,
17,02/09/23 03:40:00,23.593,,,,,
18,02/09/23 03:50:00,23.569,,,,,
19,02/09/23 04:00:00,23.545,,,,,
20,02/09/23 04:10:00,23.521,,,,,
21,02/09/23 04:20:00,23.497,,,,,
22,02/09/23 04:30:00,23.448,,,,,
23,02/09/23 04:40:00,23.424,,,,,
24,02/09/23 04:50:00,23.376,,,,,
25,02/09/23 05:00:00,23.352,,,,,
26,02/09/23 05:10:00,23.304,,,,,
27,02/09/23 05:20:00,23.256,,,,,
28,02/09/23 05:30:00,23.208,,,,,
29,02/09/23 05:40:00,23.160,,,,,
30,02/09/23 05:50:00,23.112,,,,,
31,02/09/23 06:00:00,23.064,,,,,
32,02/09/23 06:10:00,23.016,,,,,
33,02/09/23 06:20:00,22.968,,,,,
34,02/09/23 06:30:00,22.920,,,,,
35,02/09/23 06:40:00,22.872,,,,,
36,02/09/23 06:50:00,22.848,,,,,
37,02/09/23 07:00:00,22.800,,,,,
38,02/09/23 07:10:00,22.776,,,,,
39,02/09/23 07:20:00,22.729,,,,,
40,02/09/23 07:30:00,22.705,,,,,
41,02/09/23 07:40:00,22.681,,,,,
42,02/09/23 07:50:00,22.657,,,,,
43,02/09/23 08:00:00,22.609,,,,,
44,02/09/23 08:10:00,22.585,,,,,
45,02/09/23 08:20:00,22.585,,,,,
46,02/09/23 08:30:00,22.561,,,,,
47,02/09/23 08:40:00,22.561,,,,,
48,02/09/23 08:50:00,22.561,,,,,
49,02/09/23 09:00:00,22.609,,,,,
50,02/09/23 09:10:00,22.729,,,,,
51,02/09/23 09:20:00,23.593,,,,,
52,02/09/23 09:30:00,24.026,,,,,
53,02/09/23 09:40:00,24.195,,,,,
54,02/09/23 09:50:00,25.283,,,,,
55,02/09/23 10:00:00,25.525,,,,,
56,02/09/23 10:10:00,25.963,,,,,
57,02/09/23 10:20:00,26.231,,,,,
58,02/09/23 10:30:00,27.358,,,,,
59,02/09/23 10:40:00,22.441,,,,,
60,02/09/23 10:50:00,21.987,,,,,
61,02/09/23 11:00:00,21.987,,,,,
62,02/09/23 11:10:00,22.011,,,,,
63,02/09/23 11:20:00,22.082,,,,,
64,02/09/23 11:30:00,22.130,,,,,
65,02/09/23 11:40:00,22.154,,,,,
66,02/09/23 11:50:00,22.226,,,,,
67,02/09/23 12:00:00,22.298,,,,,
68,02/09/23 12:10:00,22.321,,,,,
69,02/09/23 12:20:00,22.345,,,,,
70,02/09/23 12:30:00,22.369,,,,,
71,02/09/23 12:40:00,22.393,,,,,
72,02/09/23 12:50:00,22.417,,,,,
73,02/09/23 13:00:00,22.393,,,,,
74,02/09/23 13:10:00,22.369,,,,,
75,02/09/23 13:20:00,22.321,,,,,
76,02/09/23 13:30:00,22.298,,,,,
77,02/09/23 13:40:00,22.250,,,,,
78,02/09/23 13:50:00,22.250,,,,,
79,02/09/23 14:00:00,22.250,,,,,
80,02/09/23 14:10:00,22.274,,,,,
81,02/09/23 14:20:00,22.298,,,,,
82,02/09/23 14:30:00,22.465,,,,,
83,02/09/23 14:40:00,22.441,,,,,
84,02/09/23 14:50:00,22.489,,,,,
85,02/09/23 15:00:00,22.561,,,,,
86,02/09/23 15:10:00,22.633,,,,,
87,02/09/23 15:20:00,22.800,,,,,
88,02/09/23 15:30:00,22.633,,,,,
89,02/09/23 15:40:00,22.561,,,,,
90,02/09/23 15:50:00,22.561,,,,,
91,02/09/23 16:00:00,22.513,,,,,
92,02/09/23 16:10:00,22.489,,,,,
93,02/09/23 16:20:00,22.465,,,,,
94,02/09/23 16:30:00,22.417,,,,,
95,02/09/23 16:40:00,22.393,,,,,
96,02/09/23 16:50:00,22.369,,,,,
97,02/09/23 17:00:00,22.298,,,,,
98,02/09/23 17:10:00,22.274,,,,,
99,02/09/23 17:20:00,22.274,,,,,
100,02/09/23 17:30:00,22.298,,,,,
101,02/09/23 17:40:00,22.298,,,,,
102,02/09/23 17:50:00,22.298,,,,,
103,02/09/23 18:00:00,22.274,,,,,
104,02/09/23 18:10:00,22.274,,,,,
105,02/09/23 18:20:00,22.298,,,,,
106,02/09/23 18:30:00,22.298,,,,,
107,02/09/23 18:40:00,22.298,,,,,
108,02/09/23 18:50:00,22.298,,,,,
109,02/09/23 19:00:00,22.274,,,,,
110,02/09/23 19:10:00,22.250,,,,,
111,02/09/23 19:20:00,22.250,,,,,
112,02/09/23 19:30:00,22.226,,,,,
113,02/09/23 19:40:00,22.226,,,,,
114,02/09/23 19:50:00,22.202,,,,,
115,02/09/23 20:00:00,22.202,,,,,
116,02/09/23 20:10:00,22.202,,,,,
117,02/09/23 20:20:00,22.202,,,,,
118,02/09/23 20:30:00,22.178,,,,,
119,02/09/23 20:40:00,22.154,,,,,
120,02/09/23 20:50:00,22.130,,,,,
121,02/09/23 21:00:00,22.106,,,,,
122,02/09/23 21:10:00,22.106,,,,,
123,02/09/23 21:20:00,22.082,,,,,
124,02/09/23 21:30:00,22.058,,,,,
125,02/09/23 21:40:00,22.034,,,,,
126,02/09/23 21:50:00,22.011,,,,,
127,02/09/23 22:00:00,22.011,,,,,
128,02/09/23 22:10:00,21.987,,,,,
129,02/09/23 22:20:00,21.963,,,,,
130,02/09/23 22:30:00,21.963,,,,,
131,02/09/23 22:40:00,21.939,,,,,
132,02/09/23 22:50:00,21.915,,,,,
133,02/09/23 23:00:00,21.891,,,,,
134,02/09/23 23:10:00,21.867,,,,,
135,02/09/23 23:20:00,21.843,,,,,
136,02/09/23 23:30:00,21.819,,,,,
137,02/09/23 23:40:00,21.772,,,,,
138,02/09/23 23:50:00,21.772,,,,,
139,02/10/23 00:00:00,21.724,,,,,
140,02/10/23 00:10:00,21.676,,,,,
141,02/10/23 00:20:00,21.628,,,,,
142,02/10/23 00:30:00,21.628,,,,,
143,02/10/23 00:40:00,21.533,,,,,
144,02/10/23 00:50:00,21.485,,,,,
145,02/10/23 01:00:00,21.461,,,,,
146,02/10/23 01:10:00,21.390,,,,,
147,02/10/23 01:20:00,21.390,,,,,
148,02/10/23 01:30:00,21.342,,,,,
149,02/10/23 01:40:00,21.294,,,,,
