"Plot Title: 20970108"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970108, SEN S/N: 20970108)","Coupler Detached (LGR S/N: 20970108)","Coupler Attached (LGR S/N: 20970108)","Host Connected (LGR S/N: 20970108)","Stopped (LGR S/N: 20970108)","End Of File (LGR S/N: 20970108)"
1,02/09/23 01:00:00,24.026,Logged,,,,
2,02/09/23 01:10:00,24.002,,,,,
3,02/09/23 01:20:00,23.954,,,,,
4,02/09/23 01:30:00,23.930,,,,,
5,02/09/23 01:40:00,23.881,,,,,
6,02/09/23 01:50:00,23.833,,,,,
7,02/09/23 02:00:00,23.809,,,,,
8,02/09/23 02:10:00,23.785,,,,,
9,02/09/23 02:20:00,23.761,,,,,
10,02/09/23 02:30:00,23.737,,,,,
11,02/09/23 02:40:00,23.689,,,,,
12,02/09/23 02:50:00,23.665,,,,,
13,02/09/23 03:00:00,23.641,,,,,
14,02/09/23 03:10:00,23.617,,,,,
15,02/09/23 03:20:00,23.593,,,,,
16,02/09/23 03:30:00,23.569,,,,,
17,02/09/23 03:40:00,23.545,,,,,
18,02/09/23 03:50:00,23.521,,,,,
19,02/09/23 04:00:00,23.497,,,,,
20,02/09/23 04:10:00,23.472,,,,,
21,02/09/23 04:20:00,23.448,,,,,
22,02/09/23 04:30:00,23.400,,,,,
23,02/09/23 04:40:00,23.376,,,,,
24,02/09/23 04:50:00,23.328,,,,,
25,02/09/23 05:00:00,23.304,,,,,
26,02/09/23 05:10:00,23.256,,,,,
27,02/09/23 05:20:00,23.208,,,,,
28,02/09/23 05:30:00,23.160,,,,,
29,02/09/23 05:40:00,23.088,,,,,
30,02/09/23 05:50:00,23.040,,,,,
31,02/09/23 06:00:00,22.992,,,,,
32,02/09/23 06:10:00,22.944,,,,,
33,02/09/23 06:20:00,22.896,,,,,
34,02/09/23 06:30:00,22.848,,,,,
35,02/09/23 06:40:00,22.800,,,,,
36,02/09/23 06:50:00,22.776,,,,,
37,02/09/23 07:00:00,22.729,,,,,
38,02/09/23 07:10:00,22.705,,,,,
39,02/09/23 07:20:00,22.681,,,,,
40,02/09/23 07:30:00,22.657,,,,,
41,02/09/23 07:40:00,22.633,,,,,
42,02/09/23 07:50:00,22.585,,,,,
43,02/09/23 08:00:00,22.561,,,,,
44,02/09/23 08:10:00,22.537,,,,,
45,02/09/23 08:20:00,22.537,,,,,
46,02/09/23 08:30:00,22.537,,,,,
47,02/09/23 08:40:00,22.537,,,,,
48,02/09/23 08:50:00,22.561,,,,,
49,02/09/23 09:00:00,22.585,,,,,
50,02/09/23 09:10:00,22.657,,,,,
51,02/09/23 09:20:00,23.472,,,,,
52,02/09/23 09:30:00,23.881,,,,,
53,02/09/23 09:40:00,24.074,,,,,
54,02/09/23 09:50:00,25.817,,,,,
55,02/09/23 10:00:00,26.085,,,,,
56,02/09/23 10:10:00,27.014,,,,,
57,02/09/23 10:20:00,27.038,,,,,
58,02/09/23 10:30:00,26.793,,,,,
59,02/09/23 10:40:00,28.171,,,,,
60,02/09/23 10:50:00,29.389,,,,,
61,02/09/23 11:00:00,23.376,,,,,
62,02/09/23 11:10:00,22.729,,,,,
63,02/09/23 11:20:00,22.705,,,,,
64,02/09/23 11:30:00,22.776,,,,,
65,02/09/23 11:40:00,22.920,,,,,
66,02/09/23 11:50:00,23.160,,,,,
67,02/09/23 12:00:00,23.472,,,,,
68,02/09/23 12:10:00,23.593,,,,,
69,02/09/23 12:20:00,23.713,,,,,
70,02/09/23 12:30:00,23.785,,,,,
71,02/09/23 12:40:00,23.954,,,,,
72,02/09/23 12:50:00,24.026,,,,,
73,02/09/23 13:00:00,24.171,,,,,
74,02/09/23 13:10:00,24.171,,,,,
75,02/09/23 13:20:00,24.122,,,,,
76,02/09/23 13:30:00,24.002,,,,,
77,02/09/23 13:40:00,23.905,,,,,
78,02/09/23 13:50:00,23.881,,,,,
79,02/09/23 14:00:00,23.954,,,,,
80,02/09/23 14:10:00,24.074,,,,,
81,02/09/23 14:20:00,24.267,,,,,
82,02/09/23 14:30:00,24.412,,,,,
83,02/09/23 14:40:00,24.508,,,,,
84,02/09/23 14:50:00,24.726,,,,,
85,02/09/23 15:00:00,24.895,,,,,
86,02/09/23 15:10:00,24.968,,,,,
87,02/09/23 15:20:00,24.919,,,,,
88,02/09/23 15:30:00,24.750,,,,,
89,02/09/23 15:40:00,24.653,,,,,
90,02/09/23 15:50:00,24.532,,,,,
91,02/09/23 16:00:00,24.557,,,,,
92,02/09/23 16:10:00,24.388,,,,,
93,02/09/23 16:20:00,24.195,,,,,
94,02/09/23 16:30:00,24.026,,,,,
95,02/09/23 16:40:00,23.881,,,,,
96,02/09/23 16:50:00,23.641,,,,,
97,02/09/23 17:00:00,23.497,,,,,
98,02/09/23 17:10:00,23.376,,,,,
99,02/09/23 17:20:00,23.280,,,,,
100,02/09/23 17:30:00,23.208,,,,,
101,02/09/23 17:40:00,23.160,,,,,
102,02/09/23 17:50:00,23.088,,,,,
103,02/09/23 18:00:00,23.088,,,,,
104,02/09/23 18:10:00,23.064,,,,,
105,02/09/23 18:20:00,23.040,,,,,
106,02/09/23 18:30:00,23.016,,,,,
107,02/09/23 18:40:00,23.040,,,,,
108,02/09/23 18:50:00,23.064,,,,,
109,02/09/23 19:00:00,23.064,,,,,
110,02/09/23 19:10:00,23.064,,,,,
111,02/09/23 19:20:00,23.040,,,,,
112,02/09/23 19:30:00,23.016,,,,,
113,02/09/23 19:40:00,22.992,,,,,
114,02/09/23 19:50:00,22.968,,,,,
115,02/09/23 20:00:00,22.968,,,,,
116,02/09/23 20:10:00,22.968,,,,,
117,02/09/23 20:20:00,22.944,,,,,
118,02/09/23 20:30:00,22.896,,,,,
119,02/09/23 20:40:00,22.872,,,,,
120,02/09/23 20:50:00,22.848,,,,,
121,02/09/23 21:00:00,22.800,,,,,
122,02/09/23 21:10:00,22.776,,,,,
123,02/09/23 21:20:00,22.800,,,,,
124,02/09/23 21:30:00,22.776,,,,,
125,02/09/23 21:40:00,22.729,,,,,
126,02/09/23 21:50:00,22.705,,,,,
127,02/09/23 22:00:00,22.657,,,,,
128,02/09/23 22:10:00,22.609,,,,,
129,02/09/23 22:20:00,22.513,,,,,
130,02/09/23 22:30:00,22.441,,,,,
131,02/09/23 22:40:00,22.417,,,,,
132,02/09/23 22:50:00,22.393,,,,,
133,02/09/23 23:00:00,22.321,,,,,
134,02/09/23 23:10:00,22.274,,,,,
