"Plot Title: 21445019"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445019, SEN S/N: 21445019)","Coupler Detached (LGR S/N: 21445019)","Coupler Attached (LGR S/N: 21445019)","Host Connected (LGR S/N: 21445019)","Stopped (LGR S/N: 21445019)","End Of File (LGR S/N: 21445019)"
1,02/09/23 01:00:00,23.857,Logged,,,,
2,02/09/23 01:10:00,23.809,,,,,
3,02/09/23 01:20:00,23.785,,,,,
4,02/09/23 01:30:00,23.737,,,,,
5,02/09/23 01:40:00,23.713,,,,,
6,02/09/23 01:50:00,23.665,,,,,
7,02/09/23 02:00:00,23.641,,,,,
8,02/09/23 02:10:00,23.617,,,,,
9,02/09/23 02:20:00,23.593,,,,,
10,02/09/23 02:30:00,23.569,,,,,
11,02/09/23 02:40:00,23.545,,,,,
12,02/09/23 02:50:00,23.521,,,,,
13,02/09/23 03:00:00,23.497,,,,,
14,02/09/23 03:10:00,23.472,,,,,
15,02/09/23 03:20:00,23.472,,,,,
16,02/09/23 03:30:00,23.448,,,,,
17,02/09/23 03:40:00,23.424,,,,,
18,02/09/23 03:50:00,23.400,,,,,
19,02/09/23 04:00:00,23.376,,,,,
20,02/09/23 04:10:00,23.352,,,,,
21,02/09/23 04:20:00,23.304,,,,,
22,02/09/23 04:30:00,23.256,,,,,
23,02/09/23 04:40:00,23.232,,,,,
24,02/09/23 04:50:00,23.160,,,,,
25,02/09/23 05:00:00,23.112,,,,,
26,02/09/23 05:10:00,23.064,,,,,
27,02/09/23 05:20:00,23.016,,,,,
28,02/09/23 05:30:00,22.944,,,,,
29,02/09/23 05:40:00,22.872,,,,,
30,02/09/23 05:50:00,22.824,,,,,
31,02/09/23 06:00:00,22.776,,,,,
32,02/09/23 06:10:00,22.729,,,,,
33,02/09/23 06:20:00,22.681,,,,,
34,02/09/23 06:30:00,22.633,,,,,
35,02/09/23 06:40:00,22.609,,,,,
36,02/09/23 06:50:00,22.561,,,,,
37,02/09/23 07:00:00,22.537,,,,,
