"Plot Title: 20970092"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970092, SEN S/N: 20970092)","Coupler Detached (LGR S/N: 20970092)","Coupler Attached (LGR S/N: 20970092)","Host Connected (LGR S/N: 20970092)","Stopped (LGR S/N: 20970092)","End Of File (LGR S/N: 20970092)"
1,02/09/23 01:00:00,23.930,Logged,,,,
2,02/09/23 01:10:00,23.881,,,,,
3,02/09/23 01:20:00,23.833,,,,,
4,02/09/23 01:30:00,23.809,,,,,
5,02/09/23 01:40:00,23.761,,,,,
6,02/09/23 01:50:00,23.737,,,,,
7,02/09/23 02:00:00,23.689,,,,,
8,02/09/23 02:10:00,23.665,,,,,
9,02/09/23 02:20:00,23.641,,,,,
10,02/09/23 02:30:00,23.617,,,,,
11,02/09/23 02:40:00,23.593,,,,,
12,02/09/23 02:50:00,23.569,,,,,
13,02/09/23 03:00:00,23.545,,,,,
14,02/09/23 03:10:00,23.521,,,,,
15,02/09/23 03:20:00,23.497,,,,,
16,02/09/23 03:30:00,23.448,,,,,
17,02/09/23 03:40:00,23.448,,,,,
18,02/09/23 03:50:00,23.424,,,,,
19,02/09/23 04:00:00,23.400,,,,,
20,02/09/23 04:10:00,23.352,,,,,
21,02/09/23 04:20:00,23.328,,,,,
22,02/09/23 04:30:00,23.304,,,,,
23,02/09/23 04:40:00,23.256,,,,,
24,02/09/23 04:50:00,23.208,,,,,
25,02/09/23 05:00:00,23.184,,,,,
26,02/09/23 05:10:00,23.136,,,,,
27,02/09/23 05:20:00,23.088,,,,,
28,02/09/23 05:30:00,23.040,,,,,
29,02/09/23 05:40:00,22.968,,,,,
30,02/09/23 05:50:00,22.920,,,,,
31,02/09/23 06:00:00,22.872,,,,,
32,02/09/23 06:10:00,22.824,,,,,
33,02/09/23 06:20:00,22.776,,,,,
34,02/09/23 06:30:00,22.729,,,,,
35,02/09/23 06:40:00,22.681,,,,,
36,02/09/23 06:50:00,22.657,,,,,
37,02/09/23 07:00:00,22.609,,,,,
38,02/09/23 07:10:00,22.585,,,,,
39,02/09/23 07:20:00,22.561,,,,,
40,02/09/23 07:30:00,22.537,,,,,
41,02/09/23 07:40:00,22.513,,,,,
42,02/09/23 07:50:00,22.489,,,,,
43,02/09/23 08:00:00,22.441,,,,,
44,02/09/23 08:10:00,22.441,,,,,
45,02/09/23 08:20:00,22.417,,,,,
46,02/09/23 08:30:00,22.417,,,,,
47,02/09/23 08:40:00,22.417,,,,,
48,02/09/23 08:50:00,22.465,,,,,
49,02/09/23 09:00:00,22.489,,,,,
50,02/09/23 09:10:00,22.633,,,,,
51,02/09/23 09:20:00,23.809,,,,,
52,02/09/23 09:30:00,24.557,,,,,
53,02/09/23 09:40:00,24.653,,,,,
54,02/09/23 09:50:00,25.040,,,,,
55,02/09/23 10:00:00,25.914,,,,,
56,02/09/23 10:10:00,26.940,,,,,
57,02/09/23 10:20:00,27.727,,,,,
58,02/09/23 10:30:00,27.998,,,,,
59,02/09/23 10:40:00,27.801,,,,,
60,02/09/23 10:50:00,25.331,,,,,
61,02/09/23 11:00:00,22.441,,,,,
62,02/09/23 11:10:00,22.154,,,,,
63,02/09/23 11:20:00,22.130,,,,,
64,02/09/23 11:30:00,22.154,,,,,
65,02/09/23 11:40:00,22.154,,,,,
66,02/09/23 11:50:00,22.154,,,,,
67,02/09/23 12:00:00,22.154,,,,,
68,02/09/23 12:10:00,22.178,,,,,
69,02/09/23 12:20:00,22.178,,,,,
70,02/09/23 12:30:00,22.202,,,,,
71,02/09/23 12:40:00,22.226,,,,,
72,02/09/23 12:50:00,22.250,,,,,
73,02/09/23 13:00:00,22.298,,,,,
74,02/09/23 13:10:00,22.298,,,,,
75,02/09/23 13:20:00,22.321,,,,,
76,02/09/23 13:30:00,22.298,,,,,
77,02/09/23 13:40:00,22.298,,,,,
78,02/09/23 13:50:00,22.274,,,,,
79,02/09/23 14:00:00,22.298,,,,,
80,02/09/23 14:10:00,22.298,,,,,
81,02/09/23 14:20:00,22.321,,,,,
82,02/09/23 14:30:00,22.369,,,,,
83,02/09/23 14:40:00,22.441,,,,,
84,02/09/23 14:50:00,22.489,,,,,
85,02/09/23 15:00:00,22.441,,,,,
86,02/09/23 15:10:00,22.465,,,,,
87,02/09/23 15:20:00,22.465,,,,,
88,02/09/23 15:30:00,22.441,,,,,
89,02/09/23 15:40:00,22.441,,,,,
90,02/09/23 15:50:00,22.441,,,,,
91,02/09/23 16:00:00,22.441,,,,,
92,02/09/23 16:10:00,22.441,,,,,
93,02/09/23 16:20:00,22.441,,,,,
94,02/09/23 16:30:00,22.441,,,,,
95,02/09/23 16:40:00,22.465,,,,,
96,02/09/23 16:50:00,22.441,,,,,
97,02/09/23 17:00:00,22.441,,,,,
98,02/09/23 17:10:00,22.441,,,,,
99,02/09/23 17:20:00,22.441,,,,,
100,02/09/23 17:30:00,22.417,,,,,
101,02/09/23 17:40:00,22.417,,,,,
102,02/09/23 17:50:00,22.393,,,,,
103,02/09/23 18:00:00,22.417,,,,,
104,02/09/23 18:10:00,22.393,,,,,
105,02/09/23 18:20:00,22.417,,,,,
106,02/09/23 18:30:00,22.417,,,,,
107,02/09/23 18:40:00,22.393,,,,,
108,02/09/23 18:50:00,22.393,,,,,
109,02/09/23 19:00:00,22.393,,,,,
110,02/09/23 19:10:00,22.393,,,,,
111,02/09/23 19:20:00,22.369,,,,,
112,02/09/23 19:30:00,22.369,,,,,
113,02/09/23 19:40:00,22.345,,,,,
114,02/09/23 19:50:00,22.345,,,,,
115,02/09/23 20:00:00,22.345,,,,,
116,02/09/23 20:10:00,22.345,,,,,
117,02/09/23 20:20:00,22.321,,,,,
118,02/09/23 20:30:00,22.321,,,,,
119,02/09/23 20:40:00,22.298,,,,,
120,02/09/23 20:50:00,22.298,,,,,
121,02/09/23 21:00:00,22.298,,,,,
122,02/09/23 21:10:00,22.274,,,,,
123,02/09/23 21:20:00,22.274,,,,,
124,02/09/23 21:30:00,22.250,,,,,
125,02/09/23 21:40:00,22.250,,,,,
126,02/09/23 21:50:00,22.226,,,,,
127,02/09/23 22:00:00,22.226,,,,,
128,02/09/23 22:10:00,22.202,,,,,
129,02/09/23 22:20:00,22.226,,,,,
130,02/09/23 22:30:00,22.202,,,,,
131,02/09/23 22:40:00,22.202,,,,,
132,02/09/23 22:50:00,22.202,,,,,
133,02/09/23 23:00:00,22.202,,,,,
134,02/09/23 23:10:00,22.202,,,,,
135,02/09/23 23:20:00,22.178,,,,,
136,02/09/23 23:30:00,22.154,,,,,
137,02/09/23 23:40:00,22.178,,,,,
138,02/09/23 23:50:00,22.154,,,,,
139,02/10/23 00:00:00,22.154,,,,,
140,02/10/23 00:10:00,22.130,,,,,
141,02/10/23 00:20:00,22.130,,,,,
142,02/10/23 00:30:00,22.106,,,,,
143,02/10/23 00:40:00,22.082,,,,,
144,02/10/23 00:50:00,22.082,,,,,
145,02/10/23 01:00:00,22.082,,,,,
146,02/10/23 01:10:00,22.082,,,,,
147,02/10/23 01:20:00,22.034,,,,,
148,02/10/23 01:30:00,22.058,,,,,
149,02/10/23 01:40:00,22.034,,,,,
150,02/10/23 01:50:00,22.058,,,,,
151,02/10/23 02:00:00,22.034,,,,,
152,02/10/23 02:10:00,22.034,,,,,
153,02/10/23 02:20:00,22.034,,,,,
154,02/10/23 02:30:00,22.034,,,,,
155,02/10/23 02:40:00,22.034,,,,,
