"Plot Title: 20970107"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970107, SEN S/N: 20970107)","Coupler Detached (LGR S/N: 20970107)","Coupler Attached (LGR S/N: 20970107)","Host Connected (LGR S/N: 20970107)","Stopped (LGR S/N: 20970107)","End Of File (LGR S/N: 20970107)"
1,02/01/24 01:00:00 AM,26.109,Logged,,,,
2,02/01/24 01:10:00 AM,26.036,,,,,
3,02/01/24 01:20:00 AM,25.939,,,,,
4,02/01/24 01:30:00 AM,25.866,,,,,
5,02/01/24 01:40:00 AM,25.768,,,,,
6,02/01/24 01:50:00 AM,25.720,,,,,
7,02/01/24 02:00:00 AM,25.647,,,,,
8,02/01/24 02:10:00 AM,25.574,,,,,
9,02/01/24 02:20:00 AM,25.501,,,,,
10,02/01/24 02:30:00 AM,25.428,,,,,
11,02/01/24 02:40:00 AM,25.355,,,,,
12,02/01/24 02:50:00 AM,25.307,,,,,
13,02/01/24 03:00:00 AM,25.234,,,,,
14,02/01/24 03:10:00 AM,25.186,,,,,
15,02/01/24 03:20:00 AM,25.089,,,,,
16,02/01/24 03:30:00 AM,25.016,,,,,
17,02/01/24 03:40:00 AM,24.944,,,,,
18,02/01/24 03:50:00 AM,24.847,,,,,
19,02/01/24 04:00:00 AM,24.774,,,,,
20,02/01/24 04:10:00 AM,24.677,,,,,
21,02/01/24 04:20:00 AM,24.605,,,,,
22,02/01/24 04:30:00 AM,24.532,,,,,
23,02/01/24 04:40:00 AM,24.460,,,,,
24,02/01/24 04:50:00 AM,24.412,,,,,
25,02/01/24 05:00:00 AM,24.339,,,,,
26,02/01/24 05:10:00 AM,24.291,,,,,
27,02/01/24 05:20:00 AM,24.219,,,,,
28,02/01/24 05:30:00 AM,24.171,,,,,
29,02/01/24 05:40:00 AM,24.122,,,,,
30,02/01/24 05:50:00 AM,24.074,,,,,
31,02/01/24 06:00:00 AM,24.050,,,,,
32,02/01/24 06:10:00 AM,24.002,,,,,
33,02/01/24 06:20:00 AM,23.954,,,,,
34,02/01/24 06:30:00 AM,23.930,,,,,
35,02/01/24 06:40:00 AM,23.905,,,,,
36,02/01/24 06:50:00 AM,23.881,,,,,
37,02/01/24 07:00:00 AM,23.833,,,,,
38,02/01/24 07:10:00 AM,23.809,,,,,
39,02/01/24 07:20:00 AM,23.785,,,,,
40,02/01/24 07:30:00 AM,23.761,,,,,
41,02/01/24 07:40:00 AM,23.737,,,,,
42,02/01/24 07:50:00 AM,23.737,,,,,
43,02/01/24 08:00:00 AM,23.737,,,,,
44,02/01/24 08:10:00 AM,23.737,,,,,
45,02/01/24 08:20:00 AM,23.761,,,,,
46,02/01/24 08:30:00 AM,23.785,,,,,
47,02/01/24 08:40:00 AM,23.881,,,,,
48,02/01/24 08:50:00 AM,24.050,,,,,
49,02/01/24 09:00:00 AM,25.186,,,,,
50,02/01/24 09:10:00 AM,26.012,,,,,
51,02/01/24 09:20:00 AM,27.431,,,,,
52,02/01/24 09:30:00 AM,28.543,,,,,
53,02/01/24 09:40:00 AM,29.464,,,,,
54,02/01/24 09:50:00 AM,30.016,,,,,
55,02/01/24 10:00:00 AM,30.722,,,,,
56,02/01/24 10:10:00 AM,29.340,,,,,
57,02/01/24 10:20:00 AM,28.742,,,,,
58,02/01/24 10:30:00 AM,28.097,,,,,
59,02/01/24 10:40:00 AM,27.014,,,,,
60,02/01/24 10:50:00 AM,25.113,,,,,
61,02/01/24 11:00:00 AM,25.283,,,,,
62,02/01/24 11:10:00 AM,25.380,,,,,
63,02/01/24 11:20:00 AM,25.550,,,,,
64,02/01/24 11:30:00 AM,25.744,,,,,
65,02/01/24 11:40:00 AM,25.768,,,,,
66,02/01/24 11:50:00 AM,25.866,,,,,
67,02/01/24 12:00:00 PM,25.793,,,,,
68,02/01/24 12:10:00 PM,25.768,,,,,
69,02/01/24 12:20:00 PM,25.793,,,,,
70,02/01/24 12:30:00 PM,25.574,,,,,
71,02/01/24 12:40:00 PM,25.453,,,,,
72,02/01/24 12:50:00 PM,25.186,,,,,
73,02/01/24 01:00:00 PM,25.234,,,,,
74,02/01/24 01:10:00 PM,25.331,,,,,
75,02/01/24 01:20:00 PM,25.525,,,,,
76,02/01/24 01:30:00 PM,25.501,,,,,
77,02/01/24 01:40:00 PM,25.477,,,,,
78,02/01/24 01:50:00 PM,25.574,,,,,
79,02/01/24 02:00:00 PM,25.428,,,,,
80,02/01/24 02:10:00 PM,25.307,,,,,
81,02/01/24 02:20:00 PM,25.307,,,,,
82,02/01/24 02:30:00 PM,25.428,,,,,
83,02/01/24 02:40:00 PM,25.501,,,,,
84,02/01/24 02:50:00 PM,26.012,,,,,
85,02/01/24 03:00:00 PM,26.426,,,,,
86,02/01/24 03:10:00 PM,26.109,,,,,
87,02/01/24 03:20:00 PM,25.939,,,,,
88,02/01/24 03:30:00 PM,25.890,,,,,
89,02/01/24 03:40:00 PM,25.866,,,,,
90,02/01/24 03:50:00 PM,25.866,,,,,
91,02/01/24 04:00:00 PM,25.866,,,,,
92,02/01/24 04:10:00 PM,25.841,,,,,
93,02/01/24 04:20:00 PM,25.963,,,,,
94,02/01/24 04:30:00 PM,25.914,,,,,
95,02/01/24 04:40:00 PM,26.109,,,,,
96,02/01/24 04:50:00 PM,26.231,,,,,
97,02/01/24 05:00:00 PM,26.256,,,,,
98,02/01/24 05:10:00 PM,26.182,,,,,
99,02/01/24 05:20:00 PM,26.134,,,,,
100,02/01/24 05:30:00 PM,26.182,,,,,
101,02/01/24 05:40:00 PM,26.036,,,,,
102,02/01/24 05:50:00 PM,25.890,,,,,
103,02/01/24 06:00:00 PM,25.720,,,,,
104,02/01/24 06:10:00 PM,25.671,,,,,
105,02/01/24 06:20:00 PM,25.793,,,,,
106,02/01/24 06:30:00 PM,26.158,,,,,
107,02/01/24 06:40:00 PM,25.866,,,,,
108,02/01/24 06:50:00 PM,25.695,,,,,
109,02/01/24 07:00:00 PM,26.304,,,,,
110,02/01/24 07:10:00 PM,26.500,,,,,
111,02/01/24 07:20:00 PM,26.158,,,,,
112,02/01/24 07:30:00 PM,24.871,,,,,
113,02/01/24 07:40:00 PM,25.695,,,,,
114,02/01/24 07:50:00 PM,25.162,,,,,
115,02/01/24 08:00:00 PM,25.671,,,,,
116,02/01/24 08:10:00 PM,25.355,,,,,
117,02/01/24 08:20:00 PM,24.267,,,,,
118,02/01/24 08:30:00 PM,25.574,,,,,
119,02/01/24 08:40:00 PM,25.380,,,,,
120,02/01/24 08:50:00 PM,25.501,,,,,
121,02/01/24 09:00:00 PM,26.231,,,,,
122,02/01/24 09:10:00 PM,26.231,,,,,
123,02/01/24 09:20:00 PM,25.890,,,,,
124,02/01/24 09:30:00 PM,25.963,,,,,
125,02/01/24 09:40:00 PM,26.085,,,,,
126,02/01/24 09:50:00 PM,25.793,,,,,
127,02/01/24 10:00:00 PM,25.744,,,,,
128,02/01/24 10:10:00 PM,25.671,,,,,
129,02/01/24 10:20:00 PM,25.598,,,,,
130,02/01/24 10:30:00 PM,25.016,,,,,
131,02/01/24 10:40:00 PM,25.234,,,,,
132,02/01/24 10:50:00 PM,24.895,,,,,
133,02/01/24 11:00:00 PM,25.089,,,,,
134,02/01/24 11:10:00 PM,25.162,,,,,
135,02/01/24 11:20:00 PM,24.750,,,,,
136,02/01/24 11:30:00 PM,24.050,,,,,
137,02/01/24 11:40:00 PM,24.146,,,,,
138,02/01/24 11:50:00 PM,24.146,,,,,
139,02/02/24 12:00:00 AM,24.026,,,,,
140,02/02/24 12:10:00 AM,24.532,,,,,
141,02/02/24 12:20:00 AM,25.065,,,,,
142,02/02/24 12:30:00 AM,24.823,,,,,
143,02/02/24 12:40:00 AM,25.065,,,,,
144,02/02/24 12:50:00 AM,25.089,,,,,
145,02/02/24 01:00:00 AM,25.307,,,,,
146,02/02/24 01:10:00 AM,25.890,,,,,
147,02/02/24 01:20:00 AM,25.890,,,,,
148,02/02/24 01:30:00 AM,25.768,,,,,
149,02/02/24 01:40:00 AM,25.623,,,,,
150,02/02/24 01:50:00 AM,25.355,,,,,
151,02/02/24 02:00:00 AM,25.283,,,,,
152,02/02/24 02:10:00 AM,24.847,,,,,
153,02/02/24 02:20:00 AM,25.283,,,,,
154,02/02/24 02:30:00 AM,24.484,,,,,
155,02/02/24 02:40:00 AM,23.857,,,,,
156,02/02/24 02:50:00 AM,23.545,,,,,
157,02/02/24 03:00:00 AM,23.737,,,,,
158,02/02/24 03:10:00 AM,24.050,,,,,
