"Plot Title: 21445022"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 21445022, SEN S/N: 21445022)","Coupler Detached (LGR S/N: 21445022)","Coupler Attached (LGR S/N: 21445022)","Host Connected (LGR S/N: 21445022)","Stopped (LGR S/N: 21445022)","End Of File (LGR S/N: 21445022)"
1,02/01/24 01:00:00 AM,26.134,Logged,,,,
2,02/01/24 01:10:00 AM,26.036,,,,,
3,02/01/24 01:20:00 AM,25.963,,,,,
4,02/01/24 01:30:00 AM,25.866,,,,,
5,02/01/24 01:40:00 AM,25.793,,,,,
6,02/01/24 01:50:00 AM,25.720,,,,,
7,02/01/24 02:00:00 AM,25.647,,,,,
8,02/01/24 02:10:00 AM,25.574,,,,,
9,02/01/24 02:20:00 AM,25.501,,,,,
10,02/01/24 02:30:00 AM,25.428,,,,,
11,02/01/24 02:40:00 AM,25.355,,,,,
12,02/01/24 02:50:00 AM,25.307,,,,,
13,02/01/24 03:00:00 AM,25.234,,,,,
14,02/01/24 03:10:00 AM,25.162,,,,,
15,02/01/24 03:20:00 AM,25.089,,,,,
16,02/01/24 03:30:00 AM,25.016,,,,,
17,02/01/24 03:40:00 AM,24.944,,,,,
18,02/01/24 03:50:00 AM,24.847,,,,,
19,02/01/24 04:00:00 AM,24.750,,,,,
20,02/01/24 04:10:00 AM,24.677,,,,,
21,02/01/24 04:20:00 AM,24.605,,,,,
22,02/01/24 04:30:00 AM,24.532,,,,,
23,02/01/24 04:40:00 AM,24.460,,,,,
24,02/01/24 04:50:00 AM,24.388,,,,,
25,02/01/24 05:00:00 AM,24.315,,,,,
26,02/01/24 05:10:00 AM,24.267,,,,,
27,02/01/24 05:20:00 AM,24.219,,,,,
28,02/01/24 05:30:00 AM,24.171,,,,,
29,02/01/24 05:40:00 AM,24.122,,,,,
30,02/01/24 05:50:00 AM,24.074,,,,,
31,02/01/24 06:00:00 AM,24.026,,,,,
32,02/01/24 06:10:00 AM,23.978,,,,,
33,02/01/24 06:20:00 AM,23.954,,,,,
34,02/01/24 06:30:00 AM,23.905,,,,,
35,02/01/24 06:40:00 AM,23.881,,,,,
36,02/01/24 06:50:00 AM,23.857,,,,,
37,02/01/24 07:00:00 AM,23.833,,,,,
38,02/01/24 07:10:00 AM,23.809,,,,,
39,02/01/24 07:20:00 AM,23.785,,,,,
40,02/01/24 07:30:00 AM,23.761,,,,,
41,02/01/24 07:40:00 AM,23.737,,,,,
42,02/01/24 07:50:00 AM,23.713,,,,,
43,02/01/24 08:00:00 AM,23.713,,,,,
44,02/01/24 08:10:00 AM,23.713,,,,,
45,02/01/24 08:20:00 AM,23.737,,,,,
46,02/01/24 08:30:00 AM,23.761,,,,,
47,02/01/24 08:40:00 AM,23.833,,,,,
48,02/01/24 08:50:00 AM,24.050,,,,,
49,02/01/24 09:00:00 AM,25.210,,,,,
50,02/01/24 09:10:00 AM,25.987,,,,,
51,02/01/24 09:20:00 AM,27.751,,,,,
52,02/01/24 09:30:00 AM,28.369,,,,,
53,02/01/24 09:40:00 AM,29.240,,,,,
54,02/01/24 09:50:00 AM,29.215,,,,,
55,02/01/24 10:00:00 AM,29.540,,,,,
56,02/01/24 10:10:00 AM,29.590,,,,,
57,02/01/24 10:20:00 AM,29.040,,,,,
58,02/01/24 10:30:00 AM,28.196,,,,,
59,02/01/24 10:40:00 AM,23.665,,,,,
60,02/01/24 10:50:00 AM,23.208,,,,,
61,02/01/24 11:00:00 AM,23.184,,,,,
62,02/01/24 11:10:00 AM,23.184,,,,,
63,02/01/24 11:20:00 AM,23.184,,,,,
64,02/01/24 11:30:00 AM,23.184,,,,,
65,02/01/24 11:40:00 AM,23.184,,,,,
66,02/01/24 11:50:00 AM,23.208,,,,,
67,02/01/24 12:00:00 PM,23.208,,,,,
68,02/01/24 12:10:00 PM,23.208,,,,,
69,02/01/24 12:20:00 PM,23.208,,,,,
70,02/01/24 12:30:00 PM,23.232,,,,,
71,02/01/24 12:40:00 PM,23.232,,,,,
72,02/01/24 12:50:00 PM,23.232,,,,,
73,02/01/24 01:00:00 PM,23.232,,,,,
74,02/01/24 01:10:00 PM,23.256,,,,,
75,02/01/24 01:20:00 PM,23.256,,,,,
76,02/01/24 01:30:00 PM,23.256,,,,,
77,02/01/24 01:40:00 PM,23.232,,,,,
78,02/01/24 01:50:00 PM,23.232,,,,,
79,02/01/24 02:00:00 PM,23.232,,,,,
80,02/01/24 02:10:00 PM,23.208,,,,,
81,02/01/24 02:20:00 PM,23.184,,,,,
82,02/01/24 02:30:00 PM,23.184,,,,,
83,02/01/24 02:40:00 PM,23.184,,,,,
84,02/01/24 02:50:00 PM,23.160,,,,,
85,02/01/24 03:00:00 PM,23.184,,,,,
86,02/01/24 03:10:00 PM,23.184,,,,,
87,02/01/24 03:20:00 PM,23.184,,,,,
88,02/01/24 03:30:00 PM,23.184,,,,,
89,02/01/24 03:40:00 PM,23.184,,,,,
90,02/01/24 03:50:00 PM,23.184,,,,,
91,02/01/24 04:00:00 PM,23.184,,,,,
92,02/01/24 04:10:00 PM,23.184,,,,,
93,02/01/24 04:20:00 PM,23.160,,,,,
94,02/01/24 04:30:00 PM,23.160,,,,,
95,02/01/24 04:40:00 PM,23.160,,,,,
96,02/01/24 04:50:00 PM,23.160,,,,,
