"Plot Title: 20970094"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20970094, SEN S/N: 20970094)","Coupler Detached (LGR S/N: 20970094)","Coupler Attached (LGR S/N: 20970094)","Host Connected (LGR S/N: 20970094)","Stopped (LGR S/N: 20970094)","End Of File (LGR S/N: 20970094)"
1,02/05/26 01:00:00 AM,23.833,Logged,,,,
2,02/05/26 01:10:00 AM,23.689,,,,,
3,02/05/26 01:20:00 AM,23.569,,,,,
4,02/05/26 01:30:00 AM,23.448,,,,,
5,02/05/26 01:40:00 AM,23.304,,,,,
6,02/05/26 01:50:00 AM,23.184,,,,,
7,02/05/26 02:00:00 AM,23.064,,,,,
8,02/05/26 02:10:00 AM,22.944,,,,,
9,02/05/26 02:20:00 AM,22.824,,,,,
10,02/05/26 02:30:00 AM,22.729,,,,,
11,02/05/26 02:40:00 AM,22.609,,,,,
12,02/05/26 02:50:00 AM,22.489,,,,,
13,02/05/26 03:00:00 AM,22.393,,,,,
14,02/05/26 03:10:00 AM,22.298,,,,,
15,02/05/26 03:20:00 AM,22.202,,,,,
16,02/05/26 03:30:00 AM,22.106,,,,,
17,02/05/26 03:40:00 AM,22.011,,,,,
18,02/05/26 03:50:00 AM,21.915,,,,,
19,02/05/26 04:00:00 AM,21.819,,,,,
20,02/05/26 04:10:00 AM,21.724,,,,,
21,02/05/26 04:20:00 AM,21.628,,,,,
22,02/05/26 04:30:00 AM,21.557,,,,,
23,02/05/26 04:40:00 AM,21.485,,,,,
24,02/05/26 04:50:00 AM,21.390,,,,,
25,02/05/26 05:00:00 AM,21.318,,,,,
26,02/05/26 05:10:00 AM,21.246,,,,,
27,02/05/26 05:20:00 AM,21.175,,,,,
28,02/05/26 05:30:00 AM,21.103,,,,,
29,02/05/26 05:40:00 AM,21.032,,,,,
30,02/05/26 05:50:00 AM,20.984,,,,,
31,02/05/26 06:00:00 AM,20.936,,,,,
32,02/05/26 06:10:00 AM,20.913,,,,,
33,02/05/26 06:20:00 AM,20.865,,,,,
34,02/05/26 06:30:00 AM,20.841,,,,,
35,02/05/26 06:40:00 AM,20.817,,,,,
36,02/05/26 06:50:00 AM,20.817,,,,,
37,02/05/26 07:00:00 AM,20.793,,,,,
38,02/05/26 07:10:00 AM,20.770,,,,,
39,02/05/26 07:20:00 AM,20.770,,,,,
40,02/05/26 07:30:00 AM,20.770,,,,,
41,02/05/26 07:40:00 AM,20.746,,,,,
42,02/05/26 07:50:00 AM,20.746,,,,,
43,02/05/26 08:00:00 AM,20.746,,,,,
44,02/05/26 08:10:00 AM,20.746,,,,,
45,02/05/26 08:20:00 AM,20.746,,,,,
46,02/05/26 08:30:00 AM,20.793,,,,,
47,02/05/26 08:40:00 AM,20.889,,,,,
48,02/05/26 08:50:00 AM,21.151,,,,,
49,02/05/26 09:00:00 AM,21.772,,,,,
50,02/05/26 09:10:00 AM,23.376,,,,,
51,02/05/26 09:20:00 AM,24.895,,,,,
52,02/05/26 09:30:00 AM,25.866,,,,,
53,02/05/26 09:40:00 AM,26.378,,,,,
54,02/05/26 09:50:00 AM,25.355,,,,,
55,02/05/26 10:00:00 AM,26.207,,,,,
56,02/05/26 10:10:00 AM,27.456,,,,,
57,02/05/26 10:20:00 AM,27.751,,,,,
58,02/05/26 10:30:00 AM,26.720,,,,,
59,02/05/26 10:40:00 AM,26.402,,,,,
60,02/05/26 10:50:00 AM,28.072,,,,,
61,02/05/26 11:00:00 AM,29.640,,,,,
62,02/05/26 11:10:00 AM,24.460,,,,,
63,02/05/26 11:20:00 AM,24.050,,,,,
64,02/05/26 11:30:00 AM,24.026,,,,,
65,02/05/26 11:40:00 AM,23.978,,,,,
66,02/05/26 11:50:00 AM,24.002,,,,,
67,02/05/26 12:00:00 PM,24.026,,,,,
68,02/05/26 12:10:00 PM,24.002,,,,,
69,02/05/26 12:20:00 PM,23.978,,,,,
70,02/05/26 12:30:00 PM,24.002,,,,,
71,02/05/26 12:40:00 PM,23.978,,,,,
72,02/05/26 12:50:00 PM,23.954,,,,,
73,02/05/26 01:00:00 PM,23.930,,,,,
74,02/05/26 01:10:00 PM,23.930,,,,,
75,02/05/26 01:20:00 PM,23.954,,,,,
76,02/05/26 01:30:00 PM,23.978,,,,,
77,02/05/26 01:40:00 PM,23.978,,,,,
78,02/05/26 01:50:00 PM,23.978,,,,,
79,02/05/26 02:00:00 PM,24.074,,,,,
80,02/05/26 02:10:00 PM,24.195,,,,,
81,02/05/26 02:20:00 PM,24.146,,,,,
82,02/05/26 02:30:00 PM,23.954,,,,,
83,02/05/26 02:40:00 PM,23.881,,,,,
84,02/05/26 02:50:00 PM,23.833,,,,,
85,02/05/26 03:00:00 PM,23.833,,,,,
86,02/05/26 03:10:00 PM,23.785,,,,,
87,02/05/26 03:20:00 PM,23.785,,,,,
88,02/05/26 03:30:00 PM,23.761,,,,,
89,02/05/26 03:40:00 PM,23.737,,,,,
90,02/05/26 03:50:00 PM,23.761,,,,,
91,02/05/26 04:00:00 PM,23.737,,,,,
92,02/05/26 04:10:00 PM,23.665,,,,,
93,02/05/26 04:20:00 PM,23.641,,,,,
94,02/05/26 04:30:00 PM,23.641,,,,,
95,02/05/26 04:40:00 PM,23.617,,,,,
96,02/05/26 04:50:00 PM,23.617,,,,,
97,02/05/26 05:00:00 PM,23.665,,,,,
98,02/05/26 05:10:00 PM,23.641,,,,,
99,02/05/26 05:20:00 PM,23.593,,,,,
100,02/05/26 05:30:00 PM,23.569,,,,,
101,02/05/26 05:40:00 PM,23.545,,,,,
102,02/05/26 05:50:00 PM,23.521,,,,,
103,02/05/26 06:00:00 PM,23.497,,,,,
104,02/05/26 06:10:00 PM,23.497,,,,,
105,02/05/26 06:20:00 PM,23.472,,,,,
106,02/05/26 06:30:00 PM,23.497,,,,,
107,02/05/26 06:40:00 PM,23.448,,,,,
108,02/05/26 06:50:00 PM,23.497,,,,,
109,02/05/26 07:00:00 PM,23.497,,,,,
110,02/05/26 07:10:00 PM,23.497,,,,,
111,02/05/26 07:20:00 PM,23.472,,,,,
112,02/05/26 07:30:00 PM,23.472,,,,,
113,02/05/26 07:40:00 PM,23.497,,,,,
114,02/05/26 07:50:00 PM,23.448,,,,,
115,02/05/26 08:00:00 PM,23.448,,,,,
116,02/05/26 08:10:00 PM,23.424,,,,,
117,02/05/26 08:20:00 PM,23.400,,,,,
118,02/05/26 08:30:00 PM,23.400,,,,,
119,02/05/26 08:40:00 PM,23.376,,,,,
120,02/05/26 08:50:00 PM,23.376,,,,,
121,02/05/26 09:00:00 PM,23.352,,,,,
122,02/05/26 09:10:00 PM,23.352,,,,,
123,02/05/26 09:20:00 PM,23.328,,,,,
124,02/05/26 09:30:00 PM,23.328,,,,,
125,02/05/26 09:40:00 PM,23.328,,,,,
126,02/05/26 09:50:00 PM,23.328,,,,,
127,02/05/26 10:00:00 PM,23.304,,,,,
128,02/05/26 10:10:00 PM,23.304,,,,,
129,02/05/26 10:20:00 PM,23.304,,,,,
130,02/05/26 10:30:00 PM,23.304,,,,,
131,02/05/26 10:40:00 PM,23.304,,,,,
132,02/05/26 10:50:00 PM,23.304,,,,,
133,02/05/26 11:00:00 PM,23.280,,,,,
134,02/05/26 11:10:00 PM,23.280,,,,,
135,02/05/26 11:20:00 PM,23.280,,,,,
136,02/05/26 11:30:00 PM,23.280,,,,,
137,02/05/26 11:40:00 PM,23.256,,,,,
138,02/05/26 11:50:00 PM,23.256,,,,,
139,02/06/26 12:00:00 AM,23.256,,,,,
140,02/06/26 12:10:00 AM,23.256,,,,,
141,02/06/26 12:20:00 AM,23.256,,,,,
142,02/06/26 12:30:00 AM,23.232,,,,,
143,02/06/26 12:40:00 AM,23.232,,,,,
144,02/06/26 12:50:00 AM,23.232,,,,,
145,02/06/26 01:00:00 AM,23.232,,,,,
146,02/06/26 01:10:00 AM,23.208,,,,,
147,02/06/26 01:20:00 AM,23.232,,,,,
148,02/06/26 01:30:00 AM,23.232,,,,,
149,02/06/26 01:40:00 AM,23.208,,,,,
150,02/06/26 01:50:00 AM,23.208,,,,,
151,02/06/26 02:00:00 AM,23.208,,,,,
152,02/06/26 02:10:00 AM,23.208,,,,,
153,02/06/26 02:20:00 AM,23.232,,,,,
154,02/06/26 02:30:00 AM,23.232,,,,,
155,02/06/26 02:40:00 AM,23.256,,,,,
156,02/06/26 02:50:00 AM,23.256,,,,,
157,02/06/26 03:00:00 AM,23.256,,,,,
158,02/06/26 03:10:00 AM,23.256,,,,,
159,02/06/26 03:20:00 AM,23.256,,,,,
160,02/06/26 03:30:00 AM,23.256,,,,,
161,02/06/26 03:40:00 AM,23.256,,,,,
162,02/06/26 03:50:00 AM,23.256,,,,,
163,02/06/26 04:00:00 AM,23.256,,,,,
164,02/06/26 04:10:00 AM,23.280,,,,,
165,02/06/26 04:20:00 AM,23.280,,,,,
166,02/06/26 04:30:00 AM,23.280,,,,,
167,02/06/26 04:40:00 AM,23.280,,,,,
168,02/06/26 04:50:00 AM,23.304,,,,,
169,02/06/26 05:00:00 AM,23.304,,,,,
170,02/06/26 05:10:00 AM,23.304,,,,,
171,02/06/26 05:20:00 AM,23.304,,,,,
172,02/06/26 05:30:00 AM,23.304,,,,,
173,02/06/26 05:40:00 AM,23.304,,,,,
174,02/06/26 05:50:00 AM,23.304,,,,,
175,02/06/26 06:00:00 AM,23.304,,,,,
176,02/06/26 06:10:00 AM,23.304,,,,,
177,02/06/26 06:20:00 AM,23.328,,,,,
178,02/06/26 06:30:00 AM,23.328,,,,,
179,02/06/26 06:40:00 AM,23.328,,,,,
180,02/06/26 06:50:00 AM,23.352,,,,,
